Date,Open,High,Low,Close,Volume,Change
2013-09-16,1700,1755,1700,1745,7941,
2013-09-17,1725,1740,1710,1735,8160,-0.0057306590257879
2013-09-23,1715,1825,1715,1820,34453,0.0489913544668587
2013-09-24,1830,1930,1830,1905,65796,0.0467032967032967
2013-09-25,1915,1920,1855,1920,19556,0.0078740157480314
2013-09-26,1925,1925,1885,1920,9230,0.0
2013-09-27,1920,1990,1900,1990,20804,0.0364583333333332
2013-09-30,2000,2040,1975,1990,23730,0.0
2013-10-01,1974,2034,1930,1955,33980,-0.0175879396984924
2013-10-02,1970,2065,1964,2065,20394,0.0562659846547315
2013-10-04,2095,2095,2030,2075,9221,0.0048426150121065
2013-10-07,2080,2080,2024,2025,11990,-0.0240963855421686
2013-10-08,2025,2040,1980,2020,19371,-0.0024691358024691
2013-10-10,2000,2015,1960,1960,17150,-0.0297029702970297
2013-10-11,1950,2010,1900,1990,38520,0.0153061224489796
2013-10-14,1990,1990,1940,1960,13940,-0.015075376884422
2013-10-15,1940,1950,1890,1890,19942,-0.0357142857142857
2013-10-16,1875,1925,1860,1890,17522,0.0
2013-10-17,1925,1925,1860,1915,15130,0.0132275132275132
2013-10-18,1895,1930,1895,1930,8290,0.0078328981723236
2013-10-21,1930,1945,1880,1900,12893,-0.0155440414507772
2013-10-22,1890,1940,1880,1890,6380,-0.0052631578947368
2013-10-23,1890,1890,1830,1830,12604,-0.0317460317460317
2013-10-24,1830,1850,1805,1845,7010,0.0081967213114753
2013-10-25,1845,1914,1800,1895,12300,0.0271002710027099
2013-10-28,1894,1970,1870,1955,16442,0.0316622691292876
2013-10-29,1975,1990,1960,1985,16100,0.0153452685421995
2013-10-30,1985,2000,1930,2000,10500,0.0075566750629723
2013-10-31,1980,2010,1970,2000,4921,0.0
2013-11-01,2000,2005,1960,2000,13720,0.0
2013-11-04,2020,2020,1980,1980,1931,-0.01
2013-11-05,1980,2005,1955,1980,11350,0.0
2013-11-06,1980,1990,1950,1990,3151,0.0050505050505049
2013-11-07,1974,1990,1954,1955,9001,-0.0175879396984924
2013-11-08,1955,1995,1940,1980,7160,0.0127877237851663
2013-11-11,2004,2004,1920,1925,10060,-0.0277777777777777
2013-11-12,1900,1970,1880,1950,13025,0.0129870129870128
2013-11-13,1965,1985,1945,1950,6011,0.0
2013-11-14,1955,1995,1955,1960,7400,0.0051282051282051
2013-11-15,1950,2030,1950,2010,11556,0.0255102040816326
2013-11-18,1985,2025,1985,2000,10890,-0.0049751243781094
2013-11-19,2000,2030,1980,2015,5241,0.0075
2013-11-20,2000,2045,2000,2010,3590,-0.0024813895781637
2013-11-21,2010,2075,2010,2045,20282,0.0174129353233831
2013-11-22,2050,2050,1980,2015,9101,-0.0146699266503667
2013-11-25,1990,2020,1980,1985,7991,-0.0148883374689826
2013-11-26,1975,1990,1960,1985,2370,0.0
2013-11-27,1990,2005,1985,1995,2970,0.0050377833753147
2013-11-28,2005,2005,1980,1995,5150,0.0
2013-11-29,2000,2024,1975,2025,1920,0.0150375939849625
2013-12-02,2025,2025,1954,1975,10413,-0.0246913580246913
2013-12-03,1975,2010,1920,2010,10750,0.0177215189873418
2013-12-04,2010,2020,1980,1995,1580,-0.0074626865671642
2013-12-05,1994,2005,1954,1995,2810,0.0
2013-12-06,1990,1990,1955,1965,6050,-0.0150375939849624
2013-12-09,1964,1970,1944,1965,1290,0.0
2013-12-10,1974,1974,1930,1935,5081,-0.0152671755725191
2013-12-11,1984,2030,1920,1985,6150,0.0258397932816536
2013-12-12,2010,2010,1965,1980,3210,-0.0025188916876573
2013-12-13,1994,1994,1930,1935,8122,-0.0227272727272727
2013-12-16,1960,1990,1924,1985,8291,0.0258397932816536
2013-12-17,1984,1990,1960,1965,1710,-0.0100755667506297
2013-12-18,1970,1970,1915,1925,8291,-0.020356234096692
2013-12-19,1930,1930,1874,1875,9220,-0.0259740259740259
2013-12-20,1914,1914,1825,1875,9991,0.0
2013-12-23,1875,1910,1820,1870,22849,-0.0026666666666667
2013-12-24,1850,1920,1850,1890,4380,0.0106951871657754
2013-12-26,1935,1935,1860,1905,5021,0.0079365079365079
2013-12-27,1925,1925,1840,1870,6390,-0.0183727034120735
2013-12-30,1870,1870,1830,1830,2600,-0.0213903743315507
2014-01-02,1825,1825,1780,1785,5040,-0.0245901639344262
2014-01-03,1785,1815,1735,1780,7362,-0.0028011204481792
2014-01-06,1780,1785,1730,1740,4490,-0.0224719101123596
2014-01-07,1765,1770,1730,1755,2100,0.0086206896551723
2014-01-08,1735,1800,1730,1780,4220,0.0142450142450143
2014-01-09,1790,1790,1755,1780,1410,0.0
2014-01-10,1825,1825,1690,1750,12841,-0.0168539325842697
2014-01-13,1750,1750,1695,1710,5231,-0.0228571428571429
2014-01-14,1730,1745,1690,1710,3252,0.0
2014-01-15,1710,1730,1700,1705,4710,-0.0029239766081871
2014-01-16,1705,1740,1690,1740,7661,0.0205278592375366
2014-01-17,1710,1750,1710,1750,7890,0.0057471264367816
2014-01-20,1715,1755,1700,1715,9580,-0.02
2014-01-21,1700,1715,1690,1690,9430,-0.0145772594752187
2014-01-22,1705,1705,1660,1660,5030,-0.0177514792899408
2014-01-23,1670,1670,1600,1610,14466,-0.0301204819277108
2014-01-24,1590,1630,1590,1600,3340,-0.0062111801242236
2014-01-27,1575,1620,1575,1595,10300,-0.003125
2014-01-28,1585,1600,1550,1600,4251,0.0031347962382444
2014-01-29,1600,1600,1570,1590,1142,-0.0062499999999999
2014-02-03,1610,1610,1500,1545,14721,-0.0283018867924528
2014-02-04,1520,1540,1515,1540,1080,-0.0032362459546925
2014-02-05,1605,1605,1535,1545,1790,0.0032467532467532
2014-02-06,1565,1565,1530,1530,3844,-0.0097087378640776
2014-02-07,1530,1570,1500,1525,2601,-0.0032679738562091
2014-02-10,1575,1575,1525,1560,816,0.022950819672131
2014-02-11,1575,1575,1510,1550,3090,-0.0064102564102563
2014-02-12,1550,1565,1510,1510,14142,-0.0258064516129031
2014-02-13,1480,1520,1480,1510,3730,0.0
2014-02-14,1530,1530,1510,1520,1020,0.0066225165562914
2014-02-17,1520,1530,1505,1525,3710,0.0032894736842106
2014-02-18,1530,1530,1510,1530,5380,0.0032786885245901
2014-02-19,1515,1530,1510,1525,2140,-0.0032679738562091
2014-02-20,1520,1540,1500,1530,3030,0.0032786885245901
2014-02-21,1530,1530,1510,1530,2060,0.0
2014-02-24,1530,1565,1530,1560,4810,0.0196078431372548
2014-02-25,1560,1790,1560,1790,53793,0.1474358974358973
2014-02-26,1860,1940,1815,1845,45053,0.0307262569832402
2014-02-27,1835,1835,1715,1800,15892,-0.024390243902439
2014-02-28,1830,1830,1725,1755,5060,-0.025
2014-03-03,1735,1750,1675,1740,6432,-0.0085470085470085
2014-03-04,1685,1760,1680,1705,8949,-0.0201149425287355
2014-03-05,1730,1765,1695,1740,6400,0.0205278592375366
2014-03-06,1745,1800,1735,1800,9894,0.0344827586206897
2014-03-07,1850,1850,1785,1785,6328,-0.0083333333333333
2014-03-10,1780,1810,1760,1805,4330,0.011204481792717
2014-03-11,1805,1805,1765,1800,3380,-0.002770083102493
2014-03-12,1800,1954,1795,1855,39919,0.0305555555555554
2014-03-13,1850,1880,1805,1875,12330,0.0107816711590296
2014-03-14,1875,1940,1860,1920,16431,0.024
2014-03-17,1920,1970,1890,1920,15976,0.0
2014-03-18,1910,1930,1875,1905,12220,-0.0078125
2014-03-19,1900,1914,1854,1915,9495,0.0052493438320209
2014-03-20,1970,2000,1860,1920,26420,0.0026109660574411
2014-03-21,1920,1950,1915,1920,15780,0.0
2014-03-24,1890,1930,1844,1845,11504,-0.0390625
2014-03-25,1825,1825,1775,1795,11101,-0.02710027100271
2014-03-26,1805,1850,1800,1845,5485,0.0278551532033426
2014-03-27,1844,1870,1820,1825,2830,-0.0108401084010839
2014-03-28,1800,1915,1800,1910,22874,0.0465753424657533
2014-03-31,1915,1935,1895,1925,9731,0.0078534031413612
2014-04-01,1935,2210,1930,2205,79650,0.1454545454545455
2014-04-02,2210,2440,2125,2235,73385,0.0136054421768707
2014-04-03,2190,2380,2180,2360,37786,0.0559284116331095
2014-04-04,2360,2385,2300,2370,17180,0.0042372881355932
2014-04-07,2370,2445,2310,2375,9050,0.0021097046413502
2014-04-08,2440,2440,2255,2355,35685,-0.0084210526315789
2014-04-09,2300,2355,2250,2280,28424,-0.0318471337579617
2014-04-10,2320,2345,2125,2345,46419,0.0285087719298244
2014-04-11,2340,2350,2280,2350,6695,0.0021321961620468
2014-04-14,2300,2640,2300,2615,40852,0.1127659574468085
2014-04-15,2585,3005,2585,2995,83299,0.1453154875717017
2014-04-16,2984,2990,2870,2890,38741,-0.035058430717863
2014-04-17,2890,2950,2805,2920,16565,0.0103806228373701
2014-04-18,2945,3290,2834,3190,61948,0.0924657534246575
2014-04-21,3184,3360,3055,3130,22133,-0.018808777429467
2014-04-22,3110,3220,3065,3105,18401,-0.0079872204472843
2014-04-23,3100,3180,2990,2990,23003,-0.037037037037037
2014-04-24,3000,3090,2900,2980,22680,-0.0033444816053511
2014-04-25,2954,3094,2900,3030,24822,0.0167785234899329
2014-04-28,3014,3160,3014,3110,7704,0.0264026402640265
2014-04-29,3170,3170,2990,3030,12532,-0.0257234726688102
2014-04-30,3030,3290,3025,3080,41441,0.0165016501650165
2014-05-02,3189,3189,2975,3175,20880,0.0308441558441558
2014-05-07,3175,3300,3165,3290,17380,0.0362204724409449
2014-05-08,3300,3350,3230,3280,9081,-0.0030395136778115
2014-05-09,3210,3274,3165,3190,11792,-0.0274390243902439
2014-05-12,3190,3190,2960,3010,40226,-0.0564263322884012
2014-05-13,3035,3075,2920,2960,25927,-0.0166112956810631
2014-05-14,2950,3005,2910,2990,21890,0.010135135135135
