Date,Open,High,Low,Close,Volume,Change
2023-04-04,1071,1085,1069,1078,446066,0.0027906976744185
2023-04-05,1083,1087,1076,1083,279913,0.0046382189239331
2023-04-06,1080,1080,1053,1067,452964,-0.0147737765466297
2023-04-07,1080,1092,1067,1068,402793,0.0009372071227742
2023-04-10,1072,1072,1042,1062,308629,-0.0056179775280899
2023-04-11,1059,1077,1047,1076,500702,0.0131826741996232
2023-04-12,1076,1098,1069,1096,421506,0.0185873605947954
2023-04-13,1099,1099,1078,1093,283133,-0.0027372262773722
2023-04-14,1095,1108,1087,1105,309836,0.010978956999085
2023-04-17,1106,1130,1102,1128,421099,0.0208144796380089
2023-04-18,1131,1131,1108,1114,270928,-0.0124113475177305
2023-04-19,1111,1140,1111,1134,454860,0.0179533213644524
2023-04-20,1134,1137,1087,1096,613618,-0.0335097001763669
2023-04-21,1096,1098,1070,1084,294988,-0.010948905109489
2023-04-24,1086,1095,1070,1073,320051,-0.0101476014760147
2023-04-25,1071,1082,1036,1050,374871,-0.02143522833178
2023-04-26,1042,1066,1035,1048,167035,-0.0019047619047618
2023-04-27,1054,1054,1016,1044,222786,-0.0038167938931297
2023-04-28,1044,1054,1029,1030,290808,-0.0134099616858237
2023-05-02,1040,1063,1030,1061,369275,0.0300970873786408
2023-05-03,1045,1057,1039,1048,285197,-0.0122525918944391
2023-05-04,1044,1047,1033,1039,160714,-0.0085877862595419
2023-05-08,1044,1055,1044,1051,152208,0.0115495668912415
2023-05-09,1050,1053,1038,1042,109763,-0.0085632730732635
2023-05-10,1040,1045,1037,1043,139355,0.0009596928982724
2023-05-11,1043,1052,1043,1050,195639,0.0067114093959732
2023-05-12,1047,1049,1040,1046,155520,-0.0038095238095238
2023-05-15,1046,1046,1030,1039,222051,-0.0066921606118547
2023-05-16,1034,1040,1029,1037,202549,-0.0019249278152069
2023-05-17,1031,1041,1031,1039,177622,0.0019286403085825
2023-05-18,1039,1047,1039,1041,175607,0.0019249278152069
2023-05-19,1045,1045,1040,1045,146069,0.0038424591738712
2023-05-22,1055,1062,1048,1057,213213,0.0114832535885167
2023-05-23,1056,1065,1056,1061,143291,0.0037842951750235
2023-05-24,1056,1098,1055,1068,491390,0.006597549481621
2023-05-25,1065,1155,1063,1093,4710966,0.0234082397003745
2023-05-26,1085,1091,1059,1062,639829,-0.0283623055809698
2023-05-30,1060,1075,1050,1066,291535,0.0037664783427495
2023-05-31,1070,1126,1054,1075,605675,0.0084427767354595
2023-06-01,1069,1077,1068,1071,155012,-0.0037209302325581
2023-06-02,1071,1075,1060,1069,252747,-0.0018674136321195
2023-06-05,1069,1078,1065,1072,185398,0.0028063610851263
2023-06-07,1072,1078,1068,1075,223119,0.0027985074626866
2023-06-08,1070,1077,1065,1065,180754,-0.0093023255813953
2023-06-09,1070,1141,1070,1132,2502030,0.0629107981220657
2023-06-12,1112,1113,1089,1093,846767,-0.034452296819788
2023-06-13,1096,1104,1093,1096,309924,0.0027447392497712
2023-06-14,1091,1097,1070,1074,374379,-0.0200729927007299
2023-06-15,1082,1088,1065,1074,284893,0.0
2023-06-16,1079,1084,1076,1084,113139,0.0093109869646181
2023-06-19,1082,1108,1073,1106,416014,0.0202952029520295
2023-06-20,1111,1115,1095,1110,360502,0.003616636528029
2023-06-21,1110,1113,1096,1106,229467,-0.0036036036036035
2023-06-22,1101,1147,1097,1120,1432649,0.0126582278481013
2023-06-23,1146,1148,1101,1107,960288,-0.0116071428571428
2023-06-26,1120,1120,1096,1100,267560,-0.0063233965672989
2023-06-27,1106,1110,1097,1106,236508,0.0054545454545453
2023-06-28,1106,1112,1101,1106,181616,0.0
2023-06-29,1107,1107,1077,1085,411974,-0.0189873417721518
2023-06-30,1080,1085,1071,1080,240802,-0.0046082949308755
2023-07-03,1080,1095,1079,1086,224067,0.0055555555555555
2023-07-04,1081,1090,1071,1081,191887,-0.0046040515653775
2023-07-05,1081,1084,1056,1066,429719,-0.0138760407030527
2023-07-06,1070,1070,1038,1058,472944,-0.0075046904315196
2023-07-07,1053,1053,1028,1035,330270,-0.0217391304347825
2023-07-10,1031,1035,1021,1030,203378,-0.0048309178743961
2023-07-11,1030,1041,1030,1036,138275,0.0058252427184466
2023-07-12,1044,1044,1032,1032,229207,-0.0038610038610038
2023-07-13,1041,1041,1032,1038,171886,0.0058139534883721
2023-07-14,1036,1040,1028,1037,302181,-0.0009633911368015
2023-07-17,1031,1051,1031,1047,205271,0.0096432015429122
2023-07-18,1040,1046,1025,1028,291412,-0.0181470869149952
2023-07-19,1035,1037,1022,1026,210607,-0.0019455252918287
2023-07-20,1023,1054,1022,1025,417956,-0.0009746588693957
2023-07-21,1023,1025,1007,1017,419179,-0.0078048780487804
2023-07-24,1014,1015,989,997,610826,-0.0196656833824975
2023-07-25,997,1002,971,982,410360,-0.0150451354062186
2023-07-26,982,987,920,935,734280,-0.0478615071283096
2023-07-27,935,979,935,963,303782,0.0299465240641712
2023-07-28,952,994,952,991,215114,0.0290758047767394
2023-07-31,985,998,979,992,144883,0.0010090817356205
2023-08-01,992,998,987,987,185590,-0.0050403225806451
2023-08-02,987,993,976,980,165557,-0.0070921985815602
2023-08-03,976,989,965,982,170832,0.0020408163265306
2023-08-04,982,983,972,977,100690,-0.005091649694501
2023-08-07,977,978,967,975,125600,-0.0020470829068577
2023-08-08,971,982,960,969,151090,-0.0061538461538461
