Date,Open,High,Low,Close,Volume,Change
2023-04-04,12040,12220,11970,12200,118360,0.009933774834437
2023-04-05,12200,12200,12060,12060,85415,-0.0114754098360655
2023-04-06,12060,12160,11570,11620,179966,-0.0364842454394692
2023-04-07,11600,11750,11500,11750,117554,0.0111876075731498
2023-04-10,11660,11740,11150,11410,145181,-0.0289361702127659
2023-04-11,11410,11490,11220,11460,119399,0.0043821209465382
2023-04-12,11460,11520,11320,11430,76912,-0.0026178010471203
2023-04-13,11330,11470,11160,11380,71582,-0.0043744531933508
2023-04-14,11380,11620,11200,11490,90822,0.0096660808435853
2023-04-17,11580,11580,11350,11460,61357,-0.0026109660574412
2023-04-18,11460,11510,11230,11340,76242,-0.0104712041884816
2023-04-19,11340,11400,11240,11310,67098,-0.0026455026455026
2023-04-20,11310,11380,11070,11080,125056,-0.0203359858532272
2023-04-21,11060,11230,10780,11000,124430,-0.0072202166064981
2023-04-24,10800,11070,10710,10860,83663,-0.0127272727272726
2023-04-25,10700,10840,10460,10640,111845,-0.020257826887661
2023-04-26,10390,10740,10380,10560,110710,-0.0075187969924812
2023-04-27,10460,10780,10200,10580,136590,0.0018939393939394
2023-04-28,10580,10700,10280,10390,55552,-0.0179584120982986
2023-05-02,10230,10420,10160,10370,65925,-0.0019249278152069
2023-05-03,10190,10750,10190,10340,59171,-0.0028929604628736
2023-05-04,10330,10430,10180,10360,68487,0.0019342359767891
2023-05-08,10360,10600,10310,10380,56812,0.001930501930502
2023-05-09,10380,10460,10220,10300,57892,-0.0077071290944122
2023-05-10,10240,10480,10240,10320,51965,0.0019417475728156
2023-05-11,10320,10530,10280,10340,80594,0.001937984496124
2023-05-12,10290,10720,10290,10380,120421,0.0038684719535784
2023-05-15,10590,10590,10120,10130,55520,-0.0240847784200385
2023-05-16,10140,10230,9970,9980,66372,-0.014807502467917
2023-05-17,9980,10530,9940,10400,91635,0.0420841683366732
2023-05-18,10570,10570,10280,10360,43591,-0.0038461538461538
2023-05-19,10520,10660,10370,10660,70395,0.028957528957529
2023-05-22,10680,10790,10450,10720,76443,0.0056285178236397
2023-05-23,10730,10970,10620,10820,129836,0.0093283582089551
2023-05-24,10640,10950,10350,10860,396208,0.0036968576709797
2023-05-25,10850,10860,10580,10620,140131,-0.0220994475138122
2023-05-26,10540,10720,10540,10630,41134,0.0009416195856872
2023-05-30,10600,10740,10460,10480,48378,-0.0141110065851364
2023-05-31,10590,10730,10520,10570,54639,0.008587786259542
2023-06-01,10480,10920,10480,10790,157837,0.0208136234626301
2023-06-02,10710,11000,10680,10750,150923,-0.0037071362372567
2023-06-05,10750,10790,10480,10540,171145,-0.0195348837209302
2023-06-07,10540,10840,10440,10550,107533,0.0009487666034155
2023-06-08,10550,11360,10390,10800,1059998,0.0236966824644548
2023-06-09,12010,12600,11130,11170,3009619,0.0342592592592592
2023-06-12,11200,11210,10900,10930,260102,-0.0214861235452104
2023-06-13,10940,11120,10790,10800,267915,-0.0118938700823422
2023-06-14,10820,10820,10250,10280,240687,-0.0481481481481481
2023-06-15,10280,10400,10030,10040,156753,-0.0233463035019455
2023-06-16,10020,10100,9950,9950,122925,-0.0089641434262948
2023-06-19,9960,10090,9880,9880,100844,-0.0070351758793969
2023-06-20,9850,9950,9680,9680,133213,-0.020242914979757
2023-06-21,9630,9820,9430,9460,99787,-0.0227272727272727
2023-06-22,9330,9570,9300,9410,79613,-0.0052854122621563
2023-06-23,9380,9410,9190,9220,110945,-0.0201912858660998
2023-06-26,9220,9360,9130,9320,53027,0.0108459869848156
2023-06-27,9220,9730,9220,9490,140069,0.0182403433476394
2023-06-28,9470,10250,9460,9850,750451,0.0379346680716543
2023-06-29,9820,9900,9440,9460,116832,-0.0395939086294416
2023-06-30,9480,9960,9210,9580,102286,0.0126849894291753
2023-07-03,9580,10840,9580,9960,1102140,0.0396659707724424
2023-07-04,10000,10000,9670,9710,115112,-0.0251004016064256
2023-07-05,9690,9770,9350,9350,109360,-0.0370751802265705
2023-07-06,9300,9360,9150,9150,88936,-0.0213903743315507
2023-07-07,9090,9150,8880,8880,93445,-0.0295081967213114
2023-07-10,8880,8990,8690,8690,93856,-0.0213963963963963
2023-07-11,8720,9180,8720,9180,94897,0.0563866513233601
2023-07-12,9140,9230,9060,9150,44868,-0.0032679738562091
2023-07-13,9250,9330,9080,9080,60362,-0.0076502732240437
2023-07-14,9080,9150,8930,8950,39678,-0.01431718061674
2023-07-17,8930,9070,8860,8980,72447,0.0033519553072625
2023-07-18,8900,9160,8760,8770,78249,-0.0233853006681514
2023-07-19,8880,8900,8740,8800,36490,0.0034207525655645
2023-07-20,8800,9050,8730,8980,79087,0.0204545454545455
2023-07-21,8820,8980,8750,8760,69763,-0.0244988864142539
