Date,Open,High,Low,Close,Volume,Change
2019-06-18,5550,5550,5340,5440,30369,-0.01981981981981984
2019-06-19,5440,5690,5390,5600,27564,0.02941176470588225
2019-06-20,5600,5630,5460,5520,23691,-0.014285714285714235
2019-06-21,5510,5740,5510,5520,19215,0.0
2019-06-24,5530,5710,5520,5670,51481,0.02717391304347827
2019-06-25,5670,5740,5610,5670,38491,0.0
2019-06-26,5620,5730,5420,5430,26781,-0.042328042328042326
2019-06-27,5430,5480,5280,5290,25970,-0.025782688766114226
2019-06-28,5230,5420,5230,5360,21367,0.013232514177693666
2019-07-01,5360,5560,5350,5380,8669,0.003731343283582156
2019-07-02,5370,5380,5210,5290,11085,-0.016728624535315983
2019-07-03,5340,5340,5110,5250,25849,-0.007561436672967825
2019-07-04,5250,5340,5100,5280,23919,0.005714285714285783
2019-07-05,5310,5690,5220,5350,63831,0.01325757575757569
2019-07-08,5350,5400,5060,5130,30032,-0.04112149532710285
2019-07-09,4960,5100,4925,4980,34657,-0.0292397660818714
2019-07-10,4980,5170,4970,5030,34750,0.010040160642570184
2019-07-11,5030,5150,5030,5130,12813,0.01988071570576544
2019-07-12,5150,5150,5090,5120,5574,-0.0019493177387914784
2019-07-15,5120,5120,4985,5010,18700,-0.021484375
2019-07-16,5030,5100,5010,5050,8220,0.007984031936127733
2019-07-17,5100,5600,4980,4985,122131,-0.012871287128712883
2019-07-18,4980,5050,4895,4980,20134,-0.0010030090270812808
2019-07-19,4980,5130,4910,5050,8911,0.014056224899598346
2019-07-22,5140,5160,5020,5090,6195,0.007920792079207928
2019-07-23,5090,5120,4980,5080,15155,-0.0019646365422396617
2019-07-24,5000,5080,4970,4970,5462,-0.021653543307086576
2019-07-25,4915,5020,4830,4930,33168,-0.008048289738430636
2019-07-26,4910,4960,4805,4870,12328,-0.012170385395537497
2019-07-29,4870,4870,4725,4730,36454,-0.028747433264887046
2019-07-30,4425,4920,4425,4840,21373,0.023255813953488413
2019-07-31,4840,4985,4840,4850,7892,0.0020661157024792765
2019-08-01,4825,4895,4765,4860,8228,0.0020618556701030855
2019-08-02,4845,4995,4790,4940,10959,0.016460905349794164
2019-08-05,5100,5600,4715,4715,247945,-0.045546558704453455
2019-08-06,4615,6050,4320,5430,1671336,0.15164369034994696
2019-08-07,5340,5840,5130,5160,597038,-0.04972375690607733
2019-08-08,5160,5180,4865,4995,184946,-0.03197674418604646
2019-08-09,5000,5250,4935,5170,147363,0.03503503503503502
2019-08-12,5170,5200,5030,5130,71617,-0.007736943907156624
2019-08-13,5020,5060,4895,4945,99561,-0.03606237816764135
2019-08-14,4965,5850,4930,5340,1435889,0.07987866531850352
2019-08-16,5270,6090,5150,5650,968057,0.05805243445692887
2019-08-19,5560,6610,5560,6100,1433098,0.07964601769911495
2019-08-20,6170,6210,5560,5560,527820,-0.08852459016393444
2019-08-21,5480,5650,5420,5420,239694,-0.025179856115107868
2019-08-22,5390,5540,5150,5200,217264,-0.040590405904059046
2019-08-23,5200,5310,5060,5100,105433,-0.019230769230769273
2019-08-26,5020,5230,4890,4965,104322,-0.026470588235294135
2019-08-27,4970,5130,4970,5110,40373,0.02920443101711978
2019-08-28,5110,5150,4985,5070,25557,-0.007827788649706457
2019-08-29,5110,5120,4945,5000,44262,-0.013806706114398382
2019-08-30,5000,5270,4985,5110,75418,0.02200000000000002
2019-09-02,5230,5300,5060,5190,45768,0.015655577299412915
2019-09-03,5190,5270,5120,5210,29204,0.003853564547206201
2019-09-04,5210,5420,5200,5400,59224,0.03646833013435691
2019-09-05,5400,5440,5250,5340,38305,-0.011111111111111072
2019-09-06,5400,5500,5260,5260,37503,-0.014981273408239737
2019-09-09,5260,5370,5200,5260,14801,0.0
2019-09-10,5180,5320,5120,5210,55098,-0.009505703422053258
2019-09-11,5210,5340,5180,5290,37739,0.015355086372360827
2019-09-16,5290,5340,5240,5280,13718,-0.001890359168241984
2019-09-17,5910,6860,5820,6860,749440,0.2992424242424243
2019-09-18,8300,8910,7900,8910,1116016,0.2988338192419826
2019-09-19,9300,11100,9100,9950,3540514,0.11672278338944997
