Date,Open,High,Low,Close,Volume,Change
2019-06-18,2760,2765,2620,2635,175274,-0.034798534798534786
2019-06-19,2660,2665,2625,2640,99473,0.00189753320683117
2019-06-20,2695,2695,2620,2630,100433,-0.0037878787878787845
2019-06-21,2640,2725,2610,2630,114673,0.0
2019-06-24,2630,2695,2590,2645,134403,0.005703422053231932
2019-06-25,2640,2645,2565,2565,131815,-0.03024574669187141
2019-06-26,2550,2580,2505,2580,77157,0.005847953216374213
2019-06-27,2580,2605,2515,2515,81380,-0.025193798449612448
2019-06-28,2515,2570,2490,2550,36574,0.013916500994035852
2019-07-01,2550,2595,2510,2560,63809,0.0039215686274509665
2019-07-02,2560,2615,2550,2615,40713,0.021484375
2019-07-03,2620,2635,2530,2555,56366,-0.02294455066921608
2019-07-04,2555,2565,2465,2490,69666,-0.025440313111546042
2019-07-05,2490,2580,2455,2480,52836,-0.004016064257028162
2019-07-08,2475,2485,2350,2360,125184,-0.048387096774193505
2019-07-09,2450,2450,2285,2285,101231,-0.03177966101694918
2019-07-10,2260,2345,2260,2315,39082,0.013129102844638973
2019-07-11,2320,2405,2310,2355,36153,0.017278617710583255
2019-07-12,2400,2430,2345,2370,51647,0.006369426751592355
2019-07-15,2380,2395,2315,2350,112758,-0.008438818565400852
2019-07-16,2350,2380,2310,2335,52576,-0.006382978723404209
2019-07-17,2315,2340,2245,2305,104113,-0.012847965738758016
2019-07-18,2285,2300,2205,2260,71555,-0.0195227765726681
2019-07-19,2260,2385,2260,2310,58087,0.022123893805309658
2019-07-22,2375,2385,2320,2320,42108,0.0043290043290042934
2019-07-23,2395,2395,2320,2320,70966,0.0
2019-07-24,2365,2375,2315,2355,65557,0.015086206896551824
2019-07-25,2310,2355,2255,2280,92324,-0.031847133757961776
2019-07-26,2250,2295,2235,2285,71336,0.002192982456140413
2019-07-29,2280,2285,2075,2080,152108,-0.0897155361050328
2019-07-30,2075,2165,2075,2145,99628,0.03125
2019-07-31,2145,2230,2100,2230,53910,0.03962703962703973
2019-08-01,2230,2320,2150,2150,104547,-0.0358744394618834
2019-08-02,2130,2205,2105,2190,50299,0.018604651162790642
2019-08-05,2185,2185,1990,2005,186049,-0.08447488584474883
2019-08-06,1950,2065,1800,1910,135787,-0.04738154613466339
2019-08-07,1850,2090,1850,2085,106253,0.09162303664921456
2019-08-08,2085,2180,2070,2165,138461,0.0383693045563549
2019-08-09,2165,2275,2165,2210,83352,0.020785219399538146
2019-08-12,2170,2290,2170,2260,57773,0.02262443438914019
2019-08-13,2245,2250,2185,2215,37801,-0.019911504424778736
2019-08-14,2230,2255,2180,2210,44444,-0.0022573363431150906
2019-08-16,2200,2210,2140,2205,37191,-0.002262443438914019
2019-08-19,2190,2250,2160,2195,48850,-0.0045351473922902175
2019-08-20,2240,2345,2195,2280,83718,0.03872437357630987
2019-08-21,2285,2340,2275,2330,89858,0.021929824561403466
2019-08-22,2330,2375,2260,2270,73634,-0.025751072961373356
2019-08-23,2255,2350,2220,2270,71392,0.0
2019-08-26,2265,2290,2175,2205,73752,-0.028634361233480177
2019-08-27,2225,2270,2210,2240,36161,0.015873015873015817
2019-08-28,2240,2270,2210,2255,21593,0.006696428571428603
2019-08-29,2265,2265,2190,2230,48872,-0.011086474501108667
2019-08-30,2230,2290,2220,2260,24358,0.013452914798206317
2019-09-02,2260,2320,2215,2295,81796,0.015486725663716783
2019-09-03,2300,2345,2250,2315,102195,0.008714596949890963
2019-09-04,2315,2335,2210,2260,212783,-0.023758099352051865
