Date,Open,High,Low,Close,Volume,Change
2013-09-16,1806,1812,1768,1796,278678,
2013-09-17,1758,1914,1750,1872,726172,0.042316258351893
2013-09-23,1592,1640,1592,1592,1671687,-0.1495726495726496
2013-09-24,1562,1610,1502,1544,1207325,-0.0301507537688442
2013-09-25,1542,1568,1520,1542,413683,-0.0012953367875647
2013-09-26,1534,1554,1522,1524,292777,-0.0116731517509727
2013-09-27,1540,1622,1528,1578,882000,0.0354330708661416
2013-09-30,1542,1564,1476,1476,561954,-0.0646387832699619
2013-10-01,1454,1498,1318,1410,716533,-0.0447154471544715
2013-10-02,1400,1420,1366,1396,310736,-0.0099290780141844
2013-10-04,1378,1386,1320,1322,322884,-0.0530085959885386
2013-10-07,1312,1344,1294,1304,231951,-0.0136157337367625
2013-10-08,1298,1328,1234,1270,321895,-0.0260736196319018
2013-10-10,1260,1288,1238,1268,145586,-0.0015748031496063
2013-10-11,1274,1348,1274,1334,371908,0.0520504731861197
2013-10-14,1314,1314,1252,1252,219851,-0.0614692653673163
2013-10-15,1226,1240,1176,1182,330233,-0.0559105431309904
2013-10-16,1202,1222,1166,1180,292767,-0.0016920473773265
2013-10-17,1184,1224,1146,1170,214320,-0.0084745762711864
2013-10-18,1148,1216,1146,1200,220317,0.0256410256410255
2013-10-21,1222,1222,1156,1174,170437,-0.0216666666666666
2013-10-22,1174,1186,1154,1170,128622,-0.0034071550255536
2013-10-23,1226,1344,1226,1292,1669429,0.1042735042735043
2013-10-24,1252,1388,1230,1306,1728040,0.0108359133126934
2013-10-25,1422,1498,1354,1494,1133178,0.1439509954058193
2013-10-28,1442,1514,1414,1508,701111,0.0093708165997321
2013-10-29,1480,1502,1446,1446,311023,-0.0411140583554376
2013-10-30,1458,1544,1414,1414,711974,-0.0221300138312586
2013-10-31,1386,1390,1308,1308,412409,-0.074964639321075
2013-11-01,1298,1406,1264,1360,671301,0.039755351681957
2013-11-04,1504,1508,1356,1360,764923,0.0
2013-11-05,1360,1378,1322,1370,286277,0.0073529411764705
2013-11-06,1374,1374,1330,1340,229692,-0.021897810218978
2013-11-07,1332,1362,1296,1346,298759,0.0044776119402984
2013-11-08,1314,1360,1304,1312,161994,-0.025260029717682
2013-11-11,1320,1350,1272,1272,187624,-0.0304878048780488
2013-11-12,1272,1310,1244,1270,134621,-0.0015723270440252
2013-11-13,1264,1342,1258,1300,367287,0.0236220472440944
2013-11-14,1312,1362,1272,1354,400098,0.0415384615384615
2013-11-15,1352,1354,1306,1312,239746,-0.0310192023633677
2013-11-18,1278,1286,1244,1252,230060,-0.0457317073170732
2013-11-19,1244,1264,1132,1150,359661,-0.0814696485623003
2013-11-20,1160,1178,1132,1162,83409,0.0104347826086956
2013-11-21,1174,1174,1082,1122,146744,-0.0344234079173838
2013-11-22,1138,1138,1070,1102,132718,-0.017825311942959
2013-11-25,1140,1230,1112,1142,948573,0.0362976406533575
2013-11-26,1136,1204,1100,1204,334640,0.0542907180385288
2013-11-27,1204,1204,1172,1176,199508,-0.0232558139534884
