Date,Open,High,Low,Close,Volume,Change
2013-09-16,4446,4446,4287,4294,953898,
2013-09-17,4293,4336,4275,4318,331660,0.0055891942244992
2013-09-23,4305,4373,4281,4312,470536,-0.001389532190829
2013-09-24,4305,4385,4299,4343,501545,0.0071892393320964
2013-09-25,4318,4366,4214,4214,759855,-0.0297029702970297
2013-09-26,4183,4342,4159,4312,683408,0.0232558139534884
2013-09-27,4312,4354,4275,4355,595602,0.0099721706864563
2013-09-30,4348,4543,4287,4440,1952937,0.0195177956371985
2013-10-01,4495,4525,4379,4434,1579937,-0.0013513513513513
2013-10-02,4495,4818,4482,4788,6052333,0.0798376184032476
2013-10-04,4891,4995,4830,4898,4415502,0.0229741019214704
2013-10-07,4934,5050,4879,4946,2006675,0.0097999183340138
2013-10-08,4891,4934,4793,4855,2475009,-0.0183987060250707
2013-10-10,4836,5050,4818,5050,2920214,0.0401647785787848
2013-10-11,5165,5409,5159,5337,5020218,0.0568316831683168
2013-10-14,5306,5385,5226,5337,2377128,0.0
2013-10-15,5428,5562,5098,5178,4388770,-0.0297920179876335
2013-10-16,5239,5263,5086,5184,2484946,0.0011587485515642
2013-10-17,5251,5330,5062,5123,2019957,-0.011766975308642
2013-10-18,5165,5409,5098,5410,2870414,0.0560218621901229
2013-10-21,5507,5611,5422,5489,3227609,0.0146025878003697
2013-10-22,5464,5513,5324,5459,1470859,-0.0054654764073601
2013-10-23,5507,5525,5196,5196,2005195,-0.0481773218538194
2013-10-24,5196,5525,5196,5526,2686326,0.0635103926096998
2013-10-25,5525,5537,5385,5416,1683116,-0.0199058993847267
2013-10-28,5458,5525,5300,5355,1545971,-0.0112629246676514
2013-10-29,5336,5452,5275,5318,1433930,-0.0069094304388421
2013-10-30,5367,5525,5281,5520,2512819,0.037984204588191
2013-10-31,5458,5550,5355,5355,1885677,-0.029891304347826
2013-11-01,5434,5592,5403,5568,2745538,0.0397759103641457
2013-11-04,5635,5641,5476,5520,1290954,-0.0086206896551723
2013-11-05,5544,5550,5312,5367,1917985,-0.0277173913043478
2013-11-06,5324,5348,5104,5154,2429524,-0.0396869759642258
2013-11-07,5172,5287,5165,5245,1497279,0.0176561893674815
2013-11-08,5233,5452,5220,5367,1987677,0.0232602478551
2013-11-11,5385,5416,5257,5312,1182402,-0.0102478106949879
2013-11-12,5287,5391,5208,5227,1147550,-0.0160015060240963
2013-11-13,5269,5300,5153,5184,862305,-0.0082265161660608
2013-11-14,5251,5294,5135,5251,861249,0.0129243827160494
2013-11-15,5300,5379,5251,5355,1063707,0.0198057512854694
2013-11-18,5391,5476,5306,5337,1178033,-0.0033613445378151
2013-11-19,5367,5373,5037,5111,2381368,-0.0423458872025482
2013-11-20,5092,5092,4903,4965,1551724,-0.028565838387791
2013-11-21,4946,5178,4915,5160,1588153,0.0392749244712991
2013-11-22,5190,5263,5050,5099,1409915,-0.0118217054263566
2013-11-25,5098,5239,5080,5196,863720,0.019023337909394
2013-11-26,5214,5294,5123,5294,1089952,0.0188606620477289
2013-11-27,5306,5312,5141,5184,951382,-0.0207782395164336
2013-11-28,5214,5275,5172,5203,783013,0.0036651234567901
2013-11-29,5245,5348,5196,5337,1141272,0.0257543724774169
2013-12-02,5385,5409,5275,5312,1172612,-0.004684279557804
2013-12-03,5306,5330,5129,5129,1043402,-0.0344503012048192
