Date,Open,High,Low,Close,Volume,Change
2023-04-04,9040,9400,9000,9020,932803,-0.0184983677910772
2023-04-05,9130,9130,8800,9040,391724,0.0022172949002217
2023-04-06,9100,10100,9040,9260,4008532,0.0243362831858406
2023-04-07,9310,9390,8950,9020,626439,-0.0259179265658747
2023-04-10,9050,9910,9000,9650,2416443,0.0698447893569844
2023-04-11,9660,9760,9110,9480,786245,-0.0176165803108808
2023-04-12,9400,9620,9180,9200,427123,-0.0295358649789029
2023-04-13,9120,9350,8850,9260,358758,0.0065217391304348
2023-04-14,9360,9670,9280,9470,717161,0.0226781857451403
2023-04-17,9550,9920,9510,9670,955794,0.021119324181626
2023-04-18,9770,10350,9400,9570,1485565,-0.0103412616339193
2023-04-19,9900,10850,9800,10150,4380111,0.0606060606060605
2023-04-20,10160,10180,9460,9460,840131,-0.0679802955665024
2023-04-21,9400,9440,8910,8990,474789,-0.0496828752642706
2023-04-24,8950,9070,8730,8780,309871,-0.0233592880978865
2023-04-25,8740,9040,8560,8700,327322,-0.0091116173120728
2023-04-26,8600,8760,8450,8550,316136,-0.0172413793103448
2023-04-27,8430,8650,8300,8590,276210,0.0046783625730995
2023-04-28,8650,8660,8300,8360,235301,-0.0267753201396973
2023-05-02,8370,8780,8370,8780,283103,0.0502392344497608
2023-05-03,8940,9350,8810,9100,851599,0.0364464692482915
2023-05-04,8990,9290,8680,8720,285238,-0.0417582417582417
2023-05-08,8720,8880,8710,8730,188794,0.0011467889908256
2023-05-09,8770,8830,8470,8590,170658,-0.0160366552119129
2023-05-10,8530,8620,8470,8500,98102,-0.0104772991850989
2023-05-11,8500,8730,8480,8500,117584,0.0
2023-05-12,8500,8590,8300,8340,115519,-0.0188235294117646
2023-05-15,8450,8450,8060,8150,164380,-0.0227817745803357
2023-05-16,8150,8170,7980,8000,118735,-0.0184049079754601
2023-05-17,8040,8170,7950,8140,65536,0.0175
2023-05-18,8250,8330,8140,8200,82161,0.0073710073710073
2023-05-19,8300,8300,7780,8100,103051,-0.0121951219512195
2023-05-22,8100,8250,7990,8250,131853,0.0185185185185186
2023-05-23,8220,8350,8190,8240,79576,-0.0012121212121212
2023-05-24,8210,8300,8090,8180,93816,-0.0072815533980582
2023-05-25,8160,8180,8090,8110,56139,-0.0085574572127139
2023-05-26,8110,8110,7820,7930,91191,-0.0221948212083846
2023-05-30,8020,8020,7810,7950,71745,0.0025220680958386
2023-05-31,7920,8020,7890,7920,71017,-0.0037735849056603
2023-06-01,7850,7940,7840,7900,58970,-0.0025252525252524
2023-06-02,7920,8100,7910,8020,83308,0.0151898734177216
2023-06-05,8070,8300,8020,8220,174002,0.0249376558603491
2023-06-07,8220,8280,8090,8230,93487,0.0012165450121655
2023-06-08,8180,8210,8090,8160,50794,-0.008505467800729
2023-06-09,8170,8250,8130,8160,44290,0.0
2023-06-12,8110,8260,8110,8210,64594,0.0061274509803921
2023-06-13,8220,8260,8050,8100,112374,-0.0133982947624847
2023-06-14,8150,9140,8110,8400,2669081,0.0370370370370369
2023-06-15,8440,9480,8440,8720,10666695,0.0380952380952381
2023-06-16,8810,8820,8520,8750,836534,0.0034403669724769
2023-06-19,8810,8830,8640,8750,337604,0.0
2023-06-20,8650,8840,8560,8560,328486,-0.0217142857142856
2023-06-21,8620,8770,8520,8570,180305,0.0011682242990653
2023-06-22,8520,8590,8430,8510,170438,-0.0070011668611434
2023-06-23,8540,8580,8300,8400,170417,-0.0129259694477086
2023-06-26,8400,8560,8320,8440,110775,0.0047619047619047
2023-06-27,8490,8700,8450,8580,152077,0.0165876777251183
2023-06-28,8590,8690,8560,8590,108895,0.0011655011655011
2023-06-29,8590,8600,8310,8310,147655,-0.0325960419091967
2023-06-30,8360,8510,8260,8460,85353,0.0180505415162455
2023-07-03,8530,8680,8500,8650,136023,0.0224586288416075
2023-07-04,8660,8670,8460,8590,136524,-0.006936416184971
2023-07-05,8590,8880,8590,8750,331316,0.0186263096623982
2023-07-06,8810,8870,8420,8430,241375,-0.0365714285714285
2023-07-07,8380,8460,8250,8280,121420,-0.0177935943060498
