Date,Open,High,Low,Close,Volume,Change
2023-04-04,10840,10920,10830,10870,826215,0.0027675276752767
2023-04-05,10940,11100,10920,11050,1495940,0.0165593376264949
2023-04-06,11050,11180,10970,11080,3476057,0.0027149321266968
2023-04-07,11060,11060,10940,10950,579418,-0.0117328519855595
2023-04-10,10920,11040,10920,10970,495450,0.0018264840182649
2023-04-11,10980,11360,10970,11180,1807504,0.0191431175934366
2023-04-12,11200,11280,11170,11270,1043089,0.0080500894454382
2023-04-13,11230,11430,11230,11410,1735483,0.0124223602484472
2023-04-14,11410,11450,11290,11320,899707,-0.0078878177037686
2023-04-17,11330,11330,11200,11270,607966,-0.004416961130742
2023-04-18,11210,11280,11170,11240,489430,-0.002661934338953
2023-04-19,11240,11400,11200,11290,724457,0.0044483985765124
2023-04-20,11280,11290,11200,11290,769469,0.0
2023-04-21,11210,11270,11120,11150,637061,-0.012400354295837
2023-04-24,11130,11140,10930,11020,672105,-0.011659192825112
2023-04-25,11020,11130,10950,11070,722800,0.0045372050816696
2023-04-26,11000,11200,11000,11200,684969,0.0117434507678411
2023-04-27,11150,11180,10970,11030,536727,-0.0151785714285713
2023-04-28,11030,11080,10970,11020,798039,-0.0009066183136899
2023-05-02,11000,11270,10990,11270,774156,0.0226860254083485
2023-05-03,11220,11230,11030,11070,782229,-0.0177462289263531
2023-05-04,11040,11120,11000,11100,434344,0.0027100271002709
2023-05-08,11050,11170,11050,11170,479133,0.0063063063063062
2023-05-09,11150,11280,11110,11250,810183,0.0071620411817368
2023-05-10,11190,11350,11180,11320,772936,0.0062222222222221
2023-05-11,11320,11410,11260,11260,1046345,-0.0053003533568904
2023-05-12,11250,11280,11150,11220,1088235,-0.0035523978685613
2023-05-15,11180,11290,11180,11260,615751,0.0035650623885918
2023-05-16,11190,11260,11020,11030,971303,-0.0204262877442273
2023-05-17,11030,11140,11030,11100,539735,0.0063463281958295
2023-05-18,11100,11190,11070,11150,747037,0.0045045045045044
2023-05-19,11160,11290,11160,11260,948588,0.0098654708520178
2023-05-22,11250,11340,11220,11330,691460,0.0062166962699823
2023-05-23,11360,11360,11210,11220,669754,-0.0097087378640776
2023-05-24,11220,11300,11210,11260,420803,0.0035650623885918
2023-05-25,11200,11260,11160,11170,563616,-0.0079928952042628
2023-05-26,11150,11230,11130,11140,424651,-0.0026857654431512
2023-05-30,11200,11300,11120,11260,574405,0.0107719928186713
2023-05-31,11320,11320,11210,11240,2415024,-0.0017761989342806
2023-06-01,11300,11310,11070,11080,917996,-0.0142348754448398
2023-06-02,11140,11140,11040,11080,602566,0.0
2023-06-05,11080,11170,11070,11170,435769,0.0081227436823103
2023-06-07,11200,11260,11170,11210,758927,0.0035810205908684
2023-06-08,11240,11300,11150,11300,800974,0.008028545941124
2023-06-09,11300,11300,11180,11250,1741405,-0.0044247787610619
2023-06-12,11270,11350,11210,11290,495006,0.0035555555555555
2023-06-13,11320,11320,11160,11240,883348,-0.0044286979627989
2023-06-14,11200,11230,11160,11170,522782,-0.0062277580071173
2023-06-15,11150,11150,10800,10820,1717382,-0.0313339301700984
2023-06-16,10870,10920,10780,10850,1297080,0.0027726432532346
2023-06-19,10850,10870,10810,10830,387557,-0.0018433179723502
2023-06-20,10860,10970,10830,10930,578973,0.0092336103416434
2023-06-21,10970,10970,10840,10840,545955,-0.0082342177493137
2023-06-22,10860,10950,10800,10950,436920,0.0101476014760146
2023-06-23,10900,10950,10850,10880,546774,-0.0063926940639269
2023-06-26,10900,11070,10890,11000,676351,0.0110294117647058
2023-06-27,11010,11180,11010,11090,904281,0.0081818181818182
2023-06-28,11110,11240,11110,11140,949761,0.0045085662759243
2023-06-29,10950,10950,10690,10690,2117287,-0.0403949730700179
2023-06-30,10750,10830,10710,10730,777681,0.0037418147801684
2023-07-03,10840,10860,10770,10790,790492,0.0055917986952469
2023-07-04,10760,10880,10750,10790,711269,0.0
2023-07-05,10770,10840,10680,10710,795027,-0.0074142724745134
2023-07-06,10700,10730,10360,10370,1418297,-0.0317460317460317
2023-07-07,10350,10400,10070,10190,1085240,-0.0173577627772419
2023-07-10,10200,10310,10100,10150,603133,-0.0039254170755642
2023-07-11,10190,10300,10170,10270,579831,0.011822660098522
2023-07-12,10300,10550,10280,10550,472844,0.027263875365141
2023-07-13,10550,10690,10530,10690,778995,0.0132701421800947
2023-07-14,10670,10750,10620,10720,473255,0.0028063610851263
2023-07-17,10620,10750,10540,10630,819838,-0.0083955223880597
2023-07-18,10680,10680,10450,10470,512781,-0.0150517403574788
2023-07-19,10450,10570,10330,10330,656160,-0.0133715377268386
2023-07-20,10350,10400,10270,10320,465258,-0.0009680542110358
2023-07-21,10330,10420,10310,10390,432525,0.0067829457364341
2023-07-24,10360,10370,10230,10270,650958,-0.0115495668912415
2023-07-25,10250,10260,10100,10130,855210,-0.0136319376825705
2023-07-26,10090,10090,9710,9910,1881782,-0.0217176702862783
2023-07-27,9910,10210,9910,10160,1147025,0.0252270433905146
2023-07-28,10090,10190,10030,10090,774696,-0.0068897637795275
2023-07-31,10090,10120,9990,10010,1088916,-0.0079286422200198
2023-08-01,9990,10170,9990,10160,1317170,0.014985014985015
2023-08-02,10160,10160,10030,10100,585071,-0.0059055118110236
2023-08-03,10070,10120,9980,9990,999642,-0.0108910891089109
2023-08-04,10000,10070,9960,10070,650254,0.008008008008008
2023-08-07,10070,10360,10020,10240,1054887,0.0168818272095332
2023-08-08,10340,10390,10060,10090,1246912,-0.0146484375
2023-08-09,10110,10280,10080,10280,854909,0.0188305252725471
2023-08-10,10190,10310,10190,10220,882557,-0.0058365758754863
2023-08-11,10220,10300,10130,10140,769770,-0.0078277886497064
2023-08-14,10160,10300,10120,10200,848483,0.0059171597633136
2023-08-16,10160,10320,10150,10260,989726,0.0058823529411764
2023-08-17,10170,10260,10090,10240,868842,-0.0019493177387914
2023-08-18,10150,10270,10140,10210,802913,-0.0029296875
2023-08-21,10200,10240,10180,10230,595020,0.0019588638589618
2023-08-22,10250,10300,10170,10180,553066,-0.0048875855327468
2023-08-23,10160,10220,10150,10200,696505,0.0019646365422396
2023-08-24,10200,10320,10200,10290,500530,0.0088235294117646
2023-08-25,10210,10330,10210,10300,602198,0.0009718172983479
2023-08-28,10390,10420,10350,10410,539265,0.0106796116504854
2023-08-29,10430,10560,10420,10560,856223,0.0144092219020173
2023-08-30,10600,10630,10510,10530,713530,-0.002840909090909
2023-08-31,10550,10570,10430,10450,1136141,-0.0075973409306742
2023-09-01,10420,10520,10410,10440,429546,-0.000956937799043
2023-09-04,10390,10530,10380,10530,253190,0.0086206896551723
2023-09-05,10530,10530,10430,10440,322514,-0.0085470085470085
2023-09-06,10410,10430,10280,10340,604990,-0.0095785440613026
2023-09-07,10250,10380,10250,10380,638901,0.0038684719535784
2023-09-08,10380,10390,10320,10370,545387,-0.0009633911368015
2023-09-11,10350,10400,10190,10320,905699,-0.0048216007714561
2023-09-12,10260,10320,10190,10200,623771,-0.0116279069767442
2023-09-13,10240,10330,10150,10270,1156506,0.0068627450980391
2023-09-14,10300,10420,10270,10370,1098614,0.0097370983446933
2023-09-15,10450,10540,10380,10530,1470294,0.0154291224686595
2023-09-18,10500,10550,10430,10510,383857,-0.0018993352326686
2023-09-19,10510,10530,10320,10390,987449,-0.011417697431018
2023-09-20,10380,10440,10280,10430,983387,0.0038498556304138
2023-09-21,10360,10470,10360,10440,814728,0.0009587727708533
2023-09-22,10380,10470,10360,10420,373744,-0.0019157088122605
2023-09-25,10340,10400,10290,10300,624008,-0.0115163147792706
2023-09-26,10260,10370,10250,10360,603148,0.0058252427184466
2023-09-27,10300,10390,10270,10360,489486,0.0
2023-10-04,10300,10500,10220,10500,1136838,0.0135135135135135
2023-10-05,10440,10470,10270,10270,667161,-0.0219047619047618
2023-10-06,10280,10330,10230,10300,377054,0.0029211295034079
2023-10-10,10380,10580,10380,10500,892955,0.0194174757281553
2023-10-11,10530,10540,10340,10340,891679,-0.0152380952380952
2023-10-12,10360,10360,10270,10280,944577,-0.0058027079303675
2023-10-13,10250,10300,10230,10230,436506,-0.0048638132295719
2023-10-16,10250,10290,10170,10210,736619,-0.0019550342130987
2023-10-17,10280,10310,10210,10260,373034,0.0048971596474045
2023-10-18,10260,10370,10250,10260,1016473,0.0
2023-10-19,10220,10250,10180,10230,365418,-0.0029239766081871
2023-10-20,10200,10230,10120,10160,534503,-0.0068426197458455
2023-10-23,10220,10230,10100,10110,489894,-0.0049212598425196
2023-10-24,10150,10150,10020,10090,1453019,-0.0019782393669633
2023-10-25,10090,10220,10090,10220,675098,0.0128840436075321
2023-10-26,10220,10220,10050,10080,786970,-0.0136986301369863
2023-10-27,10170,10180,10070,10100,361637,0.0019841269841269
2023-10-30,10100,10110,10050,10070,449075,-0.0029702970297029
2023-10-31,10120,10190,10080,10110,501956,0.0039721946375372
2023-11-01,10110,10350,10100,10300,1050992,0.0187932739861522
2023-11-02,10300,10330,10200,10230,966923,-0.0067961165048543
2023-11-03,10270,10290,10210,10270,506037,0.0039100684261974
2023-11-06,10320,10410,10210,10410,1014851,0.0136319376825706
2023-11-07,10340,10350,10180,10180,976460,-0.0220941402497598
2023-11-08,10280,10370,10240,10370,591028,0.0186640471512771
2023-11-09,10320,10400,10250,10350,572287,-0.0019286403085824
2023-11-10,10310,10380,10290,10300,889250,-0.0048309178743961
2023-11-13,10370,10450,10290,10390,750329,0.0087378640776698
2023-11-14,10390,10420,10310,10320,952875,-0.0067372473532242
2023-11-15,10410,10430,10330,10420,1226763,0.0096899224806201
2023-11-16,10390,10430,10330,10350,542964,-0.0067178502879078
2023-11-17,10350,10540,10350,10440,490486,0.0086956521739129
2023-11-20,10440,10520,10400,10460,525819,0.0019157088122605
2023-11-21,10440,10490,10400,10410,681605,-0.0047801147227533
2023-11-22,10360,10420,10340,10360,709577,-0.0048030739673391
2023-11-23,10350,10410,10350,10380,623759,0.001930501930502
2023-11-24,10370,10390,10340,10350,555274,-0.0028901734104046
2023-11-27,10370,10450,10360,10450,560733,0.0096618357487923
2023-11-28,10490,10520,10430,10470,828042,0.001913875598086
2023-11-29,10450,10510,10400,10410,753942,-0.0057306590257879
2023-11-30,10450,10540,10340,10500,1409206,0.0086455331412103
2023-12-01,10440,10480,10360,10360,476942,-0.0133333333333333
2023-12-04,10410,10460,10380,10420,260298,0.0057915057915058
2023-12-05,10440,10450,10350,10390,389427,-0.0028790786948176
2023-12-06,10390,10490,10390,10410,404012,0.0019249278152069
2023-12-07,10380,10390,10320,10320,443081,-0.0086455331412104
2023-12-08,10350,10360,10310,10320,422024,0.0
2023-12-11,10330,10340,10280,10310,454716,-0.000968992248062
2023-12-12,10340,10360,10300,10320,449125,0.0009699321047527
2023-12-13,10320,10340,10290,10290,573228,-0.002906976744186
2023-12-14,10340,10350,10210,10240,1531654,-0.0048590864917396
2023-12-15,10250,10360,10250,10330,880251,0.0087890625
2023-12-18,10310,10340,10280,10340,445362,0.0009680542110357
2023-12-19,10310,10330,10280,10290,570863,-0.0048355899419729
2023-12-20,10320,10430,10300,10420,907677,0.0126336248785228
2023-12-21,10360,10400,10330,10400,456761,-0.0019193857965451
2023-12-22,10430,10450,10370,10440,757851,0.0038461538461538
2023-12-26,10470,10550,10450,10490,1907498,0.0047892720306512
2023-12-27,10210,10250,10090,10120,1658503,-0.0352716873212582
2023-12-28,10130,10230,10070,10230,758848,0.0108695652173913
2024-01-02,10170,10210,10120,10170,701353,-0.0058651026392961
2024-01-03,10130,10170,10100,10130,840142,-0.0039331366764995
2024-01-04,10130,10160,10060,10110,763941,-0.0019743336623889
2024-01-05,10080,10080,10030,10060,714971,-0.0049455984174084
2024-01-08,10040,10110,10040,10060,385464,0.0
2024-01-09,10110,10120,10050,10090,349941,0.0029821073558649
2024-01-10,10100,10120,10050,10070,483831,-0.0019821605550049
2024-01-11,10120,10120,10010,10010,915123,-0.0059582919563058
2024-01-12,10010,10040,9960,9980,880689,-0.002997002997003
2024-01-15,9980,10060,9960,10010,615466,0.003006012024048
2024-01-16,9960,9990,9850,9920,1164394,-0.008991008991009
2024-01-17,9920,9930,9800,9810,1257985,-0.0110887096774193
2024-01-18,9800,9840,9750,9750,876452,-0.0061162079510703
2024-01-19,9760,9830,9680,9710,833853,-0.0041025641025641
2024-01-22,9710,9780,9710,9750,510941,0.0041194644696189
2024-01-23,9750,9790,9710,9790,643070,0.004102564102564
2024-01-24,9790,9840,9760,9830,509213,0.0040858018386107
2024-01-25,9840,9970,9780,9970,735181,0.0142421159715158
2024-01-26,9920,10100,9890,10090,1254538,0.0120361083249749
2024-01-29,10080,10160,10030,10060,916671,-0.0029732408325073
2024-01-30,10130,10190,10090,10160,1003654,0.0099403578528827
2024-01-31,10120,10230,10080,10230,4986447,0.0068897637795275
2024-02-01,10120,10430,10110,10430,1559407,0.0195503421309872
2024-02-02,10350,10500,10280,10440,1433891,0.0009587727708533
2024-02-05,10450,10480,10290,10410,1320746,-0.0028735632183908
2024-02-06,10350,10420,10300,10310,583501,-0.0096061479346781
2024-02-07,10350,10410,10300,10360,823382,0.0048496605237633
2024-02-08,10350,10390,10250,10250,1382838,-0.0106177606177606
