Date,Open,High,Low,Close,Volume,Change
2013-09-16,586,604,574,575,463032,
2013-09-17,578,585,571,578,124154,0.0052173913043478
2013-09-23,573,588,569,585,107155,0.0121107266435986
2013-09-24,586,599,576,595,132344,0.017094017094017
2013-09-25,593,621,586,601,694794,0.0100840336134453
2013-09-26,597,600,585,595,170534,-0.0099833610648918
2013-09-27,588,605,585,590,232637,-0.0084033613445377
2013-09-30,595,602,586,594,110406,0.006779661016949
2013-10-01,604,604,586,594,76587,0.0
2013-10-02,591,604,590,601,109536,0.0117845117845116
2013-10-04,600,604,588,589,112241,-0.0199667221297836
2013-10-07,583,612,583,589,316051,0.0
2013-10-08,599,605,590,606,204820,0.028862478777589
2013-10-10,607,617,595,606,427092,0.0
2013-10-11,609,611,590,594,210312,-0.0198019801980198
2013-10-14,593,593,574,575,232517,-0.031986531986532
2013-10-15,579,579,567,575,92136,0.0
2013-10-16,579,579,569,575,77552,0.0
2013-10-17,571,573,564,571,115935,-0.0069565217391304
2013-10-18,581,581,565,569,44259,-0.0035026269702276
2013-10-21,569,578,567,571,98258,0.0035149384885764
2013-10-22,571,588,569,587,39918,0.0280210157618212
2013-10-23,581,590,579,580,27825,-0.0119250425894378
2013-10-24,578,586,571,580,37285,0.0
2013-10-25,588,593,578,585,22546,0.0086206896551723
2013-10-28,585,586,574,577,42173,-0.0136752136752136
2013-10-29,574,586,574,578,76077,0.0017331022530329
2013-10-30,581,583,576,583,30890,0.0086505190311418
2013-10-31,585,586,574,587,75169,0.0068610634648369
2013-11-01,586,593,579,594,69648,0.0119250425894377
2013-11-04,593,595,574,592,37547,-0.0033670033670033
2013-11-05,591,591,578,592,108658,0.0
2013-11-06,591,593,585,589,65107,-0.0050675675675675
2013-11-07,588,588,578,587,24694,-0.0033955857385399
2013-11-08,578,586,576,583,63491,-0.0068143100511073
2013-11-11,590,590,571,578,51316,-0.0085763293310463
2013-11-12,586,586,574,585,25799,0.0121107266435986
2013-11-13,588,588,578,578,105457,-0.0119658119658119
2013-11-14,581,586,578,587,56575,0.0155709342560552
2013-11-15,586,586,574,582,78655,-0.0085178875638841
2013-11-18,583,583,557,571,104814,-0.0189003436426117
2013-11-19,564,588,564,571,52816,0.0
2013-11-20,571,581,565,566,59725,-0.0087565674255691
2013-11-21,564,579,564,566,50536,0.0
2013-11-22,564,578,562,566,93332,0.0
2013-11-25,578,578,560,571,19748,0.0088339222614841
2013-11-26,565,571,564,564,14584,-0.0122591943957968
2013-11-27,565,569,555,566,43769,0.00354609929078
2013-11-28,564,573,545,564,112937,-0.0035335689045936
2013-11-29,562,564,553,557,25499,-0.0124113475177305
2013-12-02,571,571,553,571,65444,0.0251346499102333
2013-12-03,583,602,487,549,239024,-0.0385288966725043
2013-12-04,547,559,536,549,110711,0.0
2013-12-05,548,548,517,528,181084,-0.0382513661202186
2013-12-06,522,600,521,582,813539,0.1022727272727272
2013-12-09,574,583,547,583,123302,0.0017182130584192
2013-12-10,564,593,560,590,114962,0.0120068610634649
2013-12-11,590,593,574,590,44656,0.0
2013-12-12,573,590,573,589,18855,-0.0016949152542372
2013-12-13,593,593,574,589,36204,0.0
2013-12-16,591,591,571,592,85647,0.0050933786078097
2013-12-17,583,590,576,587,20548,-0.0084459459459459
2013-12-18,586,586,564,575,147991,-0.0204429301533219
2013-12-19,567,576,565,569,34269,-0.0104347826086956
2013-12-20,569,579,562,580,96237,0.0193321616871704
2013-12-23,578,581,564,571,86757,-0.0155172413793103
2013-12-24,579,579,564,566,61176,-0.0087565674255691
2013-12-26,565,579,565,566,48865,0.0
2013-12-27,583,583,565,577,30975,0.0194346289752649
2013-12-30,573,579,569,580,11688,0.0051993067590987
2014-01-02,581,581,567,575,13676,-0.0086206896551723
2014-01-03,574,581,567,580,18390,0.0086956521739129
2014-01-06,579,585,571,582,29220,0.0034482758620688
2014-01-07,578,590,574,585,17319,0.0051546391752577
2014-01-08,586,588,574,583,56149,-0.0034188034188034
2014-01-09,578,591,578,585,71351,0.0034305317324185
2014-01-10,579,588,579,585,11540,0.0
2014-01-13,585,588,573,587,22543,0.0034188034188034
2014-01-14,581,588,581,587,22738,0.0
2014-01-15,585,591,578,582,67912,-0.0085178875638841
2014-01-16,583,585,573,580,32863,-0.0034364261168384
2014-01-17,578,583,567,577,105787,-0.0051724137931034
2014-01-20,567,581,565,566,57167,-0.0190641247833621
2014-01-21,569,574,562,575,53684,0.0159010600706712
2014-01-22,574,581,564,582,71531,0.0121739130434783
2014-01-23,581,581,555,575,83281,-0.0120274914089346
2014-01-24,574,576,565,577,14119,0.0034782608695651
2014-01-27,564,578,564,575,39338,-0.0034662045060658
2014-01-28,579,579,553,577,170444,0.0034782608695651
2014-01-29,576,581,565,578,53319,0.0017331022530329
2014-02-03,578,578,573,575,9835,-0.005190311418685
2014-02-04,553,571,536,571,148596,-0.0069565217391304
2014-02-05,571,571,553,564,14851,-0.0122591943957968
2014-02-06,565,565,559,564,12898,0.0
2014-02-07,565,565,534,540,216328,-0.0425531914893616
2014-02-10,539,543,533,540,56860,0.0
2014-02-11,541,541,531,539,45057,-0.0018518518518518
2014-02-12,538,539,533,533,30113,-0.0111317254174396
2014-02-13,539,547,529,545,36467,0.022514071294559
2014-02-14,547,553,539,545,17507,0.0
2014-02-17,552,552,521,530,224980,-0.0275229357798164
2014-02-18,529,531,522,528,53821,-0.0037735849056603
2014-02-19,526,576,515,528,1021600,0.0
2014-02-20,529,539,522,531,186183,0.0056818181818181
2014-02-21,527,533,522,530,83216,-0.0018832391713747
2014-02-24,533,533,519,525,88855,-0.0094339622641509
2014-02-25,522,531,522,530,30905,0.0095238095238094
2014-02-26,522,536,522,531,15852,0.0018867924528302
2014-02-27,531,536,526,533,45334,0.0037664783427495
2014-02-28,533,548,527,542,66017,0.0168855534709193
2014-03-03,536,555,529,535,81341,-0.0129151291512915
2014-03-04,538,539,533,540,11763,0.0093457943925232
2014-03-05,547,547,526,543,56810,0.0055555555555555
2014-03-06,545,545,529,530,26164,-0.0239410681399632
2014-03-07,538,539,526,537,32248,0.0132075471698114
2014-03-10,536,539,526,528,31831,-0.0167597765363128
2014-03-11,534,534,521,533,134492,0.009469696969697
2014-03-12,524,536,519,525,171569,-0.0150093808630393
2014-03-13,524,527,519,523,55977,-0.0038095238095238
2014-03-14,529,529,517,526,48357,0.0057361376673039
2014-03-17,547,547,515,523,47657,-0.0057034220532319
2014-03-18,526,536,515,523,19828,0.0
2014-03-19,524,524,512,518,43084,-0.0095602294455067
2014-03-20,519,521,510,514,43531,-0.0077220077220077
2014-03-21,515,519,503,511,113822,-0.0058365758754863
2014-03-24,512,512,493,500,216843,-0.0215264187866928
2014-03-25,500,536,495,504,318484,0.008
2014-03-26,519,526,508,523,55162,0.0376984126984127
2014-03-27,524,573,515,543,979059,0.0382409177820268
2014-03-28,548,552,529,552,167783,0.0165745856353591
2014-03-31,552,553,539,549,54109,-0.0054347826086956
2014-04-01,543,559,533,540,225203,-0.0163934426229508
2014-04-02,543,550,536,549,109978,0.0166666666666666
2014-04-03,553,567,553,568,319232,0.0346083788706739
2014-04-04,569,579,553,568,421283,0.0
2014-04-07,567,579,552,578,181452,0.0176056338028169
2014-04-08,578,593,559,592,329537,0.0242214532871971
2014-04-09,593,593,579,589,18532,-0.0050675675675675
2014-04-10,590,590,567,587,88565,-0.0033955857385399
2014-04-11,591,591,574,585,17977,-0.0034071550255536
2014-04-14,588,605,576,606,323626,0.0358974358974359
2014-04-15,609,694,599,684,2226888,0.1287128712871286
2014-04-16,692,695,654,677,1746129,-0.0102339181286549
2014-04-17,681,777,681,777,2043861,0.1477104874446084
2014-04-18,802,820,765,805,3410383,0.0360360360360361
2014-04-21,784,796,761,786,932627,-0.0236024844720497
2014-04-22,785,799,730,765,781324,-0.0267175572519083
2014-04-23,782,827,777,805,1535133,0.0522875816993464
2014-04-24,816,816,773,802,468703,-0.0037267080745341
2014-04-25,813,813,744,758,667387,-0.0548628428927681
2014-04-28,735,756,725,745,442024,-0.017150395778364
2014-04-29,756,759,732,750,223397,0.0067114093959732
2014-04-30,765,787,741,771,316962,0.028
2014-05-02,790,790,751,772,105342,0.0012970168612191
2014-05-07,778,778,735,769,195288,-0.0038860103626943
2014-05-08,768,768,716,719,116890,-0.0650195058517555
2014-05-09,741,761,725,750,594173,0.0431154381084839
2014-05-12,765,777,725,765,480799,0.02
2014-05-13,758,811,758,762,834050,-0.0039215686274509
2014-05-14,649,687,647,653,3824447,-0.1430446194225721
2014-05-15,659,681,640,681,877453,0.0428790199081163
2014-05-16,680,681,657,670,438528,-0.0161527165932452
2014-05-19,666,669,629,632,520241,-0.0567164179104477
2014-05-20,650,650,619,646,255086,0.0221518987341771
2014-05-21,645,650,637,641,98975,-0.0077399380804953
2014-05-22,649,649,623,627,219569,-0.0218408736349453
2014-05-23,643,643,619,632,169126,0.0079744816586921
2014-05-26,637,637,597,606,376322,-0.0411392405063291
2014-05-27,609,637,607,637,926538,0.051155115511551
2014-05-28,612,617,602,615,229069,-0.0345368916797488
2014-05-29,614,623,600,621,244173,0.0097560975609756
2014-05-30,621,680,605,611,2059355,-0.0161030595813204
