Date,Open,High,Low,Close,Volume,Change
2013-09-16,2407,2452,2407,2421,2021,
2013-09-17,2498,2498,2411,2448,2423,0.0111524163568772
2013-09-23,2466,2466,2448,2457,1284,0.0036764705882352
2013-09-24,2425,2457,2416,2448,2383,-0.0036630036630036
2013-09-25,2461,2461,2402,2439,5512,-0.0036764705882352
2013-09-26,2439,2461,2375,2412,10453,-0.0110701107011069
2013-09-27,2420,2420,2379,2421,2275,0.0037313432835821
2013-09-30,2375,2457,2375,2439,1634,0.0074349442379182
2013-10-01,2457,2457,2384,2384,729,-0.022550225502255
2013-10-02,2457,2466,2379,2466,34459,0.0343959731543623
2013-10-04,2466,2717,2393,2695,87155,0.0928629359286292
2013-10-07,2722,2758,2603,2658,29371,-0.0137291280148422
2013-10-08,2658,2658,2539,2631,23732,-0.010158013544018
2013-10-10,2685,2685,2539,2663,17236,0.0121626757886734
2013-10-11,2667,2749,2603,2663,10402,0.0
2013-10-14,2662,2681,2603,2672,681,0.0033796470146452
2013-10-15,2672,2672,2603,2645,3085,-0.0101047904191616
2013-10-16,2626,2758,2603,2667,17141,0.0083175803402646
2013-10-17,2653,2694,2598,2599,8853,-0.0254968128983876
2013-10-18,2539,2685,2539,2667,24872,0.0261639091958445
2013-10-21,2649,2694,2608,2617,7775,-0.018747656542932
2013-10-22,2672,2681,2608,2608,3998,-0.003439052350019
2013-10-23,2617,2667,2562,2613,17068,0.0019171779141105
2013-10-24,2644,2923,2594,2777,22984,0.0627631075392269
2013-10-25,2813,2877,2694,2814,10293,0.0133237306445805
2013-10-28,2795,2859,2754,2782,7463,-0.0113717128642502
2013-10-29,2822,2877,2749,2841,37207,0.0212077641984183
2013-10-30,2868,2982,2795,2964,33024,0.0432946145723336
2013-10-31,2914,3032,2914,2969,14978,0.0016869095816465
2013-11-01,2978,2996,2873,2960,16790,-0.003031323678006
2013-11-04,2909,2964,2895,2919,1742,-0.0138513513513514
2013-11-05,2914,2923,2804,2855,4228,-0.0219253168893456
2013-11-06,2873,2877,2809,2868,11838,0.004553415061296
2013-11-07,2923,2923,2804,2841,2475,-0.0094142259414226
2013-11-08,2841,2841,2763,2823,1404,-0.0063357972544878
2013-11-11,2895,2914,2653,2686,3998,-0.0485299326957138
2013-11-12,2685,2923,2685,2768,1857,0.0305286671630677
2013-11-13,2740,2809,2685,2713,537,-0.0198699421965318
2013-11-14,2781,2781,2676,2759,1397,0.0169553999262808
2013-11-15,2653,2795,2653,2777,12280,0.0065241029358462
2013-11-18,3179,3179,2749,2832,5266,0.0198055455527548
2013-11-19,2763,2909,2653,2658,11456,-0.0614406779661016
2013-11-20,2722,2777,2658,2722,3149,0.0240782543265614
2013-11-21,2795,2795,2649,2722,2397,0.0
2013-11-22,2603,2694,2571,2585,13897,-0.050330639235856
2013-11-25,2585,2630,2562,2567,2757,-0.006963249516441
2013-11-26,2566,2630,2516,2562,1161,-0.0019477989871444
2013-11-27,2603,2603,2521,2558,5459,-0.0015612802498048
2013-11-28,2566,2685,2521,2562,5838,0.001563721657545
2013-11-29,2690,2694,2557,2686,10642,0.04839968774395
2013-12-02,2662,2713,2658,2695,547,0.0033507073715561
2013-12-03,2694,2694,2571,2686,5828,-0.0033395176252318
2013-12-04,2589,2685,2589,2686,1130,0.0
2013-12-05,2621,2690,2617,2681,660,-0.001861504095309
2013-12-06,2681,2681,2608,2645,10828,-0.0134278254382692
2013-12-09,2612,2649,2598,2640,7565,-0.0018903591682419
2013-12-10,2676,2676,2553,2585,4822,-0.0208333333333333
2013-12-11,2512,2640,2480,2508,7029,-0.0297872340425532
2013-12-12,2557,2557,2439,2457,11790,-0.020334928229665
2013-12-13,2457,2553,2397,2457,12780,0.0
2013-12-16,2466,2484,2443,2462,744,0.0020350020350019
2013-12-17,2534,2681,2379,2489,7699,0.0109666937449228
2013-12-18,2489,2576,2439,2498,2350,0.0036159100040176
2013-12-19,2553,2553,2471,2512,278,0.0056044835868696
