Date,Open,High,Low,Close,Volume,Change
2023-04-04,2870,2924,2822,2838,144818,-0.01935038009675194
2023-04-05,2838,3160,2808,3060,584392,0.07822410147991543
2023-04-06,3060,3080,2840,2894,221358,-0.054248366013071925
2023-04-07,2910,3020,2700,2836,232839,-0.020041465100207323
2023-04-10,2836,2836,2708,2758,105224,-0.027503526093088815
2023-04-11,2762,2800,2662,2780,81534,0.00797679477882518
2023-04-12,2756,2780,2670,2720,146437,-0.021582733812949617
2023-04-13,2666,2874,2642,2810,136697,0.03308823529411775
2023-04-14,2820,2860,2712,2816,138548,0.002135231316725994
2023-04-17,2816,2842,2740,2792,109700,-0.008522727272727293
2023-04-18,2796,2854,2742,2780,163554,-0.004297994269340966
2023-04-19,2744,2850,2674,2782,209616,0.0007194244604316058
2023-04-20,2782,2798,2682,2750,120240,-0.011502516175413424
2023-04-21,2690,2848,2690,2796,256329,0.016727272727272702
2023-04-24,2784,3000,2722,2830,225583,0.012160228898426384
2023-04-25,2816,2816,2664,2778,128988,-0.0183745583038869
2023-04-26,2738,2738,2636,2700,89259,-0.02807775377969768
2023-04-27,2776,2776,2640,2704,68843,0.001481481481481417
2023-04-28,2710,2710,2550,2600,138831,-0.038461538461538436
2023-05-02,2590,2700,2500,2588,277266,-0.004615384615384577
2023-05-03,2506,2588,2486,2492,117913,-0.037094281298299836
2023-05-04,2476,2540,2410,2540,143177,0.019261637239165408
2023-05-08,2560,2568,2456,2500,106259,-0.015748031496062964
2023-05-09,2552,2552,2448,2540,53874,0.016000000000000014
2023-05-10,2534,2548,2400,2540,221670,0.0
2023-05-11,2542,2542,2484,2518,66037,-0.008661417322834652
2023-05-12,2542,2568,2498,2546,65908,0.011119936457505863
2023-05-15,2564,2564,2484,2530,54536,-0.00628436763550666
2023-05-16,2524,2524,2432,2492,79629,-0.015019762845849827
2023-05-17,2490,2510,2454,2488,50438,-0.0016051364365970988
2023-05-18,2488,2550,2460,2544,87766,0.022508038585209
2023-05-19,2544,2564,2504,2542,37119,-0.0007861635220125507
2023-05-22,2548,2548,2478,2534,28816,-0.0031471282454760274
2023-05-23,2550,2550,2480,2542,45483,0.0031570639305444903
2023-05-24,2540,2600,2462,2598,98201,0.02202989771833197
2023-05-25,2596,2920,2570,2736,1924271,0.053117782909930744
2023-05-26,2736,2792,2662,2740,213171,0.0014619883040936088
2023-05-30,2724,2760,2644,2644,169150,-0.03503649635036499
2023-05-31,2642,2798,2612,2788,291547,0.05446293494705001
2023-06-01,2752,2798,2716,2764,126613,-0.008608321377331474
2023-06-02,2768,2768,2660,2740,78244,-0.00868306801736618
2023-06-05,2724,2764,2698,2698,75814,-0.01532846715328462
2023-06-07,2690,2708,2620,2648,142112,-0.018532246108228345
2023-06-08,2652,2656,2590,2656,93470,0.0030211480362538623
2023-06-09,2646,2686,2614,2656,54301,0.0
2023-06-12,2650,2794,2644,2756,220735,0.03765060240963858
2023-06-13,2756,2756,2698,2742,84868,-0.005079825834542806
2023-06-14,2736,2736,2640,2680,169436,-0.022611232676878146
2023-06-15,2734,2800,2550,2556,245030,-0.04626865671641789
2023-06-16,2556,2636,2532,2592,75736,0.014084507042253502
2023-06-19,2564,2586,2512,2522,76856,-0.027006172839506126
2023-06-20,2522,2522,2456,2460,101269,-0.024583663758921515
2023-06-21,2460,2700,2454,2620,338571,0.06504065040650397
2023-06-22,2590,2620,2420,2610,197132,-0.003816793893129722
2023-06-23,2610,2610,2498,2608,97847,-0.0007662835249042654
2023-06-26,2600,2718,2568,2710,163001,0.03911042944785281
2023-06-27,2700,3036,2654,2996,1048211,0.10553505535055341
2023-06-28,2970,3032,2854,2968,288825,-0.009345794392523366
2023-06-29,2940,3380,2882,3318,2071894,0.11792452830188682
2023-06-30,3318,3658,3254,3564,1337870,0.07414104882459305
2023-07-03,3570,3782,3458,3482,601392,-0.023007856341189625
2023-07-04,3482,3620,3264,3620,327632,0.039632395175186685
2023-07-05,3516,3732,3430,3640,336220,0.005524861878453136
2023-07-06,3600,3716,3502,3630,171259,-0.0027472527472527375
2023-07-07,3600,3614,3336,3378,400231,-0.0694214876033058
2023-07-10,3378,3552,3272,3434,132013,0.0165778567199526
2023-07-11,3418,3636,3380,3580,196776,0.042516016307513116
2023-07-12,3580,3598,3382,3424,156080,-0.04357541899441342
2023-07-13,3424,3448,3042,3042,464100,-0.1115654205607477
2023-07-14,3032,3032,2660,2798,533811,-0.08021038790269563
2023-07-17,2800,2860,2678,2774,226821,-0.0085775553967119
2023-07-18,2774,2820,2682,2820,167962,0.016582552271088735
2023-07-19,2820,2820,2600,2712,187991,-0.03829787234042559
2023-07-20,2710,2910,2600,2850,203472,0.05088495575221241
2023-07-21,2848,3064,2820,3000,277213,0.05263157894736836
2023-07-24,3000,3060,2826,2858,102103,-0.04733333333333334
2023-07-25,2804,2930,2770,2822,71672,-0.01259622113365988
2023-07-26,2822,2822,2622,2760,126867,-0.021970233876683176
2023-07-27,2760,2896,2700,2822,99670,0.022463768115942084
2023-07-28,2826,3376,2824,3256,1128667,0.15379163713678246
2023-07-31,3258,3560,3258,3500,481372,0.07493857493857492
2023-08-01,3660,4270,3586,4050,2274662,0.15714285714285725
2023-08-02,4000,4000,3158,3316,2556703,-0.1812345679012346
2023-08-03,3240,3362,3074,3242,671945,-0.02231604342581428
2023-08-04,3226,3360,3180,3242,290318,0.0
2023-08-07,3240,3360,3172,3184,228726,-0.017890191239975373
2023-08-08,3184,3232,3040,3042,216722,-0.04459798994974873
2023-08-09,3062,3274,3022,3274,211720,0.07626561472715321
2023-08-10,3272,3292,3186,3234,85781,-0.012217470983506451
2023-08-11,3234,3318,3102,3228,165518,-0.0018552875695733162
2023-08-14,3210,3288,3110,3148,84653,-0.024783147459727428
2023-08-16,3182,3440,3150,3350,492403,0.06416772554002548
2023-08-17,3348,3416,3220,3390,217042,0.011940298507462588
2023-08-18,3400,3400,3124,3178,416918,-0.06253687315634215
2023-08-21,3178,3252,3132,3144,138116,-0.010698552548772833
2023-08-22,3164,3218,3082,3104,103368,-0.012722646310432517
2023-08-23,3104,3182,3052,3110,105264,0.0019329896907216426
2023-08-24,3102,3398,3070,3358,187036,0.07974276527331181
2023-08-25,3400,3504,3284,3480,224748,0.036331149493746384
2023-08-28,3500,3500,3350,3418,64663,-0.017816091954023006
2023-08-29,3380,3460,3132,3160,275709,-0.07548273844353426
2023-08-30,3162,3378,3132,3338,251692,0.05632911392405071
2023-08-31,3306,3380,3306,3332,62544,-0.0017974835230677444
2023-09-01,3304,3358,3224,3234,95831,-0.02941176470588236
2023-09-04,3200,3298,3188,3272,44078,0.011750154607297558
2023-09-05,3232,3436,3232,3378,118967,0.032396088019559954
2023-09-06,3416,3416,3294,3300,68229,-0.023090586145648295
2023-09-07,3284,3430,3272,3424,98239,0.037575757575757596
2023-09-08,3424,3756,3424,3650,827959,0.06600467289719636
2023-09-11,3668,3776,3440,3500,332524,-0.04109589041095896
2023-09-12,3482,3630,3300,3400,346710,-0.02857142857142858
2023-09-13,3340,3518,3256,3368,301519,-0.009411764705882342
2023-09-14,3354,3406,3260,3344,105420,-0.0071258907363420665
2023-09-15,3404,3404,3282,3336,108476,-0.0023923444976076125
2023-09-18,3330,3330,3266,3300,31745,-0.010791366906474864
2023-09-19,3300,3364,3256,3316,69018,0.00484848484848488
2023-09-20,3316,3354,3160,3260,169628,-0.016887816646562137
2023-09-21,3256,3256,2878,2878,298196,-0.11717791411042944
2023-09-22,2798,2920,2734,2840,203882,-0.013203613620569876
2023-09-25,2838,2870,2658,2738,286657,-0.03591549295774643
2023-09-26,2740,2770,2662,2680,47354,-0.02118334550766987
2023-09-27,2690,2730,2634,2714,21803,0.012686567164179152
2023-10-04,2678,2680,2538,2568,80614,-0.05379513633013999
2023-10-05,2616,2658,2430,2530,50473,-0.014797507788162023
2023-10-06,2530,2704,2530,2666,49768,0.05375494071146236
2023-10-10,2666,2682,2540,2540,85751,-0.04726181545386343
2023-10-11,2546,2878,2546,2850,125390,0.1220472440944882
2023-10-12,2862,2920,2750,2750,123381,-0.03508771929824561
2023-10-13,2790,2790,2662,2718,80144,-0.011636363636363667
2023-10-16,2708,3076,2620,2994,218321,0.10154525386313473
2023-10-17,3000,3180,2874,2900,197144,-0.03139612558450233
2023-10-18,2916,2946,2432,2452,342741,-0.1544827586206896
2023-10-19,2452,2452,2242,2394,157313,-0.023654159869494262
2023-10-20,2338,2394,2240,2324,89711,-0.0292397660818714
2023-10-23,2272,2438,2264,2342,82990,0.007745266781411297
2023-10-24,2302,2428,2274,2376,89433,0.014517506404782221
2023-10-25,2400,2886,2400,2580,769944,0.08585858585858586
2023-10-26,2506,2712,2500,2570,123137,-0.003875968992248069
2023-10-27,2584,2720,2476,2590,149274,0.0077821011673151474
2023-10-30,2578,2818,2516,2780,166649,0.07335907335907343
2023-10-31,2852,2852,2696,2766,66837,-0.005035971223021574
2023-11-01,2766,2838,2622,2672,63459,-0.033984092552422296
2023-11-02,2658,2784,2642,2646,70218,-0.009730538922155696
2023-11-03,2660,2884,2604,2760,152759,0.04308390022675734
2023-11-06,2924,2924,2710,2710,78551,-0.018115942028985477
2023-11-07,2710,2880,2710,2794,92113,0.030996309963099655
2023-11-08,2794,2880,2670,2716,88695,-0.027916964924838972
2023-11-09,2754,2764,2648,2730,28939,0.005154639175257714
2023-11-10,2700,2860,2590,2788,92113,0.02124542124542117
2023-11-13,2826,3100,2826,3050,609450,0.09397417503586802
2023-11-14,3400,3460,2820,2868,2114835,-0.059672131147541
2023-11-15,2846,2950,2610,2652,875828,-0.07531380753138073
2023-11-16,2640,2676,2568,2594,193888,-0.021870286576168962
2023-11-17,2594,2612,2524,2562,136732,-0.012336160370084781
2023-11-20,2578,2578,2490,2510,121657,-0.020296643247462942
2023-11-21,2510,2524,2384,2462,223473,-0.01912350597609558
2023-11-22,2420,2460,2376,2398,116657,-0.025995125913891193
2023-11-23,2400,2450,2362,2438,138483,0.016680567139282676
2023-11-24,2438,2540,2414,2440,81852,0.0008203445447088065
2023-11-27,2496,2496,2422,2470,76532,0.012295081967213184
2023-11-28,2472,2656,2472,2614,252748,0.058299595141700467
2023-11-29,2600,2600,2502,2508,128862,-0.04055087987758221
2023-11-30,2502,2558,2324,2464,53325,-0.01754385964912286
2023-12-01,2430,2444,2402,2422,38440,-0.017045454545454586
2023-12-04,2422,2422,2360,2366,83270,-0.023121387283236983
2023-12-05,2366,2402,2342,2366,57059,0.0
2023-12-06,2366,2470,2332,2366,63357,0.0
2023-12-07,2356,2390,2350,2376,36557,0.004226542688081203
2023-12-08,2350,2390,2350,2350,50750,-0.01094276094276092
2023-12-11,2350,2392,2270,2320,71863,-0.012765957446808529
2023-12-12,2318,2320,2244,2244,92377,-0.03275862068965518
2023-12-13,2286,2286,2240,2270,44352,0.01158645276292325
2023-12-14,2260,2284,2226,2238,94012,-0.014096916299559448
2023-12-15,2236,2260,2186,2236,96311,-0.0008936550491510653
2023-12-18,2240,2256,2212,2232,25756,-0.0017889087656529634
2023-12-19,2246,2246,2196,2230,61587,-0.0008960573476702871
2023-12-20,2230,2384,2230,2344,176385,0.05112107623318396
2023-12-21,2322,2394,2298,2352,77240,0.0034129692832765013
2023-12-22,2352,2392,2242,2356,104784,0.001700680272108901
2023-12-26,2252,2496,2252,2458,135271,0.04329371816638372
2023-12-27,2400,2514,2400,2474,66472,0.006509357200976451
2023-12-28,2478,2580,2478,2560,116784,0.0347615198059823
2024-01-02,2584,2600,2482,2596,63312,0.014062500000000089
2024-01-03,2576,2678,2532,2648,183680,0.02003081664098616
2024-01-04,2668,2716,2430,2438,282750,-0.07930513595166166
2024-01-05,2740,3160,2478,2500,1677657,0.025430680885972112
2024-01-08,2440,2584,2390,2440,204437,-0.02400000000000002
2024-01-09,2440,2460,2400,2448,67541,0.003278688524590123
2024-01-10,2436,2520,2400,2444,63035,-0.0016339869281045694
2024-01-11,2442,2500,2410,2476,73182,0.013093289689034338
2024-01-12,2476,2490,2408,2420,44740,-0.022617124394184174
2024-01-15,2400,2428,2380,2424,50491,0.0016528925619834212
2024-01-16,2440,2460,2396,2420,28491,-0.0016501650165016146
2024-01-17,2430,2430,2372,2372,28346,-0.01983471074380161
2024-01-18,2376,2440,2350,2378,86478,0.002529510961214232
2024-01-19,2400,2538,2400,2420,135940,0.01766190075693852
2024-01-22,2450,2516,2340,2430,117906,0.004132231404958775
2024-01-23,2430,2496,2312,2316,79354,-0.04691358024691361
2024-01-24,2316,2352,2210,2230,79173,-0.03713298791018993
2024-01-25,2230,2250,2098,2180,178552,-0.022421524663677084
2024-01-26,2180,2198,2110,2138,82550,-0.019266055045871533
2024-01-29,2200,2260,2140,2236,93819,0.04583723105706272
2024-01-30,2220,2258,2180,2234,116800,-0.0008944543828264262
2024-01-31,2240,2282,2168,2242,53704,0.0035810205908684
2024-02-01,2190,2410,2190,2270,268276,0.012488849241748534
2024-02-02,2296,2382,2262,2372,296207,0.04493392070484581
2024-02-05,2372,2412,2336,2352,72801,-0.00843170320404718
2024-02-06,2394,2400,2264,2268,80601,-0.0357142857142857
2024-02-07,2236,2310,2218,2218,56844,-0.022045855379188684
2024-02-08,2230,2328,2192,2254,36206,0.016230838593327412
2024-02-13,2254,2280,2222,2246,24012,-0.003549245785270605
2024-02-14,2246,2328,2220,2224,52384,-0.009795191451469232
2024-02-15,2224,2302,2218,2218,44500,-0.0026978417266186883
2024-02-16,2218,2298,2204,2240,89694,0.009918845807033394
2024-02-19,2240,2250,2138,2150,132815,-0.0401785714285714
2024-02-20,2410,2410,2166,2188,226401,0.017674418604651132
2024-02-21,2202,2260,2156,2246,90531,0.026508226691042136
2024-02-22,2246,2280,2206,2206,55535,-0.0178094390026714
2024-02-23,2206,2220,2176,2176,42591,-0.013599274705349051
2024-02-26,2192,2250,2110,2138,110650,-0.01746323529411764
2024-02-27,2170,2386,2118,2348,409870,0.09822263797941999
2024-02-28,2312,2358,2190,2244,115788,-0.04429301533219765
2024-02-29,2244,2338,2184,2242,82285,-0.0008912655971479166
2024-03-04,2242,2258,2196,2254,66829,0.00535236396074934
2024-03-05,2254,2254,2188,2230,37931,-0.010647737355811926
2024-03-06,2204,2230,2158,2180,50488,-0.022421524663677084
2024-03-07,2228,2228,2126,2148,64591,-0.014678899082568808
2024-03-08,2180,2194,2148,2184,37189,0.016759776536312776
2024-03-11,2184,2290,2164,2200,42053,0.0073260073260073
2024-03-12,2200,2296,2060,2140,202537,-0.027272727272727226
2024-03-13,2154,2180,2108,2170,118850,0.014018691588784993
2024-03-14,2250,2250,2122,2146,40044,-0.011059907834101379
2024-03-15,2146,2166,2104,2112,57431,-0.01584342963653307
2024-03-18,2112,2132,2090,2118,39629,0.0028409090909091717
2024-03-19,2124,2124,2064,2084,45551,-0.016052880075542952
2024-03-20,2084,2084,1942,1944,218596,-0.06717850287907867
2024-03-21,1944,2010,1896,1928,143333,-0.008230452674897082
2024-03-22,1940,1940,1852,1852,114513,-0.03941908713692943
2024-03-25,1870,1994,1816,1852,438080,0.0
2024-03-26,1852,2198,1820,1912,2190117,0.03239740820734349
2024-03-27,1912,1920,1830,1854,200395,-0.030334728033472813
2024-03-28,1868,1874,1778,1790,243221,-0.034519956850053934
2024-03-29,1810,1832,1768,1804,130726,0.007821229050279266
2024-04-01,1804,1820,1770,1800,39700,-0.0022172949002217113
2024-04-02,1808,1810,1764,1800,87052,0.0
2024-04-03,1800,1822,1720,1758,90877,-0.023333333333333317
2024-04-04,1758,1810,1672,1680,118167,-0.04436860068259385
2024-04-05,1678,1740,1662,1694,93396,0.008333333333333304
2024-04-08,1698,1740,1660,1698,56973,0.0023612750885477762
2024-04-09,1708,1730,1660,1674,80168,-0.014134275618374548
2024-04-11,1674,1700,1600,1632,176304,-0.02508960573476704
2024-04-12,1632,2020,1598,1800,928112,0.10294117647058831
2024-04-15,1828,2100,1828,1930,1245721,0.07222222222222219
2024-04-16,1930,1972,1594,1594,476728,-0.17409326424870464
2024-04-17,1606,1648,1446,1548,326805,-0.02885821831869506
2024-04-18,1548,1686,1542,1610,137582,0.040051679586563305
2024-04-19,1616,1776,1616,1774,308536,0.1018633540372671
2024-04-22,1774,1780,1670,1736,122823,-0.021420518602029315
2024-04-23,1746,1870,1738,1860,165392,0.0714285714285714
2024-04-24,1900,1910,1822,1872,105936,0.006451612903225712
2024-04-25,1870,1906,1828,1860,65671,-0.0064102564102563875
2024-04-26,1860,1922,1830,1894,103924,0.018279569892473146
2024-04-29,1894,1924,1836,1848,33001,-0.02428722280887008
2024-04-30,1848,1856,1806,1816,83362,-0.017316017316017285
2024-05-02,1838,1838,1714,1812,85281,-0.0022026431718061845
2024-05-03,1804,1820,1754,1754,64394,-0.03200883002207511
2024-05-07,1754,1756,1690,1718,65558,-0.02052451539338651
2024-05-08,1718,1840,1716,1814,73306,0.055878928987194376
2024-05-09,1814,1842,1792,1800,23881,-0.007717750826901848
2024-05-10,1800,1832,1758,1758,50394,-0.023333333333333317
2024-05-13,1758,1840,1758,1810,64917,0.029579067121729308
2024-05-14,1810,1816,1772,1810,76603,0.0
2024-05-16,1810,2058,1714,1898,574995,0.048618784530386705
2024-05-17,1928,2120,1928,2042,669273,0.07586933614330871
2024-05-20,1980,2090,1980,2010,198569,-0.015670910871694366
2024-05-21,2010,2128,1848,2058,365137,0.023880597014925398
2024-05-22,2058,2168,2042,2102,311983,0.02137998056365409
2024-05-23,2090,2164,2060,2138,122649,0.01712654614652709
2024-05-24,2150,2190,2130,2160,195940,0.010289990645462987
2024-05-27,2160,2338,2150,2304,342237,0.06666666666666665
2024-05-28,2330,2380,2246,2350,289217,0.01996527777777768
2024-05-29,2350,2576,2318,2444,348934,0.040000000000000036
2024-05-30,2442,2606,2176,2214,359455,-0.09410801963993454
2024-05-31,2216,2310,2070,2070,171344,-0.06504065040650409
2024-06-03,2072,2226,2070,2168,264880,0.047342995169082025
2024-06-04,2150,2356,2038,2110,423905,-0.026752767527675303
2024-06-05,2110,2232,2110,2150,94613,0.018957345971563955
2024-06-07,2160,2220,2046,2052,124665,-0.045581395348837206
2024-06-10,2058,2120,2052,2092,84778,0.01949317738791434
2024-06-11,2092,2106,2044,2094,100823,0.0009560229445506607
2024-06-12,2094,2170,2014,2150,139223,0.026743075453677267
2024-06-13,2152,2152,2002,2002,157851,-0.06883720930232562
2024-06-14,2136,2490,2030,2222,1162296,0.10989010989010994
2024-06-17,2254,2316,2222,2272,144533,0.022502250225022502
2024-06-18,2294,2352,2230,2284,104358,0.005281690140845008
2024-06-19,2318,2320,2230,2284,92475,0.0
2024-06-20,2310,2320,2238,2304,133657,0.008756567425569184
2024-06-21,2304,2304,2200,2238,65810,-0.02864583333333337
2024-06-24,2238,2288,2128,2160,51181,-0.034852546916890104
2024-06-25,2160,2220,2108,2122,76221,-0.017592592592592604
2024-06-26,2126,2290,2110,2240,109293,0.055607917059377954
2024-06-27,2242,2338,2178,2180,160580,-0.0267857142857143
2024-06-28,2178,2326,2160,2164,133931,-0.007339449541284404
2024-07-01,2132,2262,2078,2078,89330,-0.03974121996303137
2024-07-02,2080,2286,2040,2106,413695,0.013474494706448459
2024-07-03,2102,2182,2050,2100,94513,-0.002849002849002802
2024-07-04,2102,2180,2096,2114,50744,0.006666666666666599
2024-07-05,2114,2134,1940,2134,102419,0.009460737937559083
2024-07-08,2134,2134,2008,2010,116130,-0.058106841611996196
2024-07-09,2022,2038,1952,2000,114599,-0.00497512437810943
2024-07-10,2000,2000,1900,1950,140477,-0.025000000000000022
2024-07-11,1944,1944,1860,1920,167377,-0.01538461538461533
2024-07-12,1920,2200,1886,2048,587777,0.06666666666666665
2024-07-15,2180,2320,2074,2284,878406,0.115234375
2024-07-16,2224,2272,2140,2174,362473,-0.04816112084063051
2024-07-17,2250,2250,2028,2030,202702,-0.06623735050597979
2024-07-18,2028,2500,2006,2370,1748240,0.16748768472906406
2024-07-19,2380,2574,2330,2412,1034490,0.017721518987341867
2024-07-22,2398,2550,2320,2500,457153,0.036484245439469376
2024-07-23,2444,2478,2388,2432,304353,-0.027200000000000002
2024-07-24,2488,2488,2260,2286,457374,-0.060032894736842146
2024-07-25,2286,2344,2200,2310,144453,0.01049868766404205
2024-07-26,2288,2358,2162,2358,208714,0.020779220779220786
2024-07-29,2358,2534,2344,2530,398082,0.0729431721798135
2024-07-30,2570,2580,2442,2518,232483,-0.004743083003952542
2024-07-31,2522,2546,2436,2490,125789,-0.011119936457505974
2024-08-01,2490,2514,2320,2332,202978,-0.06345381526104421
2024-08-02,2336,2432,2258,2420,103487,0.037735849056603765
2024-08-05,2420,2420,1932,2100,266363,-0.1322314049586777
2024-08-06,2100,2172,2052,2130,85077,0.014285714285714235
2024-08-07,2130,2176,2108,2140,49418,0.0046948356807512415
2024-08-08,2146,2276,2092,2246,141401,0.04953271028037376
2024-08-09,2232,2360,2122,2214,158876,-0.014247551202137165
2024-08-12,2162,2280,2162,2216,83322,0.0009033423667570428
2024-08-13,2216,2246,2100,2198,105623,-0.008122743682310474
2024-08-14,2272,2272,2152,2200,105027,0.0009099181073703999
2024-08-16,2164,2276,2020,2200,508294,0.0
2024-08-19,2266,2266,2000,2080,531393,-0.054545454545454564
2024-08-20,2080,2126,2036,2126,176944,0.022115384615384537
2024-08-21,2112,2192,2040,2130,508950,0.0018814675446847673
2024-08-22,2132,2184,2020,2068,152332,-0.029107981220657275
2024-08-23,2066,2122,2040,2040,83175,-0.013539651837524147
2024-08-26,2040,2110,2000,2022,75996,-0.008823529411764675
2024-08-27,2022,2038,1976,2002,111758,-0.009891196834816984
2024-08-28,1988,2038,1986,1986,28875,-0.007992007992007943
2024-08-29,1968,2004,1930,1952,81098,-0.017119838872104776
2024-08-30,1952,2018,1918,1938,77323,-0.0071721311475410054
2024-09-02,1936,2092,1932,1932,307629,-0.003095975232198178
2024-09-03,1988,2182,1966,2068,253097,0.07039337474120089
2024-09-04,2020,2044,1906,1906,220338,-0.07833655705996134
2024-09-05,2014,2014,1874,1880,96623,-0.01364113326337879
2024-09-06,1860,1946,1840,1896,87188,0.008510638297872353
2024-09-09,1896,1916,1846,1870,36530,-0.01371308016877637
2024-09-10,1908,1976,1860,1952,154990,0.04385026737967923
2024-09-11,1952,1986,1888,1932,166508,-0.010245901639344246
2024-09-12,1920,1976,1704,1778,454592,-0.07971014492753625
2024-09-13,1776,1780,1656,1656,219226,-0.06861642294713166
2024-09-19,1658,1674,1432,1550,482073,-0.06400966183574874
2024-09-20,1586,1586,1454,1490,524439,-0.03870967741935483
2024-09-23,1536,1760,1482,1616,829257,0.08456375838926178
2024-09-24,1602,1764,1600,1712,418140,0.05940594059405946
2024-09-25,1712,1770,1600,1692,196861,-0.011682242990654235
2024-09-26,1692,1692,1542,1552,254269,-0.08274231678486998
2024-09-27,1558,1620,1518,1576,195909,0.015463917525773141
2024-09-30,1576,1650,1552,1554,64946,-0.013959390862944177
2024-10-02,1554,1586,1456,1456,156727,-0.06306306306306309
2024-10-04,1464,1650,1464,1556,502978,0.06868131868131866
2024-10-07,1560,1632,1502,1518,79785,-0.024421593830334154
2024-10-08,1518,1536,1390,1430,377936,-0.05797101449275366
2024-10-10,1430,1496,1418,1430,276250,0.0
2024-10-11,1430,1450,1410,1422,59220,-0.005594405594405605
2024-10-14,1422,1528,1380,1500,187996,0.05485232067510548
2024-10-15,1500,1630,1496,1540,369385,0.026666666666666616
2024-10-16,1520,1538,1400,1528,106996,-0.007792207792207795
2024-10-17,1528,1528,1450,1494,66796,-0.022251308900523514
2024-10-18,1478,1502,1438,1502,277149,0.0053547523427042165
2024-10-21,1420,1460,1360,1372,195300,-0.08655126498002663
2024-10-22,1358,1378,1320,1320,127246,-0.03790087463556846
2024-10-23,1320,1376,1300,1316,65330,-0.00303030303030305
2024-10-24,1316,1382,1306,1322,56561,0.004559270516717229
2024-10-25,1322,1354,1220,1338,127758,0.012102874432677657
2024-10-28,1370,1370,1294,1304,48624,-0.025411061285500747
2024-10-29,1304,1356,1240,1282,59201,-0.016871165644171793
2024-10-30,1290,1308,1212,1238,160446,-0.03432137285491421
2024-10-31,1228,1248,1210,1240,39038,0.001615508885298933
2024-11-01,1240,1260,1220,1222,33730,-0.014516129032258074
2024-11-04,1222,1280,1222,1254,69634,0.026186579378068675
2024-11-05,1276,1312,1238,1262,136692,0.006379585326953707
2024-11-06,1262,1392,1258,1346,372309,0.06656101426307459
2024-11-07,1346,1432,1346,1394,85812,0.03566121842496295
