Date,Open,High,Low,Close,Volume,Change
2013-09-16,2715,2740,2705,2705,340177,
2013-09-17,2710,2725,2690,2705,277935,0.0
2013-09-23,2720,2730,2700,2720,364856,0.0055452865064695
2013-09-24,2720,2770,2705,2745,411731,0.0091911764705883
2013-09-25,2760,2760,2710,2710,373829,-0.0127504553734062
2013-09-26,2705,2740,2705,2715,291955,0.0018450184501845
2013-09-27,2715,2750,2715,2745,435162,0.011049723756906
2013-09-30,2755,2755,2720,2745,317338,0.0
2013-10-01,2740,2755,2675,2695,644910,-0.018214936247723
2013-10-02,2710,2710,2680,2700,317177,0.0018552875695732
2013-10-04,2705,2900,2705,2850,4234304,0.0555555555555555
2013-10-07,2855,2860,2790,2840,1154852,-0.0035087719298245
2013-10-08,2840,2840,2740,2745,1062331,-0.0334507042253521
2013-10-10,2710,2750,2710,2730,730959,-0.0054644808743169
2013-10-11,2755,2780,2700,2700,947655,-0.0109890109890109
2013-10-14,2700,2710,2620,2620,1124258,-0.0296296296296296
2013-10-15,2645,2670,2610,2635,446514,0.0057251908396946
2013-10-16,2640,2645,2540,2555,989742,-0.0303605313092979
2013-10-17,2585,2610,2550,2570,471466,0.0058708414872798
2013-10-18,2560,2590,2530,2590,266536,0.0077821011673151
2013-10-21,2610,2620,2570,2570,294094,-0.0077220077220077
2013-10-22,2565,2590,2550,2585,178565,0.0058365758754863
2013-10-23,2600,2635,2560,2560,497037,-0.0096711798839458
2013-10-24,2585,2590,2555,2580,249922,0.0078125
2013-10-25,2600,2635,2590,2620,349191,0.0155038759689922
2013-10-28,2625,2640,2610,2620,276533,0.0
2013-10-29,2600,2625,2595,2600,309054,-0.0076335877862595
2013-10-30,2600,2615,2585,2585,305532,-0.0057692307692307
2013-10-31,2590,2595,2540,2540,302659,-0.0174081237911025
2013-11-01,2535,2605,2535,2600,360001,0.0236220472440944
2013-11-04,2595,2640,2580,2580,279339,-0.0076923076923076
2013-11-05,2590,2595,2535,2535,343269,-0.0174418604651163
2013-11-06,2535,2555,2505,2510,403121,-0.009861932938856
2013-11-07,2530,2535,2410,2420,594595,-0.0358565737051792
2013-11-08,2370,2425,2350,2380,471577,-0.0165289256198346
2013-11-11,2380,2400,2255,2255,738109,-0.0525210084033613
2013-11-12,2230,2330,2230,2320,352033,0.0288248337028824
2013-11-13,2315,2325,2150,2165,1140875,-0.0668103448275861
2013-11-14,2175,2235,2130,2210,699060,0.0207852193995381
2013-11-15,2205,2250,2205,2240,387681,0.0135746606334841
2013-11-18,2240,2325,2200,2200,467525,-0.0178571428571429
2013-11-19,2180,2250,2155,2220,292900,0.009090909090909
2013-11-20,2190,2255,2190,2220,274553,0.0
2013-11-21,2220,2220,2170,2180,256395,-0.018018018018018
2013-11-22,2165,2205,2165,2170,220186,-0.0045871559633027
2013-11-25,2175,2230,2175,2195,262467,0.0115207373271888
2013-11-26,2205,2225,2190,2210,282108,0.0068337129840547
2013-11-27,2225,2230,2195,2200,314786,-0.004524886877828
2013-11-28,2220,2230,2195,2210,346779,0.0045454545454546
2013-11-29,2225,2280,2215,2245,604007,0.0158371040723981
2013-12-02,2235,2255,2165,2170,519711,-0.0334075723830734
2013-12-03,2160,2175,2040,2045,1104341,-0.0576036866359447
2013-12-04,2040,2085,2030,2065,262938,0.0097799511002445
2013-12-05,2050,2075,2035,2060,254795,-0.0024213075060532
2013-12-06,2040,2095,2040,2060,376545,0.0
2013-12-09,2075,2095,2045,2055,276944,-0.0024271844660194
2013-12-10,2040,2055,1980,2005,500239,-0.0243309002433089
