Date,Open,High,Low,Close,Volume,Change
2023-04-04,11220,11370,11050,11220,288090,0.002680965147453
2023-04-05,11200,11240,10880,10900,242167,-0.0285204991087344
2023-04-06,10870,11040,10710,10950,128643,0.0045871559633028
2023-04-07,10960,11040,10800,10860,102731,-0.0082191780821917
2023-04-10,10860,10860,10600,10680,119933,-0.016574585635359
2023-04-11,10680,10760,10580,10670,103485,-0.0009363295880149
2023-04-12,10680,10890,10680,10710,141031,0.0037488284910964
2023-04-13,10760,10780,10570,10730,102764,0.0018674136321195
2023-04-14,10780,11030,10710,10990,187657,0.0242311276794036
2023-04-17,11050,11160,10970,11040,220198,0.0045495905368517
2023-04-18,11050,11100,10880,10990,139969,-0.0045289855072463
2023-04-19,11000,11420,11000,11360,596810,0.0336669699727023
2023-04-20,11380,11410,11160,11170,262667,-0.016725352112676
2023-04-21,12000,12450,11470,11650,2662977,0.0429722470904208
2023-04-24,11720,11750,11340,11370,515736,-0.0240343347639484
2023-04-25,11350,11530,11160,11230,283432,-0.0123131046613895
2023-04-26,11220,11430,11020,11270,230098,0.0035618878005343
2023-04-27,11270,11270,11050,11120,155476,-0.0133096716947648
2023-04-28,11270,11370,11060,11270,137248,0.0134892086330935
2023-05-02,11340,11340,11110,11260,170594,-0.0008873114463177
2023-05-03,11180,11350,11170,11210,137049,-0.0044404973357016
2023-05-04,11230,11460,11180,11210,151066,0.0
2023-05-08,11230,11700,11220,11590,320380,0.0338983050847456
2023-05-09,11660,12100,11650,11820,645032,0.0198446937014666
2023-05-10,11920,11920,11660,11730,165743,-0.0076142131979695
2023-05-11,11800,11900,11690,11720,120881,-0.000852514919011
2023-05-12,11720,11800,11480,11570,134391,-0.0127986348122867
2023-05-15,11450,11650,11300,11490,142960,-0.0069144338807259
2023-05-16,11420,11480,11050,11060,360946,-0.0374238468233246
2023-05-17,11060,11090,10870,11010,185330,-0.0045207956600361
2023-05-18,11100,11170,11010,11060,117581,0.0045413260672115
2023-05-19,11130,11210,11050,11100,140834,0.003616636528029
2023-05-22,11160,11750,11100,11700,501137,0.0540540540540539
2023-05-23,11820,11980,11630,11630,273286,-0.0059829059829059
2023-05-24,11600,12100,11540,11980,539247,0.0300945829750645
2023-05-25,12130,12130,11780,11800,225864,-0.015025041736227
2023-05-26,11770,11790,11520,11570,211998,-0.0194915254237287
2023-05-30,11570,11830,11550,11590,174478,0.0017286084701815
2023-05-31,11700,11700,11460,11510,164876,-0.0069025021570319
2023-06-01,11500,11600,11450,11550,91354,0.0034752389226759
2023-06-02,11560,11770,11510,11760,172223,0.018181818181818
2023-06-05,11860,12470,11800,12450,943271,0.058673469387755
2023-06-07,12580,12800,12480,12670,699352,0.0176706827309236
2023-06-08,12740,12830,12490,12670,355958,0.0
2023-06-09,12670,12670,12150,12210,483916,-0.0363062352012628
2023-06-12,12240,12410,12090,12320,204887,0.0090090090090089
2023-06-13,12370,12390,12200,12290,168453,-0.0024350649350649
2023-06-14,12370,12520,12120,12210,210192,-0.0065093572009764
2023-06-15,12220,12470,12130,12420,248279,0.0171990171990172
2023-06-16,12480,12720,12410,12680,287250,0.0209339774557166
2023-06-19,12720,12770,12530,12660,201053,-0.001577287066246
2023-06-20,12780,12860,12580,12770,275136,0.0086887835703002
2023-06-21,12870,12930,12400,12400,433853,-0.028974158183242
2023-06-22,12500,12670,12360,12520,190672,0.0096774193548387
2023-06-23,12570,12570,12310,12360,208776,-0.012779552715655
2023-06-26,12360,12440,12250,12360,81318,0.0
2023-06-27,13480,13910,12520,12530,3289328,0.0137540453074433
2023-06-28,12620,12900,12550,12590,722741,0.0047885075818037
2023-06-29,12730,12910,12200,12200,1419386,-0.0309769658459094
2023-06-30,12120,12440,12110,12350,319662,0.0122950819672131
