Date,Open,High,Low,Close,Volume,Change
2023-04-04,12120,12190,12080,12180,24512,0.0024691358024691
2023-04-05,12180,12200,12100,12180,22586,0.0
2023-04-06,12230,12230,12060,12130,21815,-0.0041050903119869
2023-04-07,12170,12250,12130,12180,15809,0.0041220115416322
2023-04-10,12180,12180,11980,12120,23839,-0.0049261083743842
2023-04-11,12140,12180,12000,12100,28481,-0.0016501650165016
2023-04-12,12100,12160,11940,12010,43080,-0.0074380165289256
2023-04-13,12000,12020,11940,12020,27188,0.0008326394671107
2023-04-14,12050,12300,12020,12140,34451,0.0099833610648918
2023-04-17,12150,12160,12020,12140,28267,0.0
2023-04-18,12140,12140,12030,12100,14524,-0.0032948929159802
2023-04-19,12060,12100,12020,12090,19162,-0.0008264462809917
2023-04-20,12090,12110,11950,11960,27103,-0.010752688172043
2023-04-21,11940,12220,11900,12190,48082,0.0192307692307691
2023-04-24,12140,12320,12140,12280,24748,0.007383100902379
2023-04-25,12350,12590,12250,12390,23485,0.0089576547231269
2023-04-26,12340,12600,12250,12490,22176,0.0080710250201776
2023-04-27,12600,12610,12420,12560,23956,0.0056044835868696
2023-04-28,12560,12690,12480,12690,31693,0.0103503184713376
2023-05-02,12690,13050,12680,13000,30141,0.024428684003152
2023-05-03,12950,13100,12930,13070,14580,0.0053846153846153
2023-05-04,13010,13160,12870,13000,16589,-0.0053557765876052
2023-05-08,13020,13140,12770,12800,16283,-0.0153846153846153
2023-05-09,12800,12950,12560,12660,26088,-0.0109375
2023-05-10,12710,12950,12370,12460,23698,-0.0157977883096366
2023-05-11,12430,12860,12400,12700,13848,0.0192616372391654
2023-05-12,12600,12870,12550,12580,10593,-0.0094488188976378
2023-05-15,12650,12790,12520,12680,9441,0.0079491255961843
2023-05-16,12670,12950,12580,12730,27014,0.0039432176656151
2023-05-17,12710,12730,12630,12700,3761,-0.0023566378633149
2023-05-18,12700,12800,12600,12650,8559,-0.0039370078740157
2023-05-19,12650,12850,12510,12580,15609,-0.0055335968379446
2023-05-22,12580,12720,12490,12590,8559,0.0007949125596184
2023-05-23,12570,12600,12490,12520,14536,-0.0055599682287529
2023-05-24,12520,12580,12410,12470,11868,-0.0039936102236421
2023-05-25,12470,12560,12340,12450,11799,-0.0016038492381715
2023-05-26,12440,12440,12320,12390,10559,-0.0048192771084337
2023-05-30,12380,12480,12320,12480,6896,0.0072639225181598
2023-05-31,12470,12470,12200,12200,24581,-0.0224358974358974
2023-06-01,12170,12270,12100,12180,20341,-0.001639344262295
2023-06-02,12150,12180,12130,12180,8202,0.0
2023-06-05,12170,12290,12090,12180,24278,0.0
2023-06-07,12140,12180,12110,12180,8939,0.0
2023-06-08,12170,12180,12030,12120,17359,-0.0049261083743842
2023-06-09,12120,12180,11770,11800,92413,-0.0264026402640263
2023-06-12,11800,11870,11560,11560,35812,-0.0203389830508474
2023-06-13,11560,11560,11440,11540,38863,-0.0017301038062284
2023-06-14,11520,11520,11350,11480,33700,-0.0051993067590987
2023-06-15,11430,11480,11320,11400,26158,-0.0069686411149826
2023-06-16,11390,11390,11230,11250,39500,-0.0131578947368421
2023-06-19,11250,11480,11210,11400,20232,0.0133333333333334
2023-06-20,11390,11390,11000,11000,40306,-0.0350877192982456
2023-06-21,11040,11150,11000,11100,19610,0.009090909090909
2023-06-22,11040,11270,11010,11180,26079,0.0072072072072071
2023-06-23,11160,11280,11140,11230,15511,0.0044722719141323
