Date,Open,High,Low,Close,Volume,Change
2013-09-16,29200,29200,28850,29100,192616,
2013-09-17,29200,29400,29000,29400,318509,0.0103092783505154
2013-09-23,29900,29950,28500,29100,561747,-0.010204081632653
2013-09-24,28800,29100,28200,28350,594145,-0.0257731958762886
2013-09-25,28450,28600,28350,28600,392969,0.0088183421516754
2013-09-26,28250,28950,28150,28650,367639,0.0017482517482516
2013-09-27,29000,29000,28500,28500,384944,-0.0052356020942407
2013-09-30,28500,28700,28050,28500,352506,0.0
2013-10-01,28150,28450,28050,28150,340584,-0.012280701754386
2013-10-02,28150,28350,28050,28100,311253,-0.0017761989342806
2013-10-04,27900,28650,27850,28350,407278,0.0088967971530249
2013-10-07,28150,28600,27750,28000,392048,-0.0123456790123457
2013-10-08,28000,28200,27450,28200,508616,0.0071428571428571
2013-10-10,28200,28350,27850,28000,561520,-0.0070921985815602
2013-10-11,28250,28700,28200,28650,562339,0.0232142857142856
2013-10-14,28700,28850,28200,28200,269027,-0.0157068062827224
2013-10-15,28350,29350,28250,29300,763623,0.0390070921985814
2013-10-16,29200,29400,28800,29200,513903,-0.0034129692832765
2013-10-17,29400,29500,29000,29500,371128,0.0102739726027396
2013-10-18,29500,29900,29300,29550,314634,0.0016949152542373
2013-10-21,29450,29900,29400,29750,350746,0.0067681895093063
2013-10-22,29850,30000,29400,29850,420721,0.0033613445378151
2013-10-23,29700,29950,29300,29950,472636,0.0033500837520938
2013-10-24,30000,30150,29700,30100,329233,0.0050083472454089
2013-10-25,30150,30200,29850,30200,216905,0.0033222591362125
2013-10-28,30150,30300,29450,29700,233513,-0.0165562913907284
2013-10-29,29700,30000,29200,29800,300458,0.0033670033670034
2013-10-30,29800,29850,29400,29550,250285,-0.0083892617449664
2013-10-31,29300,29750,29150,29150,283821,-0.0135363790186124
2013-11-01,29300,30400,29300,30350,851524,0.0411663807890223
2013-11-04,30450,31000,30100,30800,751709,0.014827018121911
2013-11-05,31000,32500,30800,32500,1166273,0.0551948051948052
2013-11-06,32150,32350,31550,32250,929070,-0.0076923076923076
2013-11-07,31800,32200,31800,32000,446860,-0.0077519379844961
2013-11-08,31800,32000,31050,31050,594222,-0.0296874999999999
2013-11-11,31600,32500,31600,32300,847933,0.040257648953301
2013-11-12,32300,32500,31450,32100,649710,-0.0061919504643962
2013-11-13,32100,32300,31600,32200,380608,0.0031152647975076
2013-11-14,31950,32500,31950,32150,495697,-0.0015527950310558
2013-11-15,31550,32550,31550,32500,395938,0.0108864696734058
2013-11-18,32500,32500,31650,31750,311025,-0.0230769230769231
2013-11-19,31700,33600,31650,32900,829259,0.0362204724409449
2013-11-20,32900,33200,32200,32700,358686,-0.006079027355623
2013-11-21,32700,32700,31800,32200,377730,-0.0152905198776758
2013-11-22,32450,32850,31600,32700,369618,0.0155279503105589
2013-11-25,32950,32950,31700,31700,550390,-0.0305810397553516
2013-11-26,31800,32200,31250,32000,383960,0.0094637223974762
2013-11-27,32000,32550,31750,32500,293183,0.015625
2013-11-28,32600,32800,32450,32500,295805,0.0
2013-11-29,32400,33200,32250,33200,346856,0.0215384615384615
2013-12-02,32850,33200,32700,33000,284350,-0.0060240963855421
2013-12-03,32900,33050,32100,32250,338935,-0.0227272727272727
2013-12-04,32150,32550,31750,31900,222103,-0.0108527131782946
2013-12-05,31900,32150,31250,31650,405615,-0.0078369905956112
2013-12-06,31650,31650,31250,31300,306262,-0.0110584518167456
2013-12-09,31900,32450,31650,32000,333845,0.0223642172523961
2013-12-10,32500,32500,31450,31500,363927,-0.015625
