Date,Open,High,Low,Close,Volume,Change
2023-04-04,60200,60800,59800,60700,1380518,0.0083056478405316
2023-04-05,60500,61200,60200,60500,1227329,-0.0032948929159802
2023-04-06,60100,60100,58500,58600,2659408,-0.031404958677686
2023-04-07,58600,59200,58100,58600,1650319,0.0
2023-04-10,58300,58400,57100,58100,2103339,-0.0085324232081911
2023-04-11,58100,60000,57500,59300,2184527,0.0206540447504302
2023-04-12,59200,59300,58500,58700,1486194,-0.0101180438448567
2023-04-13,58500,59600,58400,59500,1591961,0.0136286201022146
2023-04-14,60100,61000,59400,60500,2464952,0.0168067226890755
2023-04-17,60200,60700,59600,60100,1450046,-0.0066115702479339
2023-04-18,60200,60800,58900,59000,1731564,-0.0183028286189683
2023-04-19,59000,59100,58500,58600,1086274,-0.0067796610169491
2023-04-20,58500,58700,57800,57900,1342600,-0.0119453924914675
2023-04-21,57700,58200,57200,57900,1212125,0.0
2023-04-24,57300,57800,57100,57200,961915,-0.0120898100172711
2023-04-25,57000,57900,55700,56000,1791028,-0.0209790209790209
2023-04-26,55600,57200,55600,56500,1452179,0.0089285714285713
2023-04-27,56200,56300,55300,55800,1311670,-0.0123893805309734
2023-04-28,56400,59100,56300,58100,3124682,0.0412186379928314
2023-05-02,58200,58600,57700,58500,1124552,0.0068846815834766
2023-05-03,58000,58900,57800,58300,1047114,-0.0034188034188034
2023-05-04,57200,57500,56000,57200,2288474,-0.0188679245283018
2023-05-08,57500,58200,57100,57700,1821528,0.0087412587412587
2023-05-09,57800,58700,57300,57500,1412568,-0.0034662045060658
2023-05-10,57100,57300,56300,56500,1364811,-0.017391304347826
2023-05-11,56400,57100,56000,56000,1190339,-0.0088495575221239
2023-05-12,56200,57200,55600,56600,1236080,0.0107142857142856
2023-05-15,56500,57000,56100,56800,879909,0.0035335689045936
2023-05-16,56700,57400,56000,56100,922948,-0.0123239436619718
2023-05-17,55900,58800,55600,57700,2035175,0.0285204991087344
2023-05-18,58200,58400,56800,57200,1112295,-0.0086655112651646
2023-05-19,57400,58200,57200,57900,1375866,0.0122377622377622
2023-05-22,57900,58100,57600,57900,985462,0.0
2023-05-23,58100,58200,57600,58000,1015317,0.0017271157167531
