Date,Open,High,Low,Close,Volume,Change
2023-04-04,7130,7200,7030,7090,328122,-0.012534818941504211
2023-04-05,7110,7170,6940,7010,226286,-0.01128349788434413
2023-04-06,6980,7000,6810,6950,254840,-0.008559201141226769
2023-04-07,6990,6990,6840,6850,146285,-0.014388489208633115
2023-04-10,6860,6900,6550,6590,241001,-0.03795620437956204
2023-04-11,6550,6760,6550,6710,110563,0.018209408194233667
2023-04-12,6710,6870,6660,6720,121165,0.0014903129657228842
2023-04-13,6720,6800,6600,6770,115401,0.007440476190476275
2023-04-14,6820,6960,6770,6790,164030,0.002954209748892156
2023-04-17,6790,6810,6680,6730,93558,-0.008836524300441795
2023-04-18,6800,6820,6600,6820,120051,0.013372956909361022
2023-04-19,6890,6990,6820,6960,199161,0.02052785923753664
2023-04-20,6940,6970,6650,6660,173260,-0.0431034482758621
2023-04-21,6660,6680,6460,6470,174519,-0.028528528528528496
2023-04-24,6450,6510,6310,6310,149823,-0.02472952086553326
2023-04-25,6310,6470,6180,6200,107902,-0.017432646592709933
2023-04-26,6170,6380,6080,6120,73675,-0.012903225806451646
2023-04-27,5980,6150,5960,6000,136048,-0.019607843137254943
2023-04-28,6020,6080,6000,6020,77867,0.0033333333333334103
2023-05-02,6020,6180,6020,6160,55916,0.023255813953488413
2023-05-03,6140,6210,6090,6090,50595,-0.011363636363636354
2023-05-04,6160,6160,6040,6100,47004,0.0016420361247948545
2023-05-08,6110,6220,6110,6170,45515,0.011475409836065653
2023-05-09,6120,6190,6080,6110,68923,-0.00972447325769854
2023-05-10,6100,6190,6050,6060,44496,-0.008183306055646433
2023-05-11,6040,6490,6040,6130,234558,0.011551155115511635
2023-05-12,6130,6160,6010,6020,65690,-0.01794453507340943
2023-05-15,6000,6080,5900,5980,79111,-0.006644518272425293
2023-05-16,5930,6020,5670,5800,136603,-0.030100334448160515
2023-05-17,5740,5970,5740,5950,62821,0.02586206896551735
2023-05-18,5960,6140,5960,6050,79046,0.01680672268907557
2023-05-19,6030,6140,6030,6050,66330,0.0
2023-05-22,6080,6110,6010,6030,46983,-0.0033057851239669533
2023-05-23,6030,6070,5960,5960,46786,-0.011608623548922004
2023-05-24,5960,5970,5900,5910,34141,-0.008389261744966459
2023-05-25,5960,6000,5790,5800,47980,-0.0186125211505922
2023-05-26,5850,5890,5710,5740,44326,-0.010344827586206917
2023-05-30,5720,5860,5700,5860,42437,0.020905923344947785
2023-05-31,5800,6030,5800,5950,47465,0.015358361774743923
2023-06-01,5950,6030,5860,5880,45055,-0.0117647058823529
2023-06-02,5840,5930,5800,5840,53368,-0.006802721088435382
2023-06-05,5900,6020,5800,6020,183239,0.03082191780821919
2023-06-07,7250,7390,6340,6340,3544837,0.0531561461794019
2023-06-08,6280,6770,6200,6550,1063462,0.03312302839116721
2023-06-09,6460,6590,6350,6350,342488,-0.03053435114503822
2023-06-12,6330,6430,6320,6360,145624,0.0015748031496063408
2023-06-13,6370,6730,6360,6550,589572,0.029874213836478036
2023-06-14,6530,6530,6310,6390,209810,-0.02442748091603053
2023-06-15,6390,6450,6230,6250,104183,-0.021909233176838794
2023-06-16,6250,6370,6240,6270,119264,0.0032000000000000917
2023-06-19,6250,6270,6170,6170,83277,-0.01594896331738438
2023-06-20,6150,6640,6130,6370,471554,0.03241491085899506
2023-06-21,6420,6840,6350,6470,1251748,0.01569858712715866
2023-06-22,6450,6640,6370,6590,230269,0.018547140649149974
2023-06-23,6530,6590,6430,6480,129852,-0.01669195751138086
2023-06-26,6460,6840,6420,6730,574310,0.03858024691358031
2023-06-27,6670,6780,6600,6750,190279,0.002971768202080227
2023-06-28,6780,6790,6630,6710,142820,-0.00592592592592589
2023-06-29,6680,6820,6510,6610,254839,-0.014903129657228065
2023-06-30,6540,6750,6390,6650,353493,0.00605143721633894
2023-07-03,6680,6720,6530,6590,120767,-0.009022556390977488
2023-07-04,6590,6690,6470,6550,128636,-0.006069802731411222
2023-07-05,6520,6550,6300,6350,163012,-0.03053435114503822
2023-07-06,6330,6330,6110,6150,130896,-0.03149606299212604
2023-07-07,6150,6200,6090,6160,78145,0.001626016260162677
2023-07-10,6080,6380,6080,6290,95965,0.02110389610389607
2023-07-11,6210,6370,6200,6340,82987,0.007949125596184325
2023-07-12,6320,6370,6230,6340,77546,0.0
2023-07-13,6340,6480,6200,6340,104980,0.0
2023-07-14,6310,6390,6210,6300,88634,-0.006309148264984188
2023-07-17,6310,6550,6270,6460,145180,0.025396825396825307
2023-07-18,6540,6540,6280,6420,97952,-0.006191950464396245
2023-07-19,6420,6510,6290,6360,101262,-0.009345794392523366
2023-07-20,6320,6350,6220,6280,87557,-0.012578616352201255
2023-07-21,6240,6410,6210,6290,100185,0.0015923566878981443
2023-07-24,6300,6300,5920,5970,199286,-0.05087440381558028
2023-07-25,5970,5980,5630,5640,192597,-0.055276381909547756
2023-07-26,5600,5690,5290,5400,266855,-0.04255319148936165
2023-07-27,5290,5620,5290,5520,106894,0.022222222222222143
2023-07-28,5510,5680,5500,5680,52215,0.02898550724637672
2023-07-31,5680,5870,5610,5760,81343,0.014084507042253502
2023-08-01,5800,6010,5730,5910,145062,0.02604166666666674
2023-08-02,5970,6020,5750,5840,73871,-0.011844331641285955
2023-08-03,5800,5820,5600,5780,104848,-0.010273972602739767
2023-08-04,5750,5850,5630,5800,52300,0.0034602076124568004
2023-08-07,5810,5950,5720,5930,76857,0.022413793103448265
2023-08-08,5910,5950,5730,5900,72253,-0.005059021922428353
2023-08-09,5930,5930,5730,5810,91265,-0.015254237288135575
2023-08-10,5960,6040,5860,5940,101909,0.022375215146299476
2023-08-11,5920,6010,5800,5930,78267,-0.0016835016835017313
2023-08-14,5850,5990,5830,5950,72489,0.003372681281618828
2023-08-16,5850,5890,5620,5660,162561,-0.04873949579831938
2023-08-17,5650,5660,5460,5530,106163,-0.02296819787985871
2023-08-18,5400,5630,5340,5510,135483,-0.003616636528028905
2023-08-21,5460,5720,5460,5680,90969,0.030852994555353952
2023-08-22,5730,5750,5550,5740,63075,0.010563380281690238
2023-08-23,5650,5760,5580,5590,98373,-0.026132404181184676
2023-08-24,5870,5930,5620,5650,189231,0.01073345259391778
2023-08-25,5650,5700,5510,5600,80048,-0.008849557522123908
2023-08-28,5560,5850,5560,5780,84521,0.03214285714285725
2023-08-29,5730,5910,5730,5830,70096,0.00865051903114189
2023-08-30,5850,5930,5800,5860,93211,0.005145797598627766
2023-08-31,5900,5970,5670,5790,76871,-0.011945392491467532
2023-09-01,5730,5840,5720,5790,34679,0.0
2023-09-04,5760,5790,5690,5770,47151,-0.003454231433506094
2023-09-05,5710,5800,5630,5700,43232,-0.012131715771230511
2023-09-06,5700,5790,5640,5760,43131,0.010526315789473717
2023-09-07,5700,5760,5640,5660,64822,-0.01736111111111116
2023-09-08,5650,5690,5610,5640,40927,-0.0035335689045936647
2023-09-11,5600,5730,5570,5630,41728,-0.0017730496453900457
2023-09-12,5690,5780,5520,5600,64420,-0.005328596802841923
2023-09-13,5510,5610,5460,5590,66781,-0.0017857142857142794
2023-09-14,5580,5620,5530,5550,27594,-0.007155635062611854
2023-09-15,5550,5740,5550,5730,116895,0.03243243243243232
2023-09-18,5700,6000,5660,6000,593436,0.04712041884816753
2023-09-19,5870,5870,5650,5730,255867,-0.04500000000000004
2023-09-20,5800,5890,5700,5740,174781,0.0017452006980802626
2023-09-21,5670,5720,5510,5580,117346,-0.027874564459930307
2023-09-22,5490,5530,5410,5500,88939,-0.014336917562724039
2023-09-25,5450,5570,5440,5510,67697,0.0018181818181817189
2023-09-26,5470,5610,5460,5580,69154,0.012704174228675091
2023-09-27,5530,5630,5510,5630,39559,0.008960573476702427
2023-10-04,5560,5600,5450,5490,38950,-0.0248667850799289
2023-10-05,5460,5550,5360,5410,71058,-0.014571948998178486
2023-10-06,5330,5480,5330,5450,39755,0.007393715341959428
2023-10-10,5370,5440,5270,5410,85259,-0.007339449541284404
2023-10-11,5390,5510,5380,5480,59145,0.012939001848428777
2023-10-12,5450,5550,5450,5480,14314,0.0
2023-10-13,5430,5530,5430,5500,21338,0.0036496350364962904
2023-10-16,5480,5550,5440,5490,46297,-0.0018181818181818299
2023-10-17,5500,5590,5490,5540,58885,0.00910746812386165
2023-10-18,5500,5510,5450,5500,34335,-0.0072202166064981865
2023-10-19,5450,5550,5200,5410,120047,-0.016363636363636358
2023-10-20,5290,5400,5170,5170,65134,-0.044362292051756014
2023-10-23,5130,5290,5120,5220,65062,0.009671179883945946
2023-10-24,5220,5380,5190,5350,59954,0.02490421455938696
2023-10-25,5350,5720,5250,5410,87965,0.01121495327102795
2023-10-26,5260,5380,5180,5300,64405,-0.020332717190388205
2023-10-27,5310,5380,5230,5280,34540,-0.0037735849056603765
2023-10-30,5250,5360,5230,5340,26109,0.011363636363636465
2023-10-31,5360,5440,5280,5390,68822,0.009363295880149725
2023-11-01,5370,5450,5290,5400,53359,0.0018552875695732052
2023-11-02,5420,5460,5390,5450,15852,0.0092592592592593
2023-11-03,5450,5550,5430,5510,59571,0.011009174311926495
2023-11-06,5540,5620,5480,5610,38564,0.01814882032667886
2023-11-07,5620,5630,5510,5630,38564,0.0035650623885918886
2023-11-08,5590,5650,5570,5620,29028,-0.001776198934280604
2023-11-09,5620,5680,5570,5670,64413,0.008896797153024938
2023-11-10,5620,5690,5620,5670,32613,0.0
2023-11-13,5670,5690,5480,5520,46397,-0.02645502645502651
2023-11-14,5590,5600,5270,5440,51372,-0.01449275362318836
2023-11-15,5500,5560,5480,5530,15383,0.016544117647058876
2023-11-16,5570,5640,5530,5600,14291,0.012658227848101333
2023-11-17,5620,5630,5430,5440,23341,-0.02857142857142858
2023-11-20,5410,5490,5380,5490,46390,0.009191176470588314
2023-11-21,5490,5630,5490,5600,26578,0.020036429872495543
2023-11-22,5600,5620,5540,5600,11597,0.0
2023-11-23,5590,5610,5500,5540,22591,-0.010714285714285676
2023-11-24,5630,5670,5560,5630,57937,0.016245487364620947
2023-11-27,5650,5820,5610,5710,85222,0.014209591474245054
2023-11-28,5660,5660,5470,5580,88503,-0.02276707530647981
2023-11-29,5540,5830,5500,5630,298503,0.008960573476702427
2023-11-30,5590,5620,5500,5500,66371,-0.023090586145648295
2023-12-01,5470,5590,5470,5530,32337,0.005454545454545379
2023-12-04,5530,5570,5480,5490,44409,-0.007233273056057921
2023-12-05,5520,5530,5380,5380,50101,-0.02003642987249543
2023-12-06,5390,5440,5390,5430,18795,0.009293680297397744
2023-12-07,5370,5460,5340,5390,34881,-0.007366482504604033
2023-12-08,5390,5450,5350,5450,34727,0.011131725417439675
2023-12-11,5450,5520,5380,5450,52529,0.0
2023-12-12,5460,5510,5440,5450,23110,0.0
2023-12-13,5500,6750,5500,6230,7830651,0.14311926605504577
2023-12-14,6100,6300,6000,6300,1041243,0.011235955056179803
2023-12-15,6300,6300,6010,6050,510835,-0.03968253968253965
2023-12-18,6060,6120,6020,6040,258932,-0.0016528925619834212
2023-12-19,6040,6060,5870,5970,259141,-0.011589403973509937
2023-12-20,6020,6100,5950,6050,226307,0.01340033500837512
2023-12-21,6000,6020,5900,5930,119850,-0.01983471074380161
2023-12-22,5930,5990,5890,5920,115359,-0.001686340640809414
2023-12-26,5910,5920,5760,5760,149254,-0.027027027027026973
2023-12-27,5750,6180,5750,5960,286475,0.03472222222222232
2023-12-28,5920,6020,5870,5990,85215,0.005033557046979942
2024-01-02,6010,6100,5990,6050,116980,0.01001669449081799
2024-01-03,5980,6060,5970,6030,76095,-0.0033057851239669533
2024-01-04,6030,6050,5860,5860,104015,-0.028192371475953548
2024-01-05,5920,6050,5900,6050,81399,0.03242320819112621
2024-01-08,6050,6180,6020,6120,220324,0.011570247933884392
2024-01-09,6110,6420,6060,6420,614911,0.0490196078431373
2024-01-10,6320,6440,6200,6210,371045,-0.032710280373831724
2024-01-11,6250,6310,6150,6180,126110,-0.004830917874396157
2024-01-12,6250,6400,6170,6240,272326,0.009708737864077666
2024-01-15,6270,6640,6190,6360,1010417,0.019230769230769162
2024-01-16,6300,6450,6140,6140,253066,-0.03459119496855345
2024-01-17,6140,6230,5880,5880,188730,-0.04234527687296419
2024-01-18,5880,6250,5880,6160,133242,0.04761904761904767
2024-01-19,6180,6340,6140,6190,210746,0.004870129870129913
2024-01-22,6230,6330,6140,6190,101584,0.0
2024-01-23,6300,6390,6210,6280,165394,0.01453957996768973
2024-01-24,6320,6360,6170,6210,78828,-0.011146496815286677
2024-01-25,6240,6240,6020,6110,92082,-0.01610305958132041
2024-01-26,6110,6250,6060,6170,41637,0.009819967266775809
2024-01-29,6180,6440,6160,6170,170638,0.0
2024-01-30,6200,6310,6040,6080,77739,-0.014586709886547866
2024-01-31,6060,6240,5960,5960,86341,-0.019736842105263164
2024-02-01,5910,6090,5910,6050,45017,0.015100671140939603
2024-02-02,6070,6140,6010,6030,63055,-0.0033057851239669533
2024-02-05,6100,6100,5970,6000,33626,-0.00497512437810943
2024-02-06,6070,6070,5900,5940,45224,-0.010000000000000009
2024-02-07,5930,6090,5880,5900,49801,-0.006734006734006703
2024-02-08,5930,6050,5880,5910,46668,0.0016949152542373724
2024-02-13,5930,6050,5920,5970,51956,0.010152284263959421
2024-02-14,5940,6070,5920,6060,50210,0.015075376884422065
2024-02-15,6070,6080,5990,6050,47721,-0.0016501650165016146
2024-02-16,6040,6040,5950,6000,39468,-0.008264462809917328
2024-02-19,6000,6230,6000,6220,143509,0.036666666666666625
2024-02-20,6220,6230,6100,6130,60937,-0.014469453376205754
2024-02-21,6150,6250,6100,6100,74725,-0.004893964110929905
2024-02-22,6140,6150,6020,6030,43964,-0.011475409836065542
2024-02-23,6080,6090,5960,5980,48062,-0.008291873963515717
2024-02-26,6060,6060,5880,5910,89625,-0.01170568561872909
2024-02-27,5920,5980,5820,5870,52753,-0.006768189509306244
2024-02-28,5950,5950,5830,5830,38057,-0.006814310051107331
2024-02-29,5840,5900,5810,5860,43325,0.005145797598627766
2024-03-04,5930,5960,5860,5900,33056,0.006825938566553003
2024-03-05,5900,5960,5800,5810,44619,-0.015254237288135575
2024-03-06,5760,5830,5720,5730,44238,-0.013769363166953541
2024-03-07,5720,5790,5250,5600,291954,-0.022687609075043635
2024-03-08,5600,5650,5500,5530,47445,-0.012499999999999956
2024-03-11,5610,5630,5530,5600,26766,0.012658227848101333
2024-03-12,5620,5620,5540,5600,42996,0.0
2024-03-13,5600,5620,5550,5580,27240,-0.0035714285714285587
2024-03-14,5560,5640,5540,5600,28554,0.0035842293906809264
2024-03-15,5550,5640,5550,5590,20739,-0.0017857142857142794
2024-03-18,5570,5620,5560,5600,26544,0.0017889087656528524
2024-03-19,5620,5660,5580,5580,27614,-0.0035714285714285587
2024-03-20,5590,5660,5560,5580,29059,0.0
2024-03-21,5560,5580,5490,5570,79119,-0.0017921146953404632
2024-03-22,5570,5570,5520,5560,28335,-0.0017953321364452268
2024-03-25,5550,5550,5440,5460,37988,-0.017985611510791366
2024-03-26,5460,5530,5460,5500,28365,0.0073260073260073
2024-03-27,5500,5560,5480,5530,33590,0.005454545454545379
2024-03-28,5500,5560,5480,5510,22690,-0.003616636528028905
2024-03-29,5570,5620,5500,5500,29647,-0.001814882032667886
