Date,Open,High,Low,Close,Volume,Change
2023-04-04,29500,29550,29300,29550,1879,0.0
2023-04-05,29500,29500,29000,29250,1708,-0.010152284263959421
2023-04-06,28950,29650,28900,29300,4227,0.0017094017094017033
2023-04-07,29300,29650,29050,29300,2925,0.0
2023-04-10,29550,29550,28600,28600,2596,-0.023890784982935176
2023-04-11,28600,29600,28600,29150,1696,0.019230769230769162
2023-04-12,29050,29850,29050,29450,5069,0.010291595197255532
2023-04-13,29350,29750,29200,29600,2150,0.005093378607809784
2023-04-14,29600,29700,29400,29650,2247,0.0016891891891892552
2023-04-17,29800,30300,29500,30150,7256,0.01686340640809436
2023-04-18,30150,30300,29900,30200,4063,0.0016583747927032544
2023-04-19,30300,30450,30000,30450,2178,0.008278145695364225
2023-04-20,30700,30700,30100,30300,1643,-0.0049261083743842304
2023-04-21,30300,30400,29850,30400,2092,0.0033003300330032292
2023-04-24,30250,30250,29400,29950,6823,-0.014802631578947345
2023-04-25,29900,29900,29550,29750,2809,-0.006677796327211993
2023-04-26,29750,29800,29250,29800,828,0.001680672268907557
2023-04-27,29800,29800,29350,29600,1011,-0.006711409395973145
2023-04-28,29600,29850,29400,29850,363,0.008445945945946054
2023-05-02,29600,29800,29450,29650,732,-0.00670016750418756
2023-05-03,29650,29850,29250,29800,2086,0.005059021922428242
2023-05-04,29950,30200,29500,29850,1658,0.001677852348993314
2023-05-08,29550,30150,29400,29900,1472,0.0016750418760469454
2023-05-09,29700,30000,29450,30000,901,0.0033444816053511683
2023-05-10,29950,30050,29500,29750,3056,-0.008333333333333304
2023-05-11,29850,30000,29600,30000,663,0.008403361344537785
2023-05-12,30100,31400,29750,31300,8528,0.043333333333333224
2023-05-15,31300,31500,30400,31400,10512,0.0031948881789136685
2023-05-16,31250,31400,30600,31400,5834,0.0
2023-05-17,31450,32300,31250,31950,17386,0.01751592356687892
2023-05-18,31950,32350,31850,32200,8832,0.00782472613458518
2023-05-19,32300,32350,30400,32200,7426,0.0
2023-05-22,32300,32300,31250,32000,5593,-0.006211180124223614
2023-05-23,32000,32000,31250,31750,5075,-0.0078125
2023-05-24,31750,31850,31350,31750,2935,0.0
2023-05-25,31900,31900,31450,31750,1425,0.0
2023-05-26,31450,31900,31100,31550,2112,-0.006299212598425252
2023-05-30,31550,31550,30500,31150,8538,-0.01267828843106178
2023-05-31,31150,31200,30300,30700,5664,-0.014446227929374
2023-06-01,30350,30800,30250,30800,6536,0.0032573289902280145
2023-06-02,30800,31650,30550,31650,2429,0.02759740259740262
2023-06-05,31700,31700,31000,31250,2887,-0.012638230647709303
2023-06-07,31250,31250,30800,30950,4734,-0.009600000000000053
2023-06-08,30900,31350,30600,30950,2131,0.0
2023-06-09,30950,31250,30750,31000,2192,0.001615508885298933
2023-06-12,31000,31050,30250,31050,7482,0.001612903225806539
2023-06-13,31100,31100,30650,30950,6138,-0.0032206119162641045
2023-06-14,30750,31100,30450,30750,4737,-0.00646203554119551
2023-06-15,30600,30800,30000,30550,5525,-0.006504065040650375
2023-06-16,30900,30900,30050,30600,2212,0.0016366612111293755
2023-06-19,30900,30900,30650,30900,736,0.009803921568627416
2023-06-20,30900,31200,30750,31200,3264,0.009708737864077666
2023-06-21,30850,31300,30500,30750,3393,-0.014423076923076872
2023-06-22,30750,31000,30150,30900,3328,0.004878048780487809
2023-06-23,30900,30950,30200,30450,3175,-0.014563106796116498
2023-06-26,30450,30600,30050,30600,1887,0.0049261083743843415
2023-06-27,30600,30750,30150,30550,2006,-0.0016339869281045694
2023-06-28,30550,30750,30000,30600,2644,0.0016366612111293755
2023-06-29,30400,31050,30400,30750,4334,0.004901960784313708
2023-06-30,30600,30900,30400,30700,698,-0.001626016260162566
2023-07-03,30700,31050,30200,31000,4237,0.009771986970684043
2023-07-04,30850,31000,30350,30950,1830,-0.001612903225806428
2023-07-05,30950,31000,30700,31000,1306,0.001615508885298933
2023-07-06,30900,30950,30350,30800,4195,-0.006451612903225823
2023-07-07,30500,31000,30400,31000,2176,0.006493506493506551
2023-07-10,30550,31050,30550,30900,1529,-0.003225806451612856
2023-07-11,30900,30950,30200,30400,7214,-0.016181229773462813
2023-07-12,30500,30850,30400,30700,2317,0.009868421052631637
2023-07-13,30700,31000,30500,30900,2507,0.006514657980456029
2023-07-14,30900,31000,30350,30900,3713,0.0
2023-07-17,30800,30950,30450,30650,2175,-0.008090614886731351
2023-07-18,30400,30650,30300,30400,1217,-0.00815660685154973
2023-07-19,30350,30400,30150,30250,2175,-0.004934210526315819
2023-07-20,30250,30300,29850,30300,3779,0.0016528925619834212
2023-07-21,30300,30300,29850,30000,1966,-0.00990099009900991
2023-07-24,30000,30000,29500,29700,2143,-0.010000000000000009
2023-07-25,29700,29700,29150,29700,3862,0.0
2023-07-26,29300,29600,28700,28750,3876,-0.03198653198653201
2023-07-27,28750,30300,28750,29850,3725,0.03826086956521735
2023-07-28,29800,30150,29250,30150,1110,0.01005025125628145
2023-07-31,30150,30150,29850,30050,1262,-0.0033167495854062867
2023-08-01,30050,30150,29750,30000,918,-0.0016638935108153063
2023-08-02,30000,30000,29700,30000,1058,0.0
2023-08-03,30000,30000,28750,29600,3326,-0.013333333333333308
2023-08-04,29650,29700,29250,29350,606,-0.008445945945945943
