Date,Open,High,Low,Close,Volume,Change
2023-04-04,2230,2400,2225,2340,3268573,0.0564334085778781
2023-04-05,2340,2585,2315,2425,5676188,0.0363247863247864
2023-04-06,2425,2525,2395,2435,1180880,0.0041237113402061
2023-04-07,2520,2550,2430,2450,973327,0.0061601642710471
2023-04-10,2440,2490,2360,2480,1099917,0.0122448979591835
2023-04-11,2455,2490,2360,2470,821894,-0.0040322580645161
2023-04-12,2500,2645,2500,2595,1702390,0.0506072874493928
2023-04-13,2670,2760,2595,2660,1971091,0.02504816955684
2023-04-14,2660,2725,2600,2630,810029,-0.0112781954887217
2023-04-17,2600,2750,2595,2735,931615,0.0399239543726235
2023-04-18,2750,2875,2735,2825,1204472,0.0329067641681901
2023-04-19,2925,3075,2865,3030,2630250,0.072566371681416
2023-04-20,3025,3110,2895,2985,1742498,-0.0148514851485148
2023-04-21,2965,3090,2885,2920,1338710,-0.0217755443886097
2023-04-24,2855,2860,2590,2715,2489951,-0.0702054794520548
2023-04-25,2730,2730,2600,2685,834157,-0.011049723756906
2023-04-26,2750,2900,2725,2850,1245671,0.0614525139664805
2023-04-27,2775,2895,2745,2870,1056997,0.0070175438596491
2023-04-28,2910,2995,2785,2875,825670,0.0017421602787457
2023-05-02,2950,2950,2855,2870,560015,-0.0017391304347825
2023-05-03,2855,2880,2760,2775,370499,-0.0331010452961672
2023-05-04,2775,2890,2765,2830,506412,0.0198198198198198
2023-05-08,2830,2870,2755,2755,348756,-0.0265017667844522
2023-05-09,2755,2795,2655,2750,598180,-0.0018148820326678
2023-05-10,2765,3020,2725,2945,1875035,0.0709090909090908
2023-05-11,2945,3210,2845,3160,2324258,0.0730050933786077
2023-05-12,3160,3300,2980,3045,2956658,-0.0363924050632911
2023-05-15,3045,3290,2995,3150,2704704,0.0344827586206897
2023-05-16,3170,3365,3155,3290,2492288,0.0444444444444445
2023-05-17,3315,3345,3200,3215,1049842,-0.0227963525835865
2023-05-18,3215,3295,3195,3250,1066946,0.0108864696734058
2023-05-19,3230,3245,3125,3185,824378,-0.02
2023-05-22,3130,3185,3065,3135,499448,-0.0156985871271585
2023-05-23,3150,3175,3070,3110,509483,-0.0079744816586921
2023-05-24,3095,3340,3005,3200,1105702,0.0289389067524115
2023-05-25,3180,3555,3150,3550,3012959,0.109375
2023-05-26,3530,3605,3325,3490,2276671,-0.0169014084507042
2023-05-30,3470,3560,3325,3425,1018284,-0.0186246418338108
2023-05-31,3355,3415,3285,3360,718038,-0.018978102189781
2023-06-01,3355,3620,3320,3510,1834409,0.0446428571428572
2023-06-02,3510,3735,3510,3695,2067587,0.0527065527065526
2023-06-05,3735,4060,3735,3900,4368318,0.0554803788903923
2023-06-07,3905,4100,3880,4020,2007633,0.0307692307692306
2023-06-08,4110,4165,3950,4080,1573751,0.0149253731343284
2023-06-09,4100,4505,4100,4480,4503870,0.0980392156862746
2023-06-12,4480,4600,4035,4180,4719659,-0.0669642857142857
2023-06-13,4195,4420,4055,4250,2413483,0.0167464114832536
2023-06-14,4260,4425,4115,4285,1763115,0.0082352941176471
2023-06-15,4265,4315,4160,4215,1115754,-0.0163360560093348
2023-06-16,4215,4445,4190,4420,1649052,0.0486358244365361
2023-06-19,4445,4565,4225,4235,1402391,-0.0418552036199094
2023-06-20,4270,4460,4245,4380,1203362,0.0342384887839433
2023-06-21,4320,4395,4185,4240,1225691,-0.0319634703196347
2023-06-22,4245,4290,4120,4170,1040867,-0.0165094339622641
2023-06-23,4145,4380,4080,4345,1626227,0.0419664268585131
2023-06-26,4340,4340,4160,4160,989959,-0.0425776754890678
2023-06-27,4225,4300,4135,4175,836380,0.0036057692307691
2023-06-28,4175,4235,4040,4105,1252542,-0.0167664670658682
2023-06-29,4060,4230,4055,4145,747895,0.0097442143727162
2023-06-30,4110,4225,4015,4170,1011146,0.0060313630880579
2023-07-03,4210,4210,3855,3960,2349199,-0.0503597122302158
2023-07-04,3995,4050,3845,4025,1035624,0.0164141414141414
2023-07-05,4030,4135,3970,4080,601639,0.0136645962732919
2023-07-06,4050,4445,3975,4080,2333779,0.0
2023-07-07,4265,4690,4130,4620,8104123,0.1323529411764705
2023-07-10,4670,4820,4520,4620,3463228,0.0
2023-07-11,4735,4940,4450,4600,3266377,-0.0043290043290042
2023-07-12,4555,4730,4460,4600,1176576,0.0
2023-07-13,4600,4705,4450,4665,1495386,0.0141304347826087
