Date,Open,High,Low,Close,Volume,Change
2023-04-04,25150,25900,25050,25850,20421,0.0278330019880714
2023-04-05,25550,25850,25200,25550,19953,-0.011605415860735
2023-04-06,25550,25650,25100,25250,9464,-0.0117416829745596
2023-04-07,25600,25600,24950,25150,8429,-0.0039603960396039
2023-04-10,25000,25150,24500,25150,22651,0.0
2023-04-11,25150,25150,24700,24800,14710,-0.0139165009940357
2023-04-12,24850,25000,24700,24700,9335,-0.0040322580645161
2023-04-13,24650,24900,24600,24800,7957,0.0040485829959513
2023-04-14,24800,25050,24800,24800,8452,0.0
2023-04-17,24750,25100,24650,24800,16172,0.0
2023-04-18,24800,24950,24550,24750,17610,-0.0020161290322581
2023-04-19,24800,25400,24750,25050,38541,0.0121212121212122
2023-04-20,25250,25350,25000,25100,35869,0.0019960079840319
2023-04-21,25250,25250,24650,24700,21541,-0.0159362549800796
2023-04-24,24650,24750,22800,24000,28308,-0.0283400809716599
2023-04-25,24000,24450,23800,24350,13417,0.0145833333333333
2023-04-26,24150,24400,23850,24250,8641,-0.0041067761806981
2023-04-27,24200,24400,23850,24250,9450,0.0
2023-04-28,24250,24300,23850,24000,10240,-0.0103092783505154
2023-05-02,23750,24500,23750,24300,11006,0.0124999999999999
2023-05-03,24050,24500,24000,24450,5492,0.0061728395061728
2023-05-04,24350,24900,24250,24850,7902,0.016359918200409
2023-05-08,24750,25150,24550,25100,9858,0.0100603621730381
2023-05-09,25000,25150,24650,24850,7092,-0.0099601593625497
2023-05-10,24750,25150,24000,24600,11584,-0.0100603621730381
2023-05-11,24800,24800,24350,24400,8005,-0.008130081300813
2023-05-12,24500,24550,24150,24500,9699,0.0040983606557376
2023-05-15,24550,24550,23050,24150,9374,-0.0142857142857142
2023-05-16,23900,24000,23200,23550,41859,-0.0248447204968944
2023-05-17,23550,24100,23550,23750,8971,0.0084925690021231
2023-05-18,23800,24000,23600,24000,5224,0.0105263157894737
2023-05-19,24000,24000,22450,22950,68629,-0.0437499999999999
2023-05-22,22850,23250,22800,23150,14398,0.0087145969498909
2023-05-23,23300,23300,22800,22950,21906,-0.0086393088552916
2023-05-24,23050,23200,22750,23000,11053,0.0021786492374726
2023-05-25,23200,23200,22850,23100,10106,0.0043478260869564
2023-05-26,23050,23200,22800,23150,11234,0.0021645021645022
2023-05-30,22900,23100,22800,23100,13538,-0.0021598272138229
2023-05-31,23000,23150,22800,23050,15581,-0.0021645021645021
2023-06-01,23000,23150,22800,23000,11429,-0.002169197396963
2023-06-02,22850,23100,22800,23000,12845,0.0
2023-06-05,23150,23150,22850,23100,14197,0.0043478260869564
2023-06-07,23100,23350,23050,23250,14156,0.0064935064935065
2023-06-08,23150,23300,22750,22900,19429,-0.0150537634408601
2023-06-09,23300,23500,22850,23050,45904,0.0065502183406114
2023-06-12,23050,23150,22900,23050,14377,0.0
2023-06-13,22850,23100,22600,22900,26559,-0.0065075921908893
2023-06-14,22950,23100,22550,22800,22230,-0.0043668122270742
2023-06-15,22850,23150,22650,23100,13034,0.013157894736842
2023-06-16,23200,23200,22900,23100,7039,0.0
2023-06-19,23250,23500,22850,23500,26446,0.0173160173160173
2023-06-20,23500,24000,23300,23700,20609,0.0085106382978723
2023-06-21,23800,23800,23400,23400,7133,-0.0126582278481012
2023-06-22,23550,24200,23250,23950,31944,0.0235042735042734
2023-06-23,24000,24400,23600,24250,34319,0.0125260960334028
2023-06-26,24000,24250,23700,24050,28969,-0.0082474226804123
2023-06-27,24050,24100,23250,23600,37946,-0.0187110187110186
2023-06-28,23500,24250,23500,24100,28828,0.021186440677966
2023-06-29,24100,24600,23700,24600,43171,0.0207468879668049
2023-06-30,24500,25300,23950,25150,45903,0.0223577235772358
2023-07-03,24900,25150,24850,24900,21407,-0.0099403578528827
2023-07-04,24300,24450,23850,23950,38652,-0.0381526104417671
2023-07-05,23900,24300,23650,23950,29079,0.0
2023-07-06,23950,24300,23350,23550,38268,-0.0167014613778705
2023-07-07,23550,23700,22900,22900,23755,-0.0276008492569002
2023-07-10,23000,23550,22650,23200,27477,0.0131004366812226
2023-07-11,23150,23550,23000,23300,37435,0.0043103448275862
2023-07-12,23400,23450,22800,23150,47432,-0.0064377682403433
2023-07-13,23200,23550,23000,23200,39545,0.0021598272138227
2023-07-14,23400,23450,23050,23200,34954,0.0
2023-07-17,23350,23350,22850,23000,21010,-0.0086206896551723
2023-07-18,23150,23200,22800,23000,33799,0.0
2023-07-19,23050,23500,22800,23400,39960,0.0173913043478259
2023-07-20,23150,23850,23150,23800,26020,0.017094017094017
2023-07-21,23500,23950,23500,23600,27245,-0.0084033613445377
2023-07-24,23600,23850,23050,23350,30481,-0.010593220338983
2023-07-25,23500,23600,22950,23300,30911,-0.0021413276231263
2023-07-26,23100,23350,22450,22600,54319,-0.0300429184549356
2023-07-27,22850,22850,22400,22400,51064,-0.0088495575221239
2023-07-28,22300,23650,22300,23100,36832,0.03125
2023-07-31,23100,23600,22950,23150,21884,0.0021645021645022
2023-08-01,23150,23850,23150,23750,30538,0.0259179265658746
2023-08-02,23550,23900,23250,23650,33315,-0.0042105263157894
2023-08-03,23550,24350,23550,24250,29374,0.025369978858351
2023-08-04,24150,24150,23650,23650,9926,-0.0247422680412371
2023-08-07,23550,23650,23000,23150,10961,-0.0211416490486258
2023-08-08,22950,23150,22700,22800,9472,-0.0151187904967602
2023-08-09,22850,23650,22650,23550,15859,0.0328947368421053
2023-08-10,23550,24100,23250,23900,25049,0.0148619957537154
2023-08-11,24300,24650,23650,23900,39047,0.0
2023-08-14,24400,24650,23900,24450,44405,0.0230125523012552
2023-08-16,24150,24300,23400,23450,30786,-0.0408997955010225
2023-08-17,23450,23450,22900,23100,18603,-0.0149253731343284
2023-08-18,23100,23550,22950,23100,21039,0.0
2023-08-21,23100,23100,22850,23000,13574,-0.0043290043290042
2023-08-22,22800,23250,22800,23150,8257,0.0065217391304348
2023-08-23,23000,23300,22900,23000,5215,-0.0064794816414687
2023-08-24,23000,23000,22800,22850,3183,-0.0065217391304347
2023-08-25,22700,23350,22700,22850,13193,0.0
2023-08-28,23400,23400,22850,22850,15762,0.0
2023-08-29,22800,23050,22800,23050,10589,0.0087527352297593
2023-08-30,23050,23550,23050,23150,13390,0.0043383947939261
2023-08-31,23100,23250,22900,23050,8490,-0.0043196544276458
2023-09-01,23000,23400,23000,23300,6206,0.0108459869848156
2023-09-04,23300,23300,22900,22950,8903,-0.0150214592274677
2023-09-05,23100,23100,22600,22750,15591,-0.008714596949891
2023-09-06,22850,22850,22650,22850,13406,0.0043956043956043
2023-09-07,22850,22850,22300,22400,18501,-0.0196936542669584
2023-09-08,22400,22800,22300,22450,9186,0.0022321428571427
2023-09-11,22700,22700,22300,22500,7911,0.0022271714922048
2023-09-12,22400,22650,22400,22500,2604,0.0
