Date,Open,High,Low,Close,Volume,Change
2013-09-16,1085,1085,1060,1070,29598,
2013-09-17,1075,1080,1055,1055,39056,-0.0140186915887849
2013-09-23,1055,1065,1045,1050,41957,-0.004739336492891
2013-09-24,1045,1060,1040,1055,15904,0.0047619047619047
2013-09-25,1060,1065,1040,1040,46539,-0.014218009478673
2013-09-26,1050,1055,1035,1045,29070,0.0048076923076922
2013-09-27,1055,1055,1030,1050,75136,0.0047846889952152
2013-09-30,1050,1055,1030,1050,59809,0.0
2013-10-01,1050,1055,1030,1030,68724,-0.019047619047619
2013-10-02,1035,1075,1035,1065,93284,0.0339805825242718
2013-10-04,1065,1080,1050,1060,36959,-0.0046948356807511
2013-10-07,1050,1075,1040,1060,21180,0.0
2013-10-08,1035,1050,1035,1050,23068,-0.0094339622641509
2013-10-10,1050,1060,1040,1040,14433,-0.0095238095238094
2013-10-11,1050,1055,1030,1035,50602,-0.0048076923076922
2013-10-14,1035,1040,1030,1040,28613,0.0048309178743961
2013-10-15,1040,1055,1035,1055,68401,0.0144230769230768
2013-10-16,1055,1065,1040,1065,57259,0.009478672985782
2013-10-17,1065,1065,1035,1035,15779,-0.028169014084507
2013-10-18,1040,1065,1040,1060,52491,0.0241545893719807
2013-10-21,1060,1060,1045,1060,18058,0.0
2013-10-22,1070,1070,1045,1060,14029,0.0
2013-10-23,1065,1085,1050,1085,45546,0.0235849056603774
2013-10-24,1085,1085,1050,1055,35830,-0.0276497695852534
2013-10-25,1055,1060,1030,1035,49317,-0.0189573459715639
2013-10-28,1035,1045,1035,1045,35724,0.0096618357487923
2013-10-29,1040,1060,1030,1040,45721,-0.0047846889952153
2013-10-30,1050,1050,1025,1040,41517,0.0
2013-10-31,1040,1040,1020,1030,60645,-0.0096153846153845
2013-11-01,1025,1035,1020,1025,26530,-0.0048543689320388
2013-11-04,1025,1045,1020,1040,39480,0.0146341463414634
2013-11-05,1045,1045,1000,1025,50693,-0.0144230769230768
