Date,Open,High,Low,Close,Volume,Change
2013-09-16,0,0,0,9662,0,
2013-09-17,0,0,0,9662,0,0.0
2013-09-23,0,0,0,9662,0,0.0
2013-09-24,0,0,0,9662,0,0.0
2013-09-25,0,0,0,9662,0,0.0
2013-09-26,0,0,0,9662,0,0.0
2013-09-27,0,0,0,9662,0,0.0
2013-09-30,0,0,0,9662,0,0.0
2013-10-01,0,0,0,9662,0,0.0
2013-10-02,0,0,0,9662,0,0.0
2013-10-04,0,0,0,9662,0,0.0
2013-10-07,0,0,0,9662,0,0.0
2013-10-08,0,0,0,9662,0,0.0
2013-10-10,0,0,0,9662,0,0.0
2013-10-11,0,0,0,9662,0,0.0
2013-10-14,0,0,0,9662,0,0.0
2013-10-15,0,0,0,9662,0,0.0
2013-10-16,0,0,0,9662,0,0.0
2013-10-17,0,0,0,9662,0,0.0
2013-10-18,0,0,0,9662,0,0.0
2013-10-21,0,0,0,9662,0,0.0
2013-10-22,0,0,0,9662,0,0.0
2013-10-23,0,0,0,9662,0,0.0
2013-10-24,0,0,0,9662,0,0.0
2013-10-25,0,0,0,9662,0,0.0
2013-10-28,0,0,0,9662,0,0.0
2013-10-29,0,0,0,9662,0,0.0
2013-10-30,0,0,0,9662,0,0.0
2013-10-31,0,0,0,9662,0,0.0
2013-11-01,0,0,0,9662,0,0.0
2013-11-04,0,0,0,9662,0,0.0
2013-11-05,0,0,0,9662,0,0.0
2013-11-06,0,0,0,9662,0,0.0
2013-11-07,0,0,0,9662,0,0.0
2013-11-08,0,0,0,9662,0,0.0
2013-11-11,0,0,0,9662,0,0.0
2013-11-12,0,0,0,9662,0,0.0
2013-11-13,0,0,0,9662,0,0.0
2013-11-14,0,0,0,9662,0,0.0
2013-11-15,0,0,0,9662,0,0.0
2013-11-18,0,0,0,9662,0,0.0
2013-11-19,0,0,0,9662,0,0.0
2013-11-20,0,0,0,9662,0,0.0
2013-11-21,0,0,0,9662,0,0.0
2013-11-22,9661,11108,9096,9096,100792,-0.0585800041399295
2013-11-25,8407,8889,7732,7732,59979,-0.1499560246262092
2013-11-26,7883,8820,7607,7704,29970,-0.0036213140196585
2013-11-27,7718,7718,7346,7346,30840,-0.0464693665628245
2013-11-28,7621,7621,7166,7167,17414,-0.024367002450313
2013-11-29,7111,7718,7111,7401,16102,0.0326496442025951
2013-12-02,7277,7539,7029,7029,6706,-0.0502634779083908
