Date,Open,High,Low,Close,Volume,Change
2019-06-18,57200,58200,56800,57200,43422,0.007042253521126751
2019-06-19,58000,58900,57200,57600,57093,0.006993006993007089
2019-06-20,58100,60200,57900,59200,46255,0.02777777777777768
2019-06-21,59500,60200,56000,56000,277841,-0.05405405405405406
2019-06-24,56300,56300,53400,55300,140177,-0.012499999999999956
2019-06-25,56300,64900,56300,61300,365518,0.10849909584086803
2019-06-26,60900,63600,60700,61200,104368,-0.0016313213703099683
2019-06-27,61300,65400,61200,63700,151104,0.040849673202614456
2019-06-28,64600,65100,63400,63600,52730,-0.0015698587127158659
2019-07-01,64000,64000,60800,62000,81239,-0.02515723270440251
2019-07-02,62000,62700,61200,61800,37214,-0.003225806451612856
2019-07-03,61800,62900,61000,62200,30167,0.006472491909385036
2019-07-04,62200,62700,60000,61600,41862,-0.009646302250803873
2019-07-05,62100,62400,60200,61100,31110,-0.008116883116883078
2019-07-08,61100,61100,56400,56500,97646,-0.07528641571194761
2019-07-09,57000,58100,55400,55900,78302,-0.010619469026548645
2019-07-10,58100,60300,57100,58900,111478,0.05366726296958846
2019-07-11,59900,60400,58600,59500,52570,0.01018675721561979
2019-07-12,58800,61200,58200,61200,58577,0.02857142857142847
2019-07-15,61400,61600,59500,61200,47922,0.0
2019-07-16,60400,61400,60000,60600,21970,-0.009803921568627416
2019-07-17,60000,60000,57700,58400,46393,-0.0363036303630363
2019-07-18,66500,73000,66000,67100,641721,0.148972602739726
2019-07-19,68000,71900,66800,71300,216453,0.06259314456035758
2019-07-22,71300,74700,70600,71200,130523,-0.0014025245441795509
2019-07-23,71300,72500,68500,68900,81318,-0.032303370786516905
2019-07-24,68400,69500,66000,67600,75891,-0.018867924528301883
2019-07-25,67600,74100,66300,72800,226116,0.07692307692307687
2019-07-26,72600,73900,70700,72000,114766,-0.01098901098901095
2019-07-29,71700,72300,68100,68500,87914,-0.04861111111111116
2019-07-30,68500,71100,68000,68800,66964,0.004379562043795637
2019-07-31,68900,71900,67500,71400,67725,0.03779069767441867
2019-08-01,71400,76700,68700,75100,231411,0.051820728291316565
2019-08-02,75100,77900,73900,75800,200510,0.009320905459387463
2019-08-05,76800,78300,71500,71700,172587,-0.05408970976253302
2019-08-06,71700,71700,68400,69200,157372,-0.034867503486750384
2019-08-07,70200,71800,68300,71200,120412,0.028901734104046284
2019-08-08,69500,71500,68500,71500,107465,0.004213483146067398
2019-08-09,72300,74500,71100,73000,124670,0.020979020979021046
2019-08-12,73000,73200,71500,71700,49627,-0.017808219178082174
2019-08-13,71200,73900,70000,73200,84191,0.02092050209205021
2019-08-14,73900,75500,72800,73300,60543,0.001366120218579292
2019-08-16,72100,72800,70600,72000,49162,-0.017735334242837686
2019-08-19,72000,73300,71400,72900,35756,0.012499999999999956
2019-08-20,73000,73100,70700,72500,62498,-0.005486968449931462
2019-08-21,72900,77600,72100,77000,187769,0.06206896551724128
2019-08-22,76900,77700,75100,76200,99248,-0.010389610389610393
2019-08-23,76200,79100,74800,77900,111119,0.022309711286089273
2019-08-26,75900,76500,73600,74000,132350,-0.05006418485237485
2019-08-27,75200,75900,73100,73100,90810,-0.012162162162162149
2019-08-28,73600,75300,72600,75200,85925,0.028727770177838563
2019-08-29,75200,75300,69400,71000,137425,-0.05585106382978722
2019-08-30,71600,73200,71500,73000,63977,0.028169014084507005
2019-09-02,72500,78900,72400,78500,213240,0.07534246575342474
2019-09-03,79900,80700,78000,78900,96014,0.005095541401273884
2019-09-04,78300,80600,77700,80600,76319,0.02154626108998725
2019-09-05,80200,84100,80100,83900,121469,0.04094292803970223
2019-09-06,84600,86000,83400,84000,68877,0.0011918951132301459
2019-09-09,84800,85000,81100,83200,65044,-0.00952380952380949
2019-09-10,82300,83700,81200,82500,69706,-0.008413461538461564
2019-09-11,82000,84000,81900,82500,67145,0.0
2019-09-16,83200,84000,82100,83200,48323,0.00848484848484854
2019-09-17,83500,83600,81500,82200,63094,-0.012019230769230727
2019-09-18,82600,85800,82300,83700,86474,0.018248175182481674
2019-09-19,83700,85300,82100,82300,60039,-0.016726403823178027
2019-09-20,82900,87000,82300,87000,108348,0.05710814094775207
2019-09-23,87000,87200,85500,86500,38590,-0.005747126436781658
2019-09-24,86500,87500,83700,84500,83150,-0.023121387283236983
2019-09-25,83900,85300,82200,82400,64327,-0.02485207100591713
2019-09-26,82200,84500,82200,83500,49965,0.013349514563106846
2019-09-27,83600,85200,82800,84900,47828,0.016766467065868262
2019-09-30,84600,85600,82100,85600,59932,0.008244994110718551
2019-10-01,85500,85500,83100,84200,54857,-0.016355140186915862
2019-10-02,83400,87700,83100,86600,62813,0.028503562945368266
2019-10-04,85900,89100,85300,87000,80092,0.004618937644341736
2019-10-07,87700,87800,82200,83800,235616,-0.0367816091954023
2019-10-08,82700,87100,82500,85700,84157,0.022673031026253065
2019-10-10,84600,89900,84600,86800,114578,0.012835472578763163
2019-10-11,88200,95000,88000,92100,222377,0.06105990783410142
2019-10-14,93400,96700,92700,93900,148258,0.019543973941368087
2019-10-15,94500,97400,93200,96400,108891,0.026624068157614422
2019-10-16,96400,98300,96000,96600,63886,0.0020746887966804906
2019-10-17,96600,99500,95500,98900,93007,0.023809523809523725
2019-10-18,98500,100300,96400,97100,94882,-0.018200202224469164
2019-10-21,97100,99400,95800,99300,71941,0.022657054582904124
2019-10-22,99400,99700,98200,99200,55541,-0.001007049345417954
2019-10-23,99200,101200,98400,99900,68495,0.007056451612903247
2019-10-24,99300,100200,97100,98300,80384,-0.016016016016015988
2019-10-25,99500,101700,98500,99800,126430,0.015259409969481164
2019-10-28,100000,100700,98100,99800,54339,0.0
2019-10-29,100400,100400,97900,99000,57378,-0.008016032064128265
2019-10-30,98000,99200,95200,95700,94050,-0.033333333333333326
2019-10-31,95300,98900,95300,96300,105791,0.006269592476489061
2019-11-01,97100,98200,95000,98000,64528,0.017653167185877505
2019-11-04,98900,99700,97500,98300,79481,0.003061224489795844
2019-11-05,99000,99400,95000,96600,83210,-0.017293997965411978
