Date,Open,High,Low,Close,Volume,Change
2013-09-16,11500,12700,11500,12550,1429022,
2013-09-17,12300,12450,12050,12100,718172,-0.0358565737051792
2013-09-23,12200,12550,12100,12150,460452,0.0041322314049587
2013-09-24,12300,12550,12150,12450,464638,0.0246913580246914
2013-09-25,12350,12700,12100,12100,530463,-0.0281124497991968
2013-09-26,12150,12400,12100,12150,250919,0.0041322314049587
2013-09-27,12350,12750,12250,12400,490933,0.0205761316872428
2013-09-30,12450,12650,12100,12100,320766,-0.0241935483870967
2013-10-01,12050,12550,10300,11050,2176472,-0.0867768595041322
2013-10-02,11300,11450,10800,10850,636679,-0.0180995475113122
2013-10-04,10800,11050,10350,10600,555817,-0.0230414746543778
2013-10-07,10600,11000,10550,10600,371770,0.0
2013-10-08,10650,11000,10500,10750,412294,0.0141509433962263
2013-10-10,10850,10950,10650,10650,313229,-0.0093023255813953
2013-10-11,10650,10850,10050,10150,445366,-0.0469483568075117
2013-10-14,10350,10550,10200,10200,308333,0.0049261083743843
2013-10-15,10250,10450,9800,10050,349649,-0.0147058823529411
2013-10-16,10050,10250,9600,9700,357270,-0.0348258706467661
2013-10-17,9820,9920,9300,9300,310018,-0.0412371134020618
2013-10-18,9300,10650,9280,10650,1001816,0.1451612903225807
2013-10-21,11200,12150,10900,11850,2971791,0.1126760563380282
2013-10-22,11400,11550,10950,11250,1359140,-0.0506329113924051
2013-10-23,11100,11450,10800,10800,1065003,-0.04
2013-10-24,10850,11500,10750,10950,1015275,0.0138888888888888
2013-10-25,11100,11550,11000,11050,702417,0.0091324200913243
2013-10-28,10950,11150,10350,10500,659319,-0.0497737556561086
2013-10-29,10550,10900,10250,10400,584872,-0.0095238095238094
2013-10-30,10500,10800,10450,10500,387891,0.0096153846153845
2013-10-31,10600,10650,10000,10050,362818,-0.0428571428571428
2013-11-01,10100,11400,9990,10750,1767155,0.0696517412935322
2013-11-04,10850,10850,10200,10350,533512,-0.0372093023255813
2013-11-05,10250,10750,10250,10550,517474,0.0193236714975846
2013-11-06,10450,10800,10400,10450,492489,-0.0094786729857819
2013-11-07,10600,10850,10250,10850,554302,0.0382775119617224
2013-11-08,10700,11250,10450,10600,992168,-0.0230414746543778
2013-11-11,10700,10750,9900,9900,878488,-0.0660377358490565
2013-11-12,9890,10100,9810,9910,305962,0.0010101010101009
2013-11-13,9950,10150,9590,9590,341052,-0.0322906155398586
2013-11-14,9590,11000,9590,10950,1861517,0.1418143899895725
2013-11-15,10950,11100,10650,10950,735440,0.0
2013-11-18,11000,11350,10550,10650,925813,-0.0273972602739726
2013-11-19,10650,12000,10150,11800,1865885,0.107981220657277
2013-11-20,11400,11700,10850,10850,1633167,-0.0805084745762712
2013-11-21,11000,12300,10950,11700,2680844,0.0783410138248847
2013-11-22,11100,12050,11050,11500,2243302,-0.0170940170940171
2013-11-25,11750,12250,11600,11750,1732084,0.0217391304347827
2013-11-26,11800,12000,11600,11850,855854,0.0085106382978723
2013-11-27,11850,12150,11650,11700,1011297,-0.0126582278481012
2013-11-28,11800,11900,11050,11150,1162052,-0.047008547008547
