Date,Open,High,Low,Close,Volume,Change
2023-04-04,94500,96800,93000,96100,420019,0.0180084745762711
2023-04-05,96200,98500,94400,96200,408617,0.0010405827263266
2023-04-06,96200,101600,96100,98000,615805,0.0187110187110186
2023-04-07,98800,99400,93400,97600,364670,-0.0040816326530612
2023-04-10,97400,97400,94800,95800,295454,-0.0184426229508196
2023-04-11,96000,98500,95800,97400,252215,0.0167014613778706
2023-04-12,97400,98600,94100,95200,412709,-0.0225872689938397
2023-04-13,95500,104800,95500,101700,1271206,0.0682773109243697
2023-04-14,101000,108000,100000,105500,596209,0.0373647984267453
2023-04-17,106200,106800,103000,104800,273654,-0.0066350710900473
2023-04-18,106100,109100,101300,102700,564128,-0.0200381679389313
2023-04-19,102700,106000,101200,104500,314819,0.0175267770204479
2023-04-20,104200,106800,101900,103000,318058,-0.0143540669856458
2023-04-21,103000,104300,98800,100500,269352,-0.0242718446601941
2023-04-24,100400,106100,100400,104600,295906,0.0407960199004975
2023-04-25,104600,106700,102900,103300,281346,-0.0124282982791587
2023-04-26,103300,108800,103200,108300,441812,0.0484027105517907
2023-04-27,108300,109300,105900,106200,295182,-0.0193905817174515
2023-04-28,107300,110000,106400,107200,258476,0.0094161958568739
2023-05-02,107300,113900,106800,112600,361912,0.0503731343283582
2023-05-03,112600,116600,111200,112500,466539,-0.0008880994671403
2023-05-04,113300,113700,106200,107300,378978,-0.0462222222222222
2023-05-08,109300,110000,103800,104800,389863,-0.0232991612301957
2023-05-09,105700,107200,102900,103400,300289,-0.0133587786259542
2023-05-10,103400,107100,103400,105700,269870,0.0222437137330755
2023-05-11,106100,110700,101000,107800,658013,0.0198675496688742
2023-05-12,109000,110400,104800,106400,401751,-0.0129870129870129
2023-05-15,106200,106700,101600,102500,393503,-0.0366541353383458
2023-05-16,103200,110400,102000,109200,925106,0.0653658536585366
2023-05-17,109200,119100,108600,113300,991794,0.0375457875457876
2023-05-18,112700,112900,109300,111000,301823,-0.0203000882612532
2023-05-19,112200,112400,106300,107600,354534,-0.0306306306306306
2023-05-22,107600,107600,104500,106900,272770,-0.0065055762081784
2023-05-23,107000,108900,105400,108100,234544,0.011225444340505
2023-05-24,108500,108500,104200,105100,313977,-0.0277520814061054
2023-05-25,103300,106100,102900,103600,206101,-0.0142721217887725
2023-05-26,104200,106900,103700,104800,244413,0.0115830115830115
