Date,Open,High,Low,Close,Volume,Change
2013-09-16,5350,5500,5310,5500,228949,
2013-09-17,5500,5500,5390,5440,168427,-0.0109090909090908
2013-09-23,5440,5600,5430,5470,109551,0.005514705882353
2013-09-24,5470,5510,5370,5400,92198,-0.0127970749542961
2013-09-25,5380,5430,5270,5280,142634,-0.0222222222222222
2013-09-26,5280,5450,5270,5450,107827,0.0321969696969697
2013-09-27,5500,6260,5500,6260,3053831,0.1486238532110091
2013-09-30,6400,6680,6220,6470,2224113,0.0335463258785941
2013-10-01,6430,6860,6270,6620,1489716,0.0231839258114374
2013-10-02,6710,6780,6370,6490,792786,-0.0196374622356495
2013-10-04,6410,6430,6160,6290,808260,-0.0308166409861324
2013-10-07,6290,6300,6090,6200,537105,-0.0143084260731319
2013-10-08,6190,6360,6130,6130,631194,-0.0112903225806451
2013-10-10,6180,6410,6150,6320,588886,0.030995106035889
2013-10-11,6430,6450,6100,6160,476743,-0.0253164556962025
2013-10-14,6160,6220,5940,6210,426941,0.0081168831168831
2013-10-15,6210,6250,6090,6110,255373,-0.0161030595813204
2013-10-16,6170,6180,6000,6100,219935,-0.0016366612111292
2013-10-17,6230,6690,5500,5700,1979858,-0.0655737704918032
2013-10-18,5710,5740,5380,5540,791275,-0.0280701754385964
2013-10-21,5600,5780,5520,5780,517582,0.0433212996389891
2013-10-22,5780,5920,5710,5800,381118,0.0034602076124568
2013-10-23,5860,5860,5690,5820,192694,0.0034482758620688
2013-10-24,5860,5950,5750,5930,198969,0.0189003436426116
2013-10-25,5960,6030,5840,6020,198679,0.0151770657672849
2013-10-28,6100,6240,5940,6060,271964,0.0066445182724252
2013-10-29,6080,6120,5950,6000,138471,-0.0099009900990099
2013-10-30,5960,6090,5820,6090,204110,0.0149999999999999
2013-10-31,6080,6110,5990,6000,123763,-0.0147783251231526
2013-11-01,6080,6240,5950,6140,252674,0.0233333333333334
2013-11-04,6140,6310,6100,6260,256302,0.019543973941368
2013-11-05,6230,6260,6090,6100,163900,-0.0255591054313099
2013-11-06,6060,6280,6060,6280,151515,0.0295081967213115
2013-11-07,6280,6280,6130,6210,137340,-0.0111464968152866
2013-11-08,6210,6240,6110,6150,69435,-0.0096618357487923
2013-11-11,6140,6190,5850,6000,144186,-0.024390243902439
2013-11-12,5960,6080,5960,6040,65720,0.0066666666666665
2013-11-13,6010,6080,5940,6020,63065,-0.0033112582781457
2013-11-14,6000,6300,5980,6270,211436,0.0415282392026579
2013-11-15,6320,6350,6200,6310,124281,0.0063795853269537
2013-11-18,6330,6330,6150,6230,87334,-0.0126782884310617
2013-11-19,6260,6570,6160,6500,389744,0.043338683788122
2013-11-20,6450,6520,6310,6360,152671,-0.0215384615384615
2013-11-21,6360,6570,6320,6360,312445,0.0
2013-11-22,6450,6570,6430,6530,200710,0.0267295597484276
2013-11-25,6550,6700,6470,6540,173473,0.0015313935681469
2013-11-26,6470,6600,6360,6530,215704,-0.0015290519877675
2013-11-27,6580,6740,6530,6580,242109,0.0076569678407349
2013-11-28,6670,6670,6460,6620,152094,0.006079027355623
2013-11-29,6590,6640,6460,6570,335274,-0.0075528700906344
2013-12-02,6570,6610,6330,6400,219096,-0.0258751902587519
2013-12-03,6400,6450,6090,6140,201409,-0.040625
2013-12-04,6140,6270,6120,6160,94360,0.003257328990228
2013-12-05,6160,6250,6000,6100,131929,-0.0097402597402597
2013-12-06,6090,6280,6090,6240,89952,0.022950819672131
2013-12-09,6300,6350,6160,6160,74986,-0.0128205128205127
2013-12-10,6150,6220,6050,6130,106705,-0.0048701298701299
2013-12-11,6170,6180,5960,6020,97310,-0.0179445350734094
2013-12-12,6010,6220,6000,6220,91179,0.0332225913621262
2013-12-13,6160,6230,6090,6170,94310,-0.0080385852090032
2013-12-16,6190,6200,5950,5950,144870,-0.0356564019448946
2013-12-17,5990,6010,5640,5760,394463,-0.0319327731092436
2013-12-18,5770,5850,5650,5730,170283,-0.0052083333333333
2013-12-19,5810,5810,5450,5590,305865,-0.0244328097731238
2013-12-20,5590,5640,5500,5600,158733,0.0017889087656528
2013-12-23,5620,5700,5560,5620,122364,0.0035714285714285
2013-12-24,5630,5670,5510,5620,82689,0.0
2013-12-26,5660,5740,5600,5720,103761,0.0177935943060498
2013-12-27,5660,5680,5590,5610,77016,-0.0192307692307692
2013-12-30,5680,5720,5600,5660,88482,0.0089126559714796
2014-01-02,5670,5720,5400,5430,161569,-0.0406360424028268
2014-01-03,5400,5520,5330,5520,77050,0.0165745856353591
2014-01-06,5440,5570,5440,5540,72705,0.0036231884057971
2014-01-07,5530,5670,5510,5600,74652,0.0108303249097472
2014-01-08,5610,5680,5550,5600,74358,0.0
2014-01-09,5570,5960,5570,5810,298895,0.0375
2014-01-10,5790,5980,5700,5760,219493,-0.0086058519793459
2014-01-13,5740,5900,5740,5890,105001,0.0225694444444444
2014-01-14,5890,5970,5800,5930,80652,0.0067911714770798
2014-01-15,5900,5970,5800,5810,55132,-0.0202360876897133
2014-01-16,5800,5920,5800,5840,44887,0.0051635111876076
2014-01-17,5850,5900,5770,5770,49182,-0.011986301369863
2014-01-20,5760,5840,5680,5700,58932,-0.0121317157712305
2014-01-21,5750,5820,5620,5820,57707,0.0210526315789474
2014-01-22,5840,5880,5770,5870,56584,0.0085910652920961
2014-01-23,5830,5880,5770,5820,37710,-0.0085178875638841
2014-01-24,5770,5830,5680,5680,33710,-0.0240549828178694
2014-01-27,5560,5600,5450,5590,68220,-0.0158450704225352
2014-01-28,5600,5780,5520,5690,52714,0.0178890876565294
2014-01-29,5790,5800,5700,5700,38482,0.0017574692442883
2014-02-03,5710,5790,5650,5770,44435,0.012280701754386
2014-02-04,5710,5710,5570,5590,62756,-0.0311958405545926
2014-02-05,5610,5630,5550,5560,53715,-0.0053667262969588
2014-02-06,5620,5630,5540,5550,53940,-0.0017985611510791
2014-02-07,5570,5630,5540,5610,64685,0.0108108108108107
2014-02-10,5650,5650,5560,5560,55370,-0.0089126559714795
2014-02-11,5560,5630,5550,5600,27667,0.0071942446043165
2014-02-12,5650,5660,5580,5620,68539,0.0035714285714285
