Date,Open,High,Low,Close,Volume,Change
2013-09-16,6260,6460,6140,6140,77878,
2013-09-17,6140,6180,6000,6150,87473,0.001628664495114
2013-09-23,6200,6200,6060,6150,47071,0.0
2013-09-24,6170,6200,6090,6200,34325,0.0081300813008129
2013-09-25,6200,6210,6070,6200,127047,0.0
2013-09-26,6220,6900,6070,6700,335737,0.0806451612903225
2013-09-27,6700,6770,6520,6570,121249,-0.0194029850746269
2013-09-30,6570,6700,6290,6290,172161,-0.0426179604261796
2013-10-01,6350,6370,6160,6310,119477,0.0031796502384737
2013-10-02,6310,6380,6230,6340,81540,0.0047543581616482
2013-10-04,6320,6320,6110,6220,159059,-0.0189274447949526
2013-10-07,6220,6340,6130,6280,68915,0.0096463022508037
2013-10-08,6300,6300,6110,6250,70985,-0.0047770700636943
2013-10-10,6250,6450,6160,6200,104768,-0.008
2013-10-11,6260,6400,6200,6230,67187,0.0048387096774193
2013-10-14,6200,6260,6060,6160,90858,-0.0112359550561798
2013-10-15,6180,6430,6180,6400,71318,0.0389610389610388
2013-10-16,6400,6530,6220,6460,118871,0.0093749999999999
2013-10-17,6510,6570,6090,6390,302704,-0.0108359133126935
2013-10-18,6450,6700,6380,6380,167621,-0.001564945226917
2013-10-21,6350,6560,6320,6490,59576,0.0172413793103447
2013-10-22,6490,6550,6410,6500,61500,0.0015408320493066
2013-10-23,6450,6530,6360,6410,91204,-0.0138461538461538
2013-10-24,6370,6600,6330,6580,119451,0.0265210608424337
2013-10-25,6590,6630,6520,6550,62764,-0.0045592705167173
2013-10-28,6540,6690,6400,6560,114587,0.0015267175572519
2013-10-29,6540,6620,6520,6540,51870,-0.0030487804878048
2013-10-30,6540,6650,6490,6600,65044,0.0091743119266054
2013-10-31,6610,6780,6490,6590,86877,-0.0015151515151514
2013-11-01,6580,6630,6490,6600,79331,0.0015174506828528
2013-11-04,6630,6800,6570,6730,184488,0.0196969696969697
2013-11-05,6730,6790,6650,6770,68775,0.0059435364041604
2013-11-06,6760,6850,6710,6830,59754,0.0088626292466764
2013-11-07,6790,6830,6570,6590,91242,-0.0351390922401171
2013-11-08,6500,6590,6400,6500,106825,-0.0136570561456752
2013-11-11,6500,6530,6100,6290,138827,-0.0323076923076922
2013-11-12,6250,6340,6200,6310,66936,0.0031796502384737
2013-11-13,6360,6410,6000,6200,183484,-0.0174326465927099
2013-11-14,6200,6360,6130,6310,51529,0.017741935483871
2013-11-15,6300,6450,6280,6340,39326,0.0047543581616482
2013-11-18,6350,6350,6090,6150,87239,-0.0299684542586751
2013-11-19,6200,6310,6100,6300,71894,0.024390243902439
2013-11-20,6250,6350,6200,6230,31299,-0.011111111111111
2013-11-21,6230,6300,6100,6190,51013,-0.0064205457463883
2013-11-22,6200,6220,6070,6130,54565,-0.0096930533117932
2013-11-25,6130,6210,6090,6180,63635,0.0081566068515497
2013-11-26,6180,6240,6100,6110,28447,-0.0113268608414239
2013-11-27,6160,6190,6080,6120,22741,0.0016366612111293
2013-11-28,6170,6210,6090,6200,31588,0.0130718954248365
2013-11-29,6250,6540,6210,6470,264539,0.0435483870967741
2013-12-02,6510,6550,6350,6500,87813,0.0046367851622874
2013-12-03,6500,6500,6350,6490,54662,-0.0015384615384614
2013-12-04,6550,6550,6380,6430,43507,-0.0092449922958397
2013-12-05,6430,6510,6370,6480,50936,0.0077760497667185
2013-12-06,6480,6560,6410,6510,31840,0.0046296296296295
2013-12-09,6520,6600,6460,6490,14480,-0.0030721966205836
2013-12-10,6430,6490,6200,6200,114057,-0.0446841294298921
2013-12-11,6230,6230,5990,6080,95865,-0.0193548387096774
2013-12-12,6040,6140,5920,6110,54985,0.0049342105263157
2013-12-13,6020,6120,6020,6120,8107,0.0016366612111293
2013-12-16,6050,6130,5990,6090,24644,-0.0049019607843137
2013-12-17,6050,6110,5890,5970,51943,-0.0197044334975369
2013-12-18,5930,6050,5890,5980,28229,0.0016750418760469
2013-12-19,6000,6050,5920,5990,13665,0.0016722408026756
2013-12-20,5960,6120,5940,6050,46679,0.0100166944908179
2013-12-23,6050,6110,5950,5950,27668,-0.0165289256198346
2013-12-24,5930,6030,5880,5930,20915,-0.0033613445378151
2013-12-26,5910,5950,5670,5720,118955,-0.0354131534569983
2013-12-27,5700,5930,5650,5900,54598,0.0314685314685314
2013-12-30,5890,6070,5870,6070,34286,0.028813559322034
2014-01-02,6010,6060,5850,5850,31010,-0.0362438220757825
2014-01-03,5790,6020,5710,5920,13346,0.0119658119658119
2014-01-06,5810,6000,5810,5890,22766,-0.0050675675675675
2014-01-07,5890,5940,5820,5880,7858,-0.0016977928692699
2014-01-08,5820,5880,5730,5800,64047,-0.0136054421768707
2014-01-09,5750,5920,5650,5850,70536,0.0086206896551723
2014-01-10,5820,5840,5750,5830,27277,-0.0034188034188034
2014-01-13,5810,5890,5720,5830,16536,0.0
2014-01-14,5770,6000,5770,5930,22906,0.0171526586620927
2014-01-15,6000,6050,5940,6010,23780,0.0134907251264755
2014-01-16,5960,6100,5960,6020,25076,0.0016638935108153
2014-01-17,6020,6040,5930,6000,34713,-0.0033222591362126
2014-01-20,6000,6030,5940,5970,19473,-0.005
2014-01-21,5970,6000,5700,6000,57649,0.0050251256281406
2014-01-22,6020,6030,5840,6030,70393,0.0049999999999998
2014-01-23,6030,6070,5950,6060,22390,0.0049751243781095
2014-01-24,6130,6130,5800,5800,72746,-0.0429042904290428
2014-01-27,5700,5770,5640,5730,26031,-0.0120689655172413
2014-01-28,5810,5890,5640,5740,33403,0.0017452006980802
2014-01-29,5830,5850,5760,5850,11255,0.019163763066202
2014-02-03,5850,5860,5720,5830,21465,-0.0034188034188034
2014-02-04,5610,5790,5610,5750,24546,-0.0137221269296741
2014-02-05,5820,5840,5680,5760,28370,0.0017391304347826
2014-02-06,5810,5810,5650,5700,38922,-0.0104166666666666
2014-02-07,5790,5790,5600,5700,39908,0.0
2014-02-10,5770,5770,5620,5700,30525,0.0
2014-02-11,5800,5800,5680,5700,28670,0.0
2014-02-12,5750,5760,5680,5720,22256,0.0035087719298245
2014-02-13,5720,5810,5670,5710,23273,-0.0017482517482517
2014-02-14,5750,5870,5700,5710,79367,0.0
2014-02-17,5760,5760,5650,5710,29743,0.0
2014-02-18,5710,5740,5600,5670,47893,-0.0070052539404553
2014-02-19,5690,5700,5590,5610,43762,-0.0105820105820105
2014-02-20,5640,5660,5540,5620,46916,0.0017825311942958
2014-02-21,5610,5790,5610,5760,16420,0.0249110320284697
2014-02-24,5800,5900,5780,5800,37546,0.0069444444444444
2014-02-25,5850,6050,5830,6000,114844,0.0344827586206897
2014-02-26,6000,6010,5900,6000,43493,0.0
2014-02-27,6000,6000,5850,5980,62790,-0.0033333333333332
2014-02-28,6160,6260,6080,6170,320363,0.0317725752508362
2014-03-03,6190,6220,6000,6080,88786,-0.0145867098865478
2014-03-04,6090,6100,5990,6090,50246,0.0016447368421053
2014-03-05,6130,6190,6050,6110,95539,0.0032840722495894
2014-03-06,6050,6110,5990,6100,124392,-0.0016366612111292
2014-03-07,6100,6230,6080,6170,77832,0.0114754098360656
2014-03-10,6200,6200,6040,6100,48828,-0.0113452188006483
2014-03-11,6150,6150,5930,6060,99780,-0.0065573770491803
2014-03-12,6060,6060,5960,6040,24644,-0.0033003300330033
2014-03-13,6060,6160,5970,6160,39957,0.0198675496688742
2014-03-14,6140,6160,6010,6150,44609,-0.0016233766233766
2014-03-17,6150,6410,6120,6290,82054,0.0227642276422763
2014-03-18,6310,6470,6250,6350,81995,0.0095389507154213
2014-03-19,6330,6470,6290,6350,101308,0.0
2014-03-20,6310,6440,6220,6400,47162,0.0078740157480314
2014-03-21,6440,6610,6400,6590,85760,0.0296875
2014-03-24,6610,6750,6600,6700,91031,0.0166919575113808
2014-03-25,6790,6790,6650,6720,47325,0.0029850746268655
2014-03-26,6750,6810,6660,6790,63464,0.0104166666666667
2014-03-27,6780,6880,6680,6720,41000,-0.0103092783505154
2014-03-28,6750,6780,6630,6680,39148,-0.0059523809523809
2014-03-31,6640,6800,6500,6630,76338,-0.0074850299401197
2014-04-01,6650,6850,6560,6850,54438,0.0331825037707391
2014-04-02,6900,7030,6800,6880,81551,0.0043795620437956
2014-04-03,6880,6940,6830,6900,27839,0.002906976744186
2014-04-04,6930,7040,6850,7020,50977,0.0173913043478259
2014-04-07,7030,7090,6970,7040,43915,0.0028490028490029
2014-04-08,6950,7040,6900,7030,39765,-0.0014204545454545
2014-04-09,7040,7040,6950,6960,31969,-0.0099573257467994
2014-04-10,7000,7020,6900,6950,24013,-0.0014367816091953
2014-04-11,6900,6920,6770,6830,84236,-0.0172661870503597
2014-04-14,6800,6970,6710,6800,63808,-0.0043923865300146
2014-04-15,6800,6850,6760,6760,29443,-0.0058823529411764
2014-04-16,6830,7130,6740,7090,109586,0.0488165680473373
2014-04-17,7150,7150,6960,6990,38288,-0.0141043723554301
2014-04-18,7080,7140,6930,6990,64110,0.0
2014-04-21,6990,7080,6880,6960,23847,-0.0042918454935622
2014-04-22,7080,7080,6880,7000,70155,0.0057471264367816
2014-04-23,7050,7050,6830,6890,72046,-0.0157142857142856
2014-04-24,6810,6890,6750,6840,27133,-0.0072568940493469
2014-04-25,6840,6840,6620,6740,104327,-0.0146198830409356
2014-04-28,6630,6860,6630,6860,23572,0.0178041543026705
2014-04-29,6880,6890,6780,6870,14927,0.0014577259475219
2014-04-30,6840,6920,6660,6800,33736,-0.0101892285298398
2014-05-02,6860,6860,6750,6800,8874,0.0
2014-05-07,6800,6800,6650,6720,14397,-0.0117647058823529
2014-05-08,6720,6740,6570,6580,24493,-0.0208333333333333
2014-05-09,6550,6690,6540,6550,38646,-0.0045592705167173
2014-05-12,6700,6700,6570,6620,43043,0.0106870229007633
2014-05-13,6710,6710,6550,6610,41278,-0.0015105740181269
2014-05-14,6610,6720,6610,6710,33422,0.0151285930408471
2014-05-15,6710,6850,6710,6790,41299,0.0119225037257824
2014-05-16,6830,6920,6690,6860,63296,0.0103092783505154
2014-05-19,6880,7100,6850,6900,140088,0.0058309037900874
2014-05-20,7000,7000,6780,6780,50437,-0.017391304347826
2014-05-21,6830,6880,6700,6880,21784,0.0147492625368732
2014-05-22,6880,6970,6840,6880,74290,0.0
2014-05-23,6900,7000,6890,6950,58599,0.010174418604651
2014-05-26,6910,7010,6900,6950,22097,0.0
