Date,Open,High,Low,Close,Volume,Change
2023-04-04,454,480,454,468,1637260,0.0308370044052863
2023-04-05,472,482,456,469,1447876,0.0021367521367521
2023-04-06,464,481,450,475,1273517,0.0127931769722815
2023-04-07,473,484,467,474,815068,-0.0021052631578947
2023-04-10,475,550,455,550,15378271,0.160337552742616
2023-04-11,715,715,715,715,4821277,0.3
2023-04-12,870,929,870,929,9246129,0.2993006993006992
2023-04-13,982,999,730,805,98123847,-0.1334768568353067
2023-04-14,806,848,758,768,24309965,-0.0459627329192546
2023-04-17,760,781,725,741,11564105,-0.03515625
2023-04-18,757,807,730,747,13986810,0.0080971659919029
2023-04-19,755,776,721,754,6313713,0.0093708165997321
2023-04-20,735,744,665,680,5968780,-0.0981432360742705
2023-04-21,640,664,620,649,6756151,-0.0455882352941175
2023-04-24,644,666,622,636,3222686,-0.0200308166409861
2023-04-25,644,646,591,600,3735783,-0.0566037735849056
2023-04-26,593,610,584,590,2289033,-0.0166666666666667
2023-04-27,591,609,564,602,3373931,0.0203389830508473
2023-04-28,605,606,565,569,2142229,-0.0548172757475082
2023-05-02,558,630,558,612,4650866,0.0755711775043936
2023-05-03,608,628,597,608,1972663,-0.0065359477124182
2023-05-04,611,639,583,610,2534799,0.0032894736842106
2023-05-08,618,628,574,574,1891814,-0.0590163934426229
2023-05-09,572,576,551,571,1062514,-0.0052264808362368
2023-05-10,566,590,560,572,665132,0.0017513134851139
2023-05-11,573,603,571,571,1203727,-0.0017482517482517
2023-05-12,571,576,557,560,985429,-0.0192644483362521
2023-05-15,551,563,532,559,942486,-0.0017857142857142
2023-05-16,553,570,543,547,972537,-0.0214669051878354
2023-05-17,536,568,536,564,1055225,0.0310786106032907
2023-05-18,569,578,555,566,772309,0.00354609929078
2023-05-19,560,566,545,556,1313183,-0.0176678445229682
2023-05-22,560,605,550,577,3648317,0.0377697841726618
2023-05-23,578,585,557,560,1652735,-0.0294627383015597
2023-05-24,564,567,549,552,910325,-0.0142857142857142
2023-05-25,550,556,546,546,573146,-0.0108695652173913
2023-05-26,546,552,524,528,1076620,-0.0329670329670329
2023-05-30,528,542,528,533,620122,0.009469696969697
2023-05-31,527,544,519,521,1251200,-0.022514071294559
2023-06-01,522,526,515,520,557901,-0.0019193857965451
2023-06-02,524,617,521,551,11970356,0.0596153846153846
2023-06-05,551,555,537,547,1169269,-0.0072595281306715
2023-06-07,543,570,543,563,1550727,0.0292504570383911
2023-06-08,558,565,543,551,1087650,-0.0213143872113676
2023-06-09,546,555,544,548,695737,-0.0054446460980036
2023-06-12,548,548,528,535,1108129,-0.0237226277372263
2023-06-13,535,548,530,531,628193,-0.0074766355140186
2023-06-14,538,539,520,520,889573,-0.0207156308851224
2023-06-15,520,525,498,500,1046906,-0.0384615384615384
2023-06-16,505,511,497,505,413859,0.01
2023-06-19,505,517,503,517,472636,0.0237623762376237
2023-06-20,515,517,505,506,488937,-0.0212765957446808
2023-06-21,506,519,496,498,1034353,-0.0158102766798419
2023-06-22,498,509,487,488,788996,-0.0200803212851405
2023-06-23,492,493,470,482,1221027,-0.012295081967213
2023-06-26,482,496,470,488,811579,0.0124481327800829
2023-06-27,484,490,474,474,695595,-0.0286885245901639
2023-06-28,473,490,470,470,607920,-0.0084388185654008
2023-06-29,471,477,457,460,883595,-0.0212765957446808
2023-06-30,462,480,460,468,1199058,0.0173913043478259
2023-07-03,469,494,469,489,765457,0.0448717948717949
2023-07-04,482,495,468,471,662834,-0.0368098159509202
2023-07-05,471,478,451,454,941426,-0.0360934182590233
2023-07-06,465,465,443,448,729613,-0.0132158590308369
2023-07-07,457,457,440,446,355818,-0.0044642857142856
2023-07-10,457,464,441,457,673078,0.0246636771300448
2023-07-11,458,475,450,455,496042,-0.0043763676148796
2023-07-12,453,460,441,444,790788,-0.0241758241758242
2023-07-13,440,465,440,447,869198,0.0067567567567567
2023-07-14,447,451,424,424,1663017,-0.0514541387024608
2023-07-17,429,434,406,433,608689,0.0212264150943395
2023-07-18,434,436,411,412,1020241,-0.0484988452655889
2023-07-19,414,414,400,403,738196,-0.0218446601941747
2023-07-20,404,450,401,428,4324947,0.0620347394540943
2023-07-21,428,454,417,430,1261454,0.0046728971962617
2023-07-24,430,435,404,408,1208225,-0.0511627906976743
2023-07-25,408,412,389,391,1568527,-0.0416666666666666
2023-07-26,391,397,352,396,2456194,0.0127877237851663
2023-07-27,396,410,390,393,740099,-0.0075757575757575
2023-07-28,393,406,387,399,546251,0.0152671755725191
2023-07-31,395,406,388,402,716314,0.0075187969924812
2023-08-01,399,423,397,414,548911,0.0298507462686568
2023-08-02,408,416,400,401,744247,-0.0314009661835749
2023-08-03,408,437,390,433,2590694,0.0798004987531171
2023-08-04,499,499,405,406,5626268,-0.0623556581986143
2023-08-07,406,420,395,398,1166086,-0.0197044334975369
2023-08-08,398,403,389,390,749598,-0.0201005025125627
2023-08-09,390,413,386,409,810482,0.0487179487179487
2023-08-10,409,411,402,409,414308,0.0
2023-08-11,413,420,404,419,595085,0.0244498777506112
2023-08-14,419,421,405,406,463282,-0.0310262529832935
2023-08-16,406,418,396,398,466662,-0.0197044334975369
2023-08-17,398,403,388,403,455512,0.0125628140703517
2023-08-18,389,406,389,395,389125,-0.0198511166253101
2023-08-21,388,401,387,387,485141,-0.020253164556962
2023-08-22,388,392,377,379,547908,-0.0206718346253229
2023-08-23,376,388,376,380,521376,0.0026385224274405
2023-08-24,377,389,377,384,265302,0.0105263157894737
2023-08-25,383,384,375,380,287683,-0.0104166666666666
2023-08-28,380,387,375,385,261437,0.013157894736842
2023-08-29,385,420,385,405,950810,0.0519480519480519
2023-08-30,413,413,402,402,315979,-0.0074074074074074
2023-08-31,408,408,400,400,392719,-0.0049751243781094
2023-09-01,409,414,393,394,397700,-0.015
2023-09-04,394,398,388,391,355928,-0.0076142131979695
2023-09-05,391,394,385,387,327848,-0.0102301790281329
2023-09-06,390,397,386,388,370022,0.0025839793281654
2023-09-07,388,394,376,378,705889,-0.0257731958762886
2023-09-08,378,389,374,377,444720,-0.0026455026455026
2023-09-11,377,392,377,385,313626,0.0212201591511935
2023-09-12,385,392,378,378,230152,-0.0181818181818181
2023-09-13,376,381,368,370,357219,-0.0211640211640211
2023-09-14,373,376,366,372,314619,0.0054054054054053
2023-09-15,376,377,370,372,142731,0.0
2023-09-18,372,380,370,373,263155,0.0026881720430107
2023-09-19,377,380,366,369,387261,-0.0107238605898123
2023-09-20,377,377,354,357,861304,-0.0325203252032519
2023-09-21,357,359,348,353,455386,-0.011204481792717
2023-09-22,350,367,348,360,381304,0.0198300283286119
2023-09-25,361,367,358,359,194749,-0.0027777777777777
2023-09-26,369,369,353,354,236440,-0.0139275766016713
2023-09-27,359,365,355,364,195076,0.0282485875706215
2023-10-04,351,365,340,340,540359,-0.0659340659340659
2023-10-05,348,350,335,336,390751,-0.0117647058823529
2023-10-06,335,346,333,343,196130,0.0208333333333332
2023-10-10,343,375,343,363,1009427,0.0583090379008746
2023-10-11,364,396,364,380,1270957,0.0468319559228649
2023-10-12,386,392,378,384,310910,0.0105263157894737
2023-10-13,384,410,384,389,952317,0.0130208333333332
2023-10-16,388,420,382,405,1903763,0.0411311053984575
2023-10-17,405,410,385,400,606376,-0.0123456790123457
2023-10-18,407,407,389,393,379926,-0.0174999999999999
2023-10-19,393,400,377,392,674201,-0.0025445292620864
2023-10-20,381,390,373,382,571333,-0.0255102040816326
2023-10-23,380,381,370,371,291236,-0.0287958115183245
2023-10-24,374,379,362,367,370470,-0.0107816711590296
2023-10-25,364,400,364,379,242505,0.0326975476839237
2023-10-26,378,378,365,365,306568,-0.0369393139841688
2023-10-27,360,369,360,362,167259,-0.0082191780821917
2023-10-30,389,389,360,360,251232,-0.005524861878453
2023-10-31,360,366,346,354,482001,-0.0166666666666667
2023-11-01,358,364,346,347,236878,-0.019774011299435
2023-11-02,347,360,347,355,215919,0.0230547550432276
2023-11-03,355,415,350,382,1949728,0.0760563380281689
2023-11-06,388,410,385,397,625771,0.0392670157068062
2023-11-07,397,405,389,405,330220,0.0201511335012594
2023-11-08,405,459,403,431,6334252,0.0641975308641975
2023-11-09,428,436,414,415,1138549,-0.037122969837587
2023-11-10,418,448,414,429,2194326,0.033734939759036
2023-11-13,429,443,415,418,899081,-0.0256410256410256
2023-11-14,422,460,418,435,2210321,0.0406698564593301
2023-11-15,434,490,433,460,5570358,0.0574712643678161
2023-11-16,461,482,455,469,1129380,0.0195652173913043
2023-11-17,486,486,451,466,1719166,-0.0063965884861407
2023-11-20,470,478,430,441,1021138,-0.0536480686695278
2023-11-21,441,458,435,448,719530,0.0158730158730158
2023-11-22,457,457,414,424,1191640,-0.0535714285714286
2023-11-23,419,440,419,426,470722,0.0047169811320755
2023-11-24,426,437,402,403,679885,-0.0539906103286385
2023-11-27,404,416,400,401,242679,-0.0049627791563275
2023-11-28,402,410,399,406,332308,0.0124688279301745
2023-11-29,406,409,397,400,416106,-0.0147783251231526
2023-11-30,400,405,396,404,265712,0.01
2023-12-01,404,432,398,416,503283,0.0297029702970297
2023-12-04,416,447,408,434,844217,0.0432692307692308
2023-12-05,440,463,429,438,1034879,0.0092165898617511
2023-12-06,439,447,426,439,352487,0.0022831050228311
2023-12-07,432,452,432,442,332564,0.0068337129840547
2023-12-08,437,443,431,435,345763,-0.0158371040723982
2023-12-11,435,444,416,426,364555,-0.0206896551724138
2023-12-12,426,436,420,429,282780,0.0070422535211267
2023-12-13,428,437,418,430,306189,0.0023310023310023
2023-12-14,430,434,421,427,342371,-0.0069767441860465
2023-12-15,422,432,422,425,233944,-0.0046838407494145
2023-12-18,425,435,425,427,278107,0.0047058823529411
2023-12-19,427,429,423,426,134486,-0.0023419203747072
2023-12-20,423,431,422,422,533669,-0.0093896713615023
2023-12-21,421,427,416,422,616571,0.0
2023-12-22,421,429,420,424,489589,0.0047393364928909
2023-12-26,423,436,412,413,959211,-0.025943396226415
2023-12-27,413,415,384,392,2262612,-0.0508474576271186
2023-12-28,392,395,380,395,628507,0.0076530612244898
2024-01-02,403,408,394,406,272595,0.0278481012658227
2024-01-03,407,412,400,410,329602,0.0098522167487684
