Date,Open,High,Low,Close,Volume,Change
2013-09-16,1945,1995,1915,1915,34295,
2013-09-17,1900,1945,1870,1940,8807,0.0130548302872062
2013-09-23,1935,1970,1915,1965,8694,0.0128865979381442
2013-09-24,1960,1965,1915,1925,14526,-0.020356234096692
2013-09-25,1915,2100,1900,2050,98176,0.0649350649350648
2013-09-26,2050,2095,1985,1990,22027,-0.0292682926829268
2013-09-27,1995,2050,1960,1995,12002,0.0025125628140703
2013-09-30,1995,2065,1990,2015,5602,0.0100250626566416
2013-10-01,2050,2050,1970,1975,18109,-0.0198511166253101
2013-10-02,1970,2000,1965,1985,3233,0.0050632911392405
2013-10-04,2020,2020,1910,1960,13305,-0.0125944584382871
2013-10-07,1935,2010,1935,1955,4834,-0.0025510204081632
2013-10-08,1915,2000,1915,1990,9853,0.0179028132992327
2013-10-10,1930,2020,1930,2005,18037,0.0075376884422111
2013-10-11,2050,2110,2005,2010,10735,0.0024937655860348
2013-10-14,2055,2055,1970,2030,9996,0.0099502487562188
2013-10-15,1985,2030,1985,2030,10191,0.0
2013-10-16,2000,2040,1960,2010,15758,-0.0098522167487684
2013-10-17,2010,2040,1910,1940,22931,-0.0348258706467661
2013-10-18,1940,1945,1910,1940,5886,0.0
2013-10-21,1925,1950,1875,1900,12022,-0.0206185567010309
2013-10-22,1880,1915,1880,1915,4218,0.0078947368421051
2013-10-23,1890,1985,1885,1985,5660,0.0365535248041775
2013-10-24,1975,1975,1915,1965,604,-0.0100755667506297
2013-10-25,1915,1980,1895,1895,11414,-0.0356234096692111
2013-10-28,1915,1940,1875,1880,19002,-0.0079155672823219
2013-10-29,1890,1910,1820,1845,12503,-0.0186170212765957
2013-10-30,1830,1860,1800,1815,18947,-0.0162601626016259
2013-10-31,1810,1855,1810,1820,1530,0.002754820936639
2013-11-01,1810,1845,1810,1820,7492,0.0
2013-11-04,1810,1845,1810,1810,6251,-0.0054945054945054
2013-11-05,1855,1895,1815,1825,6392,0.0082872928176795
2013-11-06,1815,1855,1805,1825,4067,0.0
2013-11-07,1850,1850,1800,1810,8163,-0.0082191780821917
2013-11-08,1800,1835,1785,1820,732,0.0055248618784531
2013-11-11,1795,1835,1790,1790,4528,-0.0164835164835165
2013-11-12,1815,1820,1750,1810,5644,0.0111731843575419
2013-11-13,1830,1830,1830,1830,2,0.011049723756906
2013-11-14,1785,1870,1785,1810,2203,-0.0109289617486338
2013-11-15,1790,1870,1790,1810,424,0.0
2013-11-18,1820,1835,1780,1790,2916,-0.011049723756906
2013-11-19,1770,1815,1760,1780,12674,-0.0055865921787709
2013-11-20,1795,1795,1750,1775,1919,-0.0028089887640448
2013-11-21,1750,1765,1740,1765,9311,-0.0056338028169014
2013-11-22,1765,1770,1740,1770,2534,0.0028328611898016
2013-11-25,1730,1780,1730,1755,4927,-0.0084745762711864
2013-11-26,1750,1830,1745,1770,4643,0.0085470085470085
2013-11-27,1780,1870,1760,1870,12190,0.0564971751412428
2013-11-28,1865,1865,1755,1780,4296,-0.0481283422459892
2013-11-29,1760,1815,1760,1800,2515,0.0112359550561798
2013-12-02,1775,1810,1775,1795,13067,-0.0027777777777777
2013-12-03,1795,1845,1785,1785,3898,-0.0055710306406685
2013-12-04,1825,1830,1770,1830,2054,0.0252100840336133
2013-12-05,1760,1845,1760,1760,3496,-0.0382513661202186
2013-12-06,1730,1800,1715,1795,3683,0.0198863636363635
2013-12-09,1755,1825,1755,1800,47,0.0027855153203342
2013-12-10,1765,1825,1755,1800,808,0.0
2013-12-11,1765,1790,1655,1705,26451,-0.0527777777777778
2013-12-12,1665,1730,1665,1705,4508,0.0
2013-12-13,1705,1710,1670,1700,9069,-0.002932551319648
2013-12-16,1675,1710,1675,1710,806,0.0058823529411764
2013-12-17,1655,1710,1655,1710,7132,0.0
2013-12-18,1675,1725,1675,1720,4492,0.0058479532163742
2013-12-19,1725,1730,1685,1710,3297,-0.0058139534883721
