Date,Open,High,Low,Close,Volume,Change
2023-04-04,822,845,821,837,117688,0.0194884287454324
2023-04-05,837,860,837,858,173631,0.0250896057347669
2023-04-06,855,864,849,857,85694,-0.0011655011655011
2023-04-07,857,867,809,849,144191,-0.0093348891481913
2023-04-10,858,858,821,829,83956,-0.0235571260306242
2023-04-11,829,850,815,840,80325,0.0132689987937273
2023-04-12,840,865,838,860,132075,0.0238095238095237
2023-04-13,860,863,830,849,82366,-0.0127906976744186
2023-04-14,849,860,831,852,75240,0.0035335689045936
2023-04-17,849,852,835,846,94044,-0.0070422535211267
2023-04-18,846,888,838,849,111412,0.00354609929078
2023-04-19,852,857,842,855,82141,0.0070671378091873
2023-04-20,845,887,845,870,270345,0.0175438596491228
2023-04-21,859,881,848,879,140962,0.0103448275862068
2023-04-24,879,879,849,855,125754,-0.0273037542662115
2023-04-25,855,895,849,862,104547,0.008187134502924
2023-04-26,838,862,834,834,61117,-0.0324825986078886
2023-04-27,837,839,803,833,52951,-0.001199040767386
2023-04-28,834,842,814,824,66818,-0.0108043217286915
2023-05-02,824,835,822,828,67771,0.0048543689320388
2023-05-03,825,834,822,824,31621,-0.0048309178743961
2023-05-04,824,824,803,810,102298,-0.0169902912621359
2023-05-08,812,819,805,810,50200,0.0
2023-05-09,811,840,782,825,190435,0.0185185185185186
2023-05-10,825,845,816,832,55827,0.0084848484848485
2023-05-11,844,975,844,875,4457898,0.0516826923076922
2023-05-12,875,920,841,882,724865,0.008
2023-05-15,891,892,849,855,265079,-0.0306122448979592
2023-05-16,853,924,840,899,709165,0.0514619883040936
2023-05-17,949,975,903,954,2640569,0.061179087875417
2023-05-18,954,955,910,927,482471,-0.0283018867924528
2023-05-19,916,935,909,920,219891,-0.0075512405609492
2023-05-22,921,965,921,925,381314,0.0054347826086955
2023-05-23,925,943,870,888,307764,-0.04
2023-05-24,880,900,873,889,155399,0.0011261261261261
2023-05-25,887,887,857,859,243169,-0.0337457817772778
2023-05-26,851,865,842,842,160021,-0.0197904540162979
2023-05-30,837,851,830,834,148963,-0.009501187648456
2023-05-31,834,860,834,837,234956,0.0035971223021582
2023-06-01,837,846,810,833,98412,-0.0047789725209079
2023-06-02,834,848,827,848,103396,0.0180072028811524
2023-06-05,848,871,848,861,94792,0.0153301886792451
2023-06-07,880,880,851,856,94431,-0.0058072009291521
2023-06-08,857,874,856,865,70326,0.0105140186915888
2023-06-09,865,874,860,866,63833,0.0011560693641619
2023-06-12,880,880,851,855,64376,-0.0127020785219399
2023-06-13,857,857,849,852,56793,-0.0035087719298245
2023-06-14,852,852,822,831,129615,-0.0246478873239436
2023-06-15,831,840,823,824,68440,-0.0084235860409145
2023-06-16,824,843,824,834,84847,0.0121359223300971
2023-06-19,841,841,822,830,57182,-0.0047961630695443
2023-06-20,830,831,822,826,76717,-0.0048192771084337
2023-06-21,819,829,816,818,98863,-0.009685230024213
2023-06-22,818,823,809,814,64580,-0.0048899755501222
2023-06-23,814,814,801,802,114019,-0.0147420147420147
2023-06-26,805,805,792,801,58610,-0.0012468827930174
2023-06-27,803,848,801,811,178164,0.0124843945068664
2023-06-28,811,1050,811,900,15456517,0.1097410604192354
2023-06-29,906,930,850,861,1589399,-0.0433333333333333
2023-06-30,845,858,815,850,818504,-0.0127758420441347
2023-07-03,850,870,850,860,302371,0.0117647058823529
2023-07-04,860,860,829,846,237229,-0.0162790697674418
2023-07-05,845,850,831,838,149303,-0.0094562647754137
2023-07-06,837,838,816,823,168849,-0.0178997613365154
2023-07-07,820,824,811,813,130857,-0.0121506682867558
2023-07-10,816,845,805,821,100057,0.009840098400984
2023-07-11,821,831,810,822,76144,0.0012180267965895
2023-07-12,825,840,815,827,104874,0.0060827250608272
2023-07-13,828,830,817,821,92882,-0.0072551390568319
2023-07-14,821,840,813,813,134508,-0.0097442143727162
2023-07-17,819,869,819,830,443874,0.0209102091020909
2023-07-18,833,860,823,832,143024,0.0024096385542169
2023-07-19,832,832,811,814,169275,-0.0216346153846154
2023-07-20,814,817,808,814,69892,0.0
2023-07-21,808,814,805,810,112189,-0.0049140049140049
2023-07-24,810,811,783,788,269503,-0.0271604938271604
2023-07-25,786,787,767,767,221421,-0.0266497461928933
2023-07-26,771,772,694,702,339300,-0.0847457627118644
2023-07-27,697,745,697,744,150538,0.0598290598290598
2023-07-28,744,751,714,751,134498,0.0094086021505377
2023-07-31,751,800,740,760,86268,0.0119840213049267
2023-08-01,757,770,745,761,107813,0.0013157894736841
2023-08-02,770,798,762,789,140049,0.0367936925098555
2023-08-03,783,788,765,771,70603,-0.0228136882129277
2023-08-04,761,771,750,760,58722,-0.0142671854734111
2023-08-07,760,798,751,783,130019,0.0302631578947367
2023-08-08,773,792,766,774,69167,-0.0114942528735632
2023-08-09,770,798,739,762,104998,-0.0155038759689922
2023-08-10,766,775,721,767,111985,0.0065616797900263
2023-08-11,767,775,760,770,41063,0.0039113428943937
2023-08-14,762,769,740,746,62476,-0.0311688311688311
2023-08-16,743,746,725,736,75820,-0.0134048257372654
2023-08-17,735,763,726,760,85707,0.0326086956521738
2023-08-18,760,762,737,737,60593,-0.0302631578947368
2023-08-21,734,757,733,757,43844,0.0271370420624152
2023-08-22,769,769,732,750,33778,-0.0092470277410832
2023-08-23,758,758,731,731,68463,-0.0253333333333333
2023-08-24,731,755,731,748,31611,0.0232558139534884
2023-08-25,748,768,748,757,43237,0.0120320855614972
2023-08-28,765,780,758,760,58333,0.0039630118890356
2023-08-29,776,776,760,765,43491,0.006578947368421
2023-08-30,765,774,760,765,69764,0.0
