Date,Open,High,Low,Close,Volume,Change
2023-04-04,1017,1024,1009,1020,95840,-0.0019569471624266
2023-04-05,1017,1027,1016,1024,124476,0.0039215686274509
2023-04-06,1017,1026,1010,1018,124216,-0.005859375
2023-04-07,1018,1018,1008,1012,77235,-0.005893909626719
2023-04-10,1020,1020,993,1003,76996,-0.008893280632411
2023-04-11,1004,1004,987,994,83129,-0.0089730807577268
2023-04-12,995,1010,994,1005,139686,0.011066398390342
2023-04-13,1008,1011,1000,1006,82573,0.0009950248756218
2023-04-14,1007,1010,1000,1003,95127,-0.0029821073558647
2023-04-17,1012,1012,998,1007,106311,0.0039880358923229
2023-04-18,1007,1009,1000,1004,72616,-0.0029791459781529
2023-04-19,1004,1015,1003,1012,102048,0.0079681274900398
2023-04-20,1015,1030,1005,1010,171188,-0.0019762845849802
2023-04-21,1019,1019,1000,1003,88545,-0.0069306930693069
2023-04-24,1003,1017,1003,1012,86626,0.0089730807577268
2023-04-25,1015,1017,1002,1009,68701,-0.0029644268774703
2023-04-26,1009,1013,994,1005,82238,-0.0039643211100098
2023-04-27,1012,1012,997,1005,63178,0.0
2023-04-28,1008,1009,998,1008,108371,0.0029850746268655
2023-05-02,997,1015,997,1003,73117,-0.0049603174603174
2023-05-03,1003,1024,1000,1021,141177,0.0179461615154536
2023-05-04,1016,1025,1009,1014,70382,-0.0068560235063662
2023-05-08,1014,1024,1014,1021,65834,0.0069033530571991
2023-05-09,1024,1024,1014,1020,76633,-0.0009794319294809
2023-05-10,1020,1055,1016,1041,394527,0.0205882352941175
2023-05-11,1041,1053,1034,1046,81189,0.004803073967339
2023-05-12,1057,1057,1024,1030,116451,-0.0152963671128106
2023-05-15,1032,1032,999,1007,275749,-0.0223300970873786
2023-05-16,1002,1012,902,924,554097,-0.0824230387288976
2023-05-17,935,975,934,967,251960,0.0465367965367964
2023-05-18,976,976,940,948,169915,-0.0196483971044467
2023-05-19,952,955,946,949,69074,0.001054852320675
2023-05-22,940,962,940,960,42121,0.01159114857745
2023-05-23,960,969,960,966,57082,0.00625
2023-05-24,960,960,952,957,58511,-0.0093167701863353
2023-05-25,956,956,928,928,238508,-0.0303030303030302
2023-05-26,930,930,897,902,282869,-0.0280172413793103
2023-05-30,917,917,897,907,170616,0.0055432372505543
2023-05-31,910,920,902,906,61237,-0.0011025358324145
2023-06-01,912,912,896,902,89266,-0.0044150110375276
2023-06-02,905,905,895,904,59429,0.0022172949002217
2023-06-05,908,910,903,909,69701,0.0055309734513273
2023-06-07,911,912,902,911,84274,0.0022002200220021
2023-06-08,914,914,900,906,55954,-0.0054884742041712
2023-06-09,910,910,895,901,59627,-0.0055187637969095
2023-06-12,903,907,897,899,37090,-0.002219755826859
2023-06-13,899,900,886,888,161351,-0.0122358175750834
2023-06-14,888,891,860,863,204281,-0.0281531531531531
2023-06-15,863,871,846,855,139970,-0.0092699884125144
2023-06-16,855,893,855,890,151895,0.0409356725146199
2023-06-19,901,921,900,909,367689,0.0213483146067414
2023-06-20,906,910,893,893,94663,-0.0176017601760175
2023-06-21,892,905,887,891,81035,-0.0022396416573348
2023-06-22,891,892,880,881,74962,-0.0112233445566778
2023-06-23,884,884,870,872,92987,-0.0102156640181612
2023-06-26,872,872,852,865,45303,-0.0080275229357797
2023-06-27,865,866,855,862,38852,-0.0034682080924856
2023-06-28,861,861,848,852,102106,-0.0116009280742459
2023-06-29,845,851,835,838,61981,-0.0164319248826291
2023-06-30,838,841,825,839,46984,0.0011933174224343
2023-07-03,841,874,840,864,52198,0.0297973778307509
2023-07-04,861,874,851,855,37740,-0.0104166666666666
2023-07-05,855,861,841,849,24858,-0.0070175438596491
2023-07-06,849,849,830,837,92775,-0.0141342756183745
2023-07-07,837,841,830,836,32973,-0.001194743130227
2023-07-10,836,836,818,818,92892,-0.0215311004784688
2023-07-11,818,825,811,816,61144,-0.002444987775061
2023-07-12,816,827,816,819,31407,0.0036764705882352
2023-07-13,828,829,808,827,59882,0.0097680097680097
2023-07-14,829,829,817,821,30822,-0.0072551390568319
2023-07-17,821,827,813,815,66719,-0.0073081607795371
2023-07-18,815,815,801,805,81832,-0.0122699386503067
2023-07-19,805,805,791,799,56021,-0.0074534161490683
2023-07-20,794,797,784,793,55285,-0.0075093867334167
2023-07-21,793,809,785,799,35030,0.0075662042875157
2023-07-24,799,799,773,774,154011,-0.0312891113892365
2023-07-25,780,780,740,750,134688,-0.0310077519379845
2023-07-26,750,750,676,694,306483,-0.0746666666666666
2023-07-27,694,749,693,714,76597,0.0288184438040346
2023-07-28,729,739,693,710,82842,-0.0056022408963585
2023-07-31,710,749,707,727,56425,0.0239436619718309
2023-08-01,735,736,722,725,36585,-0.0027510316368638
2023-08-02,739,770,726,741,121065,0.0220689655172414
2023-08-03,741,845,724,807,708251,0.0890688259109311
2023-08-04,789,827,786,813,237281,0.0074349442379182
2023-08-07,809,820,788,820,132716,0.0086100861008611
2023-08-08,809,845,778,792,258384,-0.0341463414634146
2023-08-09,808,808,770,793,75288,0.0012626262626262
2023-08-10,801,801,772,783,83841,-0.0126103404791929
2023-08-11,783,790,770,785,20881,0.0025542784163474
2023-08-14,784,791,775,783,46946,-0.0025477707006369
2023-08-16,780,790,750,752,129308,-0.0395913154533844
2023-08-17,753,753,720,738,59154,-0.0186170212765957
2023-08-18,738,738,721,725,39930,-0.0176151761517615
2023-08-21,725,739,725,738,42536,0.0179310344827585
2023-08-22,738,748,723,734,46087,-0.005420054200542
2023-08-23,730,739,725,737,37588,0.0040871934604904
2023-08-24,738,750,737,740,19983,0.0040705563093623
2023-08-25,749,749,731,737,21317,-0.004054054054054
2023-08-28,737,744,735,740,44284,0.0040705563093623
2023-08-29,740,743,735,741,45266,0.0013513513513514
2023-08-30,744,755,738,751,28295,0.0134952766531712
2023-08-31,756,768,753,760,35177,0.0119840213049267
2023-09-01,758,766,755,758,34891,-0.0026315789473684
2023-09-04,754,770,754,758,18715,0.0
2023-09-05,756,766,756,757,32259,-0.0013192612137202
2023-09-06,755,763,748,749,62183,-0.0105680317040951
2023-09-07,748,757,740,747,30085,-0.0026702269692924
2023-09-08,740,747,739,746,73150,-0.001338688085676
2023-09-11,740,744,730,734,45023,-0.0160857908847185
2023-09-12,741,741,731,735,14941,0.0013623978201635
2023-09-13,735,735,722,724,53743,-0.0149659863945578
2023-09-14,724,728,715,725,46389,0.0013812154696133
2023-09-15,717,728,717,721,24004,-0.0055172413793103
2023-09-18,729,729,715,723,32533,0.0027739251040221
2023-09-19,715,720,715,716,23755,-0.0096818810511756
2023-09-20,717,719,707,708,39986,-0.0111731843575418
2023-09-21,708,708,699,699,47048,-0.0127118644067796
2023-09-22,701,720,695,705,60468,0.0085836909871244
2023-09-25,710,759,701,716,130765,0.0156028368794325
2023-09-26,726,731,710,719,60427,0.0041899441340782
2023-09-27,710,719,690,691,93888,-0.03894297635605
2023-10-04,691,703,681,691,44111,0.0
2023-10-05,691,700,680,693,41635,0.0028943560057888
2023-10-06,699,700,693,699,18104,0.0086580086580085
2023-10-10,701,701,685,691,62028,-0.0114449213161659
2023-10-11,691,692,682,683,50779,-0.0115774240231548
2023-10-12,683,685,675,676,78862,-0.0102489019033674
2023-10-13,678,682,666,671,43770,-0.0073964497041419
2023-10-16,666,682,662,672,39299,0.0014903129657228
2023-10-17,675,675,661,667,70290,-0.0074404761904761
2023-10-18,657,666,646,652,112742,-0.0224887556221888
2023-10-19,653,653,640,641,76120,-0.0168711656441717
2023-10-20,644,644,613,618,80326,-0.0358814352574102
2023-10-23,623,623,614,619,16074,0.0016181229773462
2023-10-24,619,630,616,621,33071,0.0032310177705976
2023-10-25,626,634,611,614,52717,-0.0112721417069243
2023-10-26,611,618,604,612,29964,-0.003257328990228
2023-10-27,616,626,604,614,48026,0.0032679738562091
2023-10-30,614,619,604,617,28658,0.004885993485342
2023-10-31,620,627,608,619,39871,0.0032414910858995
2023-11-01,619,628,609,626,15178,0.011308562197092
2023-11-02,626,640,626,633,27429,0.011182108626198
2023-11-03,636,654,633,653,45407,0.0315955766192732
2023-11-06,654,676,654,675,21298,0.0336906584992342
2023-11-07,676,686,673,686,31758,0.0162962962962962
2023-11-08,687,694,681,694,36644,0.0116618075801748
2023-11-09,694,695,685,694,14779,0.0
2023-11-10,696,696,684,694,9871,0.0
2023-11-13,696,696,680,684,14476,-0.0144092219020173
2023-11-14,690,690,679,685,29073,0.0014619883040936
2023-11-15,680,697,680,689,23442,0.0058394160583941
2023-11-16,692,699,689,695,18323,0.0087082728592162
2023-11-17,695,698,690,695,8436,0.0
2023-11-20,688,700,684,699,27740,0.0057553956834532
2023-11-21,700,824,654,662,1863716,-0.0529327610872675
2023-11-22,665,676,660,663,113216,0.0015105740181269
2023-11-23,668,699,663,672,122062,0.0135746606334841
2023-11-24,667,678,667,674,28052,0.0029761904761904
2023-11-27,673,673,660,673,44441,-0.0014836795252225
2023-11-28,662,673,662,671,23376,-0.0029717682020802
2023-11-29,674,675,663,671,34584,0.0
2023-11-30,673,673,664,670,43310,-0.0014903129657227
2023-12-01,662,671,660,665,48324,-0.0074626865671642
2023-12-04,662,662,651,661,89239,-0.0060150375939849
2023-12-05,670,673,657,666,105016,0.0075642965204236
2023-12-06,667,672,658,658,27639,-0.0120120120120119
2023-12-07,660,675,660,669,25691,0.0167173252279635
2023-12-08,669,671,661,661,10796,-0.0119581464872944
2023-12-11,671,678,668,677,37871,0.0242057488653555
2023-12-12,677,689,677,682,33781,0.0073855243722305
2023-12-13,687,688,675,678,19280,-0.0058651026392961
2023-12-14,685,686,677,681,9423,0.0044247787610618
2023-12-15,681,692,680,692,33105,0.0161527165932451
2023-12-18,692,708,685,707,39600,0.0216763005780347
2023-12-19,707,712,705,709,65184,0.0028288543140029
2023-12-20,698,727,698,725,62460,0.0225669957686882
2023-12-21,725,733,723,730,24332,0.0068965517241379
2023-12-22,733,739,725,739,25474,0.0123287671232876
2023-12-26,734,741,726,738,20581,-0.0013531799729363
2023-12-27,738,743,733,739,20157,0.0013550135501354
2023-12-28,739,741,730,740,32045,0.0013531799729364
2024-01-02,740,741,730,737,24206,-0.004054054054054
2024-01-03,731,742,715,735,33033,-0.0027137042062415
2024-01-04,739,739,727,730,19143,-0.0068027210884353
2024-01-05,734,743,724,730,26427,0.0
2024-01-08,734,734,717,727,23874,-0.0041095890410959
2024-01-09,727,728,721,726,8587,-0.0013755158184318
