Date,Open,High,Low,Close,Volume,Change
2023-04-04,3345,3415,3225,3245,104206,0.0062015503875969
2023-04-05,3270,3295,3200,3220,57109,-0.007704160246533
2023-04-06,3230,3230,3125,3145,32785,-0.0232919254658384
2023-04-07,3145,3200,3145,3170,32319,0.0079491255961843
2023-04-10,3200,3200,3005,3030,48252,-0.0441640378548895
2023-04-11,3045,3170,3020,3165,43334,0.0445544554455445
2023-04-12,3165,3240,3155,3230,51250,0.0205371248025276
2023-04-13,3230,3265,3150,3255,47440,0.0077399380804954
2023-04-14,3255,3300,3230,3300,51668,0.0138248847926267
2023-04-17,3315,3345,3265,3310,54941,0.0030303030303029
2023-04-18,3315,3365,3275,3330,41836,0.0060422960725075
2023-04-19,3350,3365,3290,3330,49803,0.0
2023-04-20,3330,3365,3260,3345,60887,0.0045045045045044
2023-04-21,3285,3315,3180,3230,54239,-0.0343796711509716
2023-04-24,3200,3200,3120,3175,38383,-0.0170278637770897
2023-04-25,3135,3145,3080,3080,33046,-0.0299212598425197
2023-04-26,3040,3130,3040,3110,32393,0.0097402597402598
2023-04-27,3110,3150,3045,3145,27387,0.0112540192926045
2023-04-28,3145,3195,3115,3195,48755,0.0158982511923688
2023-05-02,3195,3230,3180,3215,55668,0.0062597809076683
2023-05-03,3215,3295,3205,3280,39899,0.0202177293934682
2023-05-04,3270,3280,3215,3220,27934,-0.0182926829268292
2023-05-08,3225,3265,3220,3225,29142,0.0015527950310558
2023-05-09,3245,3320,3210,3235,51663,0.0031007751937983
2023-05-10,3235,3270,3190,3220,63008,-0.0046367851622874
2023-05-11,3220,3260,3205,3250,50096,0.0093167701863354
2023-05-12,3290,3310,3175,3280,59970,0.0092307692307691
2023-05-15,3280,3320,3255,3320,34288,0.0121951219512195
2023-05-16,3285,3335,3255,3260,27676,-0.0180722891566265
2023-05-17,3210,3315,3200,3310,57461,0.0153374233128833
2023-05-18,3340,3390,3290,3360,26712,0.0151057401812688
2023-05-19,3360,3360,3330,3330,10420,-0.0089285714285713
2023-05-22,3330,3345,3275,3290,34667,-0.0120120120120119
2023-05-23,3295,3330,3290,3300,24531,0.0030395136778116
2023-05-24,3300,3350,3260,3280,33829,-0.0060606060606061
2023-05-25,3280,3295,3240,3245,13711,-0.010670731707317
2023-05-26,3245,3260,3210,3210,24079,-0.0107858243451464
2023-05-30,3185,3260,3180,3225,16615,0.0046728971962617
2023-05-31,3225,3270,3195,3215,23163,-0.0031007751937984
2023-06-01,3230,3275,3200,3230,17033,0.0046656298600311
2023-06-02,3230,3230,3155,3195,23425,-0.0108359133126935
2023-06-05,3195,3195,3145,3190,34652,-0.001564945226917
2023-06-07,3190,3195,3150,3195,26455,0.0015673981191222
2023-06-08,3210,3210,3135,3210,26144,0.0046948356807512
2023-06-09,3220,3220,3155,3165,22101,-0.0140186915887849
2023-06-12,3165,3215,3150,3215,19941,0.0157977883096367
2023-06-13,3215,3235,3180,3180,19664,-0.0108864696734058
2023-06-14,3210,3210,3165,3165,19102,-0.0047169811320755
2023-06-15,3145,3150,3105,3110,18921,-0.0173775671406003
2023-06-16,3110,3155,3075,3155,30360,0.0144694533762057
2023-06-19,3155,3200,3125,3200,12813,0.0142630744849445
2023-06-20,3215,3215,3145,3180,16565,-0.0062499999999999
2023-06-21,3180,3200,3150,3180,18662,0.0
2023-06-22,3140,3165,3090,3100,30871,-0.0251572327044025
2023-06-23,3085,3150,3070,3120,23832,0.0064516129032257
2023-06-26,3120,3170,3085,3165,11300,0.0144230769230768
2023-06-27,3200,3200,3135,3135,17637,-0.0094786729857819
2023-06-28,3135,3165,3125,3160,12176,0.0079744816586921
2023-06-29,3180,3180,3125,3165,17278,0.0015822784810126
2023-06-30,3130,3195,3105,3195,22909,0.009478672985782
2023-07-03,3205,3220,3115,3115,34602,-0.0250391236306729
