Date,Open,High,Low,Close,Volume,Change
2013-09-16,4141,4141,4004,4025,75476,
2013-09-17,4023,4239,3984,4122,83293,0.0240993788819876
2013-09-23,4101,4180,4023,4063,44796,-0.0143134400776322
2013-09-24,4121,4121,3964,4083,62989,0.0049224710804824
2013-09-25,3827,3827,3591,3652,298905,-0.1055596375214302
2013-09-26,3670,3670,3434,3553,157223,-0.0271084337349397
2013-09-27,3572,3591,3454,3514,79398,-0.0109766394596115
2013-09-30,3474,3493,3277,3377,127338,-0.0389869095048377
2013-10-01,3277,3847,3277,3671,582754,0.0870595202842758
2013-10-02,3611,3670,3356,3415,244366,-0.0697357668210296
2013-10-04,3395,3493,3317,3377,105652,-0.0111273792093704
2013-10-07,3336,3454,3199,3258,95832,-0.0352383772579212
2013-10-08,3258,3258,3101,3141,112084,-0.0359116022099447
2013-10-10,3101,3218,3101,3180,72383,0.0124164278892071
2013-10-11,3159,3532,3101,3337,266443,0.0493710691823898
2013-10-14,3297,3297,3140,3180,126084,-0.0470482469283788
2013-10-15,2904,2983,2865,2925,457215,-0.080188679245283
2013-10-16,2904,2944,2845,2925,198941,0.0
2013-10-17,2904,2944,2885,3004,109640,0.027008547008547
2013-10-18,2983,2983,2885,2964,106751,-0.0133155792276964
2013-10-21,2944,3375,2924,3199,749981,0.0792847503373819
2013-10-22,3179,3258,3042,3180,123121,-0.0059393560487652
2013-10-23,3120,3218,3061,3101,110644,-0.0248427672955975
2013-10-24,3101,3140,3081,3180,70825,0.0254756530151563
2013-10-25,3218,3552,3218,3317,404701,0.0430817610062892
2013-10-28,3218,3277,3101,3141,166699,-0.0530599939704552
2013-10-29,3101,3297,3081,3199,140132,0.0184654568608724
2013-10-30,3218,3238,3101,3161,98024,-0.0118787120975304
2013-10-31,3120,3611,3120,3631,666903,0.1486871243277443
2013-11-01,3690,4063,3375,3474,1292654,-0.0432387771963646
2013-11-04,3395,3670,3356,3494,648996,0.0057570523891767
2013-11-05,3434,3768,3434,3809,972993,0.0901545506582712
2013-11-06,3788,4042,3493,3612,887681,-0.0517196114465738
2013-11-07,3611,3631,3336,3377,355912,-0.0650609080841638
2013-11-08,3356,3434,3258,3377,147412,0.0
2013-11-11,3356,3395,3277,3298,143849,-0.023393544566183
2013-11-12,3277,3415,3238,3317,259985,0.0057610673135233
2013-11-13,3297,3631,3277,3474,501564,0.0473319264395537
2013-11-14,3454,3532,3336,3436,261706,-0.0109383995394357
2013-11-15,3925,3925,3748,3946,833515,0.1484284051222351
2013-11-18,3748,3964,3591,3710,864006,-0.0598073998986314
2013-11-19,3690,4141,3650,3769,1316441,0.0159029649595687
2013-11-20,3788,4141,3690,4004,939004,0.062350756168745
2013-11-21,3964,4436,3748,3887,1339917,-0.0292207792207792
2013-11-22,3925,4082,3709,3828,948034,-0.0151788011319783
2013-11-25,3866,3925,3729,3749,297630,-0.020637408568443
2013-11-26,3768,3788,3611,3710,231226,-0.0104027740730862
2013-11-27,3709,3788,3591,3730,253564,0.0053908355795149
2013-11-28,3768,3847,3611,3710,315099,-0.0053619302949061
2013-11-29,3709,3729,3474,3514,195415,-0.0528301886792452
2013-12-02,3474,3513,3356,3436,164460,-0.0221969265793966
2013-12-03,3375,3434,3199,3239,204070,-0.0573341094295692
2013-12-04,3199,3199,3081,3121,111277,-0.0364309972213646
2013-12-05,3140,3395,3140,3278,298360,0.0503043896187118
2013-12-06,3258,3277,3140,3199,91717,-0.0241000610128127
2013-12-09,3218,3258,3120,3161,90910,-0.0118787120975304
2013-12-10,3199,3199,3101,3180,67854,0.006010756089845
2013-12-11,3140,3199,3120,3180,67635,0.0
2013-12-12,3179,3199,3101,3161,53295,-0.0059748427672956
2013-12-13,2669,2669,2669,2669,28162,-0.1556469471686175
2013-12-16,2335,2669,2256,2297,567091,-0.139378044211315
2013-12-17,2159,2296,2040,2159,744239,-0.0600783630822812
2013-12-18,2218,2315,2139,2179,359670,0.0092635479388605
2013-12-19,2178,2218,2060,2081,211799,-0.0449747590637907
2013-12-20,2002,2040,1864,1963,391485,-0.0567035079288803
2013-12-23,1903,1962,1864,1963,203311,0.0
2013-12-24,1923,1962,1883,1943,191661,-0.0101884870096791
2013-12-26,1864,1942,1786,1806,212019,-0.0705095213587235
2013-12-27,1824,1864,1687,1826,283146,0.0110741971207086
2013-12-30,1864,1864,1766,1826,166369,0.0
2014-01-02,1805,1824,1667,1727,467893,-0.0542168674698795
2014-01-03,1707,1727,1667,1688,192607,-0.0225825130283728
2014-01-06,1687,1903,1667,1963,813648,0.1629146919431279
2014-01-07,1943,2218,1883,2120,1600373,0.0799796230259806
2014-01-08,2080,2237,2060,2120,1083796,0.0
2014-01-09,2060,2335,2060,2159,1825669,0.0183962264150943
2014-01-10,2178,2296,2119,2297,733776,0.0639184807781381
2014-01-13,2296,2413,2178,2179,1105507,-0.0513713539399216
2014-01-14,2159,2315,2099,2336,820447,0.0720513997246443
2014-01-15,2394,2591,2237,2297,1441564,-0.016695205479452
2014-01-16,2296,2315,2119,2179,427306,-0.0513713539399216
2014-01-17,2178,2237,2099,2159,291350,-0.0091785222579164
2014-01-20,2119,2218,2060,2199,289571,0.0185270958777212
2014-01-21,2178,2237,2119,2237,206239,0.0172805820827648
2014-01-22,2315,2492,2099,2140,1391866,-0.0433616450603486
2014-01-23,2021,2119,2002,2101,361046,-0.0182242990654205
2014-01-24,2099,2355,2060,2395,641582,0.1399333650642551
2014-01-27,2375,2531,2021,2042,1705929,-0.1473903966597077
2014-01-28,1981,2021,1864,1924,422825,-0.0577864838393731
2014-01-29,1864,2178,1864,2101,565682,0.0919958419958419
2014-02-03,2060,2178,1981,2101,213472,0.0
2014-02-04,2060,2159,1962,2120,430144,0.0090433127082341
2014-02-05,2080,2139,2021,2061,229171,-0.0278301886792452
2014-02-06,2021,2099,2002,2042,145299,-0.0092188258127122
2014-02-07,2002,2099,1981,2061,149869,0.0093046033300685
2014-02-10,2060,2060,2002,2042,113495,-0.0092188258127122
2014-02-11,2021,2060,1943,2002,98107,-0.019588638589618
2014-02-12,1962,2021,1943,2002,168841,0.0
2014-02-13,1981,2218,1962,2101,846578,0.0494505494505495
2014-02-14,2060,2159,2021,2061,352011,-0.0190385530699667
2014-02-17,2060,2080,1981,2021,164982,-0.0194080543425521
2014-02-18,2002,2060,1962,2042,134303,0.0103908955962395
2014-02-19,2021,2060,2002,2042,128880,0.0
2014-02-20,2021,2060,1981,2021,138566,-0.0102840352595494
2014-02-21,2002,2021,1962,2002,143927,-0.0094012864918356
2014-02-24,1981,2002,1864,2002,239399,0.0
2014-02-25,2002,2178,1943,2002,755875,0.0
2014-02-26,2002,2060,1962,2002,262345,0.0
2014-02-27,1981,2060,1962,2042,229718,0.0199800199800199
2014-02-28,2060,2119,2021,2061,324451,0.0093046033300685
2014-03-03,2060,2060,2002,2061,141643,0.0
2014-03-04,2021,2060,2002,2061,168758,0.0
2014-03-05,2040,2119,2040,2101,172787,0.0194080543425521
2014-03-06,2060,2080,2060,2101,84371,0.0
