Date,Open,High,Low,Close,Volume,Change
2023-04-04,1393,1403,1387,1399,27281,0.0043072505384063
2023-04-05,1399,1403,1381,1381,39115,-0.0128663330950679
2023-04-06,1388,1388,1360,1385,47736,0.002896451846488
2023-04-07,1375,1392,1365,1375,36499,-0.0072202166064981
2023-04-10,1362,1369,1346,1347,31013,-0.0203636363636363
2023-04-11,1347,1357,1322,1345,33843,-0.0014847809948033
2023-04-12,1351,1365,1302,1308,206627,-0.0275092936802974
2023-04-13,1319,1329,1295,1329,46653,0.0160550458715595
2023-04-14,1329,1355,1329,1348,24643,0.0142964635063957
2023-04-17,1362,1362,1333,1351,31532,0.0022255192878337
2023-04-18,1362,1362,1321,1345,57684,-0.0044411547002221
2023-04-19,1358,1369,1331,1354,33325,0.0066914498141263
2023-04-20,1354,1368,1340,1352,41420,-0.001477104874446
2023-04-21,1331,1339,1316,1316,38012,-0.0266272189349112
2023-04-24,1300,1323,1290,1306,51296,-0.0075987841945288
2023-04-25,1287,1306,1279,1293,40925,-0.0099540581929555
2023-04-26,1262,1286,1257,1285,46338,-0.0061871616395978
2023-04-27,1264,1276,1242,1250,33831,-0.0272373540856031
2023-04-28,1262,1362,1250,1264,83099,0.0112
2023-05-02,1264,1314,1264,1314,37575,0.0395569620253164
2023-05-03,1314,1341,1306,1338,38322,0.0182648401826484
2023-05-04,1328,1328,1302,1309,17067,-0.0216741405082212
2023-05-08,1309,1324,1309,1313,18216,0.00305576776165
2023-05-09,1339,1340,1315,1336,17514,0.0175171363290174
2023-05-10,1316,1336,1305,1321,20821,-0.0112275449101796
2023-05-11,1321,1321,1308,1314,21041,-0.0052990158970477
2023-05-12,1321,1341,1301,1330,25884,0.0121765601217656
2023-05-15,1320,1417,1302,1369,195515,0.0293233082706767
2023-05-16,1366,1366,1303,1314,32180,-0.0401753104455807
2023-05-17,1314,1334,1293,1312,32987,-0.0015220700152207
2023-05-18,1312,1337,1312,1336,19904,0.0182926829268292
2023-05-19,1336,1354,1318,1318,26909,-0.0134730538922155
2023-05-22,1318,1353,1317,1345,25465,0.0204855842185129
2023-05-23,1354,1355,1335,1347,22440,0.0014869888475836
2023-05-24,1354,1359,1331,1345,42580,-0.0014847809948033
2023-05-25,1335,1359,1328,1340,30158,-0.0037174721189591
2023-05-26,1340,1340,1325,1338,14400,-0.0014925373134327
2023-05-30,1327,1352,1327,1340,21263,0.0014947683109118
2023-05-31,1340,1349,1335,1341,9182,0.0007462686567163
2023-06-01,1340,1340,1330,1340,16383,-0.0007457121551081
2023-06-02,1322,1340,1319,1324,26938,-0.0119402985074626
2023-06-05,1329,1354,1328,1333,24943,0.0067975830815709
2023-06-07,1333,1350,1319,1340,27586,0.005251312828207
2023-06-08,1340,1362,1338,1354,38894,0.0104477611940299
2023-06-09,1353,1382,1335,1375,43119,0.0155096011816839
2023-06-12,1366,1376,1362,1362,78705,-0.0094545454545454
2023-06-13,1362,1394,1359,1378,30347,0.0117474302496329
2023-06-14,1378,1380,1336,1372,32366,-0.0043541364296081
2023-06-15,1362,1362,1336,1348,119413,-0.0174927113702624
2023-06-16,1335,1350,1330,1347,21503,-0.0007418397626113
2023-06-19,1347,1347,1327,1337,10834,-0.0074239049740163
2023-06-20,1327,1343,1327,1337,17044,0.0
2023-06-21,1335,1341,1317,1339,26818,0.0014958863126401
2023-06-22,1321,1341,1318,1337,19263,-0.0014936519790889
2023-06-23,1293,1327,1293,1302,115755,-0.0261780104712041
2023-06-26,1302,1323,1279,1317,20032,0.0115207373271888
2023-06-27,1310,1321,1280,1313,8881,-0.0030372057706909
2023-06-28,1300,1318,1280,1280,15332,-0.0251332825590251
2023-06-29,1280,1335,1279,1315,19551,0.02734375
2023-06-30,1290,1369,1290,1362,28633,0.0357414448669202
2023-07-03,1362,1380,1350,1367,20889,0.0036710719530101
2023-07-04,1374,1399,1346,1382,69571,0.0109729334308705
2023-07-05,1378,1382,1341,1377,77507,-0.0036179450072358
2023-07-06,1361,1376,1329,1350,48950,-0.0196078431372549
2023-07-07,1327,1360,1300,1300,28683,-0.037037037037037
2023-07-10,1300,1351,1280,1343,21137,0.033076923076923
2023-07-11,1330,1347,1306,1330,10353,-0.0096798212956068
2023-07-12,1330,1340,1301,1320,54932,-0.0075187969924812
2023-07-13,1320,1320,1290,1316,17580,-0.003030303030303
2023-07-14,1325,1344,1290,1340,34452,0.0182370820668693
2023-07-17,1324,1340,1300,1309,52499,-0.0231343283582089
2023-07-18,1309,1316,1295,1299,13124,-0.0076394194041252
2023-07-19,1293,1299,1283,1283,24867,-0.0123171670515781
2023-07-20,1277,1287,1276,1278,13327,-0.0038971161340607
2023-07-21,1280,1286,1274,1285,24229,0.0054773082942096
2023-07-24,1279,1300,1274,1291,29512,0.004669260700389
2023-07-25,1291,1300,1181,1256,143994,-0.0271107668474051
2023-07-26,1232,1242,1186,1201,66258,-0.0437898089171974
2023-07-27,1170,1228,1170,1205,31326,0.003330557868443
2023-07-28,1205,1271,1201,1263,18846,0.0481327800829876
2023-07-31,1263,1280,1263,1269,7946,0.004750593824228
2023-08-01,1256,1280,1256,1279,21116,0.0078802206461781
2023-08-02,1279,1299,1263,1266,13670,-0.0101641907740421
2023-08-03,1240,1285,1200,1244,31440,-0.0173775671406003
2023-08-04,1242,1242,1200,1224,54493,-0.0160771704180063
2023-08-07,1224,1235,1218,1232,17771,0.0065359477124182
2023-08-08,1228,1228,1201,1209,18919,-0.0186688311688312
2023-08-09,1209,1302,1200,1295,25063,0.0711331679073614
2023-08-10,1295,1295,1219,1219,31123,-0.0586872586872586
2023-08-11,1219,1259,1216,1242,30737,0.0188679245283018
2023-08-14,1242,1250,1230,1244,11080,0.001610305958132
2023-08-16,1241,1241,1187,1200,58717,-0.0353697749196141
2023-08-17,1209,1240,1175,1239,53517,0.0324999999999999
2023-08-18,1200,1237,1200,1229,12385,-0.0080710250201775
2023-08-21,1224,1229,1210,1215,20655,-0.0113913751017087
2023-08-22,1228,1238,1218,1233,20356,0.0148148148148148
2023-08-23,1233,1270,1233,1264,33436,0.0251419302514193
2023-08-24,1264,1287,1264,1277,9207,0.0102848101265822
2023-08-25,1277,1290,1277,1285,5265,0.0062646828504306
2023-08-28,1285,1295,1284,1290,5141,0.0038910505836575
2023-08-29,1290,1302,1250,1250,19640,-0.0310077519379845
2023-08-30,1250,1295,1240,1277,25405,0.0216
2023-08-31,1274,1277,1241,1272,18360,-0.0039154267815192
2023-09-01,1272,1278,1260,1277,10292,0.0039308176100629
2023-09-04,1277,1286,1260,1282,21275,0.0039154267815191
2023-09-05,1282,1295,1273,1284,7368,0.001560062402496
2023-09-06,1281,1287,1254,1280,9588,-0.0031152647975077
2023-09-07,1273,1273,1220,1223,41497,-0.04453125
2023-09-08,1219,1223,1203,1209,44988,-0.0114472608340147
2023-09-11,1222,1240,1222,1231,15240,0.0181968569065342
2023-09-12,1231,1231,1196,1196,45846,-0.0284321689683184
2023-09-13,1196,1196,1176,1185,38594,-0.0091973244147157
2023-09-14,1172,1211,1172,1211,27513,0.0219409282700422
2023-09-15,1211,1236,1211,1222,19900,0.0090834021469858
2023-09-18,1223,1230,1210,1212,5663,-0.0081833060556464
2023-09-19,1211,1211,1191,1196,14091,-0.0132013201320132
2023-09-20,1181,1196,1181,1190,10156,-0.0050167224080267
2023-09-21,1188,1189,1175,1175,19471,-0.0126050420168066
2023-09-22,1172,1175,1160,1163,11058,-0.0102127659574468
2023-09-25,1163,1174,1141,1170,14707,0.0060189165950128
2023-09-26,1156,1170,1111,1115,51209,-0.047008547008547
2023-09-27,1115,1173,1115,1173,18993,0.0520179372197309
2023-10-04,1169,1184,1164,1164,26337,-0.0076726342710997
2023-10-05,1164,1170,1144,1156,9556,-0.0068728522336769
2023-10-06,1156,1170,1139,1149,10018,-0.0060553633217993
2023-10-10,1161,1162,1138,1138,17512,-0.0095735422106179
2023-10-11,1134,1159,1133,1158,6051,0.0175746924428823
2023-10-12,1170,1174,1164,1164,4706,0.005181347150259
2023-10-13,1174,1195,1164,1190,11035,0.02233676975945
2023-10-16,1190,1200,1142,1144,13661,-0.0386554621848739
2023-10-17,1138,1160,1133,1140,19129,-0.0034965034965035
2023-10-18,1155,1155,1137,1154,9488,0.012280701754386
2023-10-19,1148,1148,1137,1141,6280,-0.011265164644714
2023-10-20,1141,1142,1125,1141,18397,0.0
2023-10-23,1136,1136,1119,1134,9560,-0.0061349693251533
2023-10-24,1129,1130,1119,1130,6103,-0.0035273368606701
2023-10-25,1140,1148,1140,1145,9547,0.0132743362831857
2023-10-26,1145,1155,1126,1149,16464,0.0034934497816594
2023-10-27,1126,1175,1125,1149,17713,0.0
2023-10-30,1149,1151,1143,1150,42989,0.000870322019147
2023-10-31,1160,1175,1150,1167,25702,0.0147826086956521
2023-11-01,1197,1197,1170,1194,23028,0.0231362467866322
2023-11-02,1194,1218,1191,1218,27462,0.0201005025125629
2023-11-03,1268,1268,1224,1258,40058,0.0328407224958948
2023-11-06,1259,1288,1258,1288,19912,0.0238473767885532
2023-11-07,1288,1309,1269,1302,30712,0.0108695652173913
2023-11-08,1293,1309,1282,1282,8318,-0.0153609831029185
2023-11-09,1282,1295,1231,1290,21646,0.0062402496099844
2023-11-10,1290,1300,1264,1264,29067,-0.0201550387596899
2023-11-13,1264,1264,1225,1230,16576,-0.0268987341772152
2023-11-14,1200,1249,1200,1239,47722,0.0073170731707317
2023-11-15,1239,1265,1239,1260,12839,0.0169491525423728
2023-11-16,1272,1330,1210,1237,44069,-0.0182539682539683
