Date,Open,High,Low,Close,Volume,Change
2023-04-04,10530,10530,10010,10050,1047137,-0.0598690364826941
2023-04-05,9900,10200,9880,10090,544985,0.0039800995024874
2023-04-06,10100,10210,9920,10010,568647,-0.0079286422200198
2023-04-07,10210,10300,9960,10020,634043,0.000999000999001
2023-04-10,10150,11160,9820,10270,3750665,0.0249500998003993
2023-04-11,10440,10900,10130,10500,1414159,0.0223953261927944
2023-04-12,10350,10370,9960,10110,904494,-0.0371428571428571
2023-04-13,10110,11100,10110,10990,3818901,0.0870425321463896
2023-04-14,11250,11360,10760,10890,2246449,-0.0090991810737033
2023-04-17,10610,10690,10050,10060,1249392,-0.0762167125803489
2023-04-18,10110,10110,9570,9590,982991,-0.0467196819085486
2023-04-19,9700,9760,9280,9400,539731,-0.0198123044838373
2023-04-20,9400,9400,9000,9050,631942,-0.0372340425531915
2023-04-21,8900,9230,8870,8950,578906,-0.011049723756906
2023-04-24,9100,9640,8910,9390,841906,0.0491620111731843
2023-04-25,9560,9580,9010,9100,515283,-0.0308839190628328
2023-04-26,9100,9180,8800,8820,390783,-0.0307692307692307
2023-04-27,8830,8870,8010,8730,402322,-0.010204081632653
2023-04-28,8810,8850,8220,8290,393340,-0.0504009163802978
2023-05-02,8300,8700,8300,8640,321514,0.0422195416164052
2023-05-03,8530,8630,8300,8300,250931,-0.0393518518518518
2023-05-04,8320,8610,7990,8080,526084,-0.0265060240963855
2023-05-08,8120,8420,8100,8170,233756,0.011138613861386
2023-05-09,8180,8310,7910,8200,251600,0.0036719706242349
2023-05-10,8200,8200,7710,7710,415670,-0.0597560975609756
2023-05-11,7710,7980,7710,7740,214661,0.0038910505836575
2023-05-12,7710,7840,7610,7700,185522,-0.0051679586563307
2023-05-15,8020,9170,7820,8510,8992957,0.1051948051948052
2023-05-16,8340,8730,8260,8500,936834,-0.0011750881316098
2023-05-17,8770,9250,8640,9180,2036306,0.08
2023-05-18,9110,9250,8970,9180,919620,0.0
2023-05-19,10890,10890,9700,9710,6403615,0.0577342047930282
2023-05-22,9710,10250,9710,9720,1261713,0.0010298661174046
2023-05-23,9620,9720,9390,9490,676551,-0.0236625514403292
2023-05-24,9360,9720,9310,9350,490156,-0.0147523709167545
2023-05-25,9690,10100,9460,9920,1725498,0.0609625668449198
2023-05-26,9930,10020,9520,9590,729255,-0.0332661290322581
2023-05-30,9830,10280,9760,10010,1697223,0.0437956204379561
2023-05-31,10010,10060,9790,9800,567863,-0.0209790209790209
2023-06-01,9850,10070,9600,9770,605800,-0.0030612244897959
2023-06-02,9910,9950,9730,9750,325174,-0.0020470829068577
2023-06-05,9880,9940,9710,9820,278150,0.0071794871794872
2023-06-07,9790,10220,9710,9830,933335,0.0010183299389001
2023-06-08,10050,10600,9870,10080,2848790,0.0254323499491353
2023-06-09,10220,10280,10000,10010,591410,-0.0069444444444444
2023-06-12,10010,10190,9870,10150,510676,0.0139860139860139
2023-06-13,10200,10610,10110,10440,2043118,0.0285714285714284
2023-06-14,10680,10690,10040,10250,1258426,-0.0181992337164751
2023-06-15,10390,10440,10180,10220,599984,-0.0029268292682926
2023-06-16,10390,10630,10250,10260,642259,0.0039138943248533
2023-06-19,10350,10390,10070,10180,422167,-0.0077972709551656
2023-06-20,10390,10570,10100,10150,1237993,-0.0029469548133594
2023-06-21,10050,10170,9910,9930,519950,-0.0216748768472906
2023-06-22,9710,9950,9670,9740,381691,-0.0191339375629405
2023-06-23,9750,10100,9740,9800,431955,0.0061601642710471
