Date,Open,High,Low,Close,Volume,Change
2019-06-18,1920,1925,1880,1895,168886,-0.01302083333333337
2019-06-19,1905,1930,1875,1885,119556,-0.00527704485488123
2019-06-20,1910,1915,1875,1915,184447,0.01591511936339529
2019-06-21,1915,1985,1885,1970,366464,0.02872062663185382
2019-06-24,1940,1965,1880,1900,327727,-0.035532994923857864
2019-06-25,1885,1905,1825,1840,229798,-0.03157894736842104
2019-06-26,1835,1875,1815,1870,148520,0.016304347826086918
2019-06-27,1850,1875,1775,1825,187508,-0.024064171122994638
2019-06-28,1820,1855,1775,1855,145897,0.016438356164383494
2019-07-01,1820,1870,1775,1825,177163,-0.016172506738544423
2019-07-02,1810,1835,1790,1800,134907,-0.013698630136986356
2019-07-03,1800,1830,1800,1820,92154,0.011111111111111072
2019-07-04,1805,1820,1715,1740,336492,-0.04395604395604391
2019-07-05,1710,1990,1700,1725,2125685,-0.008620689655172376
2019-07-08,1745,1745,1585,1585,519671,-0.08115942028985512
2019-07-09,1595,1635,1535,1600,321673,0.009463722397476282
2019-07-10,1585,1620,1580,1580,89437,-0.012499999999999956
2019-07-11,1570,1650,1570,1635,175678,0.034810126582278444
2019-07-12,1635,1645,1580,1620,200739,-0.00917431192660545
2019-07-15,1620,1630,1555,1590,279721,-0.01851851851851849
2019-07-16,1600,1600,1495,1550,495113,-0.02515723270440251
2019-07-17,1540,1555,1495,1535,218223,-0.009677419354838679
2019-07-18,1525,1540,1500,1530,195018,-0.0032573289902280145
2019-07-19,1530,1545,1500,1530,186828,0.0
2019-07-22,1530,1565,1520,1560,103624,0.019607843137254832
2019-07-23,1550,1595,1540,1580,120332,0.012820512820512775
2019-07-24,1580,1620,1540,1600,154711,0.012658227848101333
2019-07-25,1570,1600,1515,1550,168444,-0.03125
2019-07-26,1535,1560,1495,1500,156313,-0.032258064516129004
2019-07-29,1500,1515,1380,1385,554204,-0.07666666666666666
2019-07-30,1350,1425,1350,1380,543891,-0.0036101083032491488
2019-07-31,1380,1440,1360,1440,176263,0.04347826086956519
2019-08-01,1445,1460,1405,1445,103600,0.003472222222222321
2019-08-02,1405,1480,1395,1450,109850,0.0034602076124568004
2019-08-05,1420,1450,1330,1340,259484,-0.07586206896551728
2019-08-06,1280,1385,1220,1275,308609,-0.04850746268656714
2019-08-07,1280,1335,1280,1330,162522,0.04313725490196085
2019-08-08,1330,1390,1330,1380,158869,0.03759398496240607
2019-08-09,1385,1455,1380,1440,220976,0.04347826086956519
2019-08-12,1420,1535,1355,1380,823705,-0.04166666666666663
2019-08-13,1375,1430,1340,1375,295452,-0.0036231884057971175
2019-08-14,1390,1405,1370,1380,131078,0.0036363636363636598
2019-08-16,1340,1370,1320,1330,237503,-0.036231884057971064
2019-08-19,1330,1385,1320,1335,188877,0.003759398496240518
2019-08-20,1350,1440,1335,1425,418385,0.0674157303370786
2019-08-21,1425,1485,1410,1475,278986,0.03508771929824572
2019-08-22,1495,1495,1445,1460,126603,-0.01016949152542368
2019-08-23,1450,1465,1405,1425,189628,-0.023972602739726012
2019-08-26,1380,1425,1375,1375,145503,-0.03508771929824561
2019-08-27,1380,1415,1380,1400,48815,0.018181818181818077
2019-08-28,1385,1415,1370,1410,111491,0.0071428571428571175
2019-08-29,1420,1420,1375,1385,73639,-0.01773049645390068
