Date,Open,High,Low,Close,Volume,Change
2023-04-04,3310,3395,3295,3390,60312,0.0241691842900302
2023-04-05,3380,3380,3340,3370,23789,-0.0058997050147492
2023-04-06,3345,3370,3265,3275,63815,-0.0281899109792285
2023-04-07,3275,3295,3235,3270,53950,-0.0015267175572518
2023-04-10,3270,3270,3140,3180,142708,-0.0275229357798164
2023-04-11,3180,3225,3135,3225,56857,0.0141509433962263
2023-04-12,3225,3280,3205,3275,95515,0.0155038759689922
2023-04-13,3265,3315,3235,3305,85788,0.0091603053435114
2023-04-14,3285,3335,3280,3315,50448,0.0030257186081694
2023-04-17,3290,3580,3260,3580,435504,0.0799396681749622
2023-04-18,3400,3500,3340,3375,277986,-0.0572625698324021
2023-04-19,3350,3435,3335,3390,91470,0.0044444444444444
2023-04-20,3390,3390,3305,3305,88063,-0.0250737463126843
2023-04-21,3300,3330,3240,3265,92778,-0.0121028744326777
2023-04-24,3250,3265,3200,3215,66273,-0.0153139356814701
2023-04-25,3190,3230,3145,3190,91268,-0.0077760497667185
2023-04-26,3155,3235,3125,3205,51226,0.0047021943573668
2023-04-27,3205,3205,3145,3200,28553,-0.001560062402496
2023-04-28,3245,3245,3140,3185,60889,-0.0046874999999999
2023-05-02,3190,3250,3165,3185,57176,0.0
2023-05-03,3130,3225,3130,3225,44401,0.0125588697017269
2023-05-04,3225,3290,3190,3275,62614,0.0155038759689922
2023-05-08,3280,3330,3265,3320,61651,0.0137404580152671
2023-05-09,3310,3380,3275,3350,78509,0.0090361445783131
2023-05-10,3350,3385,3315,3350,84909,0.0
2023-05-11,3350,3375,3325,3340,72670,-0.0029850746268657
2023-05-12,3340,3390,3300,3320,55003,-0.0059880239520958
2023-05-15,3300,3320,3265,3290,30593,-0.0090361445783132
2023-05-16,3290,3385,3285,3385,78103,0.0288753799392096
2023-05-17,3365,3450,3360,3400,72050,0.0044313146233383
2023-05-18,3405,3450,3370,3415,51527,0.0044117647058823
2023-05-19,3425,3465,3395,3445,102838,0.0087847730600292
2023-05-22,3460,3635,3440,3550,417892,0.0304789550072568
2023-05-23,3525,3540,3465,3490,142627,-0.0169014084507042
2023-05-24,3485,3600,3435,3555,283095,0.0186246418338109
2023-05-25,3635,3635,3480,3550,171670,-0.0014064697609
2023-05-26,3550,3550,3465,3490,69921,-0.0169014084507042
2023-05-30,3490,3510,3400,3440,81666,-0.0143266475644698
2023-05-31,3400,3495,3400,3460,65366,0.0058139534883721
2023-06-01,3470,3495,3425,3480,61011,0.0057803468208093
2023-06-02,3480,3565,3480,3525,58352,0.0129310344827586
2023-06-05,3505,3565,3505,3550,47819,0.0070921985815601
2023-06-07,3520,3580,3520,3550,99947,0.0
2023-06-08,3550,3560,3500,3560,63727,0.0028169014084507
2023-06-09,3580,3580,3540,3555,58718,-0.0014044943820225
2023-06-12,3585,3585,3495,3525,63668,-0.0084388185654008
2023-06-13,3720,3720,3535,3535,548749,0.0028368794326241
2023-06-14,3565,3565,3495,3545,100289,0.0028288543140029
2023-06-15,3510,3550,3485,3530,73829,-0.004231311706629
2023-06-16,3555,3665,3530,3650,180353,0.0339943342776203
2023-06-19,3670,3740,3640,3720,243219,0.0191780821917808
2023-06-20,3720,3765,3670,3685,111754,-0.0094086021505376
2023-06-21,3685,3750,3685,3710,96664,0.0067842605156038
2023-06-22,3730,3895,3665,3745,456391,0.009433962264151
2023-06-23,3750,3800,3730,3795,192254,0.0133511348464618
2023-06-26,3900,3900,3765,3765,269905,-0.0079051383399209
2023-06-27,3760,3790,3650,3740,143857,-0.0066401062416998
2023-06-28,3740,3855,3700,3820,199693,0.0213903743315508
2023-06-29,3820,3820,3740,3810,140884,-0.0026178010471203
2023-06-30,3715,3770,3625,3695,144728,-0.0301837270341207
2023-07-03,3695,3750,3690,3740,93351,0.0121786197564275
2023-07-04,3720,3745,3630,3660,93346,-0.0213903743315507
2023-07-05,3635,3635,3495,3495,179123,-0.0450819672131147
2023-07-06,3530,3535,3350,3390,119606,-0.0300429184549356
2023-07-07,3310,3460,3310,3385,76928,-0.0014749262536872
2023-07-10,3340,3570,3340,3495,135149,0.0324963072378139
2023-07-11,3525,3570,3450,3530,78319,0.0100143061516451
2023-07-12,3600,3600,3480,3525,105558,-0.0014164305949008
2023-07-13,3525,3650,3480,3630,164563,0.0297872340425531
2023-07-14,3660,3660,3480,3560,189319,-0.0192837465564738
2023-07-17,3800,3860,3650,3700,1558922,0.0393258426966292
2023-07-18,3665,3685,3540,3540,268378,-0.0432432432432432
2023-07-19,3545,3545,3430,3525,184722,-0.0042372881355932
2023-07-20,3490,3695,3440,3695,340795,0.04822695035461
2023-07-21,3585,3615,3485,3490,224528,-0.0554803788903923
2023-07-24,3490,3490,3365,3375,174595,-0.0329512893982808
2023-07-25,3325,3400,3265,3265,132385,-0.0325925925925926
2023-07-26,3265,3275,3005,3060,258036,-0.0627871362940275
2023-07-27,3000,3165,3000,3130,93258,0.0228758169934639
2023-07-28,3080,3190,3080,3185,53459,0.0175718849840256
2023-07-31,3190,3755,3150,3600,8809159,0.1302982731554161
2023-08-01,3630,3705,3350,3365,1770365,-0.0652777777777777
2023-08-02,3405,3410,3280,3295,261923,-0.0208023774145617
2023-08-03,3260,3315,3170,3210,198872,-0.0257966616084976
2023-08-04,3245,3245,3195,3195,88342,-0.0046728971962616
2023-08-07,3255,3395,3255,3395,254060,0.0625978090766823
2023-08-08,3400,3445,3340,3405,243388,0.0029455081001472
2023-08-09,3470,3560,3410,3555,542525,0.0440528634361232
2023-08-10,3495,3505,3300,3305,445555,-0.0703234880450069
2023-08-11,3280,3305,3210,3220,182431,-0.0257186081694402
2023-08-14,3225,3240,3190,3200,84646,-0.0062111801242236
2023-08-16,3210,3210,3135,3150,92420,-0.015625
2023-08-17,3105,3195,3095,3155,84949,0.0015873015873015
2023-08-18,3120,3220,3120,3180,52129,0.0079239302694136
2023-08-21,3220,3220,3145,3170,49474,-0.0031446540880503
2023-08-22,3190,3190,3110,3130,74507,-0.0126182965299684
