Date,Open,High,Low,Close,Volume,Change
2019-06-18,7730,7960,7640,7640,109023,-0.010362694300518172
2019-06-19,7790,8040,7730,8040,139662,0.05235602094240832
2019-06-20,8090,8090,7860,7930,72609,-0.013681592039801016
2019-06-21,8020,8190,7880,7880,59882,-0.006305170239596425
2019-06-24,8100,8490,8000,8440,334824,0.07106598984771573
2019-06-25,8600,8600,8160,8180,143836,-0.03080568720379151
2019-06-26,8150,8380,8010,8290,101079,0.01344743276283622
2019-06-27,8290,8370,7990,8150,96771,-0.016887816646562137
2019-06-28,8050,8160,7790,7870,74832,-0.03435582822085892
2019-07-01,8320,8330,8020,8210,138924,0.043202033036848775
2019-07-02,8180,8230,8060,8080,67905,-0.015834348355663774
2019-07-03,8070,8240,7670,7680,101020,-0.04950495049504955
2019-07-04,7680,7870,7660,7690,41251,0.0013020833333332593
2019-07-05,7770,7810,7610,7690,42701,0.0
2019-07-08,7600,7660,7100,7100,67550,-0.07672301690507155
2019-07-09,7050,7170,6860,6880,79474,-0.030985915492957705
2019-07-10,6840,7080,6840,7000,29989,0.01744186046511631
2019-07-11,7000,7440,7000,7420,39908,0.06000000000000005
2019-07-12,7360,7570,7260,7420,26437,0.0
2019-07-15,7360,7490,7340,7430,16852,0.0013477088948787852
2019-07-16,7350,7480,7220,7400,23910,-0.004037685060565233
2019-07-17,7440,7440,7050,7080,34010,-0.043243243243243246
2019-07-18,7080,7160,6950,6980,20567,-0.01412429378531077
2019-07-19,6950,7150,6950,6990,26608,0.0014326647564470996
2019-07-22,7040,7090,6980,7040,20130,0.007153075822603716
2019-07-23,6990,7070,6920,7000,28591,-0.005681818181818232
2019-07-24,7000,7060,6650,6710,56062,-0.04142857142857148
2019-07-25,6580,6680,6220,6430,99063,-0.041728763040238426
2019-07-26,6320,6490,6040,6130,96994,-0.046656298600311064
2019-07-29,6010,6120,5530,5530,137928,-0.0978792822185971
2019-07-30,5320,5820,5320,5680,104236,0.027124773960216952
2019-07-31,5610,5840,5550,5830,58312,0.02640845070422526
2019-08-01,5760,5910,5620,5620,31799,-0.03602058319039447
2019-08-02,5350,5800,5350,5700,52023,0.014234875444839812
2019-08-05,5660,5730,5010,5010,111507,-0.12105263157894741
2019-08-06,4705,5210,4620,4700,167539,-0.06187624750498999
2019-08-07,4610,4900,4610,4830,155763,0.027659574468085202
2019-08-08,4915,5390,4850,5310,98526,0.0993788819875776
2019-08-09,5370,5540,5330,5500,47852,0.03578154425612046
2019-08-12,5600,5790,5500,5700,55563,0.036363636363636376
2019-08-13,5600,5910,5560,5780,26546,0.01403508771929829
2019-08-14,5840,6020,5830,5960,50061,0.03114186851211076
2019-08-16,5810,5920,5770,5850,40273,-0.01845637583892612
2019-08-19,5870,6080,5870,6080,27884,0.0393162393162394
2019-08-20,6060,6160,6000,6130,22678,0.008223684210526327
2019-08-21,6130,6240,6030,6240,18825,0.01794453507340954
2019-08-22,6190,6230,6090,6110,27826,-0.02083333333333337
2019-08-23,6140,6450,5900,5950,69494,-0.026186579378068786
2019-08-26,5730,5840,5640,5700,41436,-0.04201680672268904
2019-08-27,5860,6250,5800,5800,74266,0.01754385964912286
2019-08-28,5730,6010,5710,5970,39015,0.02931034482758621
2019-08-29,6040,6050,5880,5970,17263,0.0
2019-08-30,6080,6480,6020,6170,43230,0.03350083752093802
2019-09-02,6120,6130,6020,6020,30034,-0.024311183144246407
2019-09-03,5990,6140,5980,6050,17448,0.004983388704318914
2019-09-04,6090,6200,5980,6050,31705,0.0
2019-09-05,6080,6150,6020,6040,31708,-0.0016528925619834212
2019-09-06,6110,6110,5950,6000,18018,-0.0066225165562914245
2019-09-09,6010,6030,5780,5820,44600,-0.030000000000000027
2019-09-10,6170,6690,6000,6680,334415,0.1477663230240549
2019-09-11,6700,7050,6580,6980,151034,0.04491017964071853
2019-09-16,7240,7560,7070,7520,206198,0.0773638968481376
2019-09-17,7400,7950,7230,7720,371259,0.02659574468085113
2019-09-18,7690,8120,7570,7830,329669,0.014248704663212486
2019-09-19,7810,7970,7760,7850,73207,0.0025542784163474774
2019-09-20,7950,7950,7770,7890,77799,0.005095541401273884
2019-09-23,8110,9200,7950,8410,2287988,0.06590621039290245
2019-09-24,8300,8380,8060,8090,267525,-0.038049940546967864
2019-09-25,8040,8070,7350,7390,246671,-0.08652657601977753
2019-09-26,7480,7660,7160,7410,165876,0.0027063599458727605
2019-09-27,7310,7550,7230,7370,86533,-0.005398110661268607
