Date,Open,High,Low,Close,Volume,Change
2023-04-04,3030,3205,3030,3205,206370,0.05775577557755773
2023-04-05,3220,3265,3140,3265,168025,0.018720748829953227
2023-04-06,3265,3270,3135,3160,128744,-0.03215926493108734
2023-04-07,3185,3205,3125,3135,95848,-0.007911392405063333
2023-04-10,3155,3155,3020,3070,143954,-0.020733652312599715
2023-04-11,3070,3130,3010,3100,140978,0.009771986970684043
2023-04-12,3130,3165,3085,3110,81228,0.003225806451612856
2023-04-13,3125,3215,3050,3160,119825,0.016077170418006492
2023-04-14,3140,3235,3140,3165,135272,0.0015822784810126667
2023-04-17,3145,3160,3095,3120,110332,-0.014218009478673022
2023-04-18,3120,3205,3045,3190,407765,0.022435897435897356
2023-04-19,3210,3315,3185,3280,246020,0.028213166144200663
2023-04-20,3295,3300,3085,3095,670474,-0.05640243902439024
2023-04-21,3075,3135,3050,3100,150017,0.001615508885298933
2023-04-24,3060,3120,3010,3100,186399,0.0
2023-04-25,3100,3120,3005,3035,130299,-0.020967741935483897
2023-04-26,3020,3050,2960,2960,175424,-0.02471169686985175
2023-04-27,2970,2990,2920,2980,179414,0.006756756756756799
2023-04-28,2980,3030,2970,3000,104999,0.006711409395973256
2023-05-02,3000,3090,2975,3040,92073,0.01333333333333342
2023-05-03,3000,3165,3000,3165,220540,0.04111842105263164
2023-05-04,3165,3220,3110,3140,99047,-0.00789889415481837
2023-05-08,3160,3180,3110,3110,85792,-0.009554140127388533
2023-05-09,3055,3150,3055,3125,154786,0.004823151125401992
2023-05-10,3145,3205,3120,3170,68300,0.014399999999999968
2023-05-11,3145,3180,3065,3070,80688,-0.03154574132492116
2023-05-12,3070,3100,3035,3090,109386,0.006514657980456029
2023-05-15,3060,3095,2940,3035,487537,-0.017799352750809017
2023-05-16,3010,3135,3010,3030,93102,-0.0016474464579900872
2023-05-17,3050,3075,2320,2380,6679724,-0.21452145214521456
2023-05-18,2460,2465,2225,2270,1938567,-0.04621848739495793
2023-05-19,2290,2400,2265,2375,834344,0.04625550660792954
2023-05-22,2355,2395,2340,2350,279225,-0.010526315789473717
2023-05-23,2335,2415,2335,2385,412021,0.014893617021276562
