Date,Open,High,Low,Close,Volume,Change
2023-04-04,1886,1946,1843,1857,2700372,-0.030287206266318534
2023-04-05,1945,2095,1902,1926,11515780,0.037156704361873905
2023-04-06,1917,1917,1847,1850,2712101,-0.039460020768432025
2023-04-07,1855,1888,1812,1822,1927094,-0.015135135135135092
2023-04-10,1787,1810,1750,1773,2054679,-0.026893523600439062
2023-04-11,1779,1793,1738,1787,1412947,0.007896221094190636
2023-04-12,1789,1875,1741,1805,2686331,0.010072747621712397
2023-04-13,1812,1915,1750,1888,5327076,0.04598337950138509
2023-04-14,1943,1984,1901,1923,6796579,0.018538135593220373
2023-04-17,1903,1908,1829,1831,2339801,-0.04784191367654711
2023-04-18,1825,1830,1768,1774,1636897,-0.031130529765155623
2023-04-19,1785,1813,1780,1780,872277,0.0033821871476888976
2023-04-20,1775,1775,1700,1705,1465353,-0.042134831460674205
2023-04-21,1705,1830,1705,1809,3765796,0.06099706744868039
2023-04-24,1807,1807,1736,1740,990970,-0.03814262023217252
2023-04-25,1740,1740,1674,1702,1216053,-0.02183908045977012
2023-04-26,1680,1715,1657,1665,708701,-0.021739130434782594
2023-04-27,1665,1677,1624,1649,824486,-0.00960960960960966
2023-04-28,1662,1688,1601,1607,926706,-0.025469981807155873
2023-05-02,1608,1648,1605,1610,481800,0.0018668326073427721
2023-05-03,1600,1628,1589,1591,695277,-0.011801242236024856
2023-05-04,1588,1605,1546,1562,869861,-0.018227529855436853
2023-05-08,1566,1610,1566,1580,498443,0.011523687580025532
2023-05-09,1568,1587,1536,1541,552939,-0.02468354430379749
2023-05-10,1538,1829,1506,1745,10731408,0.13238157040882537
2023-05-11,1665,1719,1618,1621,2622306,-0.07106017191977076
2023-05-12,1670,1722,1622,1631,2927841,0.0061690314620603814
2023-05-15,1612,1629,1567,1575,1043004,-0.03433476394849788
2023-05-16,1569,1596,1540,1542,689658,-0.020952380952380945
2023-05-17,1542,1566,1535,1549,355809,0.004539559014267169
2023-05-18,1556,1603,1556,1594,974846,0.02905100064557775
2023-05-19,1603,1687,1596,1645,2038210,0.0319949811794229
2023-05-22,1681,1760,1659,1691,5193555,0.027963525835866365
2023-05-23,1681,1746,1670,1730,1764264,0.0230632761679479
2023-05-24,1762,1764,1715,1730,1867906,0.0
2023-05-25,1714,1772,1711,1748,1846714,0.010404624277456698
2023-05-26,1750,1754,1710,1710,969579,-0.021739130434782594
2023-05-30,1700,1721,1682,1690,684744,-0.011695906432748537
2023-05-31,1690,1730,1668,1692,547426,0.0011834319526626835
2023-06-01,1677,1866,1676,1748,9377267,0.03309692671394804
2023-06-02,1735,1745,1711,1725,1598414,-0.013157894736842146
2023-06-05,1770,1810,1718,1730,3673887,0.0028985507246377384
2023-06-07,1731,1880,1730,1782,23105852,0.03005780346820819
2023-06-08,1786,1814,1741,1767,3120519,-0.008417508417508435
2023-06-09,1783,1794,1760,1766,1862770,-0.0005659309564233217
2023-06-12,1795,1804,1754,1758,1659894,-0.0045300113250282825
2023-06-13,1762,1780,1747,1760,1511112,0.0011376564277587597
2023-06-14,1783,1784,1714,1719,2569969,-0.023295454545454564
2023-06-15,1718,1745,1679,1683,1187176,-0.020942408376963373
2023-06-16,1684,1726,1669,1669,857276,-0.008318478906714222
2023-06-19,1670,1689,1650,1664,637108,-0.0029958058717795
2023-06-20,1660,1675,1629,1634,865939,-0.018028846153846145
2023-06-21,1628,1681,1622,1623,928277,-0.006731946144430845
2023-06-22,1609,1714,1609,1623,1216042,0.0
2023-06-23,1621,1654,1621,1628,433836,0.0030807147258162804
2023-06-26,1610,1632,1605,1623,541785,-0.0030712530712531105
2023-06-27,1788,2030,1728,1978,105940430,0.21873074553296368
2023-06-28,1957,2060,1891,1892,29646585,-0.04347826086956519
2023-06-29,1910,1911,1807,1830,9329922,-0.03276955602537002
2023-06-30,1836,1845,1744,1772,10998831,-0.031693989071038264
2023-07-03,1772,1798,1761,1784,3474651,0.006772009029345272
2023-07-04,1778,1804,1751,1789,3761836,0.002802690582959677
2023-07-05,1781,1836,1750,1764,4124646,-0.013974287311347089
2023-07-06,1766,1779,1697,1724,4379616,-0.0226757369614512
2023-07-07,1742,1778,1661,1674,7202555,-0.029002320185614883
2023-07-10,1662,1677,1633,1648,1438025,-0.015531660692950977
2023-07-11,1645,1790,1645,1708,6718083,0.03640776699029136
2023-07-12,1709,1710,1671,1672,1242317,-0.021077283372365363
2023-07-13,1680,1720,1675,1693,2323452,0.012559808612440104
2023-07-14,1693,1723,1683,1709,1509269,0.00945067926757237
2023-07-17,1710,1760,1687,1747,2336719,0.022235225277940307
2023-07-18,1747,1747,1676,1679,2179757,-0.03892386949055526
2023-07-19,1673,1685,1641,1648,1266119,-0.01846337105419893
2023-07-20,1652,1673,1621,1646,1530688,-0.0012135922330097637
2023-07-21,1631,1642,1618,1618,923192,-0.017010935601458055
2023-07-24,1617,1624,1555,1565,1490550,-0.032756489493201535
