Date,Open,High,Low,Close,Volume,Change
2013-09-16,1885,1900,1820,1860,4429515,
2013-09-17,1880,1895,1825,1855,1431425,-0.0026881720430107
2013-09-23,1840,1890,1815,1825,1352633,-0.0161725067385444
2013-09-24,1820,1840,1810,1835,815508,0.0054794520547944
2013-09-25,1835,1875,1830,1830,857995,-0.002724795640327
2013-09-26,1815,1845,1810,1820,491755,-0.0054644808743169
2013-09-27,1825,1925,1820,1885,1945543,0.0357142857142858
2013-09-30,1980,2095,1960,2020,7048493,0.0716180371352785
2013-10-01,1990,2005,1895,1915,2201667,-0.051980198019802
2013-10-02,1915,1980,1915,1950,1516257,0.0182767624020887
2013-10-04,1925,1965,1910,1950,856297,0.0
2013-10-07,2010,2010,1940,1955,1835178,0.0025641025641025
2013-10-08,1925,1935,1905,1910,738893,-0.0230179028132991
2013-10-10,1930,1995,1910,1920,1765320,0.0052356020942407
2013-10-11,1945,1955,1915,1940,629967,0.0104166666666667
2013-10-14,1995,2030,1940,1940,2903367,0.0
2013-10-15,1915,1950,1915,1935,883448,-0.0025773195876288
2013-10-16,1935,1955,1880,1895,940509,-0.0206718346253229
2013-10-17,1890,1930,1850,1850,800532,-0.0237467018469657
2013-10-18,1860,1935,1850,1935,791749,0.0459459459459459
2013-10-21,1935,1970,1915,1940,724825,0.0025839793281654
2013-10-22,1940,1975,1935,1950,532609,0.0051546391752577
2013-10-23,1965,1970,1895,1895,628842,-0.0282051282051282
2013-10-24,1910,1940,1890,1930,328286,0.0184696569920843
2013-10-25,1920,1940,1895,1900,417894,-0.0155440414507772
2013-10-28,1905,1925,1880,1915,452740,0.0078947368421051
2013-10-29,1920,1935,1900,1905,396020,-0.0052219321148825
2013-10-30,1915,1950,1900,1945,751409,0.0209973753280841
2013-10-31,1930,1945,1870,1880,593217,-0.0334190231362467
2013-11-01,1975,2040,1920,1945,3660448,0.0345744680851063
2013-11-04,2035,2080,1995,2025,3708787,0.0411311053984575
2013-11-05,2000,2010,1965,1965,927637,-0.0296296296296296
2013-11-06,1965,2010,1955,2000,513590,0.0178117048346055
2013-11-07,1985,2035,1975,2030,658087,0.0149999999999999
2013-11-08,1995,2050,1995,2050,1030159,0.0098522167487684
2013-11-11,2110,2130,1985,1985,1341861,-0.0317073170731707
2013-11-12,1975,2010,1965,1985,553791,0.0
2013-11-13,1985,2005,1955,1970,594764,-0.0075566750629723
2013-11-14,1955,2005,1955,1985,362104,0.0076142131979695
2013-11-15,1990,2045,1990,2045,597070,0.0302267002518892
2013-11-18,2165,2295,2075,2220,11561305,0.0855745721271392
2013-11-19,2175,2250,2020,2060,5784673,-0.0720720720720721
2013-11-20,2075,2140,2065,2110,2265485,0.0242718446601941
2013-11-21,2090,2175,2080,2090,1689410,-0.0094786729857819
2013-11-22,2055,2150,1995,2050,4890409,-0.0191387559808612
2013-11-25,2050,2070,1980,1980,1427710,-0.0341463414634146
2013-11-26,1970,1990,1925,1935,2270859,-0.0227272727272727
2013-11-27,1950,1965,1880,1880,1584216,-0.028423772609819
2013-11-28,1900,1930,1840,1845,2241250,-0.0186170212765957
2013-11-29,1845,1875,1840,1850,760198,0.0027100271002709
2013-12-02,1865,1870,1810,1835,667127,-0.0081081081081081
2013-12-03,1805,1890,1805,1870,851913,0.0190735694822887
2013-12-04,1860,1870,1815,1815,589735,-0.0294117647058823
2013-12-05,1820,1845,1820,1830,411911,0.0082644628099173
2013-12-06,1845,1845,1810,1840,460568,0.0054644808743169
2013-12-09,1850,1850,1755,1790,1247836,-0.0271739130434782
2013-12-10,1790,1795,1710,1745,555531,-0.0251396648044692
2013-12-11,1750,1790,1725,1750,342019,0.0028653295128939
2013-12-12,1720,1765,1720,1745,183728,-0.0028571428571428
2013-12-13,1730,1780,1715,1780,484552,0.0200573065902578
2013-12-16,1770,1770,1725,1730,176469,-0.0280898876404493
2013-12-17,1735,1770,1685,1715,452170,-0.0086705202312138
2013-12-18,1725,1725,1660,1680,407007,-0.0204081632653061
2013-12-19,1680,1690,1655,1675,319804,-0.0029761904761904
2013-12-20,1660,1795,1650,1765,709105,0.0537313432835822
2013-12-23,1740,1755,1705,1710,409670,-0.0311614730878186
2013-12-24,1710,1790,1700,1740,1342779,0.0175438596491228
2013-12-26,1725,1750,1695,1705,426359,-0.0201149425287355
2013-12-27,1710,1740,1685,1715,408861,0.0058651026392961
2013-12-30,1705,1740,1690,1700,256999,-0.0087463556851311
2014-01-02,1685,1715,1675,1680,382622,-0.0117647058823529
2014-01-03,1675,1710,1670,1700,383158,0.0119047619047618
2014-01-06,1725,1765,1710,1710,1185406,0.0058823529411764
2014-01-07,1700,1730,1685,1715,265470,0.0029239766081872
2014-01-08,1730,1735,1705,1715,258160,0.0
2014-01-09,1720,1745,1705,1740,605507,0.0145772594752187
2014-01-10,1760,1790,1735,1745,693528,0.0028735632183907
2014-01-13,1760,1765,1720,1745,364146,0.0
2014-01-14,1755,1795,1730,1730,1049453,-0.0085959885386819
2014-01-15,1735,1745,1720,1725,435138,-0.0028901734104046
2014-01-16,1735,1780,1725,1780,724315,0.0318840579710144
2014-01-17,1760,1795,1760,1780,458204,0.0
2014-01-20,1815,1820,1765,1775,490307,-0.0028089887640448
2014-01-21,1765,1795,1755,1760,726032,-0.0084507042253521
2014-01-22,1780,1795,1755,1765,547969,0.0028409090909091
2014-01-23,1765,1775,1735,1740,373573,-0.0141643059490085
2014-01-24,1740,1755,1710,1730,298217,-0.0057471264367816
2014-01-27,1710,1710,1660,1685,437324,-0.0260115606936416
2014-01-28,1670,1715,1660,1690,347565,0.002967359050445
2014-01-29,1690,1735,1685,1715,264370,0.0147928994082839
