Date,Open,High,Low,Close,Volume,Change
2013-09-16,6794,6794,6707,6744,13184,
2013-09-17,6752,6803,6689,6772,10128,0.0041518386714116
2013-09-23,6724,6767,6463,6570,20705,-0.0298287064382752
2013-09-24,6436,6637,6384,6465,13481,-0.0159817351598173
2013-09-25,6463,6523,6445,6500,13298,0.005413766434648
2013-09-26,6497,6567,6497,6517,8602,0.0026153846153846
2013-09-27,6542,6873,6497,6823,33923,0.0469541199938621
2013-09-30,6943,6943,6680,6693,17929,-0.0190532024036347
2013-10-01,6689,6881,6550,6552,21373,-0.0210667861945316
2013-10-02,6558,6715,6558,6648,12724,0.0146520146520146
2013-10-04,6506,6654,6489,6552,11921,-0.0144404332129963
2013-10-07,6480,6558,6376,6386,19386,-0.0253357753357753
2013-10-08,6341,6411,6200,6212,41474,-0.0272471030378953
2013-10-10,6243,6322,6227,6325,13364,0.0181905988409529
2013-10-11,6313,6489,6313,6376,17255,0.0080632411067194
2013-10-14,6376,6576,6376,6430,10033,0.0084692597239648
2013-10-15,6428,6463,6287,6325,27958,-0.0163297045101088
2013-10-16,6332,6392,6156,6193,34242,-0.0208695652173912
2013-10-17,6183,6252,5938,5984,44512,-0.0337477797513321
2013-10-18,5895,5973,5807,5810,33895,-0.0290775401069518
2013-10-21,5807,5868,5659,5687,37414,-0.021170395869191
2013-10-22,5755,5755,5607,5723,21758,0.0063302268331282
2013-10-23,5719,5772,5667,5670,22481,-0.0092608771623274
2013-10-24,5702,5782,5633,5765,22674,0.0167548500881833
2013-10-25,5807,5982,5797,5817,29332,0.0090199479618386
2013-10-28,5842,5982,5817,5966,37838,0.0256145779611483
2013-10-29,6026,6200,5999,6027,28933,0.0102246061012403
2013-10-30,6026,6121,5982,6027,15785,0.0
2013-10-31,5930,6139,5895,5993,13464,-0.0056412809026049
2013-11-01,5921,6192,5921,6193,25557,0.0333722676455865
2013-11-04,6306,6306,6218,6220,19001,0.004359761020507
2013-11-05,6287,6287,5982,6037,11415,-0.0294212218649517
2013-11-06,6008,6095,5911,5984,8938,-0.0087791949643862
