Date,Open,High,Low,Close,Volume,Change
2019-06-18,8950,9060,8610,9000,424541,0.0
2019-06-19,9000,9180,8610,8730,370832,-0.030000000000000027
2019-06-20,8730,9600,8710,9600,862327,0.09965635738831624
2019-06-21,9920,10250,9180,9480,1121224,-0.012499999999999956
2019-06-24,9330,9330,8790,9160,374184,-0.03375527426160341
2019-06-25,9060,9250,8740,9130,404322,-0.0032751091703057122
2019-06-26,9130,9130,8660,8690,281550,-0.048192771084337394
2019-06-27,8700,8720,7860,7950,765173,-0.08515535097813576
2019-06-28,8030,8220,7610,7800,435007,-0.018867924528301883
2019-07-01,7800,7800,6290,6570,1688328,-0.1576923076923077
2019-07-02,6630,7000,6570,6900,493658,0.05022831050228316
2019-07-03,6980,7000,6150,6740,1061262,-0.023188405797101463
2019-07-04,6610,7640,6610,7420,1312000,0.10089020771513346
2019-07-05,7320,7440,6860,7340,589299,-0.010781671159029615
2019-07-08,7340,7400,6800,6870,175009,-0.06403269754768393
2019-07-09,6910,7110,6590,6800,264476,-0.010189228529839833
2019-07-10,6730,6960,6640,6800,149659,0.0
2019-07-11,6800,6910,6400,6630,270366,-0.025000000000000022
2019-07-12,6640,6750,6480,6600,187747,-0.004524886877828038
2019-07-15,6700,6700,5880,6190,764523,-0.06212121212121213
2019-07-16,6200,6260,5360,5740,1019301,-0.0726978998384491
2019-07-17,5800,5800,5150,5410,895557,-0.057491289198606244
2019-07-18,5410,5930,5380,5650,671105,0.0443622920517559
2019-07-19,5700,5900,5570,5830,253559,0.031858407079645934
2019-07-22,5730,6040,5650,5960,243105,0.022298456260720467
2019-07-23,5940,5960,5690,5810,197796,-0.025167785234899376
2019-07-24,6100,6190,5740,5740,412806,-0.012048192771084376
2019-07-25,5750,5950,5360,5800,223598,0.010452961672473782
2019-07-26,5850,5850,5600,5600,115824,-0.03448275862068961
2019-07-29,5630,5880,5510,5640,127286,0.0071428571428571175
2019-07-30,5560,5950,5560,5850,152436,0.037234042553191404
2019-07-31,5860,6060,5590,5990,178821,0.023931623931623847
2019-08-01,5860,6000,5760,5760,122403,-0.03839732888146907
2019-08-02,5660,6000,5600,5690,117950,-0.01215277777777779
2019-08-05,5600,5690,5180,5350,242024,-0.05975395430579966
2019-08-06,5150,5580,4925,5150,245342,-0.03738317757009346
2019-08-07,5170,5490,5160,5360,96559,0.040776699029126284
2019-08-08,5500,6140,5400,5950,349422,0.1100746268656716
2019-08-09,6030,6160,5740,5740,152072,-0.03529411764705881
2019-08-12,5720,5940,5700,5840,78087,0.017421602787456525
2019-08-13,5800,5960,4820,5180,584424,-0.113013698630137
2019-08-14,5250,5310,5070,5120,142610,-0.01158301158301156
2019-08-16,5100,5220,4895,5120,126263,0.0
2019-08-19,5160,5240,5100,5180,45286,0.01171875
2019-08-20,5180,5380,5120,5240,90343,0.01158301158301156
2019-08-21,5240,5420,5190,5380,93950,0.026717557251908497
2019-08-22,5420,5990,5420,5820,380856,0.08178438661710041
2019-08-23,5680,5780,5560,5580,118696,-0.04123711340206182
2019-08-26,5510,5550,5190,5250,114194,-0.05913978494623651
2019-08-27,5310,5530,5270,5300,42560,0.00952380952380949
2019-08-28,5310,5740,5310,5670,107705,0.06981132075471708
2019-08-29,5670,5810,5430,5510,100555,-0.02821869488536155
2019-08-30,5530,5940,5530,5900,163766,0.07078039927404722
2019-09-02,5900,5980,5760,5810,74154,-0.015254237288135575
2019-09-03,5830,6390,5810,6330,490019,0.0895008605851979
2019-09-04,6240,6410,6080,6240,299049,-0.014218009478673022
2019-09-05,6470,6490,6200,6260,392516,0.0032051282051281937
2019-09-06,6360,6570,6100,6320,286949,0.009584664536741228
