Date,Open,High,Low,Close,Volume,Change
2023-04-04,2679,2729,2661,2661,28760,-0.006718924972004436
2023-04-05,2688,2720,2660,2711,22137,0.018789928598271333
2023-04-06,2697,2711,2638,2711,20030,0.0
2023-04-07,2683,2687,2655,2674,16484,-0.013648100331980828
2023-04-10,2674,2729,2606,2611,21086,-0.023560209424083767
2023-04-11,2610,2706,2583,2706,5911,0.036384527001148914
2023-04-12,2706,2760,2651,2729,21398,0.008499630450850004
2023-04-13,2701,2729,2661,2661,33176,-0.024917552216929262
2023-04-14,2710,3170,2656,2952,1273269,0.1093573844419391
2023-04-17,2865,3211,2833,2952,646152,0.0
2023-04-18,2938,3047,2934,3025,108552,0.02472899728997291
2023-04-19,3074,3165,3001,3097,142030,0.023801652892561975
2023-04-20,3083,3110,3015,3029,80569,-0.021956732321601558
2023-04-21,3028,3410,3028,3147,689723,0.038956751403103285
2023-04-24,3165,3165,2997,3070,72990,-0.02446774706069277
2023-04-25,3070,3161,2942,3043,74384,-0.008794788273615683
2023-04-26,3070,3115,2993,2993,29660,-0.016431153466973436
2023-04-27,2997,3143,2997,3107,70455,0.0380888740394254
2023-04-28,3138,3183,3015,3070,156185,-0.011908593498551667
2023-05-02,3106,3138,3047,3120,121187,0.016286644951140072
2023-05-03,3070,3283,3051,3252,124792,0.04230769230769238
2023-05-04,3220,3375,3188,3248,100490,-0.0012300123001229846
2023-05-08,3311,3311,3183,3243,49080,-0.0015394088669951067
2023-05-09,3211,3242,3120,3161,52522,-0.025285229725562797
2023-05-10,3174,3251,3133,3220,24490,0.018664979436887164
2023-05-11,3265,3265,3152,3193,25752,-0.008385093167701863
2023-05-12,3193,3256,3129,3175,35322,-0.0056373316630128345
2023-05-15,3160,3160,2910,3020,61426,-0.04881889763779523
2023-05-16,3006,3065,2892,2902,61714,-0.03907284768211916
2023-05-17,2897,2943,2856,2943,21951,0.014128187456926344
2023-05-18,2965,3034,2929,3025,34914,0.02786272511043153
2023-05-19,3042,3088,2997,3052,21772,0.00892561983471074
2023-05-22,3051,3070,3001,3061,25233,0.002948885976408855
2023-05-23,3066,3079,3034,3057,8981,-0.0013067624959163249
2023-05-24,3074,3074,3011,3011,10885,-0.015047432122996418
2023-05-25,3010,3029,2919,2970,23315,-0.013616738625041536
2023-05-26,2942,2983,2888,2902,26630,-0.022895622895622858
2023-05-30,2901,2988,2865,2970,11365,0.023432115782219265
2023-05-31,2956,2984,2911,2934,9144,-0.012121212121212088
2023-06-01,2929,2993,2888,2984,6685,0.017041581458759447
2023-06-02,2956,2997,2938,2993,10871,0.0030160857908847483
2023-06-05,2979,3011,2911,2934,10686,-0.019712662880053466
2023-06-07,2951,2969,2933,2947,8243,0.004430811179277461
2023-06-08,2947,2947,2883,2888,47222,-0.020020359687818123
2023-06-09,2974,2974,2901,2938,10037,0.01731301939058172
2023-06-12,2997,3798,2942,3507,11700177,0.19366916269571144
2023-06-13,3411,3748,3316,3398,2558000,-0.031080695751354415
2023-06-14,3388,3393,3202,3257,639669,-0.041494997057092364
2023-06-15,3233,3288,3142,3261,268932,0.001228124040528078
2023-06-16,3265,3361,3211,3352,457208,0.02790555044464882
2023-06-19,3361,3388,3288,3343,227765,-0.002684964200477369
2023-06-20,3334,3361,3256,3266,118770,-0.023033203709243222
2023-06-21,3301,3365,3265,3311,112606,0.013778322106552388
2023-06-22,3311,3324,3238,3261,88383,-0.015101177891875595
2023-06-23,3302,3302,3152,3198,78522,-0.01931922723091073
2023-06-26,3251,3251,3174,3188,32315,-0.0031269543464665928
2023-06-27,3206,3288,3156,3284,100363,0.03011292346298622
2023-06-28,3224,3297,3211,3234,39217,-0.015225334957369108
2023-06-29,3211,3288,3151,3161,44474,-0.022572665429808292
2023-06-30,3161,3270,3156,3184,40149,0.007276178424549196
2023-07-03,3233,3233,3165,3202,37967,0.005653266331658191
2023-07-04,3192,3224,3079,3102,144369,-0.031230480949406614
2023-07-05,3101,3115,3011,3011,85512,-0.029335912314635726
2023-07-06,3061,3061,2893,2966,135449,-0.014945200929923574
2023-07-07,2938,3011,2892,3011,28764,0.015171948752528586
2023-07-10,3010,3065,2965,2988,27382,-0.007638658253072084
2023-07-11,2988,3075,2961,3025,18591,0.012382864792503279
2023-07-12,3075,3075,2993,3025,20274,0.0
2023-07-13,3024,3438,2979,3134,1747434,0.03603305785123978
2023-07-14,3138,3192,3088,3152,106517,0.00574345883854499
2023-07-17,3147,3238,3106,3175,71227,0.007296954314720772
2023-07-18,3174,3229,3079,3102,51017,-0.022992125984251932
2023-07-19,3102,3120,3011,3093,33448,-0.0029013539651837617
2023-07-20,3065,3111,3006,3043,23357,-0.016165535079211146
2023-07-21,3043,3097,2979,3084,26413,0.013473545842918266
2023-07-24,3047,3047,2938,2970,75280,-0.03696498054474706
2023-07-25,2942,3029,2910,2929,31381,-0.01380471380471382
2023-07-26,2892,2951,2646,2706,220316,-0.07613519972686922
2023-07-27,2678,2883,2678,2729,86135,0.008499630450850004
2023-07-28,2729,2883,2706,2729,68811,0.0
2023-07-31,2729,2811,2724,2811,64211,0.030047636496885355
2023-08-01,2851,2956,2792,2902,40180,0.03237282106012085
