Date,Open,High,Low,Close,Volume,Change
2023-04-04,1574,1635,1574,1613,404497,0.0247776365946632
2023-04-05,1623,1650,1611,1611,234741,-0.0012399256044637
2023-04-06,1615,1639,1565,1588,421241,-0.0142768466790813
2023-04-07,1657,1849,1620,1700,8541664,0.070528967254408
2023-04-10,1699,1725,1630,1632,1270576,-0.04
2023-04-11,1621,1720,1610,1682,1055153,0.0306372549019606
2023-04-12,1686,1714,1656,1697,525386,0.0089179548156956
2023-04-13,1697,1834,1664,1769,3367651,0.0424278137890394
2023-04-14,1773,1824,1752,1754,860726,-0.0084793668739401
2023-04-17,1749,1794,1715,1750,630528,-0.0022805017103763
2023-04-18,1753,1753,1699,1734,529857,-0.0091428571428571
2023-04-19,1734,1855,1703,1844,1486597,0.063437139561707
2023-04-20,1844,1844,1735,1744,893841,-0.0542299349240781
2023-04-21,1751,1765,1705,1717,460453,-0.0154816513761467
2023-04-24,1725,1725,1664,1665,370724,-0.0302853814793243
2023-04-25,1675,1684,1571,1603,448985,-0.0372372372372372
2023-04-26,1603,1619,1570,1580,170971,-0.0143480973175296
2023-04-27,1583,1650,1570,1586,243499,0.0037974683544304
2023-04-28,1605,1620,1551,1551,304165,-0.0220680958385875
2023-05-02,1551,1609,1510,1588,182079,0.0238555770470663
2023-05-03,1590,1620,1555,1602,305619,0.0088161209068009
2023-05-04,1590,1611,1571,1580,183789,-0.013732833957553
2023-05-08,1605,1617,1577,1610,191478,0.018987341772152
2023-05-09,1610,1611,1555,1562,224058,-0.0298136645962733
2023-05-10,1562,1586,1551,1569,130947,0.0044814340588987
2023-05-11,1584,1596,1565,1575,198554,0.0038240917782026
2023-05-12,1575,1585,1531,1545,175166,-0.019047619047619
2023-05-15,1545,1555,1498,1519,232369,-0.0168284789644013
2023-05-16,1519,1535,1502,1517,182645,-0.0013166556945358
2023-05-17,1518,1558,1515,1552,173050,0.0230718523401449
2023-05-18,1575,1629,1560,1588,229616,0.0231958762886597
2023-05-19,1581,1730,1560,1678,922997,0.0566750629722923
2023-05-22,1678,1695,1635,1680,202953,0.0011918951132301
2023-05-23,1689,1689,1667,1682,125396,0.0011904761904761
2023-05-24,1680,1716,1672,1700,303119,0.0107015457788346
2023-05-25,1696,1720,1645,1700,237945,0.0
2023-05-26,1710,1712,1661,1661,182385,-0.0229411764705882
2023-05-30,1661,1705,1661,1674,163232,0.007826610475617
2023-05-31,1689,1691,1658,1672,116514,-0.001194743130227
2023-06-01,1683,1683,1634,1666,148499,-0.0035885167464114
2023-06-02,1658,1658,1630,1641,127620,-0.0150060024009603
2023-06-05,1642,1649,1622,1631,115252,-0.0060938452163314
2023-06-07,1631,1653,1627,1631,74784,0.0
2023-06-08,1636,1638,1605,1611,153254,-0.012262415695892
2023-06-09,1611,1640,1610,1613,74192,0.0012414649286158
2023-06-12,1614,1626,1591,1610,119394,-0.0018598884066955
2023-06-13,1610,1630,1596,1620,120471,0.0062111801242235
2023-06-14,1600,1614,1564,1567,271836,-0.0327160493827159
2023-06-15,1575,1594,1550,1577,174052,0.0063816209317166
2023-06-16,1580,1604,1569,1586,144967,0.00570703868104
2023-06-19,1565,1583,1560,1580,200623,-0.0037831021437578
2023-06-20,1580,1591,1562,1562,118174,-0.011392405063291
2023-06-21,1560,1574,1525,1531,201426,-0.0198463508322663
2023-06-22,1521,1600,1521,1582,235628,0.0333115610711953
2023-06-23,1582,1603,1548,1556,147809,-0.0164348925410872
2023-06-26,1547,1565,1530,1551,79475,-0.0032133676092545
2023-06-27,1551,1551,1521,1530,158164,-0.0135396518375241
2023-06-28,1537,1537,1506,1509,197255,-0.0137254901960783
2023-06-29,1510,1510,1466,1482,268480,-0.0178926441351888
2023-06-30,1468,1498,1459,1479,127114,-0.0020242914979756
2023-07-03,1481,1532,1481,1505,176738,0.017579445571332
2023-07-04,1507,1514,1489,1496,141893,-0.0059800664451826
2023-07-05,1496,1512,1471,1479,254885,-0.0113636363636363
2023-07-06,1479,1485,1421,1424,321139,-0.0371872887085868
2023-07-07,1419,1421,1390,1404,353622,-0.0140449438202246
2023-07-10,1396,1416,1380,1399,210712,-0.0035612535612535
2023-07-11,1409,1411,1397,1410,133222,0.0078627591136526
2023-07-12,1410,1413,1400,1407,85509,-0.002127659574468
2023-07-13,1403,1432,1403,1425,111992,0.0127931769722815
2023-07-14,1435,1436,1398,1405,226405,-0.0140350877192982
2023-07-17,1391,1424,1391,1422,145468,0.0120996441281138
2023-07-18,1425,1437,1391,1399,178715,-0.0161744022503516
2023-07-19,1400,1400,1380,1382,137494,-0.0121515368120085
2023-07-20,1382,1415,1351,1397,147832,0.0108538350217077
2023-07-21,1397,1410,1380,1389,132755,-0.0057265569076592
2023-07-24,1389,1389,1328,1332,363643,-0.041036717062635
2023-07-25,1306,1332,1280,1280,350667,-0.039039039039039
2023-07-26,1275,1280,1193,1239,577759,-0.0320312499999999
2023-07-27,1211,1301,1211,1301,205169,0.0500403551251009
2023-07-28,1281,1408,1281,1400,277372,0.0760953112990008
2023-07-31,1407,1428,1379,1420,180736,0.0142857142857142
2023-08-01,1409,1432,1404,1429,151771,0.0063380281690141
2023-08-02,1420,1454,1407,1451,255034,0.0153953813855842
2023-08-03,1430,1460,1414,1452,119403,0.0006891798759476
2023-08-04,1452,1458,1428,1452,80498,0.0
2023-08-07,1452,1452,1400,1427,91694,-0.0172176308539945
2023-08-08,1424,1426,1380,1380,168463,-0.0329362298528381
2023-08-09,1380,1410,1337,1409,133650,0.0210144927536231
2023-08-10,1409,1451,1397,1443,151438,0.0241305890702625
2023-08-11,1453,1459,1437,1454,137872,0.0076230076230077
2023-08-14,1454,1461,1405,1455,158279,0.0006877579092159
2023-08-16,1440,1485,1425,1430,237203,-0.0171821305841924
2023-08-17,1430,1465,1397,1438,181934,0.0055944055944054
2023-08-18,1400,1459,1400,1440,155191,0.0013908205841446
2023-08-21,1440,1450,1410,1420,192577,-0.0138888888888888
2023-08-22,1438,1500,1436,1462,471651,0.0295774647887323
2023-08-23,1473,1544,1458,1526,732517,0.0437756497948016
2023-08-24,1530,1569,1520,1565,460229,0.0255570117955439
2023-08-25,1564,1621,1543,1572,578967,0.0044728434504792
2023-08-28,1577,1616,1563,1603,563487,0.0197201017811705
2023-08-29,1606,1664,1603,1631,778142,0.0174672489082969
2023-08-30,1635,1698,1633,1684,644986,0.0324954015941141
2023-08-31,1800,2185,1791,1810,47130785,0.0748218527315913
2023-09-01,1821,2040,1715,1720,11848420,-0.0497237569060773
2023-09-04,1759,1953,1754,1953,9250033,0.1354651162790698
2023-09-05,1957,1958,1823,1840,3144448,-0.0578597030209933
2023-09-06,1968,2210,1957,2035,21180984,0.1059782608695651
2023-09-07,2020,2105,1918,2020,4574021,-0.0073710073710073
2023-09-08,1998,2030,1933,1942,2223053,-0.0386138613861386
2023-09-11,1946,1957,1821,1846,1995780,-0.0494335736354274
2023-09-12,1892,2190,1888,1903,11849278,0.0308775731310941
2023-09-13,1750,1795,1670,1694,5080256,-0.1098265895953757
2023-09-14,1695,1727,1658,1699,1873399,0.0029515938606847
2023-09-15,1720,1720,1670,1680,1253712,-0.011183048852266
2023-09-18,1699,1702,1633,1642,940647,-0.0226190476190476
2023-09-19,1638,1657,1608,1608,728457,-0.0207064555420218
2023-09-20,1603,1619,1580,1591,518966,-0.0105721393034825
2023-09-21,1596,1682,1588,1615,1206570,0.0150848522941546
2023-09-22,1600,1624,1580,1612,450161,-0.0018575851393188
2023-09-25,1653,1733,1608,1700,1754530,0.054590570719603
2023-09-26,1712,1714,1614,1618,875592,-0.048235294117647
2023-09-27,1602,1635,1528,1580,592864,-0.0234857849196539
2023-10-04,1580,1580,1459,1499,1004453,-0.0512658227848101
2023-10-05,1511,1537,1474,1480,416211,-0.0126751167444962
2023-10-06,1489,1510,1483,1503,247028,0.0155405405405404
