Date,Open,High,Low,Close,Volume,Change
2019-06-18,3545,3700,3535,3615,285296,0.021186440677966045
2019-06-19,3615,3650,3455,3525,267279,-0.024896265560165998
2019-06-20,3525,3580,3500,3530,148155,0.0014184397163119478
2019-06-21,3490,3585,3490,3570,174371,0.011331444759206777
2019-06-24,3605,3625,3485,3560,124122,-0.0028011204481792618
2019-06-25,3565,3565,3365,3390,209646,-0.047752808988763995
2019-06-26,3375,3540,3300,3335,113613,-0.016224188790560423
2019-06-27,3345,3385,3220,3290,316429,-0.013493253373313308
2019-06-28,3255,3310,3165,3225,182853,-0.019756838905775065
2019-07-01,3230,3300,3145,3170,113552,-0.01705426356589146
2019-07-02,3155,3265,3155,3240,103523,0.02208201892744488
2019-07-03,3275,3285,3130,3170,99127,-0.021604938271604923
2019-07-04,3200,3200,3030,3150,112112,-0.006309148264984188
2019-07-05,3120,3195,3100,3155,79774,0.0015873015873015817
2019-07-08,3200,3200,2955,2965,133359,-0.060221870047543535
2019-07-09,2930,3075,2880,2950,124398,-0.005059021922428353
2019-07-10,2890,3015,2890,3000,54016,0.016949152542372836
2019-07-11,3005,3065,2950,2955,42939,-0.015000000000000013
2019-07-12,2980,3045,2940,3025,52215,0.02368866328257191
2019-07-15,3030,3065,2880,2950,136791,-0.024793388429752095
2019-07-16,2975,2975,2830,2865,221218,-0.028813559322033888
2019-07-17,2830,2860,2705,2825,140684,-0.013961605584642212
2019-07-18,2830,2895,2760,2840,47689,0.005309734513274433
2019-07-19,2840,2895,2830,2850,33210,0.0035211267605634866
2019-07-22,2850,2880,2795,2830,27604,-0.007017543859649145
2019-07-23,2830,2865,2755,2800,88072,-0.010600706713780883
2019-07-24,2800,2840,2740,2780,34589,-0.0071428571428571175
2019-07-25,2720,2760,2655,2750,67993,-0.010791366906474864
2019-07-26,2775,2775,2645,2735,49553,-0.00545454545454549
2019-07-29,2740,2740,2525,2580,119956,-0.05667276051188297
2019-07-30,2570,2640,2515,2600,69004,0.007751937984496138
2019-07-31,2600,2675,2500,2655,43816,0.02115384615384608
2019-08-01,2630,2695,2540,2565,35932,-0.03389830508474578
2019-08-02,2565,2655,2515,2645,37170,0.031189083820662766
2019-08-05,2605,2675,2245,2310,386028,-0.1266540642722117
2019-08-06,2190,2365,2055,2300,202797,-0.0043290043290042934
2019-08-07,2195,2370,2195,2370,163162,0.0304347826086957
2019-08-08,2350,2435,2340,2425,89601,0.02320675105485237
2019-08-09,2435,2535,2375,2485,143339,0.024742268041237025
2019-08-12,2480,2520,2400,2505,28967,0.008048289738430636
2019-08-13,2535,2545,2480,2515,64613,0.003992015968063978
2019-08-14,2525,2630,2525,2605,102680,0.035785288270377746
2019-08-16,2580,2630,2490,2590,117801,-0.0057581573896353655
2019-08-19,2590,2660,2570,2660,50853,0.027027027027026973
2019-08-20,2660,2720,2580,2695,72878,0.013157894736842035
2019-08-21,2695,2735,2650,2700,25009,0.0018552875695732052
2019-08-22,2700,2730,2670,2690,18709,-0.0037037037037036535
2019-08-23,2675,2940,2610,2665,513826,-0.009293680297397744
2019-08-26,2565,2625,2525,2605,78490,-0.022514071294559068
2019-08-27,2595,2675,2575,2650,63302,0.017274472168905985
2019-08-28,2700,2700,2635,2670,17227,0.007547169811320753
2019-08-29,2690,2690,2620,2620,42974,-0.01872659176029967
2019-08-30,2675,2695,2620,2685,62894,0.024809160305343525
2019-09-02,2705,2780,2685,2775,63836,0.033519553072625774
2019-09-03,2805,2855,2775,2805,79008,0.0108108108108107
2019-09-04,2775,2890,2755,2815,92260,0.0035650623885918886
2019-09-05,2815,2890,2780,2785,56051,-0.010657193605683846
2019-09-06,2815,2815,2655,2805,33278,0.007181328545780907
2019-09-09,2805,2805,2690,2760,64776,-0.016042780748663055
2019-09-10,2700,2760,2675,2725,56108,-0.0126811594202898
2019-09-11,2730,3470,2725,2975,3763237,0.09174311926605494
2019-09-16,3000,3570,3000,3430,4448166,0.15294117647058814
2019-09-17,3405,3510,3230,3350,995385,-0.023323615160349864
2019-09-18,3250,3310,3160,3280,404131,-0.020895522388059695
2019-09-19,3270,3465,3235,3255,491445,-0.007621951219512146
2019-09-20,3250,3350,3200,3335,200569,0.02457757296466978
2019-09-23,3340,3585,3250,3260,935743,-0.022488755622188883
2019-09-24,3290,3345,3185,3330,164094,0.021472392638036908
2019-09-25,3345,3350,3120,3220,355212,-0.033033033033033066
2019-09-26,3220,3500,3220,3415,1178652,0.060559006211180044
2019-09-27,3410,3470,3300,3450,305561,0.01024890190336758
2019-09-30,3560,3885,3150,3150,2593665,-0.08695652173913049
2019-10-01,3105,3200,3005,3180,249809,0.00952380952380949
2019-10-02,3150,3180,2960,2960,274396,-0.0691823899371069
2019-10-04,2980,3275,2980,3080,356855,0.04054054054054057
2019-10-07,3080,3290,3020,3280,228422,0.06493506493506485
2019-10-08,3280,3345,3190,3300,177090,0.0060975609756097615
2019-10-10,3220,3290,3170,3250,72180,-0.015151515151515138
2019-10-11,3180,3210,3000,3080,143796,-0.05230769230769228
2019-10-14,3100,3770,3070,3390,4022004,0.10064935064935066
2019-10-15,3385,3390,3185,3220,765078,-0.05014749262536877
2019-10-16,3185,3190,3075,3085,292691,-0.04192546583850931
2019-10-17,3085,3165,3050,3070,262583,-0.004862236628849326
2019-10-18,3065,3135,2970,2990,464437,-0.026058631921824116
2019-10-21,3020,3145,2985,3080,302988,0.030100334448160515
2019-10-22,3240,3240,3100,3105,546945,0.008116883116883189
2019-10-23,3105,3120,3020,3105,165041,0.0
2019-10-24,3250,3480,2920,2920,681518,-0.05958132045088571
2019-10-25,2920,2940,2745,2830,249771,-0.03082191780821919
2019-10-28,2835,3100,2815,3005,319051,0.06183745583038869
2019-10-29,2980,3040,2915,3000,70935,-0.0016638935108153063
2019-10-30,3090,3090,2925,3005,73111,0.0016666666666667052
2019-10-31,3005,3070,2915,2920,77480,-0.028286189683860208
2019-11-01,2925,3030,2920,2985,62016,0.022260273972602773
2019-11-04,3015,3060,2965,3015,77109,0.01005025125628145
2019-11-05,3045,3260,3005,3020,319798,0.0016583747927032544
2019-11-06,3035,3100,3020,3070,69193,0.01655629139072845
2019-11-07,3085,3150,3020,3080,75050,0.0032573289902280145
2019-11-08,3090,3115,3010,3085,74844,0.0016233766233766378
2019-11-11,3085,3100,2995,3050,112904,-0.011345218800648316
2019-11-12,3000,3100,2915,3075,88770,0.008196721311475308
2019-11-13,3075,3150,3010,3055,104904,-0.006504065040650375
2019-11-14,3075,3105,2990,3020,114480,-0.011456628477905073
2019-11-15,3035,3035,2930,2955,66401,-0.021523178807947074
2019-11-18,2950,3000,2925,2965,60416,0.0033840947546530664
2019-11-19,2965,2990,2910,2925,42882,-0.013490725126475533
2019-11-20,2915,2990,2760,2950,84766,0.008547008547008517
2019-11-21,2900,2925,2785,2830,83574,-0.04067796610169494
2019-11-22,2775,2910,2765,2785,34480,-0.01590106007067138
2019-11-25,2815,2950,2795,2895,28298,0.039497307001795434
2019-11-26,2895,3025,2885,3000,71499,0.03626943005181338
2019-11-27,3000,3085,2970,2975,61688,-0.008333333333333304
2019-11-28,2960,3030,2940,2980,93183,0.001680672268907557
2019-11-29,2935,2970,2790,2800,117950,-0.06040268456375841
2019-12-02,2800,2930,2780,2815,40493,0.005357142857142838
2019-12-03,2895,2895,2705,2795,28257,-0.007104795737122527
2019-12-04,2795,2795,2665,2665,52832,-0.046511627906976716
2019-12-05,2670,3205,2670,2770,821125,0.039399624765478425
2019-12-06,2775,2820,2730,2755,107912,-0.005415162454873612
2019-12-09,2800,3060,2785,2950,209430,0.07078039927404722
2019-12-10,2905,3095,2875,2980,121883,0.01016949152542379
2019-12-11,2980,3045,2845,2870,92669,-0.03691275167785235
2019-12-12,2870,2925,2825,2860,42090,-0.0034843205574912606
2019-12-13,2915,2920,2805,2870,36368,0.0034965034965035446
2019-12-16,2840,2950,2840,2920,20519,0.017421602787456525
2019-12-17,2950,2990,2855,2990,46978,0.023972602739726012
2019-12-18,2990,3060,2925,3060,188785,0.02341137123745818
2019-12-19,2985,3010,2925,3000,128024,-0.019607843137254943
2019-12-20,3000,3000,2890,2890,52980,-0.036666666666666625
2019-12-23,2890,2920,2750,2805,92816,-0.02941176470588236
2019-12-24,2850,2850,2745,2765,45183,-0.014260249554367221
2019-12-26,2835,2845,2755,2815,25254,0.018083182640144635
2019-12-27,2815,2855,2775,2810,28591,-0.001776198934280604
2019-12-30,2785,2910,2780,2910,38732,0.03558718861209975
2020-01-02,2910,2950,2875,2920,40292,0.0034364261168384758
2020-01-03,2970,3040,2915,3020,169703,0.03424657534246567
2020-01-06,2980,3035,2955,2995,52466,-0.008278145695364225
2020-01-07,2995,3060,2985,3055,119432,0.02003338898163598
2020-01-08,3055,3055,2800,2910,184897,-0.04746317512274956
2020-01-09,2995,3070,2980,3045,156969,0.046391752577319645
2020-01-10,3050,3075,3010,3065,71572,0.006568144499178974
2020-01-13,3070,3140,3040,3095,49157,0.00978792822185981
2020-01-14,3095,3120,2950,3100,167559,0.001615508885298933
2020-01-15,3100,3115,3040,3050,147206,-0.016129032258064502
2020-01-16,3050,3085,3040,3075,30009,0.008196721311475308
2020-01-17,3075,3095,3020,3070,85470,-0.001626016260162566
2020-01-20,3090,3090,2985,3025,130622,-0.014657980456026065
2020-01-21,3025,3080,2990,3025,82796,0.0
2020-01-22,3020,3060,3010,3010,41292,-0.0049586776859503745
2020-01-23,3025,3055,2990,3010,140896,0.0
2020-01-28,2975,2975,2870,2905,123788,-0.03488372093023251
