Date,Open,High,Low,Close,Volume,Change
2019-06-18,2311,2355,2291,2294,502601,-0.002174858634188759
2019-06-19,2299,2317,2244,2273,429171,-0.009154315605928498
2019-06-20,2273,2306,2273,2289,215073,0.007039155301363786
2019-06-21,2299,2317,2260,2289,285299,0.0
2019-06-24,2293,2296,2214,2217,418631,-0.03145478374836175
2019-06-25,2201,2237,2165,2168,422834,-0.022101939557961248
2019-06-26,2154,2190,2147,2157,272025,-0.005073800738007339
2019-06-27,2157,2188,2105,2134,293738,-0.01066295781177562
2019-06-28,2128,2152,2105,2144,224550,0.004686035613870709
2019-07-01,2144,2167,2113,2168,205040,0.011194029850746245
2019-07-02,2167,2167,2139,2160,185949,-0.0036900369003689537
2019-07-03,2147,2172,2116,2137,272999,-0.010648148148148184
2019-07-04,2165,2190,2103,2121,436525,-0.0074871314927468235
2019-07-05,2121,2162,2113,2157,198941,0.016973125884016893
2019-07-08,2128,2152,2028,2052,589052,-0.04867872044506261
2019-07-09,2018,2082,2010,2021,391562,-0.015107212475633514
2019-07-10,2013,2080,2013,2072,189754,0.025235032162295834
2019-07-11,2061,2116,2061,2098,197121,0.012548262548262468
2019-07-12,2087,2126,2087,2124,124808,0.012392755004766443
2019-07-15,2100,2126,2061,2065,203391,-0.02777777777777779
2019-07-16,2061,2103,2061,2083,175975,0.008716707021791725
2019-07-17,2095,2118,2051,2103,160815,0.009601536245799291
2019-07-18,2074,2100,2072,2095,120316,-0.003804089396100774
2019-07-19,2113,2165,2108,2129,518063,0.016229116945107425
2019-07-22,2095,2128,2082,2090,159729,-0.018318459370596507
2019-07-23,2098,2103,2046,2059,186621,-0.01483253588516742
2019-07-24,2054,2080,2015,2016,175780,-0.020883924235065576
2019-07-25,2013,2041,1974,1998,214827,-0.008928571428571397
2019-07-26,1984,2000,1951,1964,225369,-0.017017017017016967
2019-07-29,1935,1951,1819,1825,455747,-0.0707739307535642
2019-07-30,1801,1925,1801,1889,254938,0.03506849315068483
2019-07-31,1889,2025,1886,1990,424986,0.05346744309158291
2019-08-01,1987,1989,1933,1941,136213,-0.02462311557788943
2019-08-02,1904,1971,1884,1972,154635,0.01597114889232354
2019-08-05,1969,1974,1850,1856,318765,-0.05882352941176472
2019-08-06,1768,1889,1701,1745,425131,-0.059806034482758674
2019-08-07,1742,1827,1742,1802,278446,0.032664756446991294
2019-08-08,1824,1894,1819,1892,146986,0.049944506104328434
2019-08-09,1904,1938,1891,1938,120185,0.024312896405919604
2019-08-12,1917,1956,1897,1943,103259,0.0025799793601650745
2019-08-13,1943,1979,1925,1954,140052,0.005661348430262558
2019-08-14,1974,1982,1933,1974,140140,0.010235414534288667
2019-08-16,1951,1979,1927,1941,160376,-0.016717325227963542
2019-08-19,1922,1987,1922,1982,125998,0.021123132405976408
2019-08-20,1982,2049,1976,2044,199935,0.03128153380423804
2019-08-21,2038,2041,1987,2023,231263,-0.010273972602739767
2019-08-22,2023,2043,1997,2021,118048,-0.000988630746416197
2019-08-23,1994,2020,1982,1995,191165,-0.0128649183572489
2019-08-26,1925,1964,1912,1943,144511,-0.026065162907268125
2019-08-27,1964,1984,1948,1982,127776,0.02007205352547614
2019-08-28,1943,2013,1943,2008,84435,0.013118062563067578
2019-08-29,2007,2046,2002,2026,112810,0.008964143426294813
2019-08-30,2043,2043,2018,2039,112778,0.006416584402764158
2019-09-02,2041,2090,2033,2088,268524,0.024031387935262494
2019-09-03,2069,2098,2069,2088,109745,0.0
2019-09-04,2067,2100,2067,2098,104897,0.00478927203065127
2019-09-05,2098,2121,2095,2103,106409,0.0023832221163011535
2019-09-06,2103,2157,2087,2132,291961,0.013789824060865374
2019-09-09,2110,2134,2074,2077,143752,-0.025797373358348974
2019-09-10,2072,2136,2072,2114,113926,0.01781415503129513
2019-09-11,2149,2149,2077,2114,104082,0.0
2019-09-16,2134,2149,2113,2147,188060,0.015610217596972564
2019-09-17,2788,2788,2654,2789,4955984,0.2990218910107125
2019-09-18,3170,3371,2881,2887,14017144,0.03513804230907125
2019-09-19,2742,2747,2425,2425,4501581,-0.1600277104260478
2019-09-20,2394,2804,2376,2619,9250917,0.08000000000000007
2019-09-23,2474,2549,2371,2410,2753241,-0.07980145093547153
2019-09-24,2793,2830,2513,2575,5038158,0.06846473029045641
2019-09-25,2732,2876,2582,2696,6071603,0.04699029126213583
2019-09-26,2629,3422,2538,2851,34273180,0.057492581602373916
2019-09-27,2953,3273,2860,2933,16488387,0.028761837951595925
2019-09-30,2763,2783,2582,2593,3315236,-0.11592226389362426
2019-10-01,2525,2933,2433,2768,12577176,0.0674893945237176
2019-10-02,2793,2871,2665,2804,5749676,0.013005780346820872
2019-10-04,2891,2891,2603,2614,2952003,-0.06776034236804562
2019-10-07,2520,2634,2476,2516,1901554,-0.037490436113236436
2019-10-08,2505,2634,2479,2505,2529696,-0.004372019077901412
2019-10-10,2582,2618,2389,2392,1834619,-0.04510978043912173
2019-10-11,2394,2964,2366,2727,19077082,0.14005016722408037
2019-10-14,2886,2974,2670,2670,5789584,-0.020902090209020896
2019-10-15,2665,2773,2613,2650,2339859,-0.0074906367041198685
2019-10-16,2675,2958,2572,2763,10716840,0.04264150943396228
2019-10-17,2701,2768,2644,2650,1818905,-0.040897575099529515
2019-10-18,2680,2757,2608,2675,2128756,0.009433962264151052
2019-10-21,2737,2757,2608,2639,1858294,-0.013457943925233695
2019-10-22,2587,2603,2484,2490,1614311,-0.056460780598711624
2019-10-23,2482,2567,2404,2423,1881342,-0.026907630522088333
2019-10-24,2417,2433,2340,2366,974744,-0.023524556335121738
2019-10-25,2366,2399,2281,2322,942398,-0.018596787827557026
2019-10-28,2340,2549,2324,2487,3580814,0.07105943152454786
2019-10-29,2881,3226,2680,2681,25005590,0.07800562927221555
2019-10-30,2696,3484,2644,3485,34152342,0.29988810145468103
2019-10-31,3969,4443,3670,3815,31890062,0.09469153515064566
2019-11-01,4046,4505,3886,4078,29036130,0.0689384010484928
2019-11-04,4082,4211,3690,3804,4854135,-0.06718979892103971
2019-11-05,3794,3794,3417,3469,5365492,-0.08806519453207151
2019-11-06,3479,3644,3319,3361,4364030,-0.031132891323147893
2019-11-07,3330,3541,3330,3438,3415637,0.02290984825944653
2019-11-08,3438,3438,3159,3206,2142916,-0.06748109365910415
2019-11-11,3242,3273,3082,3186,2246488,-0.006238303181534621
2019-11-12,3252,3391,3144,3371,3136433,0.058066541117388626
2019-11-13,3433,3438,3170,3248,3177348,-0.0364876891130228
2019-11-14,3273,3283,3098,3134,1247182,-0.035098522167487656
2019-11-15,3103,3108,2933,2990,1415098,-0.04594767070835992
2019-11-18,3020,3175,2953,3108,1670959,0.039464882943143875
2019-11-19,3067,3077,2943,2943,701526,-0.05308880308880304
2019-11-20,2958,3665,2897,3119,10346210,0.059802922188243235
2019-11-21,3062,3299,2964,3021,3573180,-0.031420327027893546
2019-11-22,3020,3190,2938,3000,1792414,-0.006951340615690138
2019-11-25,3041,3165,3041,3088,1616790,0.029333333333333433
2019-11-26,3170,3366,3123,3232,3725970,0.04663212435233155
2019-11-27,3206,3257,3123,3124,1124065,-0.033415841584158446
2019-11-28,3165,3773,3129,3485,29490461,0.11555697823303457
2019-11-29,3180,3510,3103,3139,7738050,-0.09928263988522235
2019-12-02,3175,3598,3170,3315,11846777,0.056068811723478884
2019-12-03,3340,3546,3324,3464,5827802,0.04494720965309207
2019-12-04,3464,3711,3412,3608,7038341,0.04157043879907629
2019-12-05,3603,4252,3562,3918,21746309,0.08592017738359203
2019-12-06,3907,4953,3747,4717,36068311,0.20393057682491067
