Date,Open,High,Low,Close,Volume,Change
2013-09-16,10216,10283,9982,10050,122080,
2013-09-17,9982,9982,9682,9849,184735,-0.02
2013-09-23,9882,9882,9348,9382,377583,-0.0474159813179002
2013-09-24,9315,9615,9315,9549,142356,0.0178000426348325
2013-09-25,9548,9548,9248,9382,172640,-0.0174887422766781
2013-09-26,9515,9849,9281,9816,265893,0.0462587934342357
2013-09-27,9782,10149,9782,10150,358694,0.0340260798696006
2013-09-30,10283,10517,10149,10217,647638,0.0066009852216748
2013-10-01,10083,10216,9715,9883,330572,-0.0326906136830772
2013-10-02,10016,10083,9816,9849,149533,-0.0034402509359505
2013-10-04,9715,9949,9649,9783,133628,-0.0067011879378616
2013-10-07,9849,9916,9715,9783,105917,0.0
2013-10-08,9649,9782,9482,9549,233538,-0.0239190432382704
2013-10-10,9482,9715,9482,9582,100644,0.0034558592522777
2013-10-11,9816,9849,9548,9582,130338,0.0
2013-10-14,9615,9682,9215,9215,273867,-0.038300981006053
2013-10-15,9348,9415,8847,8915,314924,-0.032555615843733
2013-10-16,8947,9215,8714,8781,235746,-0.0150308468872686
2013-10-17,8914,9048,8346,8547,316390,-0.0266484455073453
2013-10-18,8513,8781,8447,8748,166006,0.0235170235170234
2013-10-21,8847,9448,8781,9415,348257,0.0762459990855053
2013-10-22,9381,9381,9048,9048,245126,-0.038980350504514
2013-10-23,9114,9248,8714,8781,210865,-0.0295092838196286
2013-10-24,8781,9048,8680,9048,126676,0.0304065596173557
2013-10-25,9148,9181,8914,9148,138958,0.0110521662245799
2013-10-28,9215,9215,8847,8981,226849,-0.0182553563620463
2013-10-29,8947,8981,8814,8881,99855,-0.0111346175258879
2013-10-30,8914,9315,8881,9215,299672,0.0376083774349735
2013-10-31,9181,9315,8814,8981,274739,-0.0253933803581117
2013-11-01,8914,9482,8881,9415,524382,0.0483242400623538
2013-11-04,9448,9682,9315,9382,371371,-0.0035050451407329
2013-11-05,9448,9482,9215,9415,152138,0.0035173736943081
2013-11-06,9448,9482,9081,9082,195962,-0.035369091874668
2013-11-07,9114,9215,8580,8647,377534,-0.0478969390002201
2013-11-08,8714,8847,8480,8714,171477,0.0077483520296055
2013-11-11,8747,8847,8079,8180,279106,-0.0612806977277943
2013-11-12,8079,8547,8079,8447,112059,0.032640586797066
2013-11-13,8513,8580,8113,8213,167601,-0.0277021427725819
2013-11-14,8280,8380,8113,8213,176005,0.0
2013-11-15,8246,8313,7979,8013,209591,-0.0243516376476318
2013-11-18,8013,8079,7545,7579,427938,-0.0541619867714963
2013-11-19,7512,7779,7412,7546,269438,-0.0043541364296081
2013-11-20,7812,8013,7745,7813,516202,0.0353829843625761
2013-11-21,7745,7812,7579,7646,204216,-0.0213746320235505
2013-11-22,7712,8013,7645,7846,223693,0.0261574679571017
2013-11-25,7812,7979,7679,7713,340013,-0.0169513127708386
2013-11-26,7712,7912,7712,7913,186488,0.0259302476338649
2013-11-27,7946,8313,7946,8080,401753,0.0211045115632504
2013-11-28,8213,8213,8013,8113,205414,0.0040841584158415
2013-11-29,8146,8180,7812,7880,357785,-0.0287193393319363
2013-12-02,7812,8046,7645,7646,167745,-0.0296954314720812
2013-12-03,7679,7712,7545,7679,125149,0.0043159822129217
2013-12-04,7612,7879,7612,7746,129715,0.008725094413335
2013-12-05,7745,7846,7412,7412,282962,-0.0431190291763491
2013-12-06,7378,7512,7378,7445,166689,0.0044522396114408
2013-12-09,7612,7712,7345,7412,145337,-0.0044325050369375
2013-12-10,7478,7478,6978,6978,261204,-0.058553696708041
2013-12-11,6944,7178,6811,6845,182466,-0.0190599025508741
2013-12-12,6777,7044,6777,7045,128371,0.029218407596786
2013-12-13,6978,7044,6777,6911,217483,-0.0190205819730304
2013-12-16,6911,6978,6624,6631,281595,-0.0405151208218781
2013-12-17,6744,6777,6577,6584,188423,-0.0070879203740008
2013-12-18,6537,6777,6450,6597,304525,0.0019744835965977
2013-12-19,6710,6777,6497,6497,169379,-0.0151584053357586
2013-12-20,6477,6744,6470,6744,248750,0.0380175465599508
2013-12-23,6911,7245,6877,7245,689599,0.074288256227758
2013-12-24,7345,7412,7178,7245,367151,0.0
2013-12-26,7278,7345,7044,7145,301340,-0.0138026224982746
2013-12-27,7178,7278,7078,7245,217826,0.0139958012596221
2013-12-30,7378,7912,7345,7713,937708,0.0645962732919254
2014-01-02,7745,7779,7245,7312,355722,-0.0519901465058991
2014-01-03,7211,7478,7145,7379,247561,0.0091630196936542
2014-01-06,7345,7378,7211,7245,150532,-0.0181596422279441
2014-01-07,7178,7612,7178,7612,326875,0.050655624568668
2014-01-08,7679,7679,7445,7479,237300,-0.0174724119810825
2014-01-09,7478,7579,7278,7412,209667,-0.0089584169006551
2014-01-10,7378,7545,7245,7245,189808,-0.0225310307609282
2014-01-13,7278,7612,7278,7546,349225,0.0415458937198067
2014-01-14,7478,7779,7445,7679,372592,0.0176252319109462
2014-01-15,7779,7779,7545,7646,207053,-0.0042974345617918
2014-01-16,7712,7779,7345,7512,473910,-0.0175255035312581
2014-01-17,7512,7612,7445,7579,145494,0.0089190628328008
2014-01-20,7645,8113,7645,8013,864586,0.0572634912257554
2014-01-21,7979,8213,7912,8113,410568,0.0124797204542619
2014-01-22,8113,8213,7912,8113,369546,0.0
2014-01-23,8113,8747,8113,8547,984051,0.0534943917169974
2014-01-24,8447,9081,8380,9082,710469,0.0625950625950626
2014-01-27,8914,9315,8747,9248,644208,0.018277912354107
2014-01-28,9148,9315,8881,9182,556573,-0.007136678200692
2014-01-29,9248,9381,9048,9148,360854,-0.0037028969723371
2014-02-03,9048,9081,8547,8681,642860,-0.0510494097070397
2014-02-04,8480,8881,8447,8748,552600,0.0077180048381522
2014-02-05,8847,8881,8380,8380,424579,-0.0420667581161408
2014-02-06,8380,8513,7946,8147,822719,-0.0278042959427207
2014-02-07,8213,8313,8046,8247,428062,0.0122744568552841
2014-02-10,8413,9048,8346,8981,873135,0.0890020613556443
2014-02-11,9014,9281,8847,9282,490386,0.0335151987529227
2014-02-12,9281,9381,8781,8981,681931,-0.0324283559577677
2014-02-13,9014,9148,8881,8981,340589,0.0
2014-02-14,8981,9181,8847,9148,342811,0.018594811268233
2014-02-17,9281,9281,8881,8915,341181,-0.0254700480979449
2014-02-18,8881,8981,8747,8915,208558,0.0
2014-02-19,8947,9215,8814,9215,386183,0.0336511497476164
2014-02-20,9181,9215,8914,9015,290289,-0.021703743895822
2014-02-21,9148,9248,8981,9082,235933,0.0074320576816417
2014-02-24,9014,9048,8280,8481,929720,-0.0661748513543272
2014-02-25,8513,8547,8046,8213,517289,-0.0316000471642494
2014-02-26,8213,8413,8213,8280,245896,0.0081577986119567
2014-02-27,8346,8413,8180,8213,184294,-0.0080917874396134
2014-02-28,8180,8280,8046,8147,208421,-0.0080360404237185
2014-03-03,8113,8213,7745,7779,438610,-0.0451700012274456
2014-03-04,7879,8346,7812,8347,483202,0.0730170973132793
2014-03-05,8413,8447,8113,8280,234817,-0.008026835988978
2014-03-06,8213,8380,8180,8347,140503,0.0080917874396135
2014-03-07,8346,8513,8146,8380,380849,0.0039535162333772
2014-03-10,8313,8346,7912,7913,431677,-0.0557279236276849
2014-03-11,8013,8113,7946,8080,169599,0.0211045115632504
2014-03-12,7946,8079,7812,7980,254747,-0.0123762376237623
2014-03-13,8013,8313,7946,8280,453527,0.037593984962406
2014-03-14,8146,8447,8046,8347,472153,0.0080917874396135
2014-03-17,8346,8447,8213,8213,360483,-0.0160536719779561
2014-03-18,8313,8614,8246,8547,476168,0.0406672348715451
2014-03-19,8580,8847,8513,8647,311899,0.0117000117000116
2014-03-20,8547,8614,8346,8447,237814,-0.0231294090435989
2014-03-21,8580,8580,8280,8481,303141,0.0040250976678111
2014-03-24,8547,8747,8413,8714,483449,0.0274731753330974
2014-03-25,8747,9982,8680,9916,3130716,0.137938948817994
2014-03-26,10049,10250,9615,9749,1192554,-0.0168414683340056
2014-03-27,9749,9916,9582,9916,753755,0.0171299620473894
2014-03-28,9849,10316,9582,9649,953445,-0.0269261799112545
2014-03-31,9715,9749,9215,9349,683865,-0.0310913047984247
2014-04-01,9348,9582,9315,9516,515823,0.0178628730345491
2014-04-02,9582,9949,9548,9883,842391,0.0385666246321985
2014-04-03,9982,10049,9816,9916,460639,0.0033390670848931
2014-04-04,9882,10116,9782,10050,386517,0.0135135135135135
2014-04-07,9949,10216,9782,10183,505504,0.0132338308457711
2014-04-08,10049,10149,9749,9883,402248,-0.0294608661494647
2014-04-09,9916,9916,9515,9649,421377,-0.0236770211474248
2014-04-10,9715,9782,9348,9516,532296,-0.0137838117939682
2014-04-11,9315,9415,9048,9148,582326,-0.0386717108028583
2014-04-14,9148,9415,9081,9415,615057,0.0291867074770442
2014-04-15,9448,10116,9448,9950,1920437,0.0568242166755177
2014-04-16,9982,9982,9749,9816,571035,-0.013467336683417
2014-04-17,9849,10049,9682,9682,492214,-0.0136511817440913
2014-04-18,9782,9882,9482,9649,409023,-0.0034083866969634
2014-04-21,9715,10216,9649,10183,1023805,0.0553425225411958
2014-04-22,10383,10417,9982,10050,742083,-0.0130609839929294
2014-04-23,10049,10083,9515,9516,465419,-0.0531343283582089
2014-04-24,9615,9849,9381,9582,503021,0.0069356872635562
2014-04-25,9548,9715,9415,9415,219846,-0.0174285117929451
2014-04-28,9448,9548,9315,9449,158534,0.003611258629846
