Date,Open,High,Low,Close,Volume,Change
2023-04-04,7600,7770,7600,7700,43049,0.0171730515191546
2023-04-05,7720,7720,7590,7630,19535,-0.009090909090909
2023-04-06,7680,7780,7640,7700,27557,0.0091743119266054
2023-04-07,7710,7790,7650,7790,22900,0.0116883116883117
2023-04-10,7750,7790,7450,7590,40528,-0.0256739409499358
2023-04-11,7560,7730,7560,7700,26339,0.0144927536231884
2023-04-12,7690,7780,7590,7730,57531,0.0038961038961038
2023-04-13,7700,7920,7670,7770,38368,0.0051746442432083
2023-04-14,7780,7860,7730,7830,22843,0.0077220077220077
2023-04-17,7830,7920,7760,7830,15496,0.0
2023-04-18,7830,7930,7800,7920,27990,0.0114942528735633
2023-04-19,7920,8010,7870,7980,37196,0.0075757575757575
2023-04-20,7960,8070,7900,8000,50228,0.0025062656641603
2023-04-21,7940,8080,7910,8000,48629,0.0
2023-04-24,8000,8010,7850,7950,41128,-0.0062499999999999
2023-04-25,7890,8080,7890,8000,35911,0.0062893081761006
2023-04-26,7980,8050,7930,7990,18429,-0.0012499999999999
2023-04-27,7990,8100,7930,8030,31097,0.0050062578222778
2023-04-28,8040,8280,8020,8060,40503,0.0037359900373599
2023-05-02,8060,8100,7930,8060,29044,0.0
2023-05-03,8070,8210,8010,8090,12568,0.0037220843672456
2023-05-04,8100,8120,7950,8090,20811,0.0
2023-05-08,8100,8100,7980,8000,23680,-0.011124845488257
2023-05-09,7990,8050,7930,8000,14985,0.0
2023-05-10,8000,8100,7950,8000,8390,0.0
2023-05-11,8010,8100,7980,8000,4286,0.0
2023-05-12,8000,8150,7990,8050,28938,0.00625
2023-05-15,8040,8130,8010,8100,14238,0.0062111801242235
2023-05-16,8100,8350,8100,8220,44020,0.0148148148148148
2023-05-17,8340,8570,8050,8570,77592,0.0425790754257906
2023-05-18,8570,8660,8510,8610,31240,0.0046674445740957
2023-05-19,8660,8880,8550,8830,51699,0.0255516840882694
2023-05-22,8830,8860,8610,8610,34785,-0.0249150622876557
2023-05-23,8610,8970,8590,8770,41257,0.0185830429732869
2023-05-24,8710,8800,8600,8700,30904,-0.007981755986317
2023-05-25,8650,8700,8490,8600,36663,-0.0114942528735632
2023-05-26,8600,8910,8480,8720,64307,0.013953488372093
2023-05-30,8640,8880,8640,8860,19852,0.0160550458715595
2023-05-31,8860,8870,8680,8780,21497,-0.0090293453724604
2023-06-01,8750,9140,8690,9000,69280,0.0250569476082005
2023-06-02,9010,9150,9000,9070,32213,0.0077777777777778
2023-06-05,9070,9070,8910,9000,18051,-0.0077177508269018
2023-06-07,9000,9170,8900,9030,23912,0.0033333333333334
2023-06-08,9020,9100,8930,9030,14308,0.0
2023-06-09,9030,9190,8970,9170,26815,0.0155038759689922
2023-06-12,9230,9330,9070,9330,28093,0.0174482006543075
2023-06-13,9370,9370,8890,9000,42065,-0.0353697749196141
2023-06-14,9000,9350,8800,9120,50082,0.0133333333333334
2023-06-15,9010,9260,9010,9220,27661,0.0109649122807018
2023-06-16,9220,9300,9080,9200,16003,-0.002169197396963
2023-06-19,9200,9470,9010,9300,43123,0.0108695652173913
2023-06-20,9210,9380,9180,9340,22241,0.0043010752688172
2023-06-21,9340,9520,9300,9350,96451,0.0010706638115631
2023-06-22,9310,9410,9210,9270,20125,-0.0085561497326203
2023-06-23,9270,9580,9270,9560,42312,0.0312837108953614
2023-06-26,9560,9890,9540,9890,100511,0.0345188284518829
2023-06-27,9890,9910,9560,9870,53686,-0.0020222446916077
2023-06-28,9830,9880,9420,9540,53112,-0.033434650455927
2023-06-29,9500,9870,9500,9680,56814,0.0146750524109013
2023-06-30,9670,9670,9510,9600,10966,-0.0082644628099173
2023-07-03,9590,9640,9410,9560,32984,-0.0041666666666666
2023-07-04,9550,9700,9470,9560,15088,0.0
2023-07-05,9560,9680,9460,9560,29528,0.0
2023-07-06,9570,9650,9450,9560,49230,0.0
2023-07-07,9520,9800,9520,9560,27571,0.0
2023-07-10,9560,9880,9490,9700,58536,0.0146443514644352
2023-07-11,9700,9770,9600,9750,9536,0.0051546391752577
2023-07-12,9850,9850,9470,9530,25762,-0.0225641025641025
2023-07-13,9460,9650,9450,9630,49105,0.0104931794333682
2023-07-14,9450,9700,9450,9650,53965,0.0020768431983384
2023-07-17,9650,9800,9640,9670,14965,0.0020725388601037
2023-07-18,9670,9760,9570,9670,14579,0.0
2023-07-19,9670,9670,9490,9600,20640,-0.0072388831437435
2023-07-20,9520,9790,9520,9680,27445,0.0083333333333333
2023-07-21,9690,10630,9690,10360,257695,0.0702479338842976
2023-07-24,10230,10810,10150,10650,121712,0.0279922779922781
2023-07-25,10800,11150,10490,11050,160216,0.0375586854460094
2023-07-26,11050,11080,10270,10940,95164,-0.0099547511312216
2023-07-27,10640,10950,10000,10000,81183,-0.0859232175502742
2023-07-28,10120,10800,10000,10420,53010,0.042
2023-07-31,10530,10860,10500,10800,26210,0.0364683301343569
2023-08-01,10800,10950,10630,10800,27755,0.0
2023-08-02,10800,11180,10530,10600,48501,-0.0185185185185184
2023-08-03,10500,10970,10450,10930,29816,0.0311320754716981
2023-08-04,10930,11200,10790,10930,39971,0.0
2023-08-07,10910,11160,10670,10710,37925,-0.0201280878316559
2023-08-08,10610,10870,10570,10790,29397,0.007469654528478
2023-08-09,10700,10790,10490,10570,19770,-0.0203892493049119
2023-08-10,10610,10900,10450,10570,16923,0.0
2023-08-11,10570,10900,10480,10570,15827,0.0
2023-08-14,10460,10590,10210,10470,44282,-0.009460737937559
2023-08-16,10410,10780,10410,10540,32470,0.0066857688634192
2023-08-17,10440,10700,10200,10510,66915,-0.0028462998102466
2023-08-18,10470,10770,10400,10710,40447,0.0190294957183634
2023-08-21,10830,10900,10590,10710,24268,0.0
2023-08-22,10660,10850,10660,10790,21212,0.007469654528478
2023-08-23,10680,10770,10570,10570,20577,-0.0203892493049119
2023-08-24,10480,10990,10040,10040,73221,-0.0501419110690634
2023-08-25,10110,10190,10020,10040,17551,0.0
2023-08-28,10000,10350,10000,10140,17013,0.0099601593625497
2023-08-29,10150,10200,8290,8500,525742,-0.1617357001972387
2023-08-30,8660,8760,8390,8420,99445,-0.0094117647058823
2023-08-31,8480,8580,8200,8270,85717,-0.017814726840855
2023-09-01,8370,8370,8070,8110,42222,-0.019347037484885
2023-09-04,8120,8190,8070,8170,19104,0.0073982737361282
2023-09-05,8200,8210,8010,8010,19578,-0.0195838433292533
2023-09-06,8060,8120,7880,8010,22322,0.0
2023-09-07,7970,8070,7830,8000,25816,-0.0012484394506866
2023-09-08,7890,7980,7820,7940,18364,-0.0074999999999999
2023-09-11,7940,7970,7770,7890,15008,-0.0062972292191435
2023-09-12,7890,7960,7800,7890,9191,0.0
2023-09-13,7810,7860,7620,7620,18910,-0.0342205323193915
2023-09-14,7640,8250,7640,7870,29899,0.0328083989501313
2023-09-15,8020,8020,7870,7910,6607,0.0050825921219821
2023-09-18,7920,8150,7830,8140,35637,0.0290771175726927
2023-09-19,8100,8380,8020,8030,44556,-0.0135135135135134
2023-09-20,8000,8180,7930,7980,14919,-0.0062266500622665
2023-09-21,7950,8070,7850,8000,28507,0.0025062656641603
2023-09-22,7700,8160,7560,8090,58227,0.0112499999999999
2023-09-25,8090,8550,8090,8240,45211,0.0185414091470952
2023-09-26,8170,8400,8110,8210,21860,-0.0036407766990291
2023-09-27,9080,9100,8220,8330,339927,0.0146163215590742
2023-10-04,8250,8310,7900,8030,43102,-0.0360144057623049
2023-10-05,8000,8160,7920,8030,31279,0.0
2023-10-06,8030,8380,8030,8330,18125,0.0373599003735989
2023-10-10,8400,8580,8290,8500,36114,0.0204081632653061
2023-10-11,8350,8540,8320,8500,14650,0.0
2023-10-12,8500,8500,8200,8270,17729,-0.0270588235294118
2023-10-13,8330,8490,8200,8400,20929,0.0157194679564691
2023-10-16,8300,8350,8200,8320,12868,-0.0095238095238094
2023-10-17,8290,8430,8260,8410,14267,0.0108173076923077
2023-10-18,8490,8490,8350,8410,9139,0.0
2023-10-19,8420,8430,8130,8370,24181,-0.004756242568371
2023-10-20,8280,8600,8020,8360,25686,-0.001194743130227
2023-10-23,8380,8450,8230,8360,23311,0.0
2023-10-24,8350,8600,8350,8600,15696,0.0287081339712917
2023-10-25,8660,8820,8520,8800,27548,0.0232558139534884
2023-10-26,8650,9400,8640,9300,83524,0.0568181818181818
2023-10-27,9290,9360,9010,9320,17330,0.0021505376344086
2023-10-30,9370,9390,9200,9320,19677,0.0
2023-10-31,9320,9360,9220,9310,6278,-0.0010729613733905
2023-11-01,9310,9380,9130,9300,17472,-0.0010741138560687
2023-11-02,9300,9400,9290,9340,7661,0.0043010752688172
2023-11-03,9430,9830,9350,9820,21723,0.051391862955032
2023-11-06,9820,10650,9740,10650,63854,0.0845213849287169
2023-11-07,10510,10610,10070,10500,31487,-0.0140845070422535
2023-11-08,10500,10500,10020,10100,16232,-0.038095238095238
2023-11-09,10100,10250,10000,10150,12323,0.0049504950495049
2023-11-10,10140,10350,10050,10200,52368,0.0049261083743843
2023-11-13,10200,10500,10110,10300,33092,0.0098039215686274
2023-11-14,10300,10550,10210,10470,18545,0.0165048543689321
2023-11-15,10470,10470,10100,10350,16646,-0.0114613180515759
2023-11-16,10350,10510,10080,10450,11812,0.0096618357487923
2023-11-17,10490,10530,10290,10500,17120,0.0047846889952152
2023-11-20,10510,10890,10430,10570,37856,0.0066666666666665
2023-11-21,10570,10870,10280,10310,21682,-0.0245979186376537
2023-11-22,10250,10470,10050,10350,29512,0.0038797284190106
2023-11-23,10270,10450,10270,10430,16997,0.0077294685990338
2023-11-24,10470,10930,10300,10790,45381,0.0345158197507191
2023-11-27,10750,10850,10570,10850,13309,0.0055607043558851
2023-11-28,10850,10940,10660,10930,16865,0.0073732718894008
2023-11-29,10970,12120,10900,11830,202843,0.0823421774931381
2023-11-30,11920,12100,11700,12000,93530,0.0143702451394758
2023-12-01,12030,12390,11770,12370,123883,0.0308333333333332
2023-12-04,12300,12790,12120,12650,74481,0.0226354082457558
2023-12-05,12550,12600,11600,12510,132250,-0.0110671936758893
2023-12-06,12360,12730,11730,12250,116530,-0.0207833733013589
2023-12-07,12250,12370,11830,12050,51244,-0.0163265306122448
2023-12-08,11970,12330,11800,12230,74341,0.0149377593360995
2023-12-11,12430,12430,12190,12350,27385,0.0098119378577268
2023-12-12,12280,12400,12110,12350,19762,0.0
2023-12-13,12240,12570,12040,12370,55457,0.0016194331983805
2023-12-14,12480,12480,12220,12370,15725,0.0
2023-12-15,12270,12540,12250,12500,21279,0.0105092966855295
2023-12-18,12510,12770,12460,12770,28101,0.0216
2023-12-19,12760,13300,12760,13200,55601,0.033672670321065
2023-12-20,13200,13750,13000,13460,80221,0.0196969696969697
2023-12-21,13460,13720,13350,13450,61618,-0.00074294205052
2023-12-22,13670,13940,13210,13770,52134,0.0237918215613381
2023-12-26,13890,14100,12980,13700,153257,-0.0050835148874364
2023-12-27,13700,13900,13010,13010,60606,-0.0503649635036496
2023-12-28,13020,13940,12990,13900,79378,0.0684089162182937
2024-01-02,13990,15000,13990,14800,222297,0.0647482014388489
2024-01-03,14660,14980,13910,13940,188968,-0.058108108108108
2024-01-04,13930,15430,13700,14560,423209,0.0444763271162123
2024-01-05,14700,16290,13700,16290,396198,0.1188186813186813
2024-01-08,16250,16930,15350,15600,326471,-0.0423572744014733
2024-01-09,15480,16170,15300,15940,144876,0.0217948717948717
2024-01-10,15750,16130,15660,15820,71008,-0.0075282308657464
2024-01-11,15820,15920,15500,15800,46440,-0.0012642225031606
2024-01-12,16100,16100,15530,15840,50815,0.0025316455696202
2024-01-15,15760,16400,15760,16000,94347,0.0101010101010101
2024-01-16,16000,16920,15850,16810,93860,0.0506249999999999
2024-01-17,16900,17400,16500,17400,81805,0.0350981558596072
2024-01-18,17400,17980,17280,17500,144427,0.0057471264367816
2024-01-19,17500,17500,16230,16400,150239,-0.0628571428571428
2024-01-22,16390,16620,15920,15920,51435,-0.0292682926829268
2024-01-23,16050,16400,15450,15490,59617,-0.0270100502512562
2024-01-24,15790,16170,15430,16000,53540,0.0329244673983215
2024-01-25,15990,16030,15000,15110,64125,-0.055625
2024-01-26,15110,15170,14010,14500,114635,-0.0403706154864328
2024-01-29,14360,14700,14230,14400,38160,-0.0068965517241379
2024-01-30,14400,14800,14320,14540,59264,0.0097222222222221
2024-01-31,14500,15700,14500,15510,74779,0.0667125171939477
2024-02-01,15810,17400,15760,16950,644393,0.0928433268858801
2024-02-02,16880,17400,16400,16900,141193,-0.0029498525073746
2024-02-05,16920,17290,16330,16360,104695,-0.0319526627218934
2024-02-06,16320,16320,15280,16020,114373,-0.0207823960880195
2024-02-07,15880,16180,15380,15700,49703,-0.0199750312109863
2024-02-08,15700,15900,15110,15800,50797,0.0063694267515923
2024-02-13,15650,15900,15300,15680,31901,-0.0075949367088608
2024-02-14,15690,16000,15330,15700,26928,0.0012755102040815
2024-02-15,15730,16680,15600,16250,79466,0.035031847133758
2024-02-16,16380,16530,16010,16300,33512,0.0030769230769229
2024-02-19,16300,16860,16300,16500,57383,0.0122699386503066
2024-02-20,16510,16900,16270,16780,48745,0.016969696969697
2024-02-21,16700,16920,16500,16790,43540,0.000595947556615
2024-02-22,16650,18500,16620,18330,180255,0.091721262656343
2024-02-23,18330,19890,18260,19840,158339,0.0823786142935079
2024-02-26,19840,20550,19210,20400,95741,0.0282258064516129
2024-02-27,20400,20900,19830,20600,89550,0.0098039215686274
2024-02-28,20550,21000,19500,19500,117626,-0.0533980582524271
2024-02-29,19490,20700,19190,20000,109306,0.0256410256410255
2024-03-04,20000,20700,19680,20300,96314,0.0149999999999999
2024-03-05,20250,20800,18350,19300,124734,-0.0492610837438424
2024-03-06,19300,19760,17870,19000,116938,-0.0155440414507772
2024-03-07,19130,19760,18500,19270,63085,0.0142105263157894
2024-03-08,19270,21600,19200,19810,280617,0.0280228334198235
2024-03-11,19990,21300,19410,21150,153026,0.0676426047450782
2024-03-12,20900,21300,18820,18970,169322,-0.1030732860520095
2024-03-13,18960,18970,13280,13280,1809272,-0.2999472851871375
2024-03-14,13040,13430,12530,13000,473664,-0.0210843373493976
2024-03-15,12870,13340,12600,12790,157380,-0.0161538461538461
2024-03-18,12560,12770,11560,12400,229774,-0.0304925723221266
2024-03-19,12200,12300,10970,11160,415446,-0.0999999999999999
2024-03-20,11310,11950,10960,11030,279633,-0.0116487455197132
2024-03-21,11110,11670,10880,11480,168606,0.0407978241160471
2024-03-22,11480,11550,11010,11450,124724,-0.0026132404181185
2024-03-25,11410,11540,10330,10690,244426,-0.0663755458515283
2024-03-26,12680,13890,12590,13890,733916,0.2993451824134705
2024-03-27,15640,15790,14130,14530,830138,0.0460763138948883
