Date,Open,High,Low,Close,Volume,Change
2019-06-18,3980,4025,3970,3995,26255,-0.008684863523573227
2019-06-19,4030,4045,3970,3985,46549,-0.0025031289111389077
2019-06-20,4000,5080,4000,4730,3395903,0.18695106649937254
2019-06-21,5020,5600,4900,5220,4052145,0.10359408033826645
2019-06-24,5180,5330,5130,5140,533587,-0.01532567049808431
2019-06-25,5140,5650,4970,5010,1717761,-0.02529182879377434
2019-06-26,5010,5490,4910,5490,739841,0.09580838323353302
2019-06-27,5600,6150,5360,5840,1732116,0.06375227686703089
2019-06-28,5780,6200,5720,5840,867397,0.0
2019-07-01,5840,6020,5680,5760,370566,-0.013698630136986356
2019-07-02,5740,6150,5610,6000,575042,0.04166666666666674
2019-07-03,6180,6410,5930,6180,1228404,0.030000000000000027
2019-07-04,6230,6320,5860,6210,395639,0.004854368932038833
2019-07-05,6210,6440,6130,6200,468713,-0.0016103059581320522
2019-07-08,6280,6350,6000,6040,337852,-0.02580645161290318
2019-07-09,6120,6450,6100,6360,537315,0.052980132450331174
2019-07-10,6560,7240,6560,7240,1966933,0.1383647798742138
2019-07-11,7150,7290,6880,6930,490437,-0.04281767955801108
2019-07-12,7100,7230,6830,7190,353938,0.037518037518037506
2019-07-15,7210,7930,7210,7740,1177753,0.07649513212795545
2019-07-16,7730,7850,7410,7420,402829,-0.04134366925064603
2019-07-17,7390,7700,7310,7420,273654,0.0
2019-07-18,7330,8000,7330,7710,645847,0.03908355795148255
2019-07-19,7680,8100,7110,7550,792139,-0.02075226977950717
2019-07-22,7550,7750,7250,7370,347860,-0.02384105960264904
2019-07-23,7420,7630,7300,7390,254082,0.0027137042062415073
2019-07-24,7480,7670,7020,7210,333356,-0.024357239512855178
2019-07-25,7150,7810,7150,7800,454950,0.08183079056865461
2019-07-26,7900,8230,7760,8000,622998,0.02564102564102555
2019-07-29,7960,8050,7250,7250,447722,-0.09375
2019-07-30,7240,7480,7110,7160,277804,-0.012413793103448256
2019-07-31,7260,7800,7160,7650,448212,0.06843575418994408
2019-08-01,7540,7880,7340,7400,325960,-0.0326797385620915
2019-08-02,7220,8400,7220,8290,1350613,0.12027027027027026
2019-08-05,8290,8430,7900,7970,533406,-0.0386007237635706
2019-08-06,7700,7970,7220,7260,404613,-0.0890840652446675
2019-08-07,7410,7740,7350,7690,530137,0.059228650137741035
2019-08-08,7590,8010,7360,7990,435875,0.03901170351105332
2019-08-09,7970,8700,7780,8670,855292,0.0851063829787233
2019-08-12,8600,8790,8330,8340,402976,-0.03806228373702425
2019-08-13,8340,9540,8290,9110,1682648,0.09232613908872911
2019-08-14,9300,10200,9100,9110,1561172,0.0
2019-08-16,9070,9560,8870,9020,800283,-0.009879253567508184
2019-08-19,9120,9340,8580,8790,440352,-0.0254988913525499
2019-08-20,8800,9020,8260,8490,631350,-0.03412969283276446
2019-08-21,8430,8670,8290,8490,286633,0.0
2019-08-22,8600,8630,8200,8500,216022,0.0011778563015312216
2019-08-23,8660,9520,8620,9250,1168217,0.08823529411764697
2019-08-26,9050,9200,8510,8560,532622,-0.07459459459459461
2019-08-27,8750,9110,8650,8780,385994,0.025700934579439227
2019-08-28,8910,9240,8910,9060,357212,0.03189066059225509
2019-08-29,9240,9250,8960,9030,355656,-0.0033112582781457123
2019-08-30,9160,9850,9050,9730,797185,0.07751937984496116
2019-09-02,9710,10000,9490,9600,379427,-0.01336073997944498
2019-09-03,9590,9840,9450,9610,244909,0.0010416666666666075
2019-09-04,9550,9950,9550,9910,356154,0.031217481789802326
2019-09-05,9900,10800,9880,10600,892290,0.06962663975782046
2019-09-06,10600,11550,10600,10700,745211,0.009433962264151052
2019-09-09,10750,11700,10750,11650,749891,0.08878504672897192
2019-09-10,11600,11800,11000,11400,504683,-0.02145922746781115
2019-09-11,11350,11750,10950,11150,422524,-0.021929824561403466
2019-09-16,11000,11050,10150,10400,630772,-0.06726457399103136
2019-09-17,10400,10600,10000,10450,429459,0.004807692307692291
2019-09-18,10450,10500,9850,10100,697596,-0.03349282296650713
2019-09-19,9950,10300,9940,10100,239293,0.0
2019-09-20,10200,10750,10150,10400,368808,0.02970297029702973
2019-09-23,10450,10650,10050,10100,224845,-0.028846153846153855
2019-09-24,10100,10200,9300,9420,896571,-0.06732673267326728
2019-09-25,9440,9570,9140,9360,491693,-0.006369426751592355
2019-09-26,9520,10150,9330,10150,533248,0.08440170940170932
2019-09-27,10050,10400,9770,9860,406854,-0.02857142857142858
2019-09-30,9800,10250,9760,10100,224762,0.024340770791074995
2019-10-01,10200,10500,9950,10450,289241,0.034653465346534684
