Date,Open,High,Low,Close,Volume,Change
2013-09-16,4445,4500,4445,4465,9714,
2013-09-17,4500,4500,4445,4470,3623,0.0011198208286673
2013-09-23,4470,4495,4450,4470,4363,0.0
2013-09-24,4470,4480,4460,4470,8128,0.0
2013-09-25,4470,4475,4455,4455,8398,-0.0033557046979866
2013-09-26,4440,4465,4440,4455,4970,0.0
2013-09-27,4455,4470,4435,4440,5342,-0.0033670033670033
2013-09-30,4440,4500,4395,4395,8984,-0.010135135135135
2013-10-01,4400,4400,4385,4395,2327,0.0
2013-10-02,4385,4395,4350,4355,7349,-0.0091012514220705
2013-10-04,4360,4390,4340,4355,8935,0.0
2013-10-07,4335,4360,4305,4315,14042,-0.0091848450057405
2013-10-08,4315,4315,4265,4265,13196,-0.0115874855156431
2013-10-10,4220,4255,4200,4225,3426,-0.0093786635404454
2013-10-11,4240,4255,4225,4245,4385,0.0047337278106509
2013-10-14,4240,4270,4230,4240,4580,-0.0011778563015312
2013-10-15,4260,4260,4205,4220,10036,-0.0047169811320755
2013-10-16,4220,4225,4180,4185,7805,-0.0082938388625591
2013-10-17,4185,4200,4135,4145,15805,-0.009557945041816
2013-10-18,4145,4165,4095,4115,13919,-0.0072376357056694
2013-10-21,4070,4115,3975,4045,17983,-0.017010935601458
2013-10-22,4045,4055,4000,4055,5570,0.0024721878862794
2013-10-23,4055,4115,4055,4090,4937,0.0086313193588163
2013-10-24,4090,4120,4090,4120,2537,0.0073349633251833
2013-10-25,4120,4170,4095,4130,2399,0.0024271844660195
2013-10-28,4130,4180,4125,4130,3691,0.0
2013-10-29,4150,4150,4065,4070,13705,-0.0145278450363196
2013-10-30,4080,4080,4050,4075,5170,0.0012285012285011
2013-10-31,4045,4080,4045,4080,3248,0.0012269938650306
2013-11-01,4080,4145,4045,4070,11081,-0.0024509803921568
2013-11-04,4045,4090,4020,4075,3080,0.0012285012285011
2013-11-05,4045,4075,4035,4065,1333,-0.0024539877300613
2013-11-06,4025,4070,3990,4015,10754,-0.01230012300123
2013-11-07,4020,4045,3985,4035,2479,0.0049813200498132
2013-11-08,4000,4050,3990,4000,1917,-0.0086741016109045
2013-11-11,4000,4030,3875,3930,13589,-0.0174999999999999
2013-11-12,3915,3925,3850,3885,2698,-0.0114503816793892
2013-11-13,3885,3920,3865,3920,2846,0.0090090090090089
2013-11-14,3920,3945,3920,3930,1220,0.0025510204081633
2013-11-15,3930,3985,3930,3970,6057,0.0101781170483461
2013-11-18,3950,4010,3950,3990,2459,0.0050377833753147
2013-11-19,4000,4015,3940,3985,6965,-0.0012531328320801
2013-11-20,3985,3995,3985,3995,1635,0.002509410288582
2013-11-21,4000,4000,3940,3985,8813,-0.0025031289111389
2013-11-22,3985,3985,3945,3980,1744,-0.001254705144291
2013-11-25,3980,3990,3955,3975,1729,-0.0012562814070351
2013-11-26,3980,3985,3945,3980,3865,0.0012578616352201
2013-11-27,3950,4000,3945,3975,1992,-0.0012562814070351
2013-11-28,3975,3985,3945,3980,5106,0.0012578616352201
2013-11-29,3980,4015,3980,4010,5707,0.0075376884422111
2013-12-02,4060,4060,4010,4025,3933,0.0037406483790523
2013-12-03,4025,4060,3995,4000,3297,-0.0062111801242236
2013-12-04,4050,4050,3970,3995,2210,-0.0012499999999999
2013-12-05,3995,4000,3955,3995,679,0.0
2013-12-06,3995,4010,3935,4000,5237,0.0012515644555695
2013-12-09,3955,4000,3940,3960,5732,-0.01
2013-12-10,4010,4010,3930,3940,2225,-0.005050505050505
2013-12-11,3950,3995,3910,3960,6442,0.0050761421319796
2013-12-12,3960,4000,3925,3965,5363,0.0012626262626262
2013-12-13,3965,4000,3960,3995,6538,0.0075662042875157
2013-12-16,4000,4270,3995,4185,5838,0.0475594493116395
2013-12-17,4150,4150,4025,4035,2206,-0.03584229390681
2013-12-18,4035,4055,4010,4045,1085,0.0024783147459728
2013-12-19,4070,4070,3985,4000,5905,-0.011124845488257
2013-12-20,4040,4040,3975,3980,3826,-0.005
2013-12-23,3970,3990,3900,3965,7107,-0.0037688442211055
2013-12-24,3965,3995,3950,3970,8455,0.0012610340479193
2013-12-26,3975,3975,3955,3970,10163,0.0
2013-12-27,3940,3940,3810,3830,23424,-0.035264483627204
2013-12-30,3830,3870,3770,3805,25418,-0.0065274151436031
2014-01-02,3805,3840,3750,3770,11378,-0.0091984231274638
2014-01-03,3780,3845,3695,3720,9721,-0.013262599469496
2014-01-06,3725,3740,3650,3695,8049,-0.0067204301075268
2014-01-07,3695,3715,3655,3695,13540,0.0
2014-01-08,3695,3740,3675,3700,4547,0.0013531799729364
