Date,Open,High,Low,Close,Volume,Change
2023-04-04,1124,1270,1115,1178,3644086,0.0508474576271187
2023-04-05,1169,1170,1121,1159,643040,-0.0161290322580645
2023-04-06,1159,1159,1117,1125,470060,-0.0293356341673857
2023-04-07,1116,1138,1077,1121,432838,-0.0035555555555555
2023-04-10,1110,1150,1090,1122,520976,0.0008920606601248
2023-04-11,1122,1125,1049,1069,617361,-0.0472370766488413
2023-04-12,1069,1120,1050,1065,441085,-0.0037418147801683
2023-04-13,1059,1059,1000,1011,486504,-0.0507042253521127
2023-04-14,1010,1040,987,1005,422847,-0.0059347181008901
2023-04-17,1005,1019,970,986,587732,-0.0189054726368159
2023-04-18,993,1044,960,1044,428284,0.0588235294117647
2023-04-19,1065,1102,1037,1065,549037,0.0201149425287356
2023-04-20,1077,1084,1032,1032,283847,-0.0309859154929577
2023-04-21,1032,1046,1001,1010,302989,-0.0213178294573643
2023-04-24,1000,1017,980,997,184285,-0.0128712871287128
2023-04-25,997,1009,953,953,180207,-0.0441323971915746
2023-04-26,980,980,909,911,327779,-0.0440713536201469
2023-04-27,958,958,865,890,446619,-0.0230515916575192
2023-04-28,890,900,874,882,317128,-0.0089887640449438
2023-05-02,880,909,872,887,297278,0.0056689342403628
2023-05-03,886,960,879,909,252121,0.0248027057497182
2023-05-04,909,917,886,889,165694,-0.0220022002200219
2023-05-08,896,936,895,919,121788,0.0337457817772779
2023-05-09,904,918,873,918,248912,-0.001088139281828
2023-05-10,918,930,865,866,532978,-0.0566448801742919
2023-05-11,885,939,800,915,764019,0.0565819861431871
2023-05-12,915,930,870,887,308249,-0.0306010928961748
2023-05-15,884,884,800,839,207656,-0.0541149943630214
2023-05-16,839,870,828,838,203657,-0.00119189511323
2023-05-17,855,900,825,894,281368,0.0668257756563246
2023-05-18,918,918,875,880,106405,-0.0156599552572707
2023-05-19,880,890,858,881,165894,0.0011363636363637
2023-05-22,856,915,856,914,129101,0.0374574347332576
2023-05-23,914,929,896,909,182510,-0.0054704595185995
2023-05-24,901,918,885,917,135615,0.0088008800880088
2023-05-25,908,927,893,926,162468,0.009814612868048
2023-05-26,912,930,906,907,96352,-0.0205183585313174
2023-05-30,907,916,900,915,81361,0.0088202866593163
2023-05-31,920,920,903,903,41096,-0.0131147540983606
2023-06-01,902,917,865,865,185642,-0.0420819490586932
2023-06-02,865,888,850,857,162766,-0.0092485549132947
2023-06-05,853,905,853,897,345743,0.0466744457409569
2023-06-07,905,915,891,904,259031,0.0078037904124861
2023-06-08,1087,1155,922,931,6044035,0.029867256637168
2023-06-09,941,970,918,970,455244,0.0418904403866808
2023-06-12,950,980,934,971,381255,0.0010309278350515
2023-06-13,971,971,930,935,340521,-0.0370751802265705
