Date,Open,High,Low,Close,Volume,Change
2019-06-18,11933,12073,11852,11893,68989,-0.005019660336317289
2019-06-19,12113,12113,11892,11913,66243,0.0016816614815438058
2019-06-20,11973,12214,11873,12174,97431,0.021908839083354392
2019-06-21,12133,12374,12053,12234,136156,0.00492853622474132
2019-06-24,12234,12234,12053,12174,58696,-0.004904364884747436
2019-06-25,12193,12213,11912,11953,86989,-0.018153441761130318
2019-06-26,11832,12113,11812,11933,86414,-0.0016732201121058
2019-06-27,11852,12373,11852,12013,146050,0.006704097879828952
2019-06-28,12113,12293,11972,12013,128560,0.0
2019-07-01,12173,12273,11872,12013,97651,0.0
2019-07-02,11932,12133,11892,12053,57608,0.0033297261300258008
2019-07-03,12053,12053,11592,11793,194679,-0.021571393014187312
2019-07-04,11792,11913,11652,11873,91079,0.0067836852370048994
2019-07-05,11933,11933,11652,11673,61134,-0.016844942306072586
2019-07-08,11533,11733,11313,11313,128086,-0.030840400925212008
2019-07-09,11693,11713,11453,11453,186258,0.012375143640060093
2019-07-10,11532,11813,11412,11673,124989,0.019208940888850057
2019-07-11,11833,11833,11512,11733,128955,0.0051400668208687605
2019-07-12,11752,12213,11592,11953,247307,0.018750532685587684
2019-07-15,11973,11993,11652,11773,127437,-0.015058981008951755
2019-07-16,11773,11893,11592,11693,81065,-0.006795209377388978
2019-07-17,11593,11673,11472,11533,97951,-0.013683400324980721
2019-07-18,11432,11773,11412,11733,69169,0.017341541663053794
2019-07-19,11793,11793,11652,11773,59545,0.0034091877610158416
2019-07-22,11692,11833,11412,11773,105177,0.0
2019-07-23,11592,11853,11592,11753,105971,-0.0016988023443472722
2019-07-24,11773,11773,11412,11513,120355,-0.020420318216625488
2019-07-25,11513,11653,11332,11393,179017,-0.01042300008685837
2019-07-26,11432,11693,11272,11653,171326,0.02282103045729844
2019-07-29,11673,11673,11313,11313,108124,-0.029177035956406083
2019-07-30,11593,11593,11312,11473,156373,0.014143021302925884
2019-07-31,11332,11352,11031,11092,170741,-0.03320840233591915
2019-08-01,11031,11212,10871,11152,85300,0.005409304002884863
2019-08-02,11152,11172,10812,10812,133694,-0.030487804878048808
2019-08-05,10792,11012,10451,10512,155774,-0.027746947835738056
2019-08-06,10711,10711,9590,10291,424941,-0.021023592085235965
2019-08-07,10771,10771,9970,10271,270191,-0.0019434457292779594
2019-08-08,10291,10612,10131,10572,190628,0.029305812481744686
2019-08-09,10591,10712,10411,10692,280319,0.011350737797956922
2019-08-12,10691,10691,10210,10331,161023,-0.033763561541339304
2019-08-13,10371,10371,10090,10171,344779,-0.015487368115380873
2019-08-14,10532,10532,10131,10492,297799,0.03156031855274799
2019-08-16,10311,10432,10211,10352,749435,-0.013343499809378545
2019-08-19,10351,10732,10291,10712,389657,0.03477588871715609
2019-08-20,10631,10912,10531,10712,370225,0.0
2019-08-21,10631,10912,10571,10912,225932,0.01867064973861088
2019-08-22,10732,10852,10512,10512,164813,-0.03665689149560114
