Date,Open,High,Low,Close,Volume,Change
2019-06-18,3540,3630,3535,3540,587786,-0.007012622720897643
2019-06-19,3550,3580,3510,3520,597477,-0.005649717514124242
2019-06-20,3530,3605,3525,3605,681698,0.024147727272727293
2019-06-21,3605,3615,3520,3535,647263,-0.01941747572815533
2019-06-24,3510,3545,3400,3410,932278,-0.03536067892503536
2019-06-25,3430,3440,3365,3380,639031,-0.008797653958944274
2019-06-26,3360,3435,3360,3390,656979,0.002958579881656709
2019-06-27,3395,3465,3360,3375,693588,-0.004424778761061954
2019-06-28,3385,3415,3210,3230,956971,-0.04296296296296298
2019-07-01,3220,3370,3220,3355,809387,0.03869969040247678
2019-07-02,3345,3350,3280,3285,472127,-0.02086438152011927
2019-07-03,3265,3325,3215,3260,734804,-0.007610350076103556
2019-07-04,3245,3245,3045,3170,2483811,-0.027607361963190136
2019-07-05,3150,3250,3095,3240,1121048,0.02208201892744488
2019-07-08,3230,3235,3115,3120,858479,-0.03703703703703709
2019-07-09,3105,3165,3035,3050,1029790,-0.022435897435897467
2019-07-10,3005,3265,3005,3160,1539144,0.0360655737704918
2019-07-11,3155,3215,3100,3180,935123,0.006329113924050667
2019-07-12,3180,3205,3125,3150,889680,-0.009433962264150941
2019-07-15,3150,3150,3030,3050,1082325,-0.031746031746031744
2019-07-16,3025,3120,3025,3045,1609501,-0.0016393442622950616
2019-07-17,3150,3165,3060,3060,1428870,0.0049261083743843415
2019-07-18,3055,3055,2855,2860,2780191,-0.065359477124183
2019-07-19,2860,3595,2860,3190,32286918,0.11538461538461542
2019-07-22,3165,3180,3005,3005,5637836,-0.057993730407523536
2019-07-23,3000,3065,2890,2900,4067532,-0.03494176372712143
2019-07-24,2915,2950,2800,2815,2216052,-0.02931034482758621
2019-07-25,2805,2830,2730,2760,1560025,-0.019538188277087087
2019-07-26,2720,2805,2720,2745,1407094,-0.005434782608695676
2019-07-29,2745,2760,2600,2600,1575699,-0.05282331511839711
2019-07-30,2605,2670,2600,2620,1347481,0.007692307692307665
2019-07-31,2605,2720,2555,2645,1371403,0.009541984732824416
2019-08-01,2645,2740,2640,2660,1465223,0.005671077504725952
2019-08-02,2615,2690,2560,2655,848908,-0.001879699248120259
2019-08-05,2645,2655,2430,2440,1683099,-0.08097928436911483
2019-08-06,2305,2530,2270,2325,2342183,-0.047131147540983576
2019-08-07,2330,2445,2330,2400,1716733,0.032258064516129004
2019-08-08,2440,2610,2425,2550,1692450,0.0625
2019-08-09,2575,2650,2530,2560,1511219,0.0039215686274509665
2019-08-12,2530,2655,2495,2610,1582177,0.01953125
2019-08-13,2570,2645,2570,2595,1310234,-0.005747126436781658
2019-08-14,2620,2680,2615,2645,1759787,0.019267822736030782
2019-08-16,2580,2690,2575,2635,1046664,-0.003780718336483968
2019-08-19,2665,2700,2630,2635,1022044,0.0
2019-08-20,2650,2835,2630,2755,3309573,0.04554079696394697
2019-08-21,2725,2845,2715,2815,1910181,0.02177858439201441
2019-08-22,2805,2940,2800,2810,2312174,-0.001776198934280604
2019-08-23,2790,2845,2765,2800,983543,-0.003558718861209953
2019-08-26,2710,2785,2620,2630,1440060,-0.06071428571428572
2019-08-27,2685,2770,2675,2675,1074939,0.017110266159695797
2019-08-28,2675,2805,2675,2805,1247250,0.04859813084112141
2019-08-29,2830,2830,2725,2795,959419,-0.0035650623885917776
2019-08-30,2835,2875,2795,2800,983928,0.0017889087656528524
2019-09-02,2785,2845,2770,2835,584224,0.012499999999999956
2019-09-03,2840,2915,2820,2875,1118560,0.014109347442680775
2019-09-04,2855,3085,2835,2965,4903827,0.03130434782608704
2019-09-05,2965,3015,2930,2935,1764651,-0.010118043844856706
2019-09-06,2955,2990,2885,2885,818051,-0.017035775127768327
2019-09-09,2880,2920,2820,2840,931359,-0.01559792027729634
2019-09-10,2830,2860,2810,2815,678758,-0.008802816901408494
2019-09-11,2820,2890,2815,2870,926858,0.019538188277087087
2019-09-16,2890,2980,2865,2970,996412,0.03484320557491283
2019-09-17,2970,3045,2940,3015,1593445,0.015151515151515138
2019-09-18,3015,3025,2950,2955,963711,-0.01990049751243783
2019-09-19,2960,3025,2955,2975,723095,0.006768189509306355
2019-09-20,3000,3000,2940,2940,664479,-0.0117647058823529
2019-09-23,2930,2935,2850,2880,655845,-0.020408163265306145
2019-09-24,2820,2925,2800,2895,799044,0.005208333333333259
2019-09-25,2895,2920,2775,2780,1018092,-0.03972366148531947
2019-09-26,2790,2865,2775,2825,703711,0.01618705035971213
2019-09-27,2825,2840,2765,2805,595722,-0.0070796460176991705
2019-09-30,2805,2825,2710,2740,520632,-0.02317290552584672
2019-10-01,2735,2915,2730,2850,1179669,0.04014598540145986
2019-10-02,2805,2830,2770,2780,488945,-0.024561403508771895
2019-10-04,2775,2785,2700,2740,607398,-0.014388489208633115
2019-10-07,2740,2925,2740,2880,1606366,0.051094890510948954
2019-10-08,2850,2880,2785,2815,1115825,-0.02256944444444442
2019-10-10,2800,2850,2775,2850,684467,0.01243339253996445
2019-10-11,2850,3035,2820,2880,4832558,0.010526315789473717
2019-10-14,2925,2985,2885,2900,1734487,0.00694444444444442
2019-10-15,2890,2995,2880,2970,1905044,0.024137931034482696
2019-10-16,2970,3115,2965,3075,6092778,0.03535353535353525
2019-10-17,3100,3100,2980,3010,2497334,-0.021138211382113803
2019-10-18,3030,3035,2975,3010,1135608,0.0
2019-10-21,2980,2995,2910,2910,1363035,-0.03322259136212624
2019-10-22,2910,3025,2910,2975,2276230,0.022336769759450092
2019-10-23,2995,3095,2965,3055,3785434,0.026890756302520913
2019-10-24,3100,3200,2955,3080,8500883,0.008183306055646433
2019-10-25,3070,3075,2985,2995,2077482,-0.02759740259740262
2019-10-28,3000,3115,2990,3065,2742376,0.023372287145241977
2019-10-29,3060,3245,3060,3130,7977292,0.021207177814029254
2019-10-30,3135,3145,3030,3035,1942834,-0.030351437699680517
2019-10-31,3065,3115,3030,3030,1895113,-0.0016474464579900872
2019-11-01,3020,3085,3020,3085,1213122,0.018151815181518094
2019-11-04,3125,3195,3100,3135,3117214,0.01620745542949753
2019-11-05,3140,3390,3090,3300,9261933,0.05263157894736836
2019-11-06,3310,3385,3215,3220,4430521,-0.024242424242424288
2019-11-07,3210,3270,3140,3150,2094868,-0.021739130434782594
2019-11-08,3175,3235,3150,3200,1934209,0.015873015873015817
2019-11-11,3255,3255,3135,3220,2175536,0.006250000000000089
2019-11-12,3935,4100,3400,3420,47451618,0.06211180124223592
2019-11-13,3475,4445,3445,4445,80941216,0.29970760233918137
2019-11-14,4545,4930,4190,4490,102949973,0.01012373453318327
2019-11-15,4445,4535,4200,4240,25075700,-0.055679287305122505
2019-11-18,4135,4705,4120,4290,56441608,0.011792452830188704
2019-11-19,4480,4590,4080,4105,19999521,-0.04312354312354316
2019-11-20,4105,4240,3925,4090,12203679,-0.0036540803897685548
2019-11-21,4075,4120,3850,3850,8139408,-0.05867970660146704
2019-11-22,3855,4335,3795,3985,33549761,0.03506493506493502
2019-11-25,4035,4325,4035,4135,17646964,0.03764115432873272
2019-11-26,4190,4230,4070,4090,6943912,-0.010882708585247869
2019-11-27,4090,4145,3940,3955,5527859,-0.0330073349633252
2019-11-28,3975,4160,3875,4060,9510948,0.026548672566371723
2019-11-29,4060,4105,3940,3940,3805103,-0.029556650246305383
2019-12-02,3920,4085,3900,4035,6142815,0.024111675126903487
2019-12-03,3990,4170,3945,4010,9350137,-0.006195786864931829
2019-12-04,4010,4120,3970,4010,5443593,0.0
2019-12-05,4030,4100,3770,3825,8459321,-0.04613466334164584
2019-12-06,3815,3900,3650,3745,5252088,-0.0209150326797386
2019-12-09,3785,3855,3645,3715,4683057,-0.008010680907877155
2019-12-10,3705,3850,3680,3840,4577885,0.03364737550471064
2019-12-11,3870,3895,3770,3780,3195178,-0.015625
2019-12-12,3815,3930,3785,3860,5834540,0.021164021164021163
2019-12-13,3920,4065,3885,3975,7304128,0.029792746113989743
2019-12-16,4050,4065,3955,4020,3303494,0.01132075471698113
2019-12-17,4050,4190,3985,4180,10659495,0.03980099502487566
2019-12-18,4375,4515,4060,4060,23726079,-0.028708133971291905
2019-12-19,4060,4155,3975,4000,4841013,-0.014778325123152691
2019-12-20,4050,4095,4005,4050,3209423,0.012499999999999956
2019-12-23,4050,4220,3995,4200,7687256,0.03703703703703698
2019-12-24,4155,4195,3740,4000,6748747,-0.04761904761904767
2019-12-26,3975,4035,3945,3980,3342978,-0.0050000000000000044
2019-12-27,4010,4145,4000,4080,4649590,0.025125628140703515
2019-12-30,4125,4355,4125,4250,11685085,0.04166666666666674
2020-01-02,4330,4525,4205,4400,19515587,0.03529411764705892
2020-01-03,4390,4440,4220,4220,7365679,-0.040909090909090895
2020-01-06,4085,4150,4020,4020,4657027,-0.04739336492891
2020-01-07,4070,4125,4050,4060,3023131,0.00995024875621886
2020-01-08,4045,4115,3860,3870,5565585,-0.046798029556650245
2020-01-09,4000,4040,3970,3990,2895851,0.03100775193798455
2020-01-10,4020,4045,3970,4030,1892689,0.010025062656641603
2020-01-13,4030,4095,4015,4050,2195179,0.00496277915632759
2020-01-14,4075,4080,3980,3990,1997064,-0.014814814814814836
2020-01-15,4010,4045,3985,3995,1330985,0.0012531328320801727
2020-01-16,4015,4025,3975,3985,1540835,-0.0025031289111389077
2020-01-17,4025,4025,3910,3940,1864986,-0.01129234629861986
2020-01-20,3965,4065,3945,4000,3514186,0.015228426395939021
2020-01-21,4005,4050,3950,3950,1858130,-0.012499999999999956
2020-01-22,3955,4110,3955,4045,4057176,0.02405063291139231
