Date,Open,High,Low,Close,Volume,Change
2013-09-16,4545,4588,4488,4522,47030,
2013-09-17,4503,4550,4493,4522,17958,0.0
2013-09-23,4574,4574,4489,4494,40836,-0.0061919504643962
2013-09-24,4474,4474,4336,4356,78778,-0.0307076101468625
2013-09-25,4394,4408,4336,4375,24952,0.0043617998163452
2013-09-26,4474,4474,4360,4427,24568,0.0118857142857142
2013-09-27,4427,4498,4394,4418,25463,-0.0020329794443189
2013-09-30,4393,4578,4350,4360,34330,-0.0131281122679945
2013-10-01,4293,4407,4293,4303,32821,-0.0130733944954128
2013-10-02,4303,4350,4208,4251,32661,-0.0120845921450151
2013-10-04,4212,4250,4075,4094,52815,-0.0369324864737709
2013-10-07,4108,4146,3980,3980,33792,-0.0278456277479237
2013-10-08,3961,4103,3956,3990,24775,0.0025125628140703
2013-10-10,3989,4108,3946,3999,26505,0.0022556390977443
2013-10-11,4023,4189,4023,4137,32256,0.0345086271567891
2013-10-14,4217,4217,4075,4080,10076,-0.0137781000725163
2013-10-15,4103,4127,4042,4080,13416,0.0
2013-10-16,4127,4127,3961,4056,21010,-0.0058823529411764
2013-10-17,4032,4089,4018,4042,22969,-0.0034516765285995
2013-10-18,4013,4122,3885,4085,24091,0.0106382978723404
2013-10-21,4094,4132,4018,4080,29363,-0.0012239902080782
2013-10-22,4122,4122,4013,4066,13112,-0.0034313725490195
2013-10-23,4122,4122,4018,4047,11479,-0.0046728971962616
2013-10-24,4136,4136,4018,4037,15878,-0.0024709661477637
2013-10-25,4032,4075,4004,4042,12348,0.0012385434728758
2013-10-28,4051,4070,3999,4047,12529,0.0012370113805046
2013-10-29,4056,4127,3980,4009,22958,-0.0093896713615023
2013-10-30,4004,4061,3947,4009,29594,0.0
2013-10-31,3985,4018,3947,3971,9688,-0.0094786729857819
2013-11-01,3965,3998,3927,3942,25708,-0.007302946361118
2013-11-04,3980,3984,3923,3947,12306,0.0012683916793505
2013-11-05,3928,3961,3885,3895,25606,-0.0131745629592094
2013-11-06,3885,3942,3885,3928,12912,0.0084724005134788
2013-11-07,3951,3961,3837,3852,13229,-0.0193482688391039
2013-11-08,3890,3890,3795,3800,17838,-0.0134994807892003
2013-11-11,3799,3875,3757,3757,16633,-0.0113157894736841
2013-11-12,3752,3809,3733,3767,14523,0.0026616981634282
2013-11-13,3752,3861,3752,3762,18518,-0.0013273161667108
2013-11-14,3762,3809,3719,3805,14091,0.0114300903774589
2013-11-15,3800,3814,3733,3805,20593,0.0
2013-11-18,3800,3871,3781,3800,18571,-0.0013140604467805
2013-11-19,3752,3866,3743,3762,19627,-0.01
2013-11-20,3757,3781,3733,3748,5766,-0.0037214247740563
2013-11-21,3742,3780,3686,3705,16952,-0.0114727854855922
2013-11-22,3700,3738,3591,3596,15897,-0.0294197031039136
2013-11-25,3638,3705,3581,3672,11066,0.0211345939933258
2013-11-26,3624,3747,3624,3629,9646,-0.0117102396514161
2013-11-27,3591,3633,3572,3629,30016,0.0
2013-11-28,3685,3685,3609,3662,9732,0.0090934141636813
2013-11-29,3643,3667,3595,3667,24852,0.0013653741125068
2013-12-02,3662,3885,3643,3795,22624,0.0349059176438506
2013-12-03,3781,3814,3705,3786,15711,-0.0023715415019762
2013-12-04,3785,3851,3652,3681,22251,-0.0277337559429476
2013-12-05,3652,3724,3652,3667,7471,-0.0038033143167617
2013-12-06,3681,3700,3591,3615,16075,-0.0141805290428143
2013-12-09,3609,3633,3567,3605,11264,-0.0027662517289073
2013-12-10,3605,3652,3572,3572,6592,-0.0091539528432732
2013-12-11,3543,3610,3538,3591,12732,0.0053191489361701
2013-12-12,3567,3629,3557,3591,10362,0.0
2013-12-13,3534,3581,3501,3539,14616,-0.0144806460595934
2013-12-16,3595,3595,3448,3496,22435,-0.012150324950551
2013-12-17,3458,3491,3425,3463,14856,-0.0094393592677345
2013-12-18,3433,3495,3362,3372,17606,-0.0262777938203869
2013-12-19,3477,3477,3363,3363,34234,-0.0026690391459074
2013-12-20,3372,3458,3353,3406,11923,0.0127862027951233
2013-12-23,3391,3477,3382,3439,9371,0.0096887844979447
2013-12-24,3405,3462,3400,3429,13011,-0.002907822041291
2013-12-26,3425,3562,3415,3520,11249,0.0265383493729951
2013-12-27,3505,3624,3462,3496,13652,-0.0068181818181818
2013-12-30,3500,3605,3486,3534,11727,0.0108695652173913
2014-01-02,3548,3667,3539,3615,12363,0.0229202037351443
2014-01-03,3686,3700,3069,3577,16372,-0.0105117565698478
2014-01-06,3629,3690,3524,3553,4378,-0.0067095331283197
2014-01-07,3553,3610,3500,3534,11871,-0.0053475935828877
2014-01-08,3519,3757,3458,3648,54215,0.032258064516129
2014-01-09,3624,3667,3576,3629,6334,-0.0052083333333333
2014-01-10,3629,3790,3619,3672,21106,0.011848994213282
2014-01-13,3686,3880,3624,3819,31978,0.0400326797385621
2014-01-14,3809,3809,3738,3767,20008,-0.0136161298769311
2014-01-15,3800,3842,3714,3805,17329,0.0100876028670029
2014-01-16,3771,3861,3762,3805,9140,0.0
2014-01-17,3800,3842,3738,3786,16344,-0.004993429697766
2014-01-20,3780,3852,3743,3762,21498,-0.0063391442155309
2014-01-21,3761,3837,3728,3776,19110,0.0037214247740564
2014-01-22,3776,3847,3761,3814,12087,0.0100635593220339
2014-01-23,3809,4113,3800,3895,47890,0.0212375458835867
2014-01-24,3903,3922,3837,3866,30044,-0.0074454428754814
2014-01-27,3776,4369,3719,3985,255395,0.0307811691670978
2014-01-28,3927,4046,3814,3871,73556,-0.0286072772898369
2014-01-29,3966,4293,3923,4004,268862,0.0343580470162747
2014-02-03,4041,4074,3965,4037,45354,0.0082417582417582
2014-02-04,3989,4084,3870,3904,54442,-0.0329452563784988
2014-02-05,3970,3970,3871,3909,29826,0.0012807377049179
2014-02-06,3904,3980,3847,3966,21982,0.0145817344589409
2014-02-07,3961,4013,3842,3966,13501,0.0
2014-02-10,3941,3989,3889,3904,19171,-0.0156328794755421
2014-02-11,3885,3909,3866,3895,13728,-0.0023053278688525
2014-02-12,3837,3913,3837,3885,22624,-0.0025673940949936
2014-02-13,3871,3885,3790,3819,35564,-0.016988416988417
2014-02-14,3804,3885,3804,3852,15584,0.0086410054988217
2014-02-17,3833,3889,3814,3833,13869,-0.004932502596054
2014-02-18,3861,3861,3800,3805,14068,-0.0073049830420036
2014-02-19,3804,3875,3794,3828,5542,0.0060446780551906
2014-02-20,3833,3852,3795,3805,11430,-0.0060083594566353
2014-02-21,3809,3899,3790,3819,12168,0.0036793692509855
2014-02-24,3804,3875,3795,3795,14552,-0.0062843676355066
2014-02-25,3781,3795,3733,3767,17734,-0.0073781291172595
2014-02-26,3752,3795,3724,3762,16623,-0.0013273161667108
2014-02-27,3780,3851,3766,3833,8711,0.0188729399255715
2014-02-28,3880,3904,3823,3838,5990,0.0013044612575006
2014-03-03,3870,3884,3804,3866,18771,0.0072954663887441
2014-03-04,3904,3980,3833,3985,38152,0.0307811691670978
2014-03-05,3985,4060,3961,3985,25879,0.0
