Date,Open,High,Low,Close,Volume,Change
2013-09-16,5690,5690,5560,5570,143594,
2013-09-17,5570,5620,5530,5550,105942,-0.0035906642728904
2013-09-23,5540,5670,5540,5570,107595,0.0036036036036035
2013-09-24,5630,5640,5510,5530,137779,-0.007181328545781
2013-09-25,5550,5590,5500,5550,136300,0.003616636528029
2013-09-26,5560,5620,5510,5530,99442,-0.0036036036036035
2013-09-27,5530,5820,5520,5750,346500,0.0397830018083182
2013-09-30,5740,5740,5580,5580,168469,-0.0295652173913043
2013-10-01,5550,5610,5470,5530,187764,-0.0089605734767025
2013-10-02,5560,5560,5480,5510,109184,-0.0036166365280289
2013-10-04,5510,5510,5410,5480,171542,-0.0054446460980036
2013-10-07,5490,5500,5340,5380,208514,-0.0182481751824817
2013-10-08,5380,5380,5190,5200,276615,-0.0334572490706319
2013-10-10,5120,5280,5120,5180,156866,-0.0038461538461538
2013-10-11,5180,5420,5180,5310,208164,0.0250965250965251
2013-10-14,5310,5360,5220,5220,127775,-0.0169491525423728
2013-10-15,5230,5340,5190,5190,160249,-0.0057471264367816
2013-10-16,5200,5300,5190,5200,192507,0.0019267822736031
2013-10-17,5310,5450,5250,5420,243348,0.0423076923076923
2013-10-18,5430,6170,5430,5890,1098715,0.0867158671586716
2013-10-21,6000,6200,5810,5880,589884,-0.0016977928692699
2013-10-22,5900,6130,5840,5940,356415,0.0102040816326529
2013-10-23,5950,6020,5690,5710,264747,-0.0387205387205387
2013-10-24,5720,5930,5620,5920,253913,0.0367775831873904
2013-10-25,6000,6170,5910,5950,416028,0.0050675675675675
2013-10-28,5940,6030,5790,5870,162277,-0.0134453781512604
2013-10-29,5870,5870,5720,5730,214111,-0.0238500851788756
2013-10-30,5780,5780,5630,5670,187327,-0.0104712041884816
2013-10-31,5670,5790,5630,5680,157095,0.001763668430335
2013-11-01,5640,5710,5560,5560,188382,-0.0211267605633802
2013-11-04,5520,5690,5400,5690,205009,0.0233812949640288
2013-11-05,5710,5730,5520,5600,184547,-0.015817223198594
2013-11-06,5620,5640,5500,5540,129092,-0.0107142857142856
2013-11-07,5550,5590,5370,5370,171899,-0.0306859205776173
2013-11-08,5370,5570,5340,5400,138598,0.0055865921787709
2013-11-11,5310,5430,5250,5280,130881,-0.0222222222222222
2013-11-12,5280,5360,5250,5270,97702,-0.0018939393939394
2013-11-13,5350,5430,5210,5210,142539,-0.0113851992409866
2013-11-14,5340,5360,5220,5300,70953,0.0172744721689059
2013-11-15,5300,5480,5270,5400,110984,0.0188679245283018
2013-11-18,5450,5450,5240,5240,171340,-0.0296296296296296
2013-11-19,5160,5270,5160,5270,143387,0.0057251908396946
2013-11-20,5210,5340,5210,5250,78673,-0.0037950664136622
2013-11-21,5250,5300,5100,5100,171706,-0.0285714285714285
2013-11-22,5150,5230,5100,5200,123352,0.0196078431372548
2013-11-25,5270,5270,5060,5060,199097,-0.0269230769230769
2013-11-26,5110,5220,4975,5200,228036,0.0276679841897233
2013-11-27,5240,5300,5100,5100,126908,-0.0192307692307692
2013-11-28,5070,5240,5070,5140,126133,0.0078431372549019
2013-11-29,5150,5240,5140,5140,90690,0.0
2013-12-02,5140,5880,5130,5730,884415,0.1147859922178988
2013-12-03,5750,5830,5470,5600,394190,-0.0226876090750436
2013-12-04,5550,5640,5300,5390,302614,-0.0374999999999999
2013-12-05,5370,5440,5290,5440,186115,0.0092764378478664
2013-12-06,5440,5450,5300,5300,140611,-0.025735294117647
2013-12-09,5380,5470,5160,5160,217316,-0.0264150943396226
2013-12-10,5160,5220,5100,5200,216088,0.0077519379844961
2013-12-11,5130,5200,5100,5160,138767,-0.0076923076923076
2013-12-12,5100,5170,5000,5090,105713,-0.0135658914728682
2013-12-13,5100,5140,5020,5120,104905,0.0058939096267189
2013-12-16,5120,5220,5070,5070,126235,-0.009765625
2013-12-17,5070,5160,5000,5000,105663,-0.0138067061143983
2013-12-18,5020,5100,4965,4970,183451,-0.006
2013-12-19,4945,5050,4800,4830,300670,-0.028169014084507
2013-12-20,4850,4890,4450,4530,569450,-0.062111801242236
2013-12-23,4520,4610,4365,4370,328452,-0.0353200883002207
2013-12-24,4355,4370,4040,4115,1259451,-0.0583524027459954
2013-12-26,4085,4320,4085,4185,826139,0.017010935601458
2013-12-27,4260,4305,4170,4245,294601,0.0143369175627239
2013-12-30,4310,4495,4260,4440,411833,0.0459363957597174
2014-01-02,4550,4655,4475,4485,402448,0.010135135135135
2014-01-03,4480,4500,4330,4425,193882,-0.0133779264214046
2014-01-06,4450,4470,4245,4250,321293,-0.03954802259887
2014-01-07,4230,4480,4230,4460,273685,0.0494117647058822
2014-01-08,4460,4520,4335,4335,220239,-0.0280269058295964
2014-01-09,4380,4540,4285,4440,255433,0.0242214532871971
2014-01-10,4440,4485,4345,4485,214302,0.010135135135135
2014-01-13,4480,4605,4455,4505,235914,0.0044593088071349
