Date,Open,High,Low,Close,Volume,Change
2019-06-18,2450,2690,2450,2590,1730195,0.05284552845528445
2019-06-19,2630,2635,2540,2590,577366,0.0
2019-06-20,2595,2630,2480,2535,424797,-0.021235521235521193
2019-06-21,2540,2565,2475,2475,250841,-0.023668639053254448
2019-06-24,2485,2535,2450,2455,255205,-0.008080808080808133
2019-06-25,2470,2525,2450,2485,239756,0.012219959266802416
2019-06-26,2485,2505,2445,2495,113963,0.004024144869215318
2019-06-27,2495,2520,2405,2420,401688,-0.030060120240480992
2019-06-28,2405,2440,2335,2360,189717,-0.024793388429752095
2019-07-01,2375,2400,2275,2310,288005,-0.021186440677966156
2019-07-02,2300,2350,2280,2340,182106,0.01298701298701288
2019-07-03,2355,2355,2265,2280,194285,-0.02564102564102566
2019-07-04,2280,2315,2255,2275,129877,-0.002192982456140302
2019-07-05,2295,2330,2260,2305,129395,0.01318681318681314
2019-07-08,2280,2300,2180,2180,386991,-0.05422993492407813
2019-07-09,2150,2220,2085,2090,201553,-0.041284403669724745
2019-07-10,2085,2145,2085,2115,83487,0.011961722488038173
2019-07-11,2115,2145,2115,2135,123634,0.009456264775413725
2019-07-12,2125,2200,2125,2165,123228,0.014051522248243575
2019-07-15,2140,2180,2135,2140,63761,-0.011547344110854452
2019-07-16,2130,2165,2125,2130,63382,-0.004672897196261627
2019-07-17,2150,2150,2035,2060,251467,-0.032863849765258246
2019-07-18,2060,2080,2020,2020,147818,-0.01941747572815533
2019-07-19,2045,2110,2025,2085,80714,0.03217821782178221
2019-07-22,2085,2100,2055,2085,47651,0.0
2019-07-23,2070,2115,2060,2070,88494,-0.007194244604316502
2019-07-24,2070,2120,2030,2040,86117,-0.01449275362318836
2019-07-25,2075,2075,2005,2035,103315,-0.002450980392156854
2019-07-26,2030,2030,1945,1990,171402,-0.02211302211302213
2019-07-29,2000,2000,1765,1775,744156,-0.1080402010050251
2019-07-30,1760,1855,1760,1835,363705,0.033802816901408406
2019-07-31,1835,1895,1800,1895,169230,0.032697547683923744
2019-08-01,1860,1935,1860,1895,120239,0.0
2019-08-02,1835,1950,1835,1900,140077,0.0026385224274405594
2019-08-05,1900,1915,1745,1790,430006,-0.05789473684210522
2019-08-06,1720,1805,1665,1750,725343,-0.022346368715083775
2019-08-07,1760,1810,1740,1800,237013,0.02857142857142847
2019-08-08,1815,1880,1780,1860,184317,0.03333333333333344
2019-08-09,1940,1940,1880,1895,80715,0.018817204301075252
2019-08-12,1880,1915,1850,1910,67368,0.0079155672823219
2019-08-13,1885,1935,1865,1930,85971,0.010471204188481575
2019-08-14,1940,1975,1930,1940,85356,0.005181347150259086
2019-08-16,1945,1960,1900,1950,108291,0.005154639175257714
2019-08-19,1990,1990,1930,1960,61746,0.00512820512820511
2019-08-20,1980,1980,1910,1965,100633,0.0025510204081633514
2019-08-21,1985,1995,1940,1975,65539,0.0050890585241729624
2019-08-22,1960,2055,1960,2005,159415,0.0151898734177216
2019-08-23,2000,2000,1950,2000,90349,-0.0024937655860348684
2019-08-26,1925,1965,1900,1900,158024,-0.050000000000000044
2019-08-27,1935,1955,1880,1880,129938,-0.010526315789473717
2019-08-28,1900,1930,1880,1920,70273,0.02127659574468077
2019-08-29,1920,1945,1895,1920,48032,0.0
2019-08-30,1940,1985,1915,1930,94311,0.005208333333333259
2019-09-02,1955,2000,1925,1990,122202,0.031088082901554515
2019-09-03,1990,2035,1970,2000,71614,0.005025125628140614
2019-09-04,2000,2020,1985,2000,87837,0.0
2019-09-05,2025,2080,2000,2020,292243,0.010000000000000009
2019-09-06,2060,2070,2000,2000,117173,-0.00990099009900991
2019-09-09,2000,2020,1960,1970,104789,-0.015000000000000013
2019-09-10,1990,2020,1970,2020,106500,0.025380710659898442
2019-09-11,2020,2040,2005,2040,89653,0.00990099009900991
2019-09-16,2035,2100,2020,2065,201801,0.01225490196078427
2019-09-17,2065,2080,2040,2080,63102,0.007263922518159882
2019-09-18,2070,2115,2065,2105,101323,0.012019230769230838
2019-09-19,2125,2125,2080,2105,75613,0.0
2019-09-20,2130,2130,2050,2080,84730,-0.01187648456057011
2019-09-23,2100,2100,2035,2050,81492,-0.014423076923076872
2019-09-24,2045,2130,2045,2080,82190,0.014634146341463428
2019-09-25,2080,2080,2030,2050,66926,-0.014423076923076872
2019-09-26,2050,2095,2040,2050,59413,0.0
2019-09-27,2050,2070,2025,2055,29959,0.0024390243902439046
2019-09-30,2035,2050,1980,1980,121447,-0.03649635036496346
2019-10-01,2015,2015,1970,1975,51140,-0.002525252525252486
2019-10-02,1935,1950,1900,1945,168323,-0.015189873417721489
2019-10-04,1935,1960,1900,1925,78264,-0.010282776349614386
2019-10-07,1930,1955,1905,1920,25208,-0.0025974025974025983
2019-10-08,1905,1950,1905,1935,29789,0.0078125
2019-10-10,1950,2000,1920,1945,100056,0.0051679586563306845
2019-10-11,1950,1970,1930,1970,32759,0.01285347043701801
2019-10-14,1995,1995,1940,1975,140672,0.002538071065989911
2019-10-15,1955,2020,1955,2005,62134,0.0151898734177216
2019-10-16,2005,2030,1985,2005,90469,0.0
2019-10-17,2005,2010,1970,1980,99381,-0.012468827930174564
2019-10-18,1990,2020,1940,1950,157788,-0.015151515151515138
2019-10-21,1935,1965,1915,1915,85505,-0.017948717948717996
2019-10-22,1915,1960,1900,1950,109689,0.018276762402088753
2019-10-23,1970,1970,1925,1950,97374,0.0
2019-10-24,1970,1980,1935,1945,130341,-0.002564102564102555
2019-10-25,1960,1960,1910,1935,72104,-0.005141388174807249
2019-10-28,1945,1960,1870,1880,318550,-0.028423772609819098
2019-10-29,1885,1905,1860,1880,206911,0.0
2019-10-30,1885,1895,1870,1885,54641,0.0026595744680850686
2019-10-31,1885,1905,1875,1900,59749,0.007957559681697646
2019-11-01,1910,1910,1870,1875,110253,-0.013157894736842146
2019-11-04,1890,1935,1890,1925,90349,0.026666666666666616
2019-11-05,1925,1960,1925,1945,86699,0.010389610389610393
2019-11-06,1945,1960,1935,1945,54634,0.0
2019-11-07,1945,1955,1935,1950,40711,0.0025706940874035134
2019-11-08,1965,1965,1925,1940,135337,-0.00512820512820511
2019-11-11,1940,1960,1915,1960,97172,0.010309278350515427
2019-11-12,1950,2055,1935,2045,422433,0.04336734693877542
2019-11-13,2045,2045,1975,2000,218713,-0.022004889975550168
2019-11-14,2010,2050,1995,2035,150385,0.01750000000000007
2019-11-15,2035,2055,2010,2030,102347,-0.002457002457002422
2019-11-18,2045,2045,2010,2030,57960,0.0
2019-11-19,2040,2040,1990,2010,102647,-0.009852216748768461
2019-11-20,2010,2045,1950,1995,181237,-0.007462686567164201
2019-11-21,1985,2000,1930,1950,189449,-0.022556390977443663
2019-11-22,1940,1970,1930,1960,81557,0.00512820512820511
2019-11-25,1960,1985,1940,1980,115993,0.010204081632652962
2019-11-26,1975,2045,1975,2035,238373,0.02777777777777768
