Date,Open,High,Low,Close,Volume,Change
2013-09-16,1645,1654,1614,1645,187746,
2013-09-17,1628,1657,1626,1645,143788,0.0
2013-09-23,1644,1851,1644,1801,1361159,0.0948328267477203
2013-09-24,1787,1822,1774,1785,362627,-0.0088839533592448
2013-09-25,1785,1892,1782,1868,472990,0.0464985994397759
2013-09-26,1855,1876,1835,1852,235447,-0.0085653104925053
2013-09-27,1874,1874,1836,1854,218109,0.0010799136069115
2013-09-30,1868,1868,1804,1806,260939,-0.0258899676375404
2013-10-01,1828,1828,1761,1794,328594,-0.0066445182724252
2013-10-02,1806,1806,1750,1782,244067,-0.0066889632107023
2013-10-04,1784,1784,1747,1763,148900,-0.010662177328844
2013-10-07,1788,1788,1739,1761,260703,-0.0011344299489506
2013-10-08,1741,1825,1732,1810,185121,0.0278250993753548
2013-10-10,1819,1819,1769,1772,122161,-0.0209944751381215
2013-10-11,1759,1806,1738,1749,207701,-0.0129796839729119
2013-10-14,1747,1759,1710,1724,272759,-0.0142938822184105
2013-10-15,1722,1770,1693,1709,221109,-0.0087006960556844
2013-10-16,1727,1727,1683,1692,201888,-0.0099473376243417
2013-10-17,1702,1722,1682,1711,98707,0.0112293144208037
2013-10-18,1713,1745,1694,1725,130758,0.0081823495032145
2013-10-21,1706,1731,1684,1690,190309,-0.0202898550724637
2013-10-22,1694,1754,1687,1734,158579,0.0260355029585799
2013-10-23,1747,1747,1710,1724,178485,-0.0057670126874279
2013-10-24,1745,1745,1708,1725,112014,0.0005800464037122
2013-10-25,1738,1738,1714,1738,68682,0.0075362318840579
2013-10-28,1736,1746,1683,1716,108582,-0.0126582278481012
2013-10-29,1724,1724,1681,1697,79416,-0.0110722610722611
2013-10-30,1710,1710,1642,1654,178425,-0.0253388332351207
2013-10-31,1627,1664,1620,1638,132761,-0.0096735187424426
2013-11-01,1641,1675,1634,1647,123517,0.0054945054945054
2013-11-04,1688,1688,1640,1651,78032,0.002428658166363
2013-11-05,1639,1651,1632,1641,105386,-0.0060569351907934
2013-11-06,1639,1644,1610,1626,176487,-0.0091407678244972
2013-11-07,1631,1633,1573,1631,184305,0.0030750307503075
2013-11-08,1631,1631,1580,1585,174476,-0.0282035561005518
2013-11-11,1587,1611,1564,1568,126942,-0.0107255520504732
2013-11-12,1589,1689,1565,1669,208695,0.0644132653061224
2013-11-13,1665,1665,1624,1645,113074,-0.0143798681845416
2013-11-14,1645,1646,1619,1645,55802,0.0
2013-11-15,1643,1664,1636,1652,97647,0.004255319148936
2013-11-18,1648,1656,1631,1636,122206,-0.009685230024213
2013-11-19,1634,1647,1613,1638,110188,0.0012224938875304
2013-11-20,1629,1638,1620,1638,58925,0.0
2013-11-21,1635,1635,1582,1622,134117,-0.0097680097680097
2013-11-22,1615,1631,1602,1631,100410,0.0055487053020961
2013-11-25,1624,1628,1599,1601,189995,-0.0183936235438381
2013-11-26,1599,1629,1582,1599,149926,-0.0012492192379762
2013-11-27,1596,1649,1596,1643,118929,0.0275171982489055
2013-11-28,1647,1814,1645,1740,846487,0.0590383444917832
2013-11-29,1739,1766,1705,1768,3965318,0.0160919540229884
2013-12-02,1788,1825,1758,1787,327624,0.0107466063348415
2013-12-03,1787,1799,1742,1756,118424,-0.017347509792949
2013-12-04,1776,1776,1691,1724,437936,-0.0182232346241457
2013-12-05,1708,1737,1686,1702,268073,-0.0127610208816705
2013-12-06,1715,1772,1699,1731,359956,0.0170387779083431
2013-12-09,1728,1762,1707,1728,151949,-0.0017331022530329
2013-12-10,1724,1730,1677,1697,257496,-0.0179398148148147
2013-12-11,1694,1715,1672,1678,257485,-0.0111962286387743
2013-12-12,1667,1689,1643,1676,109883,-0.00119189511323
2013-12-13,1667,1685,1648,1683,70305,0.0041766109785201
2013-12-16,1642,1666,1561,1617,484047,-0.0392156862745097
2013-12-17,1597,1614,1571,1580,261037,-0.0228818800247371
2013-12-18,1603,1605,1573,1599,119307,0.0120253164556962
2013-12-19,1596,1608,1580,1590,91541,-0.0056285178236398
2013-12-20,1607,1644,1588,1616,129263,0.0163522012578616
2013-12-23,1614,1640,1576,1580,176679,-0.0222772277227722
2013-12-24,1576,1593,1545,1574,116697,-0.0037974683544304
2013-12-26,1597,1597,1561,1580,102458,0.0038119440914865
2013-12-27,1596,1597,1564,1580,70046,0.0
2013-12-30,1572,1619,1542,1574,110591,-0.0037974683544304
2014-01-02,1578,1642,1565,1603,340777,0.0184243964421855
2014-01-03,1602,1642,1602,1631,150011,0.0174672489082969
2014-01-06,1620,1628,1600,1622,113064,-0.0055180870631514
2014-01-07,1605,1651,1598,1636,211965,0.0086313193588163
2014-01-08,1642,1642,1561,1574,386943,-0.0378973105134474
2014-01-09,1574,1581,1504,1543,613302,-0.0196950444726811
2014-01-10,1500,1504,1307,1310,4119794,-0.1510045366169798
