Date,Open,High,Low,Close,Volume,Change
2013-09-16,2335,2335,2300,2305,97228,
2013-09-17,2305,2350,2290,2335,119703,0.0130151843817787
2013-09-23,2340,2400,2335,2340,152907,0.0021413276231263
2013-09-24,2330,2385,2330,2345,91741,0.0021367521367521
2013-09-25,2365,2365,2280,2305,140146,-0.0170575692963752
2013-09-26,2305,2340,2280,2305,155289,0.0
2013-09-27,2300,2330,2290,2300,107478,-0.002169197396963
2013-09-30,2295,2315,2240,2255,175587,-0.0195652173913043
2013-10-01,2250,2275,2160,2205,383752,-0.0221729490022173
2013-10-02,2195,2235,2150,2150,217605,-0.0249433106575963
2013-10-04,2150,2225,2150,2170,192832,0.0093023255813953
2013-10-07,2175,2190,2125,2155,141029,-0.0069124423963133
2013-10-08,2125,2155,2110,2155,100352,0.0
2013-10-10,2190,2190,2125,2160,100257,0.0023201856148491
2013-10-11,2170,2215,2170,2215,140334,0.025462962962963
2013-10-14,2220,2255,2205,2255,99553,0.0180586907449209
2013-10-15,2265,2270,2205,2220,164492,-0.015521064301552
2013-10-16,2195,2240,2180,2215,138011,-0.0022522522522522
2013-10-17,2215,2230,2140,2180,172727,-0.0158013544018058
2013-10-18,2165,2200,2160,2185,92952,0.0022935779816513
2013-10-21,2185,2215,2170,2195,72622,0.0045766590389015
2013-10-22,2195,2210,2170,2185,85317,-0.0045558086560364
2013-10-23,2195,2265,2185,2255,169210,0.0320366132723111
2013-10-24,2260,2280,2190,2200,204603,-0.024390243902439
2013-10-25,2215,2230,2165,2165,144792,-0.0159090909090908
2013-10-28,2150,2185,2150,2175,63101,0.0046189376443417
2013-10-29,2170,2205,2160,2160,76816,-0.0068965517241379
2013-10-30,2160,2175,2150,2155,68902,-0.0023148148148147
2013-10-31,2155,2190,2130,2135,118470,-0.0092807424593968
2013-11-01,2140,2150,2115,2125,150207,-0.0046838407494145
2013-11-04,2120,2160,2120,2155,78519,0.0141176470588235
2013-11-05,2130,2155,2070,2075,201011,-0.037122969837587
2013-11-06,2080,2105,2035,2050,105589,-0.0120481927710843
2013-11-07,2025,2040,1985,1990,232577,-0.0292682926829268
2013-11-08,2000,2000,1900,1930,243964,-0.0301507537688442
2013-11-11,1910,1940,1810,1810,275652,-0.0621761658031088
2013-11-12,1780,1935,1775,1920,213572,0.0607734806629833
2013-11-13,1930,1960,1860,1880,112170,-0.0208333333333333
2013-11-14,1890,1915,1870,1875,87721,-0.002659574468085
2013-11-15,1910,1940,1900,1900,86631,0.0133333333333334
2013-11-18,1905,1920,1820,1865,136789,-0.0184210526315788
2013-11-19,1850,1875,1830,1845,72895,-0.0107238605898123
2013-11-20,1835,1870,1835,1850,55924,0.0027100271002709
2013-11-21,1845,1865,1805,1820,62643,-0.0162162162162161
2013-11-22,1825,1865,1825,1860,65195,0.0219780219780219
2013-11-25,1860,1930,1860,1930,78522,0.0376344086021505
2013-11-26,1910,1990,1910,1965,106046,0.0181347150259068
2013-11-27,2000,2040,1950,1975,108832,0.0050890585241729
2013-11-28,1975,2115,1975,2075,242080,0.0506329113924051
2013-11-29,2075,2100,2030,2050,92666,-0.0120481927710843
2013-12-02,2085,2085,1970,2005,101134,-0.0219512195121951
2013-12-03,1975,2005,1950,1990,70231,-0.0074812967581047
2013-12-04,1960,1990,1930,1985,54522,-0.0025125628140703
2013-12-05,2010,2010,1965,1985,30287,0.0
2013-12-06,1990,2070,1960,1960,93029,-0.0125944584382871
2013-12-09,2040,2040,1975,2000,59809,0.0204081632653061
2013-12-10,1980,2010,1930,1950,65341,-0.025
2013-12-11,1940,1980,1925,1940,47190,-0.0051282051282051
2013-12-12,1900,1960,1840,1925,47798,-0.0077319587628865
2013-12-13,1900,1955,1900,1915,67173,-0.0051948051948051
2013-12-16,1895,1950,1895,1920,49644,0.0026109660574411
2013-12-17,1945,1965,1900,1965,51579,0.0234375
2013-12-18,1930,1985,1915,1915,97370,-0.0254452926208651
2013-12-19,1950,1950,1850,1915,75137,0.0
2013-12-20,1940,1950,1885,1900,23725,-0.0078328981723237
2013-12-23,1885,1910,1850,1875,61726,-0.0131578947368421
2013-12-24,1895,1910,1855,1880,61501,0.0026666666666665
2013-12-26,1900,1940,1865,1940,97393,0.0319148936170212
2013-12-27,1935,1960,1900,1960,81613,0.0103092783505154
2013-12-30,1950,1980,1950,1960,44784,0.0
2014-01-02,1975,1975,1905,1925,61385,-0.0178571428571429
2014-01-03,1930,1955,1895,1920,77880,-0.0025974025974025
2014-01-06,1945,1965,1895,1965,170174,0.0234375
2014-01-07,2085,2255,2050,2145,4242510,0.0916030534351144
2014-01-08,2120,2235,2085,2205,1290161,0.0279720279720279
2014-01-09,2205,2235,2165,2200,528937,-0.0022675736961451
2014-01-10,2195,2325,2145,2145,999971,-0.025
2014-01-13,2180,2270,2110,2240,544120,0.0442890442890442
2014-01-14,2225,2255,2200,2230,318033,-0.0044642857142856
2014-01-15,2265,2280,2195,2215,444775,-0.0067264573991031
2014-01-16,2240,2270,2205,2260,342156,0.020316027088036
2014-01-17,2285,2465,2275,2355,2143758,0.0420353982300885
2014-01-20,2330,2410,2300,2360,483229,0.0021231422505307
2014-01-21,2360,2400,2305,2305,261126,-0.0233050847457627
2014-01-22,2295,2330,2260,2265,284174,-0.017353579175705
2014-01-23,2300,2310,2265,2285,228170,0.0088300220750552
2014-01-24,2230,2280,2210,2255,197999,-0.0131291028446389
2014-01-27,2200,2220,2070,2070,351971,-0.0820399113082039
2014-01-28,2070,2090,2000,2045,251200,-0.0120772946859903
2014-01-29,2080,2110,2075,2105,124787,0.0293398533007334
2014-02-03,2085,2125,2035,2035,141255,-0.0332541567695962
2014-02-04,1990,2010,1950,1995,187758,-0.0196560196560197
2014-02-05,1995,2075,1995,2015,241080,0.0100250626566416
2014-02-06,2015,2080,2000,2070,132737,0.0272952853598014
2014-02-07,2065,2090,2050,2065,128107,-0.002415458937198
2014-02-10,2105,2105,2035,2065,97702,0.0
2014-02-11,2055,2130,2055,2100,175018,0.0169491525423728
2014-02-12,2120,2135,2070,2100,134370,0.0
2014-02-13,2100,2125,2075,2090,93112,-0.0047619047619047
2014-02-14,2105,2115,2070,2100,94017,0.0047846889952152
2014-02-17,2125,2130,2060,2060,120656,-0.019047619047619
2014-02-18,2065,2075,2025,2060,89226,0.0
2014-02-19,2060,2090,2060,2090,79814,0.0145631067961164
2014-02-20,2095,2135,2085,2130,86518,0.0191387559808613
2014-02-21,2135,2170,2125,2145,173170,0.0070422535211267
2014-02-24,2125,2170,2090,2130,166686,-0.0069930069930069
2014-02-25,2170,2170,2125,2130,74132,0.0
2014-02-26,2120,2145,2100,2120,111761,-0.0046948356807511
2014-02-27,2110,2140,2065,2090,145225,-0.0141509433962264
2014-02-28,2095,2105,2040,2075,131511,-0.0071770334928229
2014-03-03,2055,2065,2020,2060,120990,-0.0072289156626506
2014-03-04,2030,2055,2020,2025,79567,-0.0169902912621359
2014-03-05,2035,2075,2035,2065,115938,0.019753086419753
2014-03-06,2055,2075,2040,2070,115300,0.0024213075060532
2014-03-07,2100,2170,2080,2150,268300,0.038647342995169
2014-03-10,2165,2200,2130,2145,222242,-0.0023255813953488
2014-03-11,2170,2195,2145,2180,188393,0.0163170163170163
2014-03-12,2190,2200,2115,2130,167311,-0.0229357798165137
2014-03-13,2130,2175,2115,2170,117908,0.0187793427230047
2014-03-14,2150,2220,2145,2170,231081,0.0
2014-03-17,2170,2240,2145,2240,307357,0.032258064516129
2014-03-18,2225,2305,2225,2230,371561,-0.0044642857142856
2014-03-19,2245,2260,2215,2220,156522,-0.0044843049327354
2014-03-20,2210,2235,2145,2180,184926,-0.018018018018018
2014-03-21,2180,2205,2100,2155,184443,-0.0114678899082568
2014-03-24,2155,2200,2120,2190,131180,0.0162412993039442
2014-03-25,2215,2215,2165,2170,80624,-0.0091324200913242
2014-03-26,2170,2210,2160,2170,210331,0.0
2014-03-27,2190,2225,2165,2225,320686,0.0253456221198156
2014-03-28,2240,2280,2205,2245,403030,0.0089887640449437
2014-03-31,2245,2265,2180,2220,210193,-0.0111358574610245
2014-04-01,2240,2260,2210,2220,161034,0.0
2014-04-02,2230,2260,2220,2220,244141,0.0
2014-04-03,2245,2245,2195,2220,184913,0.0
2014-04-04,2220,2270,2210,2255,252738,0.0157657657657657
2014-04-07,2240,2305,2215,2275,271407,0.0088691796008868
2014-04-08,2290,2290,2245,2265,187261,-0.0043956043956043
2014-04-09,2270,2280,2235,2240,146641,-0.0110375275938189
2014-04-10,2240,2270,2205,2230,182195,-0.0044642857142856
2014-04-11,2205,2215,2175,2185,142911,-0.0201793721973093
2014-04-14,2175,2210,2165,2205,86888,0.0091533180778031
2014-04-15,2200,2250,2200,2235,200773,0.0136054421768707
2014-04-16,2225,2255,2200,2250,182243,0.0067114093959732
2014-04-17,2265,2365,2250,2290,521476,0.0177777777777776
2014-04-18,2310,2330,2280,2295,124195,0.002183406113537
2014-04-21,2295,2305,2250,2265,84056,-0.0130718954248365
2014-04-22,2290,2290,2245,2260,151527,-0.0022075055187638
2014-04-23,2275,2340,2260,2290,297680,0.0132743362831857
2014-04-24,2310,2320,2210,2210,335686,-0.0349344978165938
2014-04-25,2215,2230,2150,2175,222579,-0.0158371040723982
2014-04-28,2180,2200,2110,2110,161917,-0.0298850574712643
2014-04-29,2115,2160,2115,2135,58251,0.0118483412322274
2014-04-30,2170,2170,2100,2100,104558,-0.0163934426229508
2014-05-02,2110,2125,2055,2070,180375,-0.0142857142857142
2014-05-07,2040,2065,1970,1980,166273,-0.0434782608695651
2014-05-08,1985,2000,1930,1980,101737,0.0
2014-05-09,1995,2000,1960,2000,52608,0.0101010101010101
2014-05-12,1980,2035,1970,2030,82346,0.0149999999999999
2014-05-13,2030,2040,2005,2015,71246,-0.0073891625615764
2014-05-14,2015,2050,1990,2020,76420,0.0024813895781636
2014-05-15,2015,2025,1990,2005,79421,-0.0074257425742574
2014-05-16,1980,2010,1915,1945,235486,-0.0299251870324189
2014-05-19,1940,1960,1855,1890,129863,-0.0282776349614395
2014-05-20,1890,1910,1835,1900,121010,0.0052910052910053
2014-05-21,1915,1990,1860,1940,134265,0.0210526315789474
2014-05-22,1965,1970,1915,1915,55595,-0.0128865979381442
2014-05-23,1915,1945,1850,1865,139952,-0.0261096605744125
2014-05-26,1870,1910,1850,1905,72847,0.0214477211796246
2014-05-27,1905,1905,1865,1890,57293,-0.0078740157480314
2014-05-28,1890,1930,1865,1885,107058,-0.0026455026455026
2014-05-29,1900,1900,1855,1855,56304,-0.0159151193633951
2014-05-30,1875,1890,1805,1820,97249,-0.0188679245283018
2014-06-02,1850,1860,1790,1815,74769,-0.0027472527472527
2014-06-03,1775,1820,1760,1810,105479,-0.0027548209366391
2014-06-05,1845,1850,1775,1785,66423,-0.0138121546961326
2014-06-09,1765,1825,1765,1800,77760,0.0084033613445377
2014-06-10,1810,1875,1800,1875,84852,0.0416666666666667
2014-06-11,1875,1890,1855,1885,46761,0.0053333333333334
2014-06-12,1860,1890,1845,1870,41265,-0.0079575596816976
2014-06-13,1860,1890,1815,1875,47095,0.0026737967914438
2014-06-16,1895,1895,1840,1850,39278,-0.0133333333333333
2014-06-17,1845,1865,1820,1840,74710,-0.0054054054054053
2014-06-18,1865,1865,1815,1850,52122,0.0054347826086955
2014-06-19,1840,1870,1835,1865,51108,0.008108108108108
2014-06-20,1890,1890,1830,1840,77849,-0.0134048257372654
2014-06-23,1830,1855,1785,1785,100046,-0.029891304347826
2014-06-24,1750,1800,1735,1750,139563,-0.0196078431372549
2014-06-25,1745,1780,1745,1755,54401,0.0028571428571428
2014-06-26,1740,1785,1740,1780,80267,0.0142450142450143
2014-06-27,1790,1810,1760,1810,53873,0.0168539325842695
2014-06-30,1815,1830,1800,1810,56386,0.0
2014-07-01,1830,1840,1805,1820,37269,0.0055248618784531
2014-07-02,1840,1850,1820,1835,42944,0.0082417582417582
2014-07-03,1830,1850,1820,1835,27496,0.0
2014-07-04,1855,1855,1825,1850,56295,0.0081743869209809
2014-07-07,1865,1865,1830,1830,74902,-0.0108108108108108
2014-07-08,1835,1860,1825,1845,59768,0.0081967213114753
2014-07-09,1840,1920,1840,1870,89649,0.0135501355013549
2014-07-10,1910,1910,1870,1900,128249,0.0160427807486631
2014-07-11,1895,1915,1880,1895,114732,-0.0026315789473684
2014-07-14,1910,1930,1880,1930,94832,0.0184696569920843
2014-07-15,1910,1940,1910,1925,81133,-0.0025906735751295
2014-07-16,1930,1935,1895,1915,125397,-0.0051948051948051
2014-07-17,1905,1955,1905,1945,71266,0.0156657963446475
2014-07-18,1960,1960,1935,1955,90580,0.0051413881748072
2014-07-21,1945,1965,1930,1930,67673,-0.0127877237851662
2014-07-22,1920,1980,1920,1960,69057,0.0155440414507772
2014-07-23,1980,1985,1965,1985,20815,0.0127551020408163
2014-07-24,1950,1980,1950,1960,78231,-0.0125944584382871
2014-07-25,1970,1995,1960,1970,31929,0.0051020408163264
2014-07-28,1995,2020,1960,1960,52832,-0.0050761421319797
2014-07-29,2005,2005,1945,1965,78961,0.0025510204081633
2014-07-30,1965,2015,1935,1975,124982,0.0050890585241729
2014-07-31,1955,2000,1880,1915,121227,-0.030379746835443
2014-08-01,1910,1955,1905,1950,26480,0.0182767624020887
2014-08-04,1930,1955,1900,1955,48161,0.0025641025641025
2014-08-05,1950,1975,1930,1965,44628,0.0051150895140665
2014-08-06,1965,2020,1955,1975,88234,0.0050890585241729
2014-08-07,1945,1995,1935,1955,65513,-0.010126582278481
2014-08-08,1930,1975,1905,1920,45057,-0.0179028132992327
2014-08-11,1925,1955,1910,1920,21733,0.0
2014-08-12,1900,1955,1885,1885,39837,-0.0182291666666666
2014-08-13,1885,1935,1885,1900,30437,0.0079575596816976
2014-08-14,1910,1935,1905,1930,32547,0.0157894736842105
2014-08-18,1930,1950,1890,1935,114833,0.0025906735751295
2014-08-19,1935,1975,1910,1935,47433,0.0
2014-08-20,1915,1935,1890,1905,97737,-0.0155038759689922
2014-08-21,1925,1935,1885,1885,69998,-0.010498687664042
2014-08-22,1875,1905,1875,1885,70703,0.0
2014-08-25,1925,1925,1815,1820,110421,-0.0344827586206896
2014-08-26,1855,1855,1800,1830,50210,0.0054945054945054
2014-08-27,1850,1880,1825,1835,66324,0.0027322404371583
2014-08-28,1880,1880,1830,1845,42492,0.005449591280654
2014-08-29,1835,1860,1825,1850,57927,0.0027100271002709
2014-09-01,1875,1875,1810,1850,77939,0.0
2014-09-02,1855,1855,1800,1830,78584,-0.0108108108108108
2014-09-03,1835,1835,1740,1745,143229,-0.046448087431694
2014-09-04,1785,1785,1720,1725,78426,-0.0114613180515759
2014-09-05,1715,1750,1715,1745,76931,0.0115942028985507
2014-09-11,1730,1790,1725,1770,108620,0.0143266475644698
2014-09-12,1755,1840,1755,1810,93676,0.0225988700564971
2014-09-15,1840,1845,1780,1820,118580,0.0055248618784531
2014-09-16,1825,1840,1745,1770,223305,-0.0274725274725274
2014-09-17,1775,1800,1750,1800,102442,0.0169491525423728
2014-09-18,1780,1825,1780,1795,56851,-0.0027777777777777
2014-09-19,1830,1830,1770,1795,60772,0.0
2014-09-22,1810,1825,1785,1785,82124,-0.0055710306406685
2014-09-23,1815,1820,1770,1785,46733,0.0
2014-09-24,1770,1810,1770,1800,78733,0.0084033613445377
2014-09-25,1800,1815,1790,1800,71267,0.0
2014-09-26,1795,1800,1770,1795,66358,-0.0027777777777777
2014-09-29,1780,1805,1750,1750,130540,-0.0250696378830083
2014-09-30,1770,1770,1695,1705,137461,-0.0257142857142856
2014-10-01,1730,1755,1670,1700,191587,-0.002932551319648
2014-10-02,1680,1735,1645,1680,55546,-0.0117647058823529
2014-10-06,1680,1705,1670,1690,30014,0.0059523809523809
2014-10-07,1710,1735,1700,1730,36774,0.0236686390532543
2014-10-08,1765,1765,1725,1750,56726,0.0115606936416186
2014-10-10,1755,1755,1655,1690,59965,-0.0342857142857142
2014-10-13,1650,1650,1500,1500,136982,-0.1124260355029586
2014-10-14,1450,1530,1450,1500,182677,0.0
2014-10-15,1470,1555,1470,1495,143619,-0.0033333333333332
2014-10-16,1500,1540,1445,1490,127106,-0.0033444816053511
