Date,Open,High,Low,Close,Volume,Change
2013-09-16,14110,14301,14015,14206,15530,
2013-09-17,14396,14396,14158,14397,14910,0.0134450232296212
2013-09-23,14253,14491,14062,14063,30790,-0.0231992776272834
2013-09-24,14110,14253,14015,14110,5330,0.0033421033918794
2013-09-25,14110,14301,13967,14301,10640,0.0135364989369242
2013-09-26,14301,14825,14158,14730,14826,0.0299979022445981
2013-09-27,14587,14730,14491,14635,8576,-0.0064494229463679
2013-09-30,14444,14444,14253,14397,7271,-0.0162623846942261
2013-10-01,14158,14396,13681,14397,15690,0.0
2013-10-02,14491,14539,14205,14301,6327,-0.0066680558449676
2013-10-04,14253,14301,13967,14253,12760,-0.0033564086427522
2013-10-07,14301,14301,13967,14110,4482,-0.0100329755139269
2013-10-08,14015,14062,13776,14063,12373,-0.0033309709425939
2013-10-10,14062,14253,13919,14063,14030,0.0
2013-10-11,14301,14634,14110,14492,34202,0.0305055820237503
2013-10-14,14777,14777,14444,14492,19430,0.0
2013-10-15,14444,14682,14396,14587,15040,0.0065553408777256
2013-10-16,14491,14539,14015,14158,35792,-0.0294097484061149
2013-10-17,14301,14444,14110,14253,8730,0.0067099872863398
2013-10-18,14205,14301,13919,14158,15743,-0.006665263453308
2013-10-21,13967,14539,13967,14349,3943,0.013490606017799
2013-10-22,14158,14348,14110,14301,6040,-0.0033451808488396
2013-10-23,14301,14301,14110,14301,7771,0.0
2013-10-24,14205,14301,14158,14301,5660,0.0
2013-10-25,14396,14396,14110,14301,10332,0.0
2013-10-28,14205,14301,14110,14206,4921,-0.0066428921054472
2013-10-29,14110,14348,14110,14253,18250,0.0033084612135716
2013-10-30,14158,15445,14158,15350,50344,0.0769662527187258
2013-10-31,15111,15778,15063,15493,33510,0.0093159609120521
2013-11-01,15492,15540,15254,15350,20396,-0.0092299748273413
2013-11-04,15254,16494,15063,16065,92552,0.0465798045602605
2013-11-05,16017,16589,16017,16303,63081,0.0148148148148148
2013-11-06,16541,16732,16064,16494,55140,0.0117156351591731
2013-11-07,16494,16684,16017,16303,52960,-0.0115799684733842
2013-11-08,16207,16446,16017,16446,40127,0.0087713917683862
2013-11-11,16589,16589,15874,15970,32180,-0.0289432080749117
2013-11-12,15921,16112,15635,16017,21362,0.0029430181590481
2013-11-13,15874,16207,15778,15970,42590,-0.0029343822188924
2013-11-14,15826,16064,15588,15731,28832,-0.0149655604257983
2013-11-15,15731,16064,15731,16017,27892,0.0181806623863709
2013-11-18,16112,16112,15588,15779,17621,-0.0148592120871573
2013-11-19,16017,16017,15492,15541,17796,-0.0150833386146143
2013-11-20,15683,15683,14873,14873,42739,-0.0429830770220706
2013-11-21,14777,14920,14301,14683,33250,-0.0127748268674779
2013-11-22,14634,14825,14587,14730,11530,0.0032009807260096
2013-11-25,14539,14873,14348,14873,19450,0.0097080787508485
2013-11-26,14873,14968,14634,14921,11900,0.0032273246823102
2013-11-27,14777,15445,14777,15445,23608,0.0351182896588699
2013-11-28,15445,15921,15159,15588,31140,0.0092586597604402
2013-11-29,15349,15635,15302,15636,9274,0.0030792917628945
2013-12-02,15397,15683,15349,15398,10550,-0.0152212842159119
2013-12-03,15397,15397,15016,15255,9629,-0.00928692037927
2013-12-04,15159,15445,15159,15445,16330,0.0124549328089151
2013-12-05,15921,15921,15111,15445,50830,0.0
2013-12-06,15254,16350,14730,16160,167252,0.0462932988022013
2013-12-09,16398,16541,15921,16113,45294,-0.0029084158415841
2013-12-10,16017,16160,15492,15731,31385,-0.023707565319928
2013-12-11,15540,15635,15111,15255,54821,-0.0302587248108829
2013-12-12,15349,15397,15016,15255,15303,0.0
2013-12-13,15254,15302,14873,15255,12180,0.0
2013-12-16,15302,15492,15111,15350,8750,0.0062274664044574
2013-12-17,15254,15397,15111,15255,30931,-0.0061889250814332
2013-12-18,15159,15349,15159,15255,14530,0.0
2013-12-19,15111,15397,15016,15255,25100,0.0
2013-12-20,15159,15254,14825,14873,32214,-0.0250409701737135
2013-12-23,14873,15111,14730,15016,19350,0.0096147381160491
2013-12-24,15063,15254,14825,15159,5415,0.0095231752797015
2013-12-26,15063,15159,14682,15064,16716,-0.0062669041493502
2013-12-27,15016,15063,14491,15016,20061,-0.0031864046733934
2013-12-30,14920,15302,14587,15255,24210,0.0159163558870538
2014-01-02,15302,15302,14873,15255,13807,0.0
2014-01-03,14920,15254,14873,14873,5538,-0.0250409701737135
2014-01-06,14873,15111,14777,14969,12150,0.0064546493646204
2014-01-07,14873,15397,14682,15159,17991,0.012692898657225
2014-01-08,15016,15540,14920,15255,8580,0.0063328715614485
2014-01-09,15588,15588,14968,15255,22475,0.0
2014-01-10,15349,15683,15349,15541,23051,0.0187479514913142
2014-01-13,15778,16112,15635,15827,19808,0.01840293417412
2014-01-14,15874,15874,15492,15827,13650,0.0
2014-01-15,15921,15921,15540,15779,21580,-0.003032792064194
2014-01-16,15826,16303,15826,15874,28130,0.0060206603713797
2014-01-17,15921,16589,15731,16446,43757,0.0360337659065137
2014-01-20,16446,16827,16112,16685,42286,0.0145324090964367
2014-01-21,16637,17161,16494,16828,26480,0.0085705723703926
2014-01-22,16637,16780,16112,16113,24783,-0.0424887092940337
2014-01-23,16207,16255,15826,16017,15471,-0.0059579221746416
2014-01-24,16017,16160,15731,16160,17630,0.0089280139851408
2014-01-27,15969,15969,15349,15779,32340,-0.0235767326732673
2014-01-28,15540,15683,15445,15588,17034,-0.0121046961150896
2014-01-29,15588,15778,15302,15684,30360,0.0061585835257891
2014-02-03,15683,15683,15159,15255,20780,-0.0273527161438408
2014-02-04,15159,15206,14873,15207,29500,-0.0031465093411996
2014-02-05,15492,15492,15159,15302,5621,0.0062471230354441
2014-02-06,15397,15492,14920,15255,22802,-0.003071493922363
2014-02-07,15254,15683,15254,15684,26940,0.0281219272369714
2014-02-10,15492,15731,14873,15350,60783,-0.0212955878602397
2014-02-11,15206,15206,14634,14826,83811,-0.0341368078175895
2014-02-12,14873,14920,14301,14492,53716,-0.0225279913665182
2014-02-13,14539,14682,14444,14587,15350,0.0065553408777256
2014-02-14,14682,14682,14348,14540,20730,-0.0032220470281757
2014-02-17,14587,14587,14253,14253,22093,-0.0197386519944979
2014-02-18,14301,14301,13967,14253,36360,0.0
2014-02-19,14301,14587,14253,14444,26355,0.0134006875745456
2014-02-20,14539,14539,14348,14349,14217,-0.0065771254500138
2014-02-21,14301,14301,13967,14158,49572,-0.0133110321276743
2014-02-24,14110,14348,14110,14206,11508,0.0033903093657297
2014-02-25,14158,14301,14015,14063,15287,-0.0100661692242713
2014-02-26,13967,14348,13967,14349,12987,0.0203370546825001
2014-02-27,14158,14301,13586,13824,58496,-0.0365879155341836
2014-02-28,13824,14110,13586,14110,14872,0.0206886574074074
2014-03-03,13872,14062,13681,13872,18402,-0.016867469879518
2014-03-04,13729,13967,13729,13777,6548,-0.0068483275663207
2014-03-05,13872,14444,13872,14397,19296,0.0450025404659939
2014-03-06,14301,14587,14205,14397,16658,0.0
2014-03-07,14205,14968,14205,14587,36530,0.0131971938598318
2014-03-10,14587,14682,14444,14540,42872,-0.0032220470281757
2014-03-11,14444,14682,14444,14635,20481,0.0065337001375516
2014-03-12,14634,14920,14491,14778,30512,0.0097710966860267
2014-03-13,14682,15206,14444,15207,32932,0.0290296386520503
2014-03-14,14873,15206,14777,14873,23501,-0.0219635694088249
2014-03-17,15159,15254,14682,14873,34542,0.0
2014-03-18,14873,15111,14777,14921,8253,0.0032273246823102
2014-03-19,15111,15731,14968,15350,50546,0.028751424167281
2014-03-20,15254,15349,14825,15016,18603,-0.0217589576547231
2014-03-21,15016,15206,14873,15016,11651,0.0
2014-03-24,15063,15063,14634,14826,10811,-0.0126531699520511
2014-03-25,14634,14873,14253,14397,25714,-0.0289356535815459
2014-03-26,14396,14587,14253,14444,9602,0.0032645690074319
2014-03-27,14444,14491,14253,14492,5431,0.0033231791747438
2014-03-28,14444,14491,14205,14301,6384,-0.0131796853436378
2014-03-31,14301,14396,14062,14253,8441,-0.0033564086427522
2014-04-01,14253,14348,14110,14349,6102,0.0067354241212376
2014-04-02,14348,14825,14301,14683,18483,0.0232768834065091
2014-04-03,14682,14730,14348,14587,11101,-0.0065381733978069
2014-04-04,14587,14587,14301,14444,6932,-0.009803249468705
2014-04-07,14301,14396,14158,14301,9922,-0.0099003046247576
2014-04-08,14110,14348,14110,14301,13020,0.0
2014-04-09,14301,14301,14158,14253,6314,-0.0033564086427522
2014-04-10,14158,14396,14158,14397,22070,0.0101031361818564
2014-04-11,14301,14491,14253,14444,4242,0.0032645690074319
2014-04-14,14396,14587,14253,14492,18297,0.0033231791747438
2014-04-15,14491,14539,14396,14444,9780,-0.0033121722329561
2014-04-16,14444,14491,14253,14444,13792,0.0
2014-04-17,14444,14491,14348,14492,5445,0.0033231791747438
2014-04-18,14301,14587,14301,14444,9200,-0.0033121722329561
2014-04-21,14539,14539,14396,14492,4003,0.0033231791747438
2014-04-22,14491,14491,14301,14492,14963,0.0
2014-04-23,14491,14491,14253,14397,8651,-0.0065553408777256
2014-04-24,14301,14301,14062,14253,13514,-0.0100020837674515
2014-04-25,14110,14253,13967,14253,17114,0.0
2014-04-28,14110,14253,13967,14063,21713,-0.0133305269066161
2014-04-29,14110,14205,13967,14110,7030,0.0033421033918794
2014-04-30,14062,14158,14062,14158,6233,0.0034018426647768
2014-05-02,14062,14110,13967,14063,4941,-0.0067099872863398
2014-05-07,13824,13824,13061,13252,30465,-0.0576690606556211
2014-05-08,13204,13395,13157,13300,8081,0.0036220947781466
2014-05-09,13347,13395,13204,13300,6441,0.0
2014-05-12,13204,13443,13204,13443,14173,0.010751879699248
2014-05-13,13443,13443,13252,13252,6340,-0.0142081380644201
2014-05-14,13204,13252,13061,13205,16654,-0.0035466344702685
2014-05-15,13109,13300,13109,13300,4524,0.0071942446043165
2014-05-16,13252,13252,12966,13109,16101,-0.0143609022556391
2014-05-19,13109,13157,12918,12966,11920,-0.0109085361202228
2014-05-20,12871,13157,12871,13062,8280,0.0074039796390559
2014-05-21,13157,13157,13014,13062,8860,0.0
2014-05-22,13061,13204,13014,13157,5970,0.0072730056652885
2014-05-23,13204,13252,12966,13157,5560,0.0
2014-05-26,13157,13157,13014,13157,4630,0.0
2014-05-27,13014,13157,12823,12966,19575,-0.0145169871551265
2014-05-28,12966,12966,12823,12823,11938,-0.0110288446706771
2014-05-29,12775,12823,12394,12585,30415,-0.0185603992825391
2014-05-30,12632,12632,12203,12347,19640,-0.0189114024632498
2014-06-02,12155,12394,12155,12299,8263,-0.0038875840285089
2014-06-03,12155,12346,12060,12204,20509,-0.0077242052199365
2014-06-05,12108,12203,11631,11822,43558,-0.0313012127171419
