Date,Open,High,Low,Close,Volume,Change
2023-04-04,15530,15740,15530,15650,100152,0.00449293966623876
2023-04-05,15730,16070,15640,15860,169434,0.013418530351437807
2023-04-06,15860,16130,15500,15680,136131,-0.011349306431273631
2023-04-07,15710,15880,15570,15580,97412,-0.0063775510204081565
2023-04-10,15610,15650,14880,14990,300100,-0.037869062901155326
2023-04-11,15000,15020,14600,14970,141460,-0.0013342228152101177
2023-04-12,14910,15550,14870,15120,160822,0.01002004008016022
2023-04-13,15120,15300,14800,15130,88796,0.000661375661375585
2023-04-14,15100,15660,15100,15550,159189,0.027759418374091238
2023-04-17,15780,16360,15600,16340,321631,0.0508038585209003
2023-04-18,16360,16360,15850,15990,119977,-0.02141982864137082
2023-04-19,16030,16150,15840,15980,91382,-0.000625390869293363
2023-04-20,15900,15960,15400,15450,136669,-0.033166458072590776
2023-04-21,15400,15450,15040,15150,119774,-0.01941747572815533
2023-04-24,14950,15130,14760,14790,117477,-0.023762376237623783
2023-04-25,14710,15100,14480,14580,174781,-0.014198782961460488
2023-04-26,14520,14700,14400,14400,89732,-0.012345679012345734
2023-04-27,14240,14400,14030,14100,118212,-0.02083333333333337
2023-04-28,14150,14460,14050,14080,101508,-0.0014184397163120588
2023-05-02,14020,14380,13650,14350,130324,0.019176136363636465
2023-05-03,14100,14500,14100,14180,54193,-0.01184668989547033
2023-05-04,14190,14350,14110,14320,46148,0.009873060648801113
2023-05-08,14320,14450,14190,14240,53356,-0.005586592178770999
2023-05-09,14140,14210,13710,13710,111496,-0.0372191011235955
2023-05-10,13660,13840,13450,13800,94353,0.006564551422319376
2023-05-11,13800,13880,13750,13770,48603,-0.0021739130434782483
2023-05-12,13770,13810,13280,13310,93187,-0.03340595497458243
2023-05-15,13290,13290,13010,13010,84912,-0.02253944402704733
2023-05-16,12620,13040,12620,12830,152592,-0.013835511145272816
2023-05-17,12720,13280,12720,13250,92820,0.03273577552611062
2023-05-18,13390,13720,13320,13580,74666,0.02490566037735853
2023-05-19,13580,13620,13320,13380,53305,-0.014727540500736325
2023-05-22,13380,13630,13200,13520,63050,0.010463378176382765
2023-05-23,13430,13790,13430,13600,53066,0.00591715976331364
2023-05-24,13530,13920,13380,13720,79794,0.008823529411764675
2023-05-25,13750,14000,13460,13460,75459,-0.01895043731778423
2023-05-26,13440,13530,13110,13190,59837,-0.020059435364041645
2023-05-30,13190,13250,12860,12980,64693,-0.01592115238817282
2023-05-31,12910,13080,12800,12810,80007,-0.013097072419106293
2023-06-01,12800,12940,12600,12780,62557,-0.0023419203747072626
2023-06-02,12780,13100,12730,12940,76363,0.012519561815336422
2023-06-05,13120,13830,12950,13610,183399,0.05177743431221016
2023-06-07,13610,13630,13350,13350,66907,-0.019103600293901568
2023-06-08,13350,13350,12860,12970,92076,-0.028464419475655478
2023-06-09,13060,14840,13060,14390,1097219,0.10948342328450278
2023-06-12,14220,14510,13980,14140,263795,-0.0173731758165393
2023-06-13,14020,14130,13830,13870,151120,-0.019094766619519143
2023-06-14,13800,13860,13390,13390,163520,-0.03460706560922855
2023-06-15,13480,13800,13240,13390,84627,0.0
2023-06-16,13350,13690,13350,13600,75988,0.015683345780433067
2023-06-19,13500,13700,13370,13690,58406,0.006617647058823506
2023-06-20,13680,13780,13440,13490,60466,-0.014609203798393033
2023-06-21,13650,14130,13580,13660,210202,0.012601927353595332
2023-06-22,13600,15320,13580,15150,1478634,0.10907759882869694
2023-06-23,15000,15450,14520,15100,506517,-0.0033003300330033403
2023-06-26,15150,15280,14530,14590,214250,-0.033774834437086065
2023-06-27,14560,14890,14230,14390,254671,-0.013708019191226883
2023-06-28,14500,15450,14300,14850,407405,0.03196664350243217
2023-06-29,14770,15100,14510,15000,168150,0.010101010101010166
2023-06-30,15040,15090,14260,14430,243108,-0.038000000000000034
2023-07-03,14610,14650,14200,14300,156849,-0.009009009009009028
