Date,Open,High,Low,Close,Volume,Change
2023-04-04,2220,2270,2220,2250,330640,0.0022271714922048
2023-04-05,2250,2335,2235,2280,583076,0.0133333333333334
2023-04-06,2280,2290,2220,2235,544865,-0.0197368421052631
2023-04-07,2235,2260,2200,2210,381735,-0.0111856823266218
2023-04-10,2195,2205,2125,2145,603628,-0.0294117647058823
2023-04-11,2140,2185,2090,2185,819473,0.0186480186480186
2023-04-12,2195,2250,2195,2225,460331,0.0183066361556063
2023-04-13,2200,2320,2190,2240,1310701,0.0067415730337079
2023-04-14,2225,2280,2225,2230,561303,-0.0044642857142856
2023-04-17,2225,2255,2215,2250,391384,0.0089686098654708
2023-04-18,2240,2270,2220,2260,440742,0.0044444444444444
2023-04-19,2280,2340,2235,2260,699185,0.0
2023-04-20,2250,2310,2240,2260,1068063,0.0
2023-04-21,2255,2290,2200,2200,591015,-0.0265486725663717
2023-04-24,2185,2205,2135,2140,465453,-0.0272727272727272
2023-04-25,2120,2155,2075,2090,549582,-0.0233644859813083
2023-04-26,2065,2135,2060,2065,395716,-0.0119617224880382
2023-04-27,2040,2170,2000,2090,466919,0.0121065375302662
2023-04-28,2090,2125,2050,2080,278408,-0.0047846889952153
2023-05-02,2045,2160,2045,2125,279501,0.0216346153846154
2023-05-03,2120,2170,2110,2125,272445,0.0
2023-05-04,2115,2120,2065,2095,226308,-0.0141176470588235
2023-05-08,2095,2130,2085,2105,223515,0.0047732696897375
2023-05-09,2090,2115,2055,2085,235799,-0.009501187648456
2023-05-10,2080,2125,2060,2080,289251,-0.0023980815347721
2023-05-11,2075,2115,2060,2100,283842,0.0096153846153845
2023-05-12,2080,2105,2055,2075,348874,-0.0119047619047618
2023-05-15,2055,2070,2010,2030,267911,-0.0216867469879518
2023-05-16,2010,2090,2010,2085,365336,0.0270935960591132
2023-05-17,2075,2225,2075,2130,1407492,0.0215827338129497
2023-05-18,2140,2150,2125,2135,254801,0.0023474178403755
2023-05-19,2135,2155,2110,2145,328442,0.0046838407494145
2023-05-22,2150,2175,2135,2155,317396,0.0046620046620047
2023-05-23,2140,2185,2140,2185,446756,0.0139211136890951
2023-05-24,2160,2175,2145,2150,247853,-0.0160183066361555
2023-05-25,2140,2150,2105,2105,226416,-0.0209302325581395
2023-05-26,2110,2125,2070,2075,263134,-0.0142517814726841
2023-05-30,2085,2135,2055,2095,415057,0.0096385542168675
2023-05-31,2080,2115,2080,2095,212934,0.0
2023-06-01,2100,2130,2095,2105,226901,0.0047732696897375
2023-06-02,2105,2120,2095,2110,156859,0.002375296912114
2023-06-05,2100,2145,2095,2125,293351,0.0071090047393365
2023-06-07,2115,2140,2115,2120,186214,-0.0023529411764705
2023-06-08,2110,2120,2080,2095,152927,-0.0117924528301887
2023-06-09,2095,2115,2095,2105,153372,0.0047732696897375
2023-06-12,2105,2110,2070,2080,160319,-0.0118764845605701
2023-06-13,2070,2095,2040,2060,340319,-0.0096153846153845
2023-06-14,2065,2075,2010,2040,442793,-0.0097087378640776
2023-06-15,2030,2060,2015,2025,223257,-0.0073529411764705
2023-06-16,2025,2070,2020,2065,254811,0.019753086419753
2023-06-19,2070,2070,2040,2060,120126,-0.0024213075060532
2023-06-20,2040,2085,2035,2065,219171,0.0024271844660195
2023-06-21,2060,2060,2015,2020,265438,-0.0217917675544794
2023-06-22,2020,2035,2005,2020,182674,0.0
2023-06-23,2020,2030,1995,1998,242143,-0.0108910891089109
2023-06-26,1992,2005,1950,2005,235164,0.0035035035035035
2023-06-27,2005,2005,1965,1999,233236,-0.0029925187032419
2023-06-28,1990,2005,1982,1983,218993,-0.0080040020010004
2023-06-29,1973,1985,1920,1920,416709,-0.0317700453857791
2023-06-30,1921,1935,1902,1921,181548,0.0005208333333333
2023-07-03,1921,1955,1921,1951,161629,0.0156168662155127
2023-07-04,1961,1968,1929,1933,118770,-0.009226037929267
2023-07-05,1920,1932,1876,1878,394620,-0.0284531815830315
2023-07-06,1880,1885,1826,1827,403378,-0.0271565495207667
2023-07-07,1819,1905,1819,1902,304435,0.0410509031198687
2023-07-10,1902,1935,1861,1898,188842,-0.0021030494216613
2023-07-11,1875,1946,1875,1945,355200,0.0247629083245521
2023-07-12,1955,1980,1935,1944,407289,-0.0005141388174807
2023-07-13,2075,2200,2005,2015,8048569,0.0365226337448558
