Date,Open,High,Low,Close,Volume,Change
2013-09-16,5030,5054,4864,4890,399730,
2013-09-17,4935,4959,4840,4866,274663,-0.0049079754601226
2013-09-23,4912,4935,4538,4668,909710,-0.0406905055487053
2013-09-24,4671,4794,4671,4771,386551,0.0220651242502141
2013-09-25,4794,4817,4690,4697,337319,-0.0155103751833997
2013-09-26,4699,4770,4690,4771,269137,0.0157547370662125
2013-09-27,4794,4912,4746,4914,556510,0.0299727520435968
2013-09-30,4935,4983,4770,4771,456830,-0.029100529100529
2013-10-01,4746,4817,4599,4697,384477,-0.0155103751833997
2013-10-02,4723,4770,4693,4697,197049,0.0
2013-10-04,4746,4746,4609,4625,256190,-0.0153289333617202
2013-10-07,4599,4959,4561,4710,764491,0.0183783783783784
2013-10-08,4708,4794,4703,4725,257711,0.0031847133757962
2013-10-10,4718,4912,4713,4866,462949,0.0298412698412697
2013-10-11,4888,4912,4770,4796,287798,-0.0143855322646937
2013-10-14,4817,4840,4746,4749,293712,-0.0097998331943286
2013-10-15,4794,4840,4723,4749,207423,0.0
2013-10-16,4770,4817,4599,4612,495231,-0.0288481785639082
2013-10-17,4656,4671,4439,4459,383388,-0.0331743278404162
2013-10-18,4439,4652,4430,4612,367301,0.0343126261493609
2013-10-21,4652,4675,4552,4630,180408,0.0039028620988725
2013-10-22,4605,4693,4596,4697,150139,0.0144708423326134
2013-10-23,4703,4817,4675,4677,322875,-0.0042580370449223
2013-10-24,4718,4794,4656,4771,267410,0.0200983536454992
2013-10-25,4794,4935,4723,4843,689969,0.0150911758541185
2013-10-28,4888,4912,4718,4796,376685,-0.0097047284740863
2013-10-29,4770,4817,4713,4719,222484,-0.0160550458715595
2013-10-30,4708,4864,4708,4771,353030,0.0110192837465563
2013-10-31,4746,4770,4633,4649,323855,-0.0255711590861454
2013-11-01,4647,4699,4534,4578,294008,-0.0152721015272101
2013-11-04,4605,4605,4511,4521,195876,-0.0124508519003931
2013-11-05,4552,4561,4335,4351,363863,-0.0376023003760229
2013-11-06,4326,4463,4213,4232,377644,-0.0273500344748334
2013-11-07,4255,4297,4019,4020,392617,-0.0500945179584121
2013-11-08,4014,4127,4010,4058,219755,0.009452736318408
2013-11-11,4057,4133,3773,3836,490545,-0.0547067520946279
2013-11-12,3782,4174,3782,3903,549867,0.0174661105318039
2013-11-13,3943,3948,3773,3841,269288,-0.015885216500128
2013-11-14,3887,3976,3819,3963,223279,0.031762561832856
2013-11-15,3952,4014,3948,3978,202634,0.0037850113550341
2013-11-18,3943,4000,3891,3893,163843,-0.0213675213675214
2013-11-19,3858,3919,3858,3874,136744,-0.004880554842024
2013-11-20,3854,3911,3825,3888,134283,0.0036138358286008
2013-11-21,3863,3972,3863,3935,169035,0.012088477366255
2013-11-22,3967,3976,3902,3969,160357,0.0086404066073697
2013-11-25,3972,4037,3924,3945,170686,-0.0060468631897203
2013-11-26,3963,4042,3943,4025,237481,0.0202788339670469
2013-11-27,4024,4070,3963,4044,167631,0.0047204968944098
2013-11-28,4089,4142,4060,4115,246198,0.0175568743818002
2013-11-29,4142,4142,3688,3940,1944267,-0.0425273390036452
2013-12-02,3995,4099,3976,4086,491180,0.0370558375634517
2013-12-03,4156,4693,4146,4697,3799638,0.1495349975526188
2013-12-04,4912,5314,4596,5150,9941077,0.0964445390674899
